idx,branch_name,merge,left,right,notes,diff_size,diff_contains_java_file,left_tree_fingerprint,left parent test result,left parent test coverage,parents pass,right_tree_fingerprint,right parent test result,right parent test coverage,test merge
36,refs/heads/main,2a4c2fe3b77e5ab3956f2f937ace96c631dcd32c,b14525ec0f1eb9a5403f2f04f4e160fd1e49408a,a896abc02e9e38fece1a0ce3d09e5510c5097344,,56,False,7f0eb2f56ffb6146e3d431efd7c7fe6baabb6bc94983738e67b321edf28aa9c6,Tests_passed,0.0,False,d294ab606fda38deaba3c71382ff4192e9ceec899bfc176c2e81ded8feaf5bd9,Tests_failed,0.0,False
97,refs/heads/main,66e16c97615285b2e5a93c4c9ef059c2bbb6004f,00bf0a5823526d33c7446d4b471fbe4af0862cdc,f621e767b0a76cf453be7c76ee45b26e2263d880,,10,False,b33169baf38e8f36de603f6013634369bb60c49ed7359df3df7c4baff1ef087c,Tests_failed,0.0,False,b72b4327b1bb4d564c0a66cb24ff622d61751316031204e8aef192361679de8e,Tests_failed,0.0,False
105,refs/heads/main,71082837d6a9b2babfbc605ae24b65240289fe1b,ca0057d65fd02c639d555224bb39268723eb7839,00c9a0746c1939322450b2e8b967293d34a0fc46,,5,False,a07633f45619c9c2fcc9b6b88206325846562201eff99c52d80bd8feeeeccedd,Tests_passed,0.7891599891960025,True,b553498afa1e811f971c0ab4d060db4c66e7cca927bebd139088c09733db1e77,Tests_passed,0.7891599891960025,False
114,refs/heads/main,cb0da229674f6767465001eb0c357392a2638c28,2a2785ab565eda9f9b2fae29a4f3fc1b24c00a33,1c07e0d44a73cb59eaf938638c4bf7cb3e076593,,129,False,288526aa0e4b27f11ce24bfafa208a0869e6a62392f1dbc895a6bc6b479ee3f8,Tests_passed,0.7717065277448891,False,ab2c774ff6f655d1248dad2d9e339a1db3cd54bdfd4ee57c020b1ee4be93d46e,Tests_failed,0.0,False
183,refs/heads/main,02647fe254137187a93c24efe36b967f50118664,382f660ddee79d1d36d4bfebc194f6083b256b45,d33ef9432c793ac02815269a75d733932f4b4c3a,,56,False,c2f57d619a0587d677c1e2893ecd003edc7a53a4a640e8b32ef16862018469d0,Tests_failed,0.0,False,9a8cddfb2d5c45848447fa9459d40ab6e2d8d5a2dc7c5305eb3dcccfdda171c2,Tests_failed,0.0,False
184,refs/heads/main,382f660ddee79d1d36d4bfebc194f6083b256b45,e954890fbbf5d4d191fdc4fe2c37fc2d2b3a4874,ab0d9a6aa2ad63d8320c6a216bb5fd4cc265f454,,10,False,c0b52d74effd3be94fbb54efb67e383d3dd5f45a5d6a25da3520f9db8c8c0812,Tests_failed,0.0,False,9230f9d6476e3db34b963f3baf3d58194cd225f7593cb13750dea9bcebb5d65c,Tests_failed,0.0,False
192,refs/heads/main,a200efc78ef93ea59a73ea8e3847625faf9a6561,d132d1d4d50b45fa796086d7af7dca41042665b9,b10abd135a7f1cc54e4cb789a2907565fc75c267,,6475,True,bc750a4e4f1cb1762c61c5ad25d941c1525dad0c0b643b77ae96d5b18118875a,Tests_failed,0.0,False,af40e43a276a2c70482f2cb76ceea80a22ceb5f147826e7d1547933a76ef93c1,Tests_failed,0.0,False
193,refs/heads/main,d132d1d4d50b45fa796086d7af7dca41042665b9,4741e0c229dda5fbcb591f57600ca812d13a4154,bd1497f6dced3a068f60df6b194c0baedd784bd6,,15,False,0ccc1c2bbf46a1cad94e301a16828d97c15f388b04808b5d4e2b0fccbe7c14b5,Tests_failed,0.0,False,47a9ce6791025605997ae3d776bf5b53f2f5ef08ecad8ec209bd623f31761256,Tests_failed,0.0,False
199,refs/heads/main,13c3d2825ea33da04dc5cc7598258940221f10d4,da70108b6156224407c53eb98698ef1a05cf205f,e30e77a9666795d157819c3bcac925b4dee14ccf,,72,False,771c4ee04c2901948cc868e377d13cf789557b07a9bcb2964d0c6eadeb31f565,Tests_failed,0.0,False,3fab6dab85c0f9ac0fba1315935a61e6de2ef1095e0052222c4ab0af3d8d09af,Tests_failed,0.0,False
200,refs/heads/main,da70108b6156224407c53eb98698ef1a05cf205f,d2d5732e29a7321e98a9a5cd4ea2595b310ee2b1,c9ee9935e63760cae79bc7bf7a4c556b4bcb5a42,,17,False,82d6ba0804a3538400f14eacef6c3e95bc3c8160a8fd36d19a38698ccad25c7d,Tests_failed,0.0,False,bfe4b39e4ac3360efb7581cdd25c41a266c62a53d72c88da474eea6773c5c6c9,Tests_failed,0.0,False
213,refs/heads/main,0be9bb6e4b0eb6cdb741618c7382b530bc065b8c,0fb9193dfb98c077087bfb1fce5d55032a89a60c,fa5c38d51e8f3ead9dc2ae8e80980bb8f0fbecb1,,3,False,c85d6c5147894f28e27e6659c1fb5dc25e0aa2ea57df652811b70cf5f15c71f4,Tests_failed,0.0,False,970c6d85193bf5bf1133c0707e18c8ee6704da1dee33f2b843500cf575a70b1e,Tests_failed,0.0,False
215,refs/heads/main,bce55c09f4a970b96a0d80d58841df14b9ce77d4,9d57305c1d6a290e15341f37a05f9f5c0ab6bbac,85cd30994f6d03b58e322bbffe8590393a57ff2c,,49,False,b4836764f9c6f13ae1f8b760e12388b36c84ca45fc3838e8b0a6dbcd48692283,Tests_failed,0.0,False,e06d33aad793d64f1bb9424b71eefba8caab43c8c1c07e94d16a7db32a5ba199,Tests_failed,0.0,False
247,refs/heads/main,06f30c1e0dfcba3dacf668d8ed92e34a9c79f20d,b3c562f7ce2a1704bda6fff25796259808f9792f,8f38447e8d584a54ef8cb88017645f7513a20afd,,594,True,f3bec860c9e67163fdd937363039b75af70729d50ecdd0c42ae6d298bf55b6cf,Tests_failed,0.0,False,48c2e6d09373183f5361db1c30201b3bad14187bd78f703b710c494c4e504f9e,Tests_failed,0.0,False
248,refs/heads/main,3ae6b5f0b60787c5f29da109e7e26851b4d99cb2,347ca9c69746c0833a5784f755886c88304579e8,c185bb4e499cd9860c24e0293563960d61e51f68,,34,False,9e7ea3457d26396d68aea34ab161c7bbd906fa71203a1a0c7f11e711f024e441,Tests_failed,0.0,False,adf785294e2893bb354d7bebd3cd78b3fcb68bbc02a16d9e49978d644c3a901c,Tests_failed,0.0,False
251,refs/heads/main,b3c562f7ce2a1704bda6fff25796259808f9792f,b5add1d03aa40b34572ad63213f5210e334135b1,4cbffc66dc3381ce84fc660b35e7357dd1a7642d,,4744,True,9a2f0d3071a527dbf9a29ad62500d952e6a21925abd4ba2ca2833dbd01ae65fb,Tests_failed,0.0,False,7e1545ade38e831c74df5ee1e729a034da476ca8068a8a0fee39133e7ece3294,Tests_failed,0.0,False
255,refs/heads/main,cf461645aebe8a73beb878a1445ec0c58ccbd48f,88683b6fddb0ecd6d84fde46d6157afd525712b9,4582cdf8203a558e8681b0fd8a8138bc6a44dac4,,23,False,b225d0d929112e58d871bc6582c226d272229a3052a7cc0ba4ea8a375d0de33d,Tests_failed,0.0,False,795a2573ad6f93276775e0c86efdc1bcc45284eb50fab8cbd0c61ab7507db1c5,Tests_failed,0.0,False
258,refs/heads/main,bb3bf263774dc45cd470af3a6370c753d6251e53,acdc50f60b5efa35063d3e058fe4bf2b5f06a66a,2baf831c523ac452101d3e9b6533dc79c10cfb47,,1713,True,d901175ad0ac8bd03d04877a319df4d5edf2900727b69db3763d8a0c83d5fef2,Tests_failed,0.0,False,e6821b32b16d28fe3dc567521eaceda6e4f6908644b8feee7224bb85c08d47a9,Tests_failed,0.0,False
262,refs/heads/main,8f2769e67846111dbb9cd1615527c51a6bc190d7,5ccec86a2e8b56136a335d6bef8fd01548f15f84,940eea50d62d8413d520e4b4251db82728903ac4,,10084,True,b49771901417a5a3538f71e0b8bcedccbc86738052e22be994a43bb9b0950b77,Tests_failed,0.0,False,7fc14aad2f9fb892f4e33be06c6ef3d1cc7a4fe43620c6a106926ec8697aa03c,Tests_failed,0.0,False
