idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing
3,refs/heads/master,224a7267ee1dd871a54e105b67a2b0c76a327482,72aa200ee460b2a853eab08ddd3cc5bb20bbb5fb,2929a848adbdf5a3251298837425abc4d60e5cb8,,a1c66c198f75abaa4a8a6181ce2f4582e69fc677fec29a6752625e12b3e49118,Tests_passed,626000e6f02c9629eee03d9cbb6bd5dcee16d9b5ec8ce3fd04ac7fdab2d0f3f2,Tests_passed,True,True,True,True
4,refs/heads/master,72aa200ee460b2a853eab08ddd3cc5bb20bbb5fb,010fe964937da50c30b2d41a96428f4eb04a517b,c8372e73c2691f50bacef146063125ef33410107,,8c9446cf0b408c433d12f72d834f55fca29709404bdc900d71dadd0468c5d74e,Tests_passed,560c29f77602f4f01d037cf33bdb222f785d583fcf4d5de848102adb2986ab05,Tests_passed,True,True,True,True
6,refs/heads/master,e6e292ffc4aab59e4c26ed40129d3ef1e356b903,50a88e0bbd9fb8b73c196c5424d02a1e5af99de7,d2ceac1f8578c6c790b121cb63675e6d75a5f874,,847e8328f6fd7f3cd026360bc165c6de102f11eaca075bc0058b303d96785406,Tests_passed,9bb8fb17ffe231a0aaba8edc91d217caa4cd90e3d066a1f251e726ce242b97b8,Tests_passed,True,True,True,True
9,refs/heads/master,a1050a2fcba37dbedf479729f0f5ee247ea9765b,0473fb8facf2948a6ed5e9280bf21292c4fde389,702e8097a80c24533c329ab66c7e5a38ffde8fa0,,d2c7f91bf7decd0137a6a7098d43eb04da8b373d4bc6d2d25eef0ce6fef5b23d,Tests_passed,850268e4a3bbdca78de3785407f2aa4bf2d6148b45d3bcc55ff2ce44516ca23c,Tests_failed,False,True,False,False
13,refs/heads/master,49df5424c494a0f567cb81f041d13ff737b19aa0,6fbdaf6f6ecbd1552fdcc183b22e91c611cde6d7,04ce39a0e92b605f3e6d93db5f6dc1005e107571,,d1bed5855acbaf2c74cc374b8dbf753c770b15481eba4b4b59efb9769f42fb8a,Tests_passed,69fe25451e3537a4dd10cb8aa4463f1b53ac079d4969b078e444cd35f2bd7012,Tests_passed,True,True,True,True
15,refs/heads/master,37811950fe0036e46a1064835fc029a25f25ac3a,2e352c6f690a0b57d204e4d7927138a839301f90,965c813f7508435f383fb14ea7efaf32d558d3eb,,,,,,,False,False,False
18,refs/heads/master,f14a9fc67871b2d3747e676cf1aa6b640f21533d,ee09c7da9b33583426c5e32e1856fdc68a95b0c3,c16b071f6ae9a3aef25370ab45e32fe957bd3895,,dfd55c0804d07a80e13c2620654c33cd9bcbb07f6dd803bf8f02b5f88f09cbea,Tests_failed,859d102af11a9784ebf751951c0a0259eae7885b21a0e3633021ebd2954167fa,Tests_passed,False,True,False,False
19,refs/heads/master,4b39a3ee35ffcf61f66a783dde2af1d9fbd9c12a,c10e035c4b36e0b4cd50e009fb94b67e8fc51a45,356fa0178ca851a1ccee41c7a1846a1a19abbd6b,,3a67bf14402cf474764225f1756878905ade0a177e2f4528e855ca74d425441c,Tests_passed,57551873dce131a23284c69e08874bf0bd5f6822eb0b0e387e79f18d953e2725,Tests_timedout,False,True,False,False
20,refs/heads/master,6e0fdf3cf440da54a0aca09ccc81d65553ae0534,d8232a2ea14f941ebf750e357d7e818f7924ea0e,dd966030a0bb16f3cebcc988edeb27f39cbb5da1,,d0b1b53fa33b3b73004ee590e784e5e51a40aaa23c8b2373b42c7f9d0e40bf4d,Tests_passed,c40b854d7c12fe676e553838e585eefe83b1b7725c9e954d15cfe31f07d03f4d,Tests_passed,True,True,True,True
22,refs/heads/master,eed911d1ac4cb9e1feb13c543542eb2368a55b58,e145f7aeff9d231566c88e95e8c1f56e7bd9b422,79de5e3a74a7948bb0ef41df16ff0fca76ad25fb,,240981aba0388f3f7dd163e3adf342d7d6c362002e895017de82bbb3d5b592cb,Tests_passed,b3d07e76e73c91c2948f0cc4591894d24d8bfabb5c47a2f2e329e27cb2cb939b,Tests_passed,True,True,True,True
23,refs/heads/master,ef48fdd35bd72c69cff4a320a5df8120bbeb3a5b,034b88a9489b2e8dc5087ae4aa520cb3db624754,049f566e3b98f0b3738f3ac0a105e4c13fb61348,,0cf0ab9b9b59369eb4a5b89b820d3801c58b4b7de54eb271cbdf748485e5ee53,Tests_passed,510ec606793fe4486cc88b6b6881cf743a81017d2c292821a9fa229b2fda61ac,Tests_passed,True,True,True,True
24,refs/heads/master,dcf5bee7e969cb5716d5f3490e2ca5722690e318,837e0ae272fc50670019de5dcf6453b2207c2ee5,1796bb4a2081cedb2c82ca81a2205640e9de26bf,,95ace073d911d2a7ae61404c02199f1fb81d116d47bd044a5460e18e2ff2b52e,Tests_passed,ed814382591eb25113a1995f80dee9b3ab804db58b06090d0e40e5b236180326,Tests_passed,True,True,True,True
25,refs/heads/master,ad3dc5e6127716e2b40a8658d65951f9d7bb89f5,539322d20cd1ddf1bf8a34636bb709f75487e13c,29c40453fdc2a7e213dec6b50541d9e1c29516f2,,,,,,,False,False,False
26,refs/heads/master,0bcfe040d8606f0a0cea5d5fa5c862274da3ae19,025b9f1e73a61a46549b7cab70e4e77e714169b5,a8543368b3c37ce57ac2fa8726528ab7d4bc436f,,,,,,,False,False,False
27,refs/heads/master,6e55b25cf20bae0bdfe4070f09aa9c3181ddcade,8b5d2aaf4e2f3ddfabded70e724df20808138573,13babe64ddfe01aa9be28288ce950b20f7f875f4,,,,,,,False,False,False
