idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,sampled for testing,test merge
1,refs/heads/master,41858279ae87b8a926348b7f471d1b449e2029a2,42fcd1e7d3d235603bf6e80b0cba473061dea9af,fa72893c96ac6cfe6942bf1677a856e17494fc58,,False,137,,,,,,,,False,False
7,refs/heads/master,7482fdb5b64c2210fb5eadb5f90fb30c9163e517,c0b13b5d71779c30994d585ac6b01f7c5fe2d6ec,d2dfaebb57d6ace09903ff8c7e9cd9c6af27100f,,False,41,,,,,,,,False,False
9,refs/heads/master,1c97e42bdefdcad7659d10a64fd7e6048c3c58c5,637c6df72e51b2ab624ef5987d4eba926587ecd1,f3492cf0d2a9f7a470a1e2ddc06257151e5e96ae,,True,772,0.0,Tests_failed,33d15881d2c9712f23bf213f7375ff5b33a2b2e44659801c3cad761de101bb5f,False,0.03439079169006176,Tests_passed,3805c28a3044d25db3476dd51cd03c6444795749e9c8f35d7947aeba09e4f2d3,False,False
12,refs/heads/master,fa4ee0e175290d1e223318246a499a4d378a0c9c,93a11f373a66c1fca9016004e9cf62275aee837d,68909ddb37bc1214c08c8706ead0f354a546b923,,False,25,,,,,,,,False,False
13,refs/heads/master,93a11f373a66c1fca9016004e9cf62275aee837d,8da5854d1ca95dcdcff026780725d50a19433e0c,6b35532283e49e69dcc2e838a084a64ccfcf2607,,False,11,,,,,,,,False,False
21,refs/heads/master,b54f0d5c8d960b6069ee6c69abc616fd3e42cb6f,304505cb77bccf51f71641c83be4d8433d52e9db,7fd4321e387f0f666aeff50fda38664ba9f0d683,,False,59,,,,,,,,False,False
23,refs/heads/master,b92cad2118538f4ee7e545fb86c0a40e5337f589,1dbe328c9e31f7f8a8a73fd39bdfa7c0fc50284d,a314bb377942b80e330ac508738b097237bfa30e,,False,9,,,,,,,,False,False
24,refs/heads/master,1dbe328c9e31f7f8a8a73fd39bdfa7c0fc50284d,74ff75c668e7b8b30f51d4a561ffb54852ef061c,c3b3ad6fac181a0f2c19ee418fe35236636ea38b,,False,11,,,,,,,,False,False
28,refs/heads/master,348d4d72909f22966fb07abe47d55087cb0fb637,632edee8a76658ad564ccc28b8fbebc79321979f,5a118350b5b5e5412ef95d024f7b592515a49efd,,False,80,,,,,,,,False,False
30,refs/heads/master,632edee8a76658ad564ccc28b8fbebc79321979f,11db750d869deff552a28be05e093414ee21b93d,a75307116fc9a4d858dad9fda2837dd142255a19,,False,250,,,,,,,,False,False
32,refs/heads/master,11db750d869deff552a28be05e093414ee21b93d,a29b4b554b196f10f7da418ee63f2ee4c74102c3,59eb9ad445b63d011fb861b9d170499ed08894b6,,False,67,,,,,,,,False,False
34,refs/heads/master,a29b4b554b196f10f7da418ee63f2ee4c74102c3,257b5a85b041f4eb089dd0355aa1279d25976789,63e3aaaa3b48b3d4c4c82129524c524454f26c7d,,False,108,,,,,,,,False,False
35,refs/heads/master,b5e10e55dcc6080082e348842289f58e86f0fd4f,c2a7d52f578cd082325c26f346173df1568d768e,17175121c41dbada628f1d4e2363a55b23256053,,False,79,,,,,,,,False,False
37,refs/heads/master,c2a7d52f578cd082325c26f346173df1568d768e,e148332e782f3787c79db044790d5c323a3b2f4e,69c90ce25d25c9cbb7a9c2cfa23030560cd3e548,,False,100,,,,,,,,False,False
39,refs/heads/master,e148332e782f3787c79db044790d5c323a3b2f4e,eb61fc4d385edcf0f23336fce4578afb68cb7e10,4de021ac9e5441217cd1e564b4639ba21c99c63d,,False,79,,,,,,,,False,False
41,refs/remotes/origin/pull/123,e22f914ce7147d19f629ebad4601594816dccaee,ff361afcbcef600eb75e1c5a42766da235476186,1b9e87d7ad467c820c8ef552a11438a9bb3f92ca,,False,56,,,,,,,,False,False
42,refs/remotes/origin/pull/126,21e89d1e201502c297cc8d03fae44c05bc51dfc4,98dd7f98f7ada6fbf3763e72a5c8498170ddab97,e5b220f1dff09d41d67719194b026555c620c592,,False,530,,,,,,,,False,False
43,refs/remotes/origin/pull/126,98dd7f98f7ada6fbf3763e72a5c8498170ddab97,9db78b2cf768b64d4267328fa754eaa107ec74eb,1b9e87d7ad467c820c8ef552a11438a9bb3f92ca,,False,59,,,,,,,,False,False
44,refs/remotes/origin/pull/157,0af75155f88504861517809c437b9e30fe9ea8ab,27638fb53660086ef44a2876fc9a6bcb1a63ee9f,d836047b567372cd4d4b4bf87f034f6c17b8dd10,,False,133,,,,,,,,False,False
46,refs/remotes/origin/pull/195,428e719386a70530526c669baf6e1b541c8d05cd,4a8decf4b9bb958f7963b0658700373780c7c571,4fd86f6d8581439be1cc42e92aaa9df957139ec2,,False,2,,,,,,,,False,False
47,refs/remotes/origin/pull/285,36a26d7c9d2726840c5ce6ecfb3c26eba467a73f,722908e6df23532bbc251e9e4b6a3e5ff14f2346,daa4e50700e49c43ed71f99a02c996cfdfba50e9,,True,145,0.031958163858221963,Tests_passed,6bd36fb69850f5525f878be40e0aa9fdbe4cb0640be0d8f9764382cee2846157,True,0.034581308945412975,Tests_passed,81b835dd65caef462a025e935935d126778dbc745a5cfd2750813e9128f90459,True,True
48,refs/remotes/origin/pull/386,beed4e77c05bec6428fed266372bb6aa2bd2da52,735e770606514208f571643c7db852e52d446eaa,e72b4ec50fe13db49e82c4a2757b0acabcb08399,,False,58,,,,,,,,False,False
50,refs/remotes/origin/pull/4,c2a44476576e8b673f933ca38bc4a37a64435a94,a04f9e1aa2c936885d10cde15a57a406aa9a382e,9c75cfdce0de353abb4a5afd78ccedd9ad037e5e,,False,152,,,,,,,,False,False
52,refs/remotes/origin/pull/63,4574784b0bf20ca44c94e85eaee7e06ad7fd2660,3e0babaef647af11891d4adfff01c81fde62e984,c428b5bf06d23c7170cc1b03f9534f04175e027e,,True,470,0.027804973565694144,Tests_passed,8b60241b34d92ce7651d5c1cda3858bfd196428092f783b0597b757839c00818,True,0.0384545288864589,Tests_passed,c6252b37d7252a23f4430fe084001a0d3b2ef461aea4fc272bd08ba7071d446d,True,True
53,refs/remotes/origin/pull/63,f16f3420414435575e2d0631044693281a3d43dc,8fecbd0848ef82f355dfd11a296667745909f789,f4f5d696019ea0eca68e027740b2abe9476e2d50,,False,42,,,,,,,,False,False
54,refs/remotes/origin/pull/70,def3fb46933dc345acef4b8b6bdcca918f47a981,90d837ca69e8203166aba6075212f83cb0b21399,0569fb54b1fc7d6ae7dabe0189b2ac61191efd9c,,True,1545,0.027936258115286248,Tests_passed,10e322f75624a69daf3d4fbd3139e7ebf51392785f5c6ad42939f810a3f88656,True,0.03427325128524692,Tests_passed,eb474fde05d210574c6237e791e2c9e4d534e93881bfc8c2d2e5bf1d727602bc,True,True
55,refs/remotes/origin/pull/87,3810768994756f32dee72446d8b06b6fe2d3bf6f,26193bfb6d644fbdac6f8a34145bc0cbfbdfbf5a,6a035a6f204f2595d78a5376d625c21287a07836,,True,691,0.028018942383583267,Tests_passed,d15809fd93f67d5950817696c3af678f3ede713d1736ccd522ee4da6723131d0,True,0.03730822873082287,Tests_passed,1aea4e67245e93b199e17317002516d5cafcf309914ebb056d629bedea3af906,True,True
