idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,left parent test coverage,right_tree_fingerprint,right parent test result,right parent test coverage,parents pass,diff contains java file,test merge,sampled for testing
3,refs/heads/main,5d6435cf40b88430693319a4b30275a72b165484,7546a509da9e5888be33650e5f8f1a52cc6bd4be,ba8ad0228930d04479c714f5ab9b5c1ff10bdb92,,ef810a8f27f659e4af7b9ca72114c1f12cb372a57720b5df86c95ec783e895b3,Tests_failed,0.0,4a36a252134f3f5e907710751d31a8a76e50bcb1fff2e214b241c401ffe4b222,Tests_failed,0.0,False,True,False,False
4,refs/heads/main,baecbbcb31610913646d1c038d5a47b1983b74cc,6bba40ff1cdb96885bf6769197df3f7c2c08327f,5afc874eed2e6d9a05fdb0f152a65becc3ed7f3a,,f4ea78e5a82e19160ec0cef22ba4be9bcfdcf0034913cbf1b1bbdc462168c51a,Tests_failed,0.0,2c1728d715196a4b5de11a99ceffe1caaeb2641b29c2eb35475f9af13219de34,Tests_failed,0.0,False,True,False,False
5,refs/heads/main,6bba40ff1cdb96885bf6769197df3f7c2c08327f,8a03dd813136aebfdc5a50fc05ee65048cd22b21,add5e8968e4ad935a501bc461458b118d2a22c66,,7608264740ba75a3166c588807c57eb2aba7c549a5687d9e7773cd3e5c6a614e,Tests_failed,0.0,c5119b66570745b921b0950f64e5f62ea408d174236cce8670d44d39bac0b9a6,Tests_failed,0.0,False,True,False,False
16,refs/heads/main,ed87abaaaa793e36cb95c39dbb178f9f0cf59311,d6aca1d2a1a4927dc27e7667251a26f64e7b1df8,89174178c6225fc3b4d9b9d96a88edbbe862f1a1,,,,,,,,,False,False,False
17,refs/heads/main,d6aca1d2a1a4927dc27e7667251a26f64e7b1df8,898ebab6d82b22e445311913985f2d13c5494cd8,55168e24dbb774ddd8ea8a17fc0330acfe4c9b52,,1ae40a642783d861f29e27d1eda64c32467ca7dbf0c01a32523dac8b84fce405,Tests_failed,0.0,3115012eb43273668ff55499be2354186802f3fc7d38bafc4fd0a0f7a39a86b0,Tests_failed,0.0,False,True,False,False
23,refs/heads/main,f4afd451ab3527fa33ec00cf7ce8932f8d3cdcfd,d5a8e3f7b406770933de29888ba863748b677393,76c2857d482dedfa60bcc90c05174283aec9ebc3,,,,,,,,,False,False,False
31,refs/heads/main,6ca8108f1e74f1fea91be3bb82979e0bcf10d671,451b5db9419d28f3b5f2cc52cc41eea4392b2af0,76fb5cee72b9c6aaab8b97454067af991b79090d,,430b687506f8481629eabe69141d5b8bedd21cf10be1b3ab1f4211126c184b89,Tests_failed,0.0,b71a1dc6071d585811866d0a3ed142e851dac4493584d8921ad5a604c03a4ac4,Tests_failed,0.0,False,True,False,False
32,refs/heads/main,451b5db9419d28f3b5f2cc52cc41eea4392b2af0,c659a5415891c13240d391a17e2720fea242e1e0,96fb6301a8682e262661c390983c3952c08cb5ca,,23aa0a9bb1ec2899eed66fe1f368848fe3dad329c97eef0144edac2e0f8a0793,Tests_failed,0.0,4a28ff7fe730dec3b4521ad27192eb89320be7c18e4d4bdc20aac5a3e6f33d38,Tests_failed,0.0,False,True,False,False
34,refs/heads/main,b0095aa3fd4558625ba64cebfaf162b2eb96c5aa,44fecb3b5a774121b0018ad184cfa47330c1d13b,a2e51b2c31bf3096428cdbbfecfa0601fc5a43ff,,7f9e81da142d06e8da72b7024f603b0826805c63d125a9a94359a593a4f53e3b,Tests_failed,0.0,b2c22c583213ae6a8c72c4dbb9eab3c820c84c2a6e40bbce0035d0386541cdfc,Tests_failed,0.0,False,True,False,False
37,refs/heads/main,682e905c4964c1f3ffbb3a68603cb3aa10a8b442,ff4c5dff3b9a17d6f44d1a7640652d3e3f16ad7e,8bfe79ae8704f973c2daf7fcb83d4f0fcfc8d86b,,54e27c5b87f1586ee3ccab4d93d17e7da2e6e8de1eb26b7f9a0bad5119e372de,Tests_failed,0.0,7562bdff550d801f57255db463aa731aeae7b0b128ee88f641c404456f86ee2f,Tests_failed,0.0,False,True,False,False
