idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing
1,refs/remotes/origin/1.2,6e360623cd6714e7204dc9401cfaf2bfc29e5db0,065da4884cd8d2eacbe7cf217f0a1ed9a5e45099,fec9ec84ff2b7beaf1d30e8f646e4f13c7a6936c,,,,,,,False,False,False
2,refs/remotes/origin/1.3,3744f4ecc2f87cb3f86ec5956abe014d9d360df7,29e3ed7e95510256838b3f0cf13fdc6098d10f74,857b62434cc0a965e3e76b9be5612d6b9c18de76,,d709aa46b62793055975207c35868f26d714eb1fa90a03ea75f0e5b70a7706f7,Tests_failed,0d46e1d61cc4e740f3170090f364bc548c66d0294d25726b82b33c4db8400627,Tests_failed,False,True,False,False
3,refs/remotes/origin/1.7,8df8686157af5ac31709ac160d94bf241e15a116,bae3833f7be5960630a57fcf1c79fa88d71209d7,b6b39530f65204317f285f2b3236c218ee694062,,,,,,,False,False,False
4,refs/remotes/origin/issue4569,8acbfbecb3ab130f61409d7a6d51ae455363468d,40cafeabf428b25402510928f9ff5cfa150da283,1fb5ac5120e242257a19b6239994064c858cbf07,,71def5ac0aa29bef49fc49e72c3fbc20e16cd165f85b70fd587724076225c323,Tests_failed,cb0570303afa429a1e396654015610e9b312b94875705778623f77d8fdaca1f8,Tests_failed,False,True,False,False
5,refs/remotes/origin/issue4569,40cafeabf428b25402510928f9ff5cfa150da283,0ec39f2fc97d2f855591e2b37ab37f712c49fc6c,9ddf64100fd28fddb6fc8d7fb1786850061f04f3,,4a195fceb315ffddf8f6bf795a98122cd5afd65094457848e13d584631286082,Tests_failed,06bf89dcf01941f0e43b72e9f811b34b27465e870143075a4dec0b33a97716c1,Tests_failed,False,True,False,False
6,refs/remotes/origin/no-awt,d2544cc5178ebcd340e5f5cdf252256054ef6844,612ce90e2417866c899c4a8f46f4b8651369cc7b,4662581944a5d9edbd6714b7d2cda68f67fa00e0,,3aede0185c20804496b867b081bb17bea338dbd58b887f51ca2025f5505ec369,Tests_failed,64eeca2c5dd08ce470192e72f7c99299daa570e8c289a036293a83f464282662,Tests_failed,False,True,False,False
7,refs/remotes/origin/pull/105,1474ffc9ebd125ba32d55f982baa74dd03b426ab,b0099519ce4854d7de5662bcaa5234fe91712672,5d8b655828733b718ad1796b11732c2ec2ab1de5,,361d2ce94ef6a0495d574715a28441678aa27a78bc73f9fa5f0ed7864c5acfcc,Tests_failed,e8d74f3e6ceb04ace95c3c122a7b90d85b21a90d2c55160d3f89d5522bca7771,Tests_failed,False,True,False,False
8,refs/remotes/origin/pull/105,27abb8911bfe75f871314227550a11e7dc2cf669,c6e672ff586cb9c127f19a0b0ccd6d4e2c6b51e6,7d7d26f8fc15576956c90540a7c49d67683bc655,,7d4c76762414652f5a71978f3d5d147fde87187a2e68c4230f9d7481bd6c7ffa,Tests_failed,cb8c86127be7442ad67097d9aa388369cb4482363cf7c987775ba530364dd889,Tests_failed,False,True,False,False
9,refs/remotes/origin/pull/105,0c2af82a4d8505c2cccb18012a0826b784546ac6,e0451c02e6a23c9763436f43afed850f455a235f,4c0dd11fef4bc3ad552467b052f6cd92b38bdf66,,cab43eb6abea0317edaa694a2b5fcca7b0e13778224ac9bf3ad7dd9ddb3b275d,Tests_failed,3d45603231c815b6c08dd7f6cecbf28781e6c16754c18272b8e728a87da9366f,Tests_failed,False,True,False,False
10,refs/remotes/origin/pull/105,f2d30a330af669a6598005b759b4db2b62b20f87,8dd3a1dfed312e618916fba2afeb34d6196c58fb,ad53c2a1f92f11c85d6cba1076bde49c6bf4f8c7,,693007779049bb31482f1debe76a064c4e8b4a3d3fc40faba2810446fde82fef,Tests_failed,e9b61bf32baea0ef2aa0b9ff7d37a77ac51e1cdb596e8d7f743cb5ad393a8bc7,Tests_failed,False,True,False,False
