idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,sampled for testing,test merge
1,refs/heads/main,3088ebfab9e27898aa80577d27a9ca8b51ce5fbc,b3296a1955ee48fa73eaf22000bf46d4402ef1b1,2908b7a10c83c4d8cbceaa30a71397ee56d15031,,True,339380.0,0.0,Tests_passed,5ee49acb4e7ebb3f2b2bc07447a3507bc04a5abe55b8bcab2b6514ed194ed508,False,0.0,Tests_failed,e75c04d455fe4f9317089fcb3a8a466d6541e28631b8b190191a3a21970a9f70,False,False
3,refs/heads/main,36256216ca798336975b3a7755cd9df6142f7b26,809caa83409a9205469b51e81813f68967298835,35b59a8470191305e595b13d86fb4c54e6bd2941,,True,89.0,0.0,Tests_passed,3b9c06c05a2af015a59f566eff789b3252b0026dc39a36534bf4377970ed8a2f,False,0.0,Tests_failed,665ff540c37170017fa4087a0bc7aa7e50cc2b835717a6b7332932fde4818d9a,False,False
4,refs/heads/main,809caa83409a9205469b51e81813f68967298835,f7672e7755daa2c73976e0c54283377ac603efe3,083d678be649f31cdccf8b9ad576c1596ef04b76,,True,339618.0,0.0,Tests_passed,3e204cd198ff4992f09cf6471dfcd229e1c454f054dfbcd4b3d54aae383af69e,False,0.0,Tests_failed,bef72d15bb569b2184e300dde1185d8edcd16c18eeeb200709f837677be210b9,False,False
5,refs/heads/main,f7672e7755daa2c73976e0c54283377ac603efe3,d197e03154a8aa722a2c18892f4db5130687f0e0,12575676aab6df5d3488fe2e7c7f20a294d767fe,,True,69.0,0.0,Tests_passed,38b5753dde1938ff2eb0cc9fc8000b0a0c8990feef22d91e4cee17ac0e71c7e2,False,0.0,Tests_failed,d6850eea3510be51f9dec80a29d30369158f111d8ce25be372b27435aa32686b,False,False
6,refs/heads/main,d197e03154a8aa722a2c18892f4db5130687f0e0,fbf98dbf1302c9fc960e0ed7258137bf4c6ef320,d10330f80a8a70cc90f7495cf5c733956bd33607,,False,9.0,,,,,,,,False,False
7,refs/heads/main,fbf98dbf1302c9fc960e0ed7258137bf4c6ef320,3348238641bb9314cdeb27e3b5775f5f018e2b64,4d2791808af00c4fbea6ed82b834ecfd952854ae,,False,5.0,,,,,,,,False,False
8,refs/heads/main,3348238641bb9314cdeb27e3b5775f5f018e2b64,ecbbebdf34921a3fe60a81d0a45759473bb983a8,2cae751d92962bca2d668c4e337966207b12deb5,,False,5.0,,,,,,,,False,False
11,refs/heads/main,a658755b412ef1b5e2257af5aa97255125166a85,936c94da5f102b06bd5462878f04ae14b888d5fd,a1d07fdfa921e965eb9c3e9a3e6f94f656765bd4,,True,146.0,0.0,Tests_failed,7c085344b2b906550dc0919216763f05f9084c8a524746f79be4fd1ef13aa41c,False,0.0,Tests_failed,41f5f534dfef06cf5f3d6d1d62f9f69d3bea8e9bf04742c5bb1f5c1c67cc4ab2,False,False
13,refs/heads/main,24725ad7894b2ce0e50e3f19305a9fb8390ff165,01caf065e5dbe7163aa68a9fee457e4883f0f805,bc3a3664d1f2477dda52cdb16376663e64c0165f,,False,234.0,,,,,,,,False,False
14,refs/heads/main,01caf065e5dbe7163aa68a9fee457e4883f0f805,15addbda02197eae3921935d9aa48aa142e14ff1,ac54f2f6e51c82f7cfb52980bdce009f460cc813,,False,190.0,,,,,,,,False,False
