idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,test merge
1,refs/heads/main,09629049d8c423e05c3f698d5fb19c889167cb16,8b1fbdcc992e89963acd730baa72f5c3e5f0f3e7,ce1c29daeb2c6dcf48dd205f6334a6df26a0d2cc,,False,361,0,Tests_failed,910cf7225794f9274e43fc35ce48e47ba72ad569beb5501d77d0bb07e1d5b697,False,0,Tests_failed,bb36c42f815ab49b3c1036ad8337743658fa41679fb818d9630b30ba86d85181,False
8,refs/heads/main,bf0f4aabae71b4b5fd5589fa97f780804ec3771b,2d463ad8b8fb9cfbc7b28b13f5b40119959475f6,1c166b25d9a7eb97f149695b20da53a25f8a490f,,False,27,0,Tests_failed,e9a7c3d64ba17a7747fdd8cc90d0008b96c4b0398fd20d0c3a1d67223acedc6f,False,0,Tests_failed,aa945ac5f9493562443f756e10819fcf9fc3838977ef8d686d1a7230bbb06837,False
9,refs/heads/main,2d463ad8b8fb9cfbc7b28b13f5b40119959475f6,94d37278e6453002afa4135433527c7ef4c6686a,d4cc84d08e10f2211d169be6dab3c1fd121fe27e,,False,108,0,Tests_failed,58f96e241cf6a1401c19821c1e50b1c2d28cc324247a5d5986d412ad47c683c5,False,0,Tests_failed,0d507fffdc1af5a733eff37b2a87dc43832695a174b274f9eaabb68bfb6f0185,False
10,refs/heads/main,be5b254a04d082569573a4c6677a3561fa600fc3,3f5ff6e7577e99f939895d8db378d6936cb7da9e,59586f76094a99b565a750a666985db45cc85a01,,False,6,0,Tests_failed,d87207b06cbf975fa91d836886705c9f02da978249e7229a2a5ae0e6a3aa63a2,False,0,Tests_failed,436d35a4438d2ca0b656ce784961f22d820c6d8c169e17f2b9eff4b1f13cfa19,False
11,refs/heads/main,3f5ff6e7577e99f939895d8db378d6936cb7da9e,ac9df7e106b62000160186300a2d0c1e8341f033,912dfa211bc2cfecea61449b2c16a26b1c23bc70,,False,6,0,Tests_failed,90a58e5c9746fba419561e22841536830908acaae456ea6d861fea2185bc2357,False,0,Tests_failed,1c36520446c243ab5690d2d4477a5471299fc13831a5204130ea862d8f762db5,False
15,refs/heads/main,065d872cc14abb9992c882c198d7adce30d491a3,ce440d9a4e021761387a29af479efa9741e9bb11,e6daeaeb28ecc3fad6d13c8470587010bc8ea418,,False,17,0,Tests_timedout,1fa98c49c52332c5bcaf37e2b47fa2232469575d4f14fb8cbf66dbd6a053bf75,False,0,Tests_failed,a5ed3fb1658f49861ea5329f51ea5ab285bf75f442d5f545817092724604485e,False
17,refs/heads/main,732308bafe66f9393d003f58b8c33a8eec804708,50d4de4cbea9da11a3fa40be522d296aae86e741,634e8ef153637dbc53f99a398ffe6d6380032829,,False,38,0,Tests_failed,50afc4c5c9f75f3ddd6c12c725085691fccec57a1933e58a5b5f7398a61e5a4d,False,0,Tests_failed,c0988d3599c15e0423a845360a140e0e18aabf4e1b1cfcd192ff71c08235a189,False
18,refs/heads/main,50d4de4cbea9da11a3fa40be522d296aae86e741,873199549c6c99a3e9f32ec755dee8c8cec77749,86307a13bec807fcf9bbce27382b187ebd29adab,,False,57,0,Tests_failed,f4c2787d863a38cea589d4d5d4c97616cf798c69e85c32e04af6881d64475a9e,False,0,Tests_failed,97a5572d8731aca862bd6b41d137d14beb0419c135806faa971c0c3cb686f258,False
21,refs/heads/main,58af1a30b2c1c3e9a5bfc0107081bb6f02b2e355,18234858ba4b116aaaaac41399d0cf2372bb3981,e86ec1d664ec6aebc2768e0f258335e961ea17b1,,False,37,0,Tests_failed,8f8f4c1fa3eed131512651a4a866d82e3f96816aaad394eb37004c5ce6909c9e,False,0,Tests_failed,a68066a5c4ea8654d7796fd94727b5fb35264552a76a1bdd3cae5989bbd4bb13,False
23,refs/heads/main,506a5acbac4c0b41de00c7776f7842818420528c,322e3a4b549786664d9e79f9920f767e006d9fa9,6dc7281b4b59ffc1e2a3fb575b056b08f6de411d,,False,55,0,Tests_failed,23d8eec638489590fbba51668c8d93ec99e6609c2a40b0597f050c98a8606661,False,0,Tests_failed,851e4afbab1a5d047f2c9308e73e9bbc16c7557458a7850bfdab2c6eeb2cdc31,False
