idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,sampled for testing,test merge
1,refs/heads/master,ea6bb9a9a4d54bfa94e227b69604a4be57fa908e,1400ba512892af9d2da04fc3cf87f243fb18da23,ca6a641fc1dc88c92f5dbdfe92d610194960c6f0,,True,196,0.7191011235955056,Tests_passed,71bf6c5a43f05651b7afdde14581b6db1dec5acbc5f9c7c14fd362cdeaf258c1,True,0.717024717024717,Tests_passed,9f701b64b359e3d4f5e7ffe756a9fa617bffd20a780c687ec56491911c1c752f,True,True
3,refs/heads/master,db49a94e5828b01f5e5341b418157aa9f751ede8,3143301778b75a5c88a946eabc03a6d97a2602db,8c2b20a6b0b24a353f34d2db1413fd6a0e3504e6,,False,4,,,,,,,,False,False
6,refs/heads/master,15a70513b848d482670c1bb6ca82641d6cd2ce44,353b992f97ebfb938896dd79fd3a0ebb3aa9d100,3ce96e66c82253887e139f21b86dff9c48e4c25c,,True,221,0.6917244084194012,Tests_passed,bf74c6d7111b86052b0e6e30c3dd332ffd75e93e79fe173fa787ca445a83550f,True,0.7015650296815974,Tests_passed,5f3de44960fd1c35f332a250687456f38df9df04cdcdf8f27967fc1aa1d69e44,True,True
7,refs/heads/master,e33b43a29231d1fbf2ebf0be8661de9de8482a77,cb6bd0992da7d98546caae3fb7587f0670348c41,c4feef892a21c76d26d8da136804a0d88a30948b,,False,224,,,,,,,,False,False
8,refs/heads/master,887f6f9e9b801da8f5f32519cbf2650e5049cfaa,fa27a77084e8d94704a16e4165ea077769c2f0ce,6d2845e54d40a17e481b53781e5908d4123a8089,,False,3,,,,,,,,False,False
9,refs/heads/master,fa27a77084e8d94704a16e4165ea077769c2f0ce,fd81cac1e15507e4ba558f9d11c61f163b2ddf9e,8375e74374cd714617791148c7d801e70e42404c,,True,1483,0.0,Tests_failed,ef2e19884951ba6ed316343861692b26868ff4435498335f02cfcc60fbb8e89d,False,0.0,Tests_failed,d5a81e236f33cdd0aae16fca826c624365a3e1c08a3441b71f4044fac307d4e0,False,False
13,refs/heads/master,d07ea8a9ffd32ec6c5b7f8aea9b1dd19452e7e96,137260198cc6480f5552f8cd85805303c9b6a915,2f58a3835032a23b460a1e0ee5dfb5894afe06d1,,False,4066,,,,,,,,False,False
14,refs/heads/master,137260198cc6480f5552f8cd85805303c9b6a915,d17eb27c26cb809c4ae70b5846778e8160078a17,e6782268e80b88a2cbbd32ac0e7da83f068affb3,,True,641,0.0,Tests_failed,44bdb826270beac2b878485c2003416c2f87a89ef06e642bd056595b13da0501,False,0.0,Tests_failed,2710d226e1e9f8ff484f61e0bdaa6358b7c5888852692396f320518011b06be9,False,False
15,refs/heads/master,a3c89814c66ac858f23863b9d57ebe152656ff6f,b54ba8e4a416011aca75d8207ab04c92cbb6fc4b,0299aebf0014b2c2d12d251125632d01ffd111ed,,False,558,,,,,,,,False,False
16,refs/heads/master,d17eb27c26cb809c4ae70b5846778e8160078a17,7be488464c88a3f062944de65dcb8acf784dd332,35313d2daf2740eeb763afae339b138673da5d2e,,False,3,,,,,,,,False,False
17,refs/heads/master,7be488464c88a3f062944de65dcb8acf784dd332,10af9e72ea96bee2cda72717164400107b840d13,a623492a1b1af4da9a957ae39297eb4a34f9de48,,True,788,0.0,Tests_failed,3bf833610fe5248fc52e523c674eab524315c466602d91914a264682591207bc,False,0.0,Tests_failed,989e5354be188c6a82aee5124ed0a0fd6ada8f411a70e102c990fc5b1eb73c47,False,False
20,refs/heads/master,ce3581118b2d7e6ea89b053e8c2424c844a078ff,9b57f39f19702b797927d60c7a55e828667e9e9b,01cb77ce5e7167bc937de5740f16ff33f72d82a2,,False,47,,,,,,,,False,False
21,refs/heads/master,579ea54251bad446fdac546dc20fa813a3525b46,6c9298023a14f62bd50384b4fdc49213749a315e,5b07cabc7b31fa27c7e862f86e7226a91117d4d4,,True,253,0.0,Tests_failed,bda8a39b930cf2440a92798e14de49522715efb16cc182a83b00107c88fd7631,False,0.0,Tests_failed,7bd91f92b03e3a34b367b9555fd2b2db9eb8841e0067703386f1f7215561209d,False,False
22,refs/heads/master,26857212203b5178fec1b32a32f7a5fc59ad1bf8,7e6e6cf973e82b123d711b7f806997e5ec872bb9,791b9a7df4a314561313d4122d2a87f0f76cb1d7,,True,92,0.0,Tests_failed,6bbb6e5f23d961a07b597539a4fe807b1528099865c0b033f21e1b4c0afcc02c,False,0.0,Tests_failed,bb3fe8fbed62660536939c7f18f9e279191cf4fec80c52fb517d905438039531,False,False
23,refs/heads/master,8b0658bb05ec9c7646493f638bb3c3a53f863677,85c86eab33d0e92a00adb44f621e4f2e5474a620,946e67fec0aa8d9cdc5630849a7f7940f4c47fa8,,True,64,0.0,Tests_failed,5d71ca33a41a2bb8ec89734226350ae4d6cc7bc1889342f868246f1863a63a7d,False,0.0,Tests_failed,af2764074e817cea0cb480256ca5fb7ad1753612285b00d771d38617a887b137,False,False
24,refs/heads/master,b482f371190ba190ecd276adf2e054b56ab8fcfd,e1920baa8e580b19184da26b6bdda47399b8941e,b7203c25ac856b880b1dce522e627c064766b74b,,True,68,0.0,Tests_failed,048dff3b5939f8e6e1d1f695bde310e7a224a67e9775ed48d1c9ee8344cfd1ea,False,0.0,Tests_failed,8250d8011e06c62ed866590d096d8f5ddf10705e8b04908e5194ef3a8ec495b9,False,False
25,refs/heads/master,b02b00a0c532f61d3e5950e29d9cb32b7ab077b4,e88fde2c637f7561881658da21f099a9bf458980,4164428ae7059ada2e1025399c8f2baf1fe64af5,,True,166,0.0,Tests_failed,839124f94848e2da95fc7d53be9e5efe78089752666419613957ba4e02e41c6b,False,0.0,Tests_failed,bd9ed2e462597242b0a10f955aad7ae7c1c750c5285ac21529f6871d22397ad5,False,False
26,refs/heads/master,214218a98ffcdf5feee603e18a407cf81e229fa3,fb7f87b706bbfd4023537c4d0090d8cce4390cb2,abe84a82f4ddf9e7b532becdad70072fb0b464c9,,True,204,0.0,Tests_failed,e98e578d5a6d9dad66522af80804487b6ec84d73d12ea1c583233b291377ca39,False,0.0,Tests_failed,86f9f543ee41aba1e304e739b274d01872f5639f0d5045175dc85edca24bad5c,False,False
27,refs/heads/master,890ecd0bdb07d80650ee9df19efd535085970431,bd29f82198c11fa6e8b42486d36e7c3e476bfe64,abe84a82f4ddf9e7b532becdad70072fb0b464c9,,True,186,0.0,Tests_failed,8e394f1854cde6b05527bd81d4718b96bd1337b284e7c043d71e89a2026c6f32,False,0.0,Tests_failed,86f9f543ee41aba1e304e739b274d01872f5639f0d5045175dc85edca24bad5c,False,False
28,refs/heads/master,fb7f87b706bbfd4023537c4d0090d8cce4390cb2,d235eb4c62a98e2913c96518815a78ec9f10eb42,8b2e9492e09d52619b75d44fb95c24d188c49059,,True,140,0.0,Tests_failed,e98e578d5a6d9dad66522af80804487b6ec84d73d12ea1c583233b291377ca39,False,0.0,Tests_failed,cefd12d5d2f4502b3eda4145eeee0590e89df8f5ca057d6cd1189dff18d21a9d,False,False
29,refs/heads/master,72d48bc705fe614f40babf30b4bd115cf2c933c5,cb2ddbaa5cdc1cff57abbf6d64f7cfc888088a4b,dfd4016f3445693bb56893a70059c711bbb252db,,False,2,,,,,,,,False,False
30,refs/heads/master,66cc39c22e72cea7f21a6f67d1837a86a1fb0887,a5dfbec4a9c7acf9fd6aa4d8f0dcc98fe73c5991,7d6ac82c5b6e0e08b1b5709ccff15a01912f2702,,True,160,0.0,Tests_failed,346c60f6413df650300f93500c166a0fc4075277717e9eeb0146842594f7a286,False,0.0,Tests_failed,55b79119adc2dc1cbd2e9a079f292cd7b68ae3217ecabcebfcc813d1af70a898,False,False
31,refs/heads/master,54eea639303ac9b01359012ec8658d714ba2c6ba,2fd14fb5dd37745ff076c6577a236572f27de0e2,eec8b3dc5ea0e25f95b60075dd36ae7823e179f5,,False,93,,,,,,,,False,False
