idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing
2,refs/heads/master,3b80dc9ed27ded5e5674e277018b02e92d8abd1f,c0e6ef5180b93052869a773004282ea9601f3c8a,c07f968e099d963eed195c7608487c8515393657,,,,,,,False,False,False
5,refs/heads/master,e5b62eea5073c7debef0359cf5094df3b01d2de9,bd081428ba323450f3c906df420055507d57b564,7bc9d9b0241b89af73d6cca4cd39df3309597f60,,05853d808028fb31f7cf7e746ba67aaf6df29847e6f1653bdebd477070ff4229,Tests_passed,d5a08abbde1264ff89e17fd06770a0b92a75574caedea2f3bac08ffcf1946b18,Tests_passed,True,True,True,True
8,refs/heads/master,8cbb418329ca317f3715649a82aeb490c7223b24,1bbc3d24b44c3faea43f79ddf3709d39ab59f1d6,fe479a2b955df68f7f1868c04c7a7331f14a6e62,,,,,,,False,False,False
9,refs/heads/master,1bbc3d24b44c3faea43f79ddf3709d39ab59f1d6,1866b8574bcf3574453c29ce269712ae1e05e234,a124cdb59d88b1b391ca3a7a24ede7ff473a908d,,,,,,,False,False,False
10,refs/heads/master,fe479a2b955df68f7f1868c04c7a7331f14a6e62,1866b8574bcf3574453c29ce269712ae1e05e234,a124cdb59d88b1b391ca3a7a24ede7ff473a908d,,,,,,,False,False,False
14,refs/heads/master,64effb2605dd0c147b8b79e6ad74fbca4b4ca872,52ad899dd98525779dde583a1edbef69ebae8b39,e2ef70b5cf9857351c322c37a33457676b942baa,,,,,,,False,False,False
18,refs/heads/master,b983d504fcaad9e03e76a845732f6cf0ea2d171e,2bde154a49b359191bf39a1ab1375e0483fd2a1f,8b384b44734e12b60818f46354865b79957c06eb,,0a3345d7ec08c58745c86902c6a5be45bc5beb10b40ac191810edb9fc4c607dd,Tests_passed,26cdc5ee00b29bf3393e76de0a469fbf155fadba782781165020ceb3dadbe1ee,Tests_passed,True,True,True,True
20,refs/heads/master,2bde154a49b359191bf39a1ab1375e0483fd2a1f,467ca3f07d0bd311c9abeb95a32237a6b33a3dcd,a0bb6fe838f7af2b3277439d6605ad87ecd42d8d,,a897aad437904d3a7a0d288a80029ce079de359cae2d0b85b10b8c6beb1b54ca,Tests_passed,6c7452747d2d1b6edc14d6b830dbd694fab5c12122b40e80920bce479aaa8f25,Tests_passed,True,True,True,True
21,refs/heads/master,4b9b26190b219905c51d42b5ad93101cfcbc3aa3,f9f934479e5496b51ce5455bf5dd5c8c7b2e60a9,a0bb6fe838f7af2b3277439d6605ad87ecd42d8d,,32284f9b95870c83c68ac5200a05d48e466c5b070d0a5cba36a59285c263245d,Tests_passed,6c7452747d2d1b6edc14d6b830dbd694fab5c12122b40e80920bce479aaa8f25,Tests_passed,True,True,True,True
25,refs/heads/master,601ab7757c130ef622a08dca213fa5739210a31a,2f725c7ba5d85d9fa0f07196d6c9bb6a7415262d,304a5960f59259c9725cb00340dee8e370f005fd,,afceffe093a277ef6729376dcca46039dcb9b02a1dd2b948cddbc9d5080a3f8c,Tests_passed,131d5244f7d0d21439fbe1b4ec89320e46e4cc8cfe211025cb35eb7119003a12,Tests_passed,True,True,True,True
34,refs/heads/master,7584bb2fd0b5132c03bb85d5733190c5d27c310e,8741c03821b6d3421c1c9fee0e713153d9524dad,cb63c76ae8ed6f3119b63a543463aa3845d4118b,,96defe946bb7f415689e949a4aab549ea1de19657ee9e44353b03c51fbbf5cc6,Tests_passed,2291a47180e2f3583ce05b58b9bab5a24ce4bd29d552b92c8a5d655eba2e979a,Tests_passed,True,True,True,True
36,refs/heads/master,2f725c7ba5d85d9fa0f07196d6c9bb6a7415262d,84f422b13eab8c609ec9533aea61813fa7225c1f,6d8f90fac0de1fbfe7872e531d3589062a89d80b,,dd0d94f14b67a94a165c60938487820fe1e2530757543ddaa5a8447c3723cd32,Tests_passed,afceffe093a277ef6729376dcca46039dcb9b02a1dd2b948cddbc9d5080a3f8c,Tests_passed,True,True,True,True
40,refs/heads/master,80b74fff3262f1061a16c937d4691b144be73a2c,28c50a080cca915ba3a406aac654f67d9ed08b20,40b5eab7671b1426b929ccd07652d5ccefbc3ba8,,9c4c23f1c8969c7d43ee238bcb75c6284d47f33c166662512b9811b858fa93ca,Tests_passed,8ef5599087cdb10c18c02778e4bde243fb23c9b6012d4b3b4a88dbf1aeb7c8b9,Tests_passed,True,True,True,True
