idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
1,refs/heads/master,527e238ddf7b25402927371510f22e9a01ac8750,3d8ed54a7eb32de45b50b57cfe2975f58212f9ed,688514ce6ee363c40f3f7afd8946e6b84eb3ff5b,,True,True,797e25d8ac159c1996acae92a69eb46b6f0ead3fe804f691d6b3b305e3b6ddad,Tests_passed,02b38fd2fadecdeee51c74fab5982924939ecddd2815a44d1e8331e9638832b0,Tests_passed,True,True
3,refs/heads/master,6b6b0e6d78929cedc8876397bf9c5a8725932b6d,b892f8d03d31c50dff5afab9593114da8e1add63,99b64dc11acbae89c0b69635bdb33da7b5b524c2,,False,True,ab4286d429982aeb3905b5aacbf9eece75724ef3fa424fc71ade0f6db571604d,Tests_passed,26f823311875ae1c55ba4d100d70295008f21f322f36dcee03f3da7a5f36c780,Tests_failed,False,False
6,refs/heads/master,a984d218870ad65e57285bfe39e91aeeb34ef603,bbdeb52b9b2a9da7c35592621cf28a3ba0c770aa,d960807e0386c83c0ede169fdbc6c2782bc8f9eb,,False,True,9b0d804fcd05e8ebbfe98ea221cadd0012b3498045845220bbac034129835404,Tests_failed,ae98626ae9453bce6e80814659a9f09885838d3083c4086e1883cd4bb3a56fa8,Tests_failed,False,False
7,refs/heads/master,00077d3fa88ac923694a0e3b46f60fbad8c47d09,9fcf8664d3a8eabac645959ec5897bc95cae34c8,be2b0d94eb59f7be3d95739d7177b379600d5cb7,,False,False,,,,,,False
8,refs/heads/master,9fcf8664d3a8eabac645959ec5897bc95cae34c8,1c9f0bc2ffaa5ba1ffa1bed8ecc129fb5263bd27,a46740ea60d906389c33163068360c56df7c6a51,,False,True,d44ce5fcaa5bdf0cba8922d25a33e1ae45495db9e9cc99554705a147b54659ab,Tests_failed,13f56486c52a2524f36035d183f5fd4b97940b3089c58ab616d7fbec36588b66,Tests_failed,False,False
10,refs/heads/master,4a8b96b44e4093ca868cd717f80b34e23ed61ce5,66921e074a7f4c97e352aea69dfa28e4b8a81e4a,905649ab4bccb2538a3420b0e9f3985576d76e14,,False,True,d255f328dec72e192c665b7eaee25582607585b98b6b25516673f6d33eaaf387,Tests_failed,a19cbc306d031b97c65a44ed127bfdb08a6019d5ec7b35836ec0bc8030c8924e,Tests_failed,False,False
13,refs/heads/master,24012a2df831c5e3248793b26ae0c85b8061fa60,8e352ceebf889e346ec305c78e7990d59168468e,36d7355b26d29f6bfba02ff75ec9f804c1cf7fa2,,False,False,,,,,,False
14,refs/heads/master,40229e7ca366ebac937f610901ad58921db799f2,33f0f08ce4824cd306ef285ff0442a6f61ee4373,6e7b112eb5fc18692d80c92f693b4d311cf33e6e,,False,True,fff8a6a4b18d1221bc22a56468a03eaef365aac7549275acf0de358a7ffa1467,Tests_failed,10cff5b6e316add9c0ff9083f3a9ad143479a44b6755aac1ca377c6f9e91db88,Tests_failed,False,False
15,refs/heads/master,8c59400c2fe3633f3261351696bcc9e6af1276e1,2c92988fa3d144764eadda8e2c57272592885aa3,0fefecaf26447f59754facd5137fc71654bf5ab3,,False,False,,,,,,False
16,refs/heads/master,939469d26424386ea9dbf4952a5e04a0996e96d3,55dd04a5db741ae1fed30232dbf9f4ecb7ebebf7,28143b0dcfccc60d6573299ffdf8f5026e94cfc4,,False,True,147ec448f371a136297d529b6cfc0f1b617c780a3a25618d90b179058a02f869,Tests_failed,2d320085be453d0c6b2b25fc2cb23e2939874347d65bf3a7afd2a8b2647eec74,Tests_failed,False,False
