idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing
1,refs/heads/master,9fe6c56a7a157dba1a12018f696bad56806125b7,e38b33a2cab617e2c8557e7da4581487e16c4b1c,5d087eb5fdddbe4dcbd87d86225395d41ff9bb94,,,,,,,False,False,False
2,refs/heads/master,e38b33a2cab617e2c8557e7da4581487e16c4b1c,1cf6fd5ad759b20c3c039aea5746a0481e7dee3f,9ba20913c277bb67940ce4f020e6311733b01727,,,,,,,False,False,False
3,refs/heads/master,c6c5a5b39fb685d9ab185907be15dab445d5a366,71a994aa7e2e30bd6f07c44cbd61502a4041e8c4,89de569aeec5f0d54358b1d2bffd19d2b83dedc4,,,,,,,False,False,False
4,refs/heads/master,71a994aa7e2e30bd6f07c44cbd61502a4041e8c4,e0babc528ae0c518c2389bd06c1789b4ded9c6d1,4e109b459e3f46c308f594e10413ae844bf9cd3a,,,,,,,False,False,False
7,refs/heads/master,b8beceaeb6b7bd9204cd037bf75da777a9b535b9,630a387b2bee539b487e62e0ef7a17368a446046,fd62d661423d62f012822b45b32e61608c7f880f,,8e513b30586ed0ec2770862203d290c10fb7dbd2d721b43baeea12efd7e78560,Tests_passed,eebc4a92e3ec87d0eb2676ed84d1512d8527edde9ba48fbecd131c3c2fa759e2,Tests_passed,True,True,True,True
8,refs/heads/master,fda7c184dbc0f5fbd0eb10432c607778c3e5dd72,33be9ea3f953f076a74a8f412a31a9cd34186a55,709b341684d9e920572b93e27b018efb65fc20de,,b260a54dacbdab48a4ecf1ed60a6baeb0771d72122ddceb2e6f7bbd0c2c0aa1c,Tests_failed,b6ff060b29e90ebdbceeb053794d6add4e2a75f95adbaada7cf0b0fb328dc87f,Tests_failed,False,True,False,False
10,refs/heads/master,ac8fd271f85a8adee28bffb01bf892ddacbb66d3,0989f5097729cdfcfe91010095351bd233596880,e132f19c89ad735a3a75b173fb833acfdb6fbeb6,,2909cf287f63c0e1df62669d37d30422c96b6574758b32e9c9a96bbad1b04a4f,Tests_passed,9e873c54ac25d1e2ba614103167e71cdc676332aba6e100b028805bef8921e64,Tests_passed,True,True,True,True
12,refs/heads/master,a2a3b64d42aca3f69df89153750e03847ae70340,bcf17584ddb0250af41f8c581d2fe0d3854bf4ee,d9947843639f5287055f284f22cf9821262844f7,,5798e6b02a5f366fba1b1d388cbf96e17d5ce360155d627cb5c3eb6e3c85be4a,Tests_passed,81e185919978c0458448d50f0455c053b8ab773051ec6dd7402028e3bc278f1f,Tests_passed,True,True,True,True
13,refs/heads/master,c32c708d5a677526ba07fb0c61dd3c32794be23e,dd5e8b88c39d29573d83340d32e302a7375a69c3,a7b001cc1f24413e4793dab275e7af8fe6769d49,,79109230ace60286ad77f37bfacb355890e36aa8a56697f1d23f5638fe26a51a,Tests_failed,706a0c8cfc86631b7ef0d49a6636fec22696d2867a5183b6729e22422ee74622,Tests_failed,False,True,False,False
14,refs/heads/master,e29f5c6b1ab5e38a2012029308f8362c6759bbb1,f875fbefdc6c7044c1e03017c5dc2e720d3c2d36,6ba46ff20a4b3f101dc0f6c84c8951013748027f,,cbcfd1b5d1768984146e1fb4f04192282db26c45fcf5aa5d1181ca3d3a2764fe,Tests_failed,61e4183dc0b20ddb84c55ebd0dd8732706830f3565b401a1109f9f5cc374a0ee,Tests_failed,False,True,False,False
