idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
2,refs/heads/main,1d5b43ba5a791c3703c4a2410f6a594c42739aa3,be25d7126f2ecd5ab94b827dc04a31e324946de8,b6c28cd9066a2dfd25d3c6c3c454108a6d2b9089,,True,True,9e2d91111c54de012b01836e1b9cb65e668651c44523cf5f673d5e4ad680d8bc,Tests_passed,e61b5163c9399000e84879a7a4664019ec86957b8be6d7d6c47d2eb319db0e2a,Tests_passed,True,True
3,refs/heads/main,0e4b997fd0a32b56066fba37f17a7492374644b4,2923e4aa77d9be783de6e352fe62eb7e95ff17d4,5ca94d3ebed480826c5cea043e312d6273c45ca1,,False,True,e632f75bbb362f0152b17cbd70edeb546c822d3becc81c75f6cc8099c6204ebd,Tests_failed,24b08bf7d76d9795e291a6f9c5548a6bc6797ebef3fb4a6f2b527c6cf631f2b5,Tests_failed,False,False
5,refs/heads/main,6eba28d0758207ff7de939c1154175f2f77d5294,0c467556f4871781541c1a2ecf091f9de612c66e,eaae992891192b325e5713e85180766dfd9a34fa,,True,True,3cbbed14653327f8a0900de371c3ffa64927dec6cea2db50eeabc9a3df8fad2d,Tests_passed,8a6511fe245cd446aff93bc2c4974d9b027af0c15d78e379fff5fbfd2a46245e,Tests_passed,True,True
6,refs/heads/main,2c657cc7840c3a0fdad9373cb2a3ea7f80ef201a,8b807ea199b0d8092049b7f19225371e34b22ba8,04216a1bf3d2871580266a427e2e07bd1c6106f4,,True,True,59c462a2dcc00fd0c33ddac67821521bba28e4cb96d4b679a1248863d35383d7,Tests_passed,d1b03607517e447e3e109d82fdd31e614b0782a3ef6d2d58db31190e39dc2862,Tests_passed,True,False
7,refs/heads/main,f1e58301e4c6890bb45083c4344ca5c9c3ca56c0,c42deedaae94785ac29884e50d0620c3bd4c4f08,191fd401b4d7899395b018d124b217c03a016e86,,True,True,fac77f79c471e96d293a0f9dabb68116b940d1bc0f8dc077b126f35e35dce4d4,Tests_passed,59b3f5eb41f5d7f37948f9be0a90e7add7604c19bd2bf448bd161ecb8d3affd1,Tests_passed,True,False
8,refs/heads/main,09b1c42858872cc8674fc11fad6663ef32f0de22,9ca59d6739e8fa9fb4848c2c027a30442cf9aa42,d9afba000cbbb1d5870a40d30da359f629f2b875,,True,True,7eb83b33a4eac2e1a9d357d78de39d1d912230f1eca5cf2125a4b76efa5b87fa,Tests_passed,506e3fdbe7738415d48d9d9fd4f18a1fc4a70e65e1943522c8095079814cec2f,Tests_passed,True,True
9,refs/heads/main,099972252a1613eb07aeff152bf6d7fc31fbee24,a82704c6382ea8a6a3854228ab5d82bc8608a446,f7dced7d3f19bd8ec1132f8e5d864586d9a825da,,True,True,02e657848c74d8bcf1a62f3985be70b81663e7af0cf5aca359a6b06bc7fa0ccf,Tests_passed,a7800598fcdfd15993cd4f5533de5928691bdd74635bb88d31c1e9b6e49fdb5f,Tests_passed,True,True
10,refs/heads/main,dd5cef3626204f46fae2fa3b03c8418430bec3a4,88f7d54a8767a5786dc6de5072ee04c2258f4705,db6d2abd6ff131b413497a4089ba8f9b6bbf383b,,True,True,1f0dbc97dfb5fbf23c91cd2b9018187e0dff8c8d48bf3c07417f271ea83d4720,Tests_passed,2bf8b2f5f91eaba38f8da25402df70b3b37181fb762935a3b62859f21e308ae9,Tests_passed,True,True
13,refs/heads/main,5af3af37d838479afe6b636b70c40a482c01c115,7c5a4f961686ced4bdfd63288892656e4ada0ae6,833f7eda47088b4be3a1c20af8e41c47f1e629c1,,True,True,087490b19dbce7754b1e1a4e742aa2e7a7ac4dea83695efd3f40717e7a5db74a,Tests_passed,fd3c674733b36316c41fbb1f918acfdd6596835e18d1d02cfa34e57f07ba1230,Tests_passed,True,True
16,refs/heads/main,d39181737f2a850ec10da1a00a936d56355ed0c8,7ef581bd0542c9d98b6ada703842671175936aa1,8801dbeebbf19493916eb6cca7d49a56536bee29,,True,True,200085ea0a61992d796272b7c2d7b9162381e6fd9ca64fc83aa55d78dfcc757b,Tests_passed,aaf90ac1615a12fc698883fdba0509e617d46571546f1ead2a551d658ab2193d,Tests_passed,True,True
