idx,branch_name,merge,left,right,notes,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,diff_size,diff_contains_java_file,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass,test merge
5,refs/heads/main,87eccc93001f49621be030b6fcc229807f13f7b6,5bb181e305edbc23c783279dd97ab6008d644616,9e8265330262113a4313a83ac6ca7dafb89735c8,,False,,,6,False,,,,,,False
26,refs/heads/main,b6d859b7f3ad1383c15ebc6eeacfee9da688b426,b43c65fb9a97686fe1dfdad2854b408f0b41ff50,8dd2f36c255fb9a8034905b3633fd7e4ed4c1d73,,False,b7f35549d8954ea59a3dc4142746ad14ac55fc237984ef44ad9f41c3736b5cb7,c2af5d605f24d1b92362ff54385296730e3e1fef76efca2775673172a5a40b83,6013,True,Tests_failed,0.0,Tests_failed,0.0,False,False
28,refs/heads/main,b799f7c86c4fae1a4ef232a3704ed4bf7cc7bcc0,091647cf6c944f074f0433e921b206935b0eb413,c9ded58eb6e120c510a49be0bfcdf0bf6121142f,,False,253a1bd32328bab4ce1462eacca2385c0498f4309c78920cc15285f4729d392c,8b8e13c41f89c462a9b434ad1daf0586fa1d1ee92fcdf7c8c4ea238c3b3099c9,6013,True,Tests_failed,0.0,Tests_failed,0.0,False,False
29,refs/heads/main,091647cf6c944f074f0433e921b206935b0eb413,2b0f14f6b690b099ec6da2045264c18823aa0541,2e0cc42d91e0f0e5ca34ed58d202b685c0088025,,False,c872d0777c5ccaffc09a415ae3ef76f6a4e7e94f6b3ec6d5899c6b79b128a955,1ff9ebd031ad39055a53a62b111d0e9678794214b2ef59d820ded94097a94d27,6013,True,Tests_failed,0.0,Tests_failed,0.0,False,False
31,refs/heads/main,2b0f14f6b690b099ec6da2045264c18823aa0541,139d96925cc8b3174d3f38afad6690518d599329,7e3d272cacd4746ae37d20ad36bd2647d54f0e21,,False,c872d0777c5ccaffc09a415ae3ef76f6a4e7e94f6b3ec6d5899c6b79b128a955,3b54d01748372b3d3a8be933d5940051c000f0d25cf60f77ea83c15106f0473a,6013,True,Tests_failed,0.0,Tests_failed,0.0,False,False
34,refs/heads/main,285e527367e7466e49d6eb0ffbb7e04d8575cea0,3cea48562659076504883df07192bd8ce4e66ebf,c33cc80fc26b87af7ea212920644ed93ad684830,,False,,,11,False,,,,,,False
41,refs/heads/main,f5ea0ae76339d503d5cff3cff31c12519544b8d0,953f2a335917ea7fc34d962c26d0e850569a040e,fb3626d73455e2e6fe2453963e0eb849aabfae9e,,False,,,62,False,,,,,,False
52,refs/heads/main,0a0bee036cc765e80d08e37ad22e6629c01cc33c,89051d2710a708130182ed023528b479b30ca729,7db4bd777057dacd7c098c79a9c71dcc74e1c453,,False,d6b5062decc13aa90f2e4b0711da05033a2f4061d54840aa1dcf3b669335f775,b98f6b91f401aeed006c781d14c4ecef85875d79f24f7bf4fdc81698f43b20a6,11,True,Tests_failed,0.0,Tests_failed,0.0,False,False
54,refs/heads/main,bd73ced77271c35b5e7d492edeee7ad06395f2e8,305395e570a00f20c3452d92f32838e7787e436d,4b7c3bfbc3293f0ed4794f002f43f81c5a15d83f,,False,7081fa76e755b2a12cb720f43f4634f9b0937b47cf79403b886c555ec761843e,c424bca12348010390b4a0dc55e346500065aded1afe9a59b846ee674d10abfd,20,True,Tests_failed,0.0,Tests_failed,0.0,False,False
55,refs/heads/main,f830688d8807023034703bdedecefbf8d5b14418,9afd85ae05b60e49a85e201b18c8790213b2220f,4a410a1c0c2acb0f5569d5f443bb632b458d8720,,False,,,20,False,,,,,,False
56,refs/heads/main,0ec2d993ffb85dac7603ae68aa3515d8d9600a05,31530c56a55415199db0b1c000aa8f312c4a6a8c,f5f5844062a17d57ce60d29cf1a298b0a93f9250,,False,,,45,False,,,,,,False
57,refs/heads/main,31530c56a55415199db0b1c000aa8f312c4a6a8c,9c20d00558936bf677d924ea13f67e373209ba8f,0f474e9b39cb0d4313f2f4bd8f0284f7dca291b6,,False,,,26,False,,,,,,False
58,refs/heads/main,9c20d00558936bf677d924ea13f67e373209ba8f,d2067a49222a8915c08ce01c830744f067989638,7c5c46dc164fdb84116a48b5d30b7286abea3ae8,,False,,,2,False,,,,,,False
59,refs/heads/main,a8c9441112bce3993e6b0155941360ba5e97c208,a84db2078cd2ee36b0400000f82bf690c84f6724,da3547426a82544f30865148259139f1d3e30d71,,False,34cf601a62944cd3a964d37321221f76469b531f1dd3121cbdeb208558ae9aa7,3523339258ba02a8425258a183a66a6c095b4d2ad28d1b9d44dd8d9952659d3d,129,True,Tests_failed,0.0,Tests_failed,0.0,False,False
60,refs/heads/main,47dbbd7e309911a86f50ef9026ea9370035dd0e6,6418b684c960beb2a8906d3a998190b4f8a6ba5b,e867dff4f32a9e7fbfe801e72c08f61edb471e7d,,False,5517429bb82e30a28653a59735a30f4821dc88a1800f1ef34193447bea2d76ed,5f1a86c1580e2ca1deba02b3ad06cf30f3ffa3a8bb0d66824895180b196c7f18,120,True,Tests_failed,0.0,Tests_failed,0.0,False,False
61,refs/heads/main,6418b684c960beb2a8906d3a998190b4f8a6ba5b,0f1e9027088d325429a124d25e1d5a6e8c16bb9f,258bb05bf677b2b55282e2658fd068d0ad7426e1,,False,d880fe885e38ba5a80139183ca3ace0591e8ae8bed86525c76fe74654b1ec5f1,e7931c2ea55d295b929227678066c40c43569238348cda173c8cf5ecfc9c8725,524,True,Tests_failed,0.0,Tests_failed,0.0,False,False
62,refs/heads/main,0f1e9027088d325429a124d25e1d5a6e8c16bb9f,8f5a207d65f92143e3e34682b9c8dcd5e1f7fa64,f461c1642b4d4218b8789bd56b776f51ca39f3b8,,False,fdd133e4b9a1ef0af375033a67bd85ffca6f4bd4a26abea5db6cfa6c3f7aae2a,5dded68c075a3b3c6fe85a22a39130c80e32cdbd2f62d17db5711c8a3cb86893,343,True,Tests_failed,0.0,Tests_failed,0.0,False,False
63,refs/heads/main,d75dffc81c0f34a28c80d0092d631b2a2b8c3580,76ebb6249bff117e6ff064a050ffcbc968ced230,49d5d57735a41c8e32d776e588653e20849ff172,,False,5f093e8c95d2e863d7332b72bfc21c1ed00892c5f5bd30675a2c10cdc85dfbff,bd4688037cf81c0af6ee2c13a4e56d470ca51018daad694d8a72ac7ba2535bbf,36,True,Tests_failed,0.0,Tests_failed,0.0,False,False
64,refs/heads/main,76ebb6249bff117e6ff064a050ffcbc968ced230,c63fc87e090f22a6517ded7d5c538779722daa0e,2307cbc50f3a9cde9bc00c71966e74ddf18bb595,,False,e1906c3f76ec51a0328a7f1e3d95744cf87005a876bcb16781ee0c9179be0943,58a0ad7dbeedac9de28a5b22c2582896aeb7bca09502930971e5eaf703a6652a,40,True,Tests_failed,0.0,Tests_failed,0.0,False,False
65,refs/heads/main,c63fc87e090f22a6517ded7d5c538779722daa0e,455f124987fe5b06eabb8d231bc823f0b2270ede,284cf15ce341194fb050a136f89f6b539390b23b,,False,7743912296a76b63680e8617ba590745e48038411959f873a5b3a0e829eb7fc3,60fede85080cdb669fe11b2848e073b645177871da48ba1ed8fae1216f95c4af,54,True,Tests_failed,0.0,Tests_failed,0.0,False,False
66,refs/heads/main,455f124987fe5b06eabb8d231bc823f0b2270ede,82477f274174e9013269cac7bf4745e626baf574,331a8130d7ad84238e7d3dde659d8a2853c3580d,,False,71abce17c13c6a7dbb55dff0142cdc69114a84070b0e940e1615a6bd82902025,85abf5556f8526bae2cfe4d9fd2e92d1285430f7dd295d9d6009bf0be15d70b6,223,True,Tests_failed,0.0,Tests_failed,0.0,False,False
67,refs/heads/main,73492a420b70b0a743877aeaa4c463bd973925d8,d273fe8e64b7105c78d5e9df258dadcbd730c9f6,faecea2da612c932abce614eef33bd34957d6a25,,False,,,181,False,,,,,,False
68,refs/heads/main,2ccd8a34da3d0f4193e672e4e361280c1ac423a8,864252ecd96b59f3e1ab78be5fb21bd90cc5c5e9,836098f087a3325c25bf7b5d6eb31eb8316ad9ec,,False,7eebe18b065cc1545f8880d908ccf0419c4cd3bc03d1a99f6a10be1e8817b3d7,aaaec0e735b399821d8ed38ffe76ab5a7fb4cc12d1c7c7f61e9c42ace88b3b89,13,True,Tests_failed,0.0,Tests_failed,0.0,False,False
69,refs/heads/main,0c62048331ac6ac66825eb640259847527cd385f,c51b28e90b1c32da89b72f67426011faa4c05902,627326566459d9f5500631370f680389f762cce0,,False,,,6,False,,,,,,False
70,refs/heads/main,c3ce6289cc8cbadca3d2c78bfa760711a98ea34c,462a4e20df5ac2b4579f05567793529e81360d8a,97a279ceeb3792a53a25afc19f8421d003c6a170,,False,6f59630f3b228370edbf593fc012884967992d16f703e855c4acf93a80304d0f,e4fb6a2ad4d7c980948a275b2b445685fb0009cc25e5383256958d0b4e015726,2,True,Tests_failed,0.0,Tests_failed,0.0,False,False
71,refs/heads/main,404070a9112001eb5fc2360c0475431009e0215a,52cc40b2ba3117397fd68893334aade7a9e7ad73,c7f742fb1392d674497d11c1e66fe2fba1d439d7,,False,db0afe9db6c611eae1d4def64f4e901d39e243821b02be744b234d0259481e03,ab8a2eeb9bedd8e2fff3cbbc005b62c1445f4295eeb860c7e34208935bd6fa46,245,True,Tests_failed,0.0,Tests_failed,0.0,False,False
72,refs/heads/main,037b318c0e447622114f70b7f0dad722380703c0,ce2ab9222ec2f51acee8542c8516ed86a6a65224,a4cee18ceef61c755e42965b238bc5d29ba07a39,,False,a073f4bb9c7dc9bab4142fd1e4112ef073604a021e0925a8446b2ad336f699a9,7ed18362fbd20b4b11ec39c1b695c910607ec709fe540434b0f12228a33e9c3f,60,True,Tests_failed,0.0,Tests_failed,0.0,False,False
73,refs/heads/main,d0ae9e47dabcf7690d0a4f236171b18d2eacb21b,a75c2deb8cfb8962968d4390023b1aa9c43f7ce2,6003c1828f2978c7d97b5a6ed853e794380bae7d,,False,,,67,False,,,,,,False
75,refs/remotes/origin/pull/6,a249afa71364d3864e743f5b22d6449a147c97cb,c0b4030a54a92b9a9cfe8d7ac42f1e7ad12647f7,c51b28e90b1c32da89b72f67426011faa4c05902,,False,,,16,False,,,,,,False
