idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,sampled for testing,test merge
2,refs/heads/master,2c5431ffe9749d6ade89f158a816e550a15f0bbf,19e8357b1343a766696f0bf3e7acf73641b05fdb,e94a5665807dae24d4d59f9dc6ce47acc8224aa6,,False,23,,,,,,,,False,False
3,refs/heads/master,a5346303bfadb551403293fea5335a890f938597,2ca3bd815efc13b9060462513af261cc04dea31b,6f84ef44776a2463a0859073df800cc1fa622e5f,,False,30,,,,,,,,False,False
8,refs/heads/master,2387d770a9f31de63d58f1f8f61a35a389e57f1f,d504bc02bd796d27bf86838a8eb78480997a4ff0,4827dd4f92814fae6c69198a0bd099a04310700a,,True,56,0.0,Tests_failed,7200fca86d07f5bd2e38a54f24fd4e6bcb3c7db4209ec45cb5be7ce9d2bc6ee4,False,0.0,Tests_failed,b20da7f70d51f78ec7f0b3ae909b429f35fb19009a2a7e3d9feeaeaebe3f6bff,False,False
15,refs/heads/master,2ba32b9216d90de1556c44858f65b7a99377035d,d0f33dd0a1ffb7ad4e86e6fb98ba92a0d82d2b31,9b5c87efa4a61db945be977c477398eeec9054fa,,False,21,,,,,,,,False,False
17,refs/heads/master,7494727ec6cb18aa32fe76d9570985c0e32cc9c5,3d302ffb5dc64bd2bc2ff9f3361fb7c211d8ee65,ac0d67747fcd636a3d9a36490b2293c8cbd5f234,,False,5,,,,,,,,False,False
19,refs/heads/master,012bdcec022cad31e295aa12e1b0fde397131624,72554e367d998a9aa320c9a8c7e5870f11b45022,828a460143241c215a7156af26955c239b7c6fd5,,True,60,0.0,Tests_failed,e8af54fb4e0100fc3f617a2c65976ac0d3f01611d38b6a7514684ea0cff14f0c,False,0.0,Tests_failed,eb24690d25001e92e3da4024e7da0f91f2f6d8e09af6ddb2ca991b921c0abf70,False,False
20,refs/remotes/origin/pull/14,6a41be6409a85734a384640595a15ce2b1b0fbb5,ca1dfaf87d1a80faf259701861d2ea006ca1be33,418bd9bbc49ca1d29fb6b8512d11b4e152702311,,False,22,,,,,,,,False,False
22,refs/remotes/origin/pull/48,c18b77e6431ccdf086963ab61788acd6fddc28e3,185d6ebcd77c13e24a4046195063d27afa25f3ea,c3da4fa3e757e55ce78e3477d3e6f96b7ab865e2,,False,102,,,,,,,,False,False
23,refs/remotes/origin/pull/50,66b631f8a62f1de1a85f263ced7f7536a2b80b83,26e1cf4d2263a077d622d0bbc325ebbf09732cf9,c3da4fa3e757e55ce78e3477d3e6f96b7ab865e2,,False,100,,,,,,,,False,False
24,refs/remotes/origin/pull/69,e04f4fb325970d8ad9dbd5a053fab54e12fb5e26,1f8bd2bfc0b598a23e61362e1c78e51f07bec064,b204043190e096c4fe84eb52ffb5d69c7583351c,,False,14,,,,,,,,False,False
25,refs/remotes/origin/pull/69,f9b553128f16da48f7de0d892a3936e1db4dd710,c3d13510ee01733b82a81787768612afc5b76879,54a95c46dcc65cd42e9b0be63fe15e62c318cf18,,False,14,,,,,,,,False,False
26,refs/remotes/origin/pull/73,1b83e76b9746823f89b48506efbc043c0b42646f,e3731a6f6485dc93f46c48ddc81882b20bc54d5c,c3da4fa3e757e55ce78e3477d3e6f96b7ab865e2,,False,10,,,,,,,,False,False
