idx,branch_name,merge,left,right,notes,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,diff_size,diff_contains_java_file,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass,test merge
1,refs/heads/master,62e63401e3bea385a0373665a96dcc8474783c99,e23b9058e2e7a23247e700e59ae5c2ee9adb1420,c58db405a69e3e0bec25d5591552135b56674b05,,False,,,54,False,,,,,,False
4,refs/heads/master,2266cfcadd9491cea8c5eea1d7c08116ce35471d,4148ed2bc9f8fe8ea4b1595b905669d39b4dfa40,524b8648461b933e02d7e2a8e7f3cd91f9cc0da5,,True,fcaa257aca4e29b23958701e9570b2078ebdafa2a4d44423a64642742a312257,c8c9734bdea9c1796f2906014144d0e6d76f6fd044b8aec1515b9e8c42d04e05,49,True,Tests_passed,0.3651742859390983,Tests_passed,0.3597018514065881,True,True
5,refs/heads/master,4148ed2bc9f8fe8ea4b1595b905669d39b4dfa40,20bb445c835ea2ab1fd9bf330c26b8eb5fe7194c,e8df01867a880ecb3b2601833adf3332bc14f2c6,,True,d4f40564796338ce3dd48d5571eceff9b8113bd2bed77210a7fe74f594a3f8c2,c003ecc8e042994f8a0eb4213c1527cd50ab4748020f337a4f0c2fc959349706,34,True,Tests_passed,0.3629711228263435,Tests_passed,0.3575378696802115,True,True
8,refs/heads/master,425e18bded237e182199fd0623b977a91bb42236,6c47c3ed0771fe1c8bb05bf52fac40b8473d6a51,7d60fbbb3e82112d6bcc2276004279d88a24dcfb,,False,,,6,False,,,,,,False
10,refs/heads/master,f70885f5bff4d7e422de273d8ab9fb814248266d,e767ede9cd696eb657fc4734ade6a2157677c3c5,6022fea9e24930a40049024755d6301784a4f441,,True,cae83779d1d672c5c34738595fe5c51fa501efd07a72ef08e09ba8bee853b078,0e3f05b01137a53ebaffa0edcd75b66a4f72efe15cd2b9c339ad5210ffd5035c,143,True,Tests_passed,0.3530439121756487,Tests_passed,0.3714499875072874,True,True
11,refs/heads/master,e767ede9cd696eb657fc4734ade6a2157677c3c5,aacf74a29935bb7cddb087dc58cddec8f873dc06,39d000ef07723dcb6a396e320c7dc25cfb28597b,,True,80fb86d339a1440bc3b1c6b86c32c6890d933ca6ab4b3b6bc93a27491c67b496,2ee043a51e2297894683e3a5e6aab5e8cc9a949246afeb0a2e9b2e6262367972,120,True,Tests_passed,0.3566200931470392,Tests_passed,0.3699575371549893,True,True
13,refs/heads/master,696645d866ff681be52d083174e587fca73263b5,13dd90104844734fa11a7c7e5fb7fe1bdf50ab7a,58b7b8ad0931c1e731e94664b63ddf01b254b1fb,,True,a09e235aafe661fe4723cc0f0a2bbec099a0300672aaed2729236c9a2d1c798e,8eb8a5153d9436d48c014bf3bfe11a4d02aeef5dfb9bd866bb5f2a433a9ccc99,100,True,Tests_passed,0.3549031023870914,Tests_passed,0.3696036801132342,True,True
15,refs/heads/master,6b855a684bfdd1ac6017e676796f19709df2c5cf,0f64d5c29bc18cea7c0acd9d26a608e885573e9b,70d3c22fde3f0702543ed4c9c42b297767ae93c1,,True,f26f651fb9ed728ec4d055d926bc750d9998dd3411a44705a908666394d0197d,f3df443da15f5df1513b81bf638796f02409fb7379d9d2886d2c050ced6de18b,100,True,Tests_passed,0.3252661343978709,Tests_passed,0.3981432360742705,True,True
16,refs/heads/master,7bb445c9c69dc83f3976c48cbb7b184e49c97207,a9e75d562d54847da0c29d8a5e9e9dbfbf466f53,a01bc9927e852bfd96f2e1ef00edc287670803d5,,False,faa4924520d420ee2c6473842a99e6d7214a482be1a00722818e4824a985c5bd,b44b88edb8c5fe7cb885123194a1bd2a5ec32b5609aabc2b16a3e1246e23d6e7,131,True,Tests_passed,0.3699575371549893,Tests_failed,0.0,False,False
21,refs/heads/master,285148a2a3f2cd2295e61452a2549eccc65da592,5a2c965f8927c928d2bfc58dba82b004b29f78cc,437ab56e0f18b3b3060249b4d7f091992dde1925,,False,,,80,False,,,,,,False
