idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing
17,refs/heads/master,19ddeaa2c9d11e77d34ec03a255d8c3ae5c8697f,036dbb88143f55f081b6bbc3df783236f9e1d03b,2f0edad22000b1a07bf6563e0ec108f839fc165b,,cb854f22e75d70c39b8ac39731d7b453552d16444844ad699ce41ac636e24f63,Tests_failed,cef906cd3b5033d6a8e803861d5d6282e3aaa188d35b66b5a3d6cb3de15b9c47,Tests_failed,False,True,False,False
19,refs/heads/master,58d775969363246cad7b14bcaa68009e73eb7d66,f5e682b11f80abf44948f199846c17b411593613,de878331a54acdc720d305193ac50b371cad4c58,,ab67dfccb53c638f2763d8dc89394987c6b52bde63d4d94deccd11417de2b551,Tests_failed,faf95fc538834de5ccbc21ca9a995adeaf20da22594498a63cd8f206b412ac26,Tests_passed,False,True,False,False
20,refs/heads/master,f5e682b11f80abf44948f199846c17b411593613,eeda887e732365aa057f113d32f154024c8a2f99,349dfdf5ae9615f643435a12907b40515fdf3f29,,,,,,,False,False,False
23,refs/heads/master,aa09643d6954c8b2c3218d70cc72e2ecb4bc8de2,ef6bc8aea6b1e4c0626610e1ce82498f5aee4f29,713f171f35d83f010ca9f331905aa93426ba5757,,,,,,,False,False,False
28,refs/heads/master,3775c7e75c9ca322820856abcb041f5b9a82265d,89b009c3e3d75a50a329ff5dd2301a168ba5792b,a05910f76f1568791baee3356a9483817dcc9a32,,9b1987bf0fc93184a8a64c6952729e651b470cbdbf735b2f35da6bddc7889845,Tests_failed,6d96e9e3c8a6ba4f88816eaacfdeeca4a21fa02adedf2a3fa99164a2b8143b4c,Tests_failed,False,True,False,False
29,refs/heads/master,b1cbb329bdc6d64e55895f8cea5f37f73edbcce3,153eaa09d31648d3c22364158b16467c80f904f6,98be0eb7508b1a31f934a3f12582e6d377abf875,,,,,,,False,False,False
30,refs/heads/master,153eaa09d31648d3c22364158b16467c80f904f6,ab0c1e533572e003af2c3600b1bd8012de09e892,2bef9ead8913f62365290be690f91e3367acd9d5,,,,,,,False,False,False
37,refs/heads/master,ee43d9b5e72a1ae33a19357ba3de778296da1e16,0556bf6e3ab133d94abb285a6a94b1b8909b1cf2,f3972f79bdda8db593c158d9f42f00310203ac09,,,,,,,False,False,False
38,refs/heads/master,0556bf6e3ab133d94abb285a6a94b1b8909b1cf2,8be41031d3ef89d2d1b5434772d5a9197583e26a,e6ffd145e7c54dc6d990a0796403bd17d4b25136,,,,,,,False,False,False
40,refs/remotes/origin/pull/31,cce53f7059ab015c4b4139b036b4e1f03375f254,89e1521048f821bc495471ee9fc073faf40ee35b,349dfdf5ae9615f643435a12907b40515fdf3f29,,95973cdb9aaeef8b4aa6744b66840ab3d1b7f600a1b124b82ea682643931ea1f,Tests_failed,ab67dfccb53c638f2763d8dc89394987c6b52bde63d4d94deccd11417de2b551,Tests_failed,False,True,False,False
43,refs/remotes/origin/pull/46,53c18d53cef00ee3118c6dd79b3c697cbb340051,f5e682b11f80abf44948f199846c17b411593613,cce53f7059ab015c4b4139b036b4e1f03375f254,,ab67dfccb53c638f2763d8dc89394987c6b52bde63d4d94deccd11417de2b551,Tests_failed,bf19e3db451304590bd501bbeaf56857d3ce41866e6f1df62a66edf37e325cb1,Tests_passed,False,True,False,False
44,refs/remotes/origin/pull/64,f88e3e6c4fafd7edd265b4f0226d2333cef51b39,c4b1d8a8c78166a69f62213b45ee56cd09a1dab0,f0482d75baa696968008ca3408beb873cd803062,,,,,,,False,False,False
45,refs/remotes/origin/pull/64,0e10c3b723eebb4bd5f1295d35bcd89982f5f7e0,470dba9c84991d10560b2e559474a0ada62e9cd4,a6bbd08f5777671bc8557766b6bef85d3b477498,,,,,,,False,False,False
48,refs/remotes/origin/pull/64,34f4bc159b8e4fd2eb212aa1a2f446dcf91c2e2d,7c46528552005e39967ca05a025176210ad91a07,fda6119a58e2deb721e09186a6e587427110c3c7,,,,,,,False,False,False
51,refs/remotes/origin/pull/64,b2fb1b0740ef6e5d42b6b0dcb25d7956e8c0bacb,19b447491e523304aaf171db1b6a8f7b14133577,e464ca81382e3b7a3ffd1a2c9a814a5989dda5e5,,,,,,,False,False,False
52,refs/remotes/origin/pull/64,19b447491e523304aaf171db1b6a8f7b14133577,bdc4be77031c9e5805382d2fb965f7ae7ec0cd91,bae78ccc269d7006155b9dbddbeca1b830ec29f4,,,,,,,False,False,False
53,refs/remotes/origin/pull/64,bdc4be77031c9e5805382d2fb965f7ae7ec0cd91,6a1580eac276293baaaaef5d314e27ce56fbc875,8647c1e2c320ad76f1d5f2dc98aea3fed48eb4ec,,,,,,,False,False,False
55,refs/remotes/origin/pull/64,2595b1fa167069e0f88930361b45baa0be913eec,e6b34dffbfe894e3faf51162c0acef85bbf4edfe,a1015d4dfe7cba703bed8185e4625008dcf4ae9d,,,,,,,False,False,False
56,refs/remotes/origin/pull/64,e6b34dffbfe894e3faf51162c0acef85bbf4edfe,d8efefcef1f556a5eecdd416bc1ac5c8bb7f4d04,b824b7fe19af5787e2ff0ba70a7e5c5ec9b7466c,,,,,,,False,False,False
58,refs/remotes/origin/pull/64,fccaec095864a93cf7a51c2437535b57a45d91d1,241e2b80653b93eb4e9bb713f95928ef58a32842,0c656ceffd04f9a2fbfdaecf4f4afc2d28a19b9c,,,,,,,False,False,False
60,refs/remotes/origin/pull/64,0c7d33c32baa18068bccb601b63847eae1a80df8,c424b00c742f298c1e78dcbf8a433356dce532cc,4c0c654e1fbaa0226b8e6d40a8802a3175b1e53c,,,,,,,False,False,False
62,refs/remotes/origin/pull/64,0ec990ff22f2e738e8bc9ca5c8f2822322dcf130,ab09604f3b33460c0ea1431d7120c93edff2dbd8,bcc217562bee19e97f8aec429ac7d622566c8594,,,,,,,False,False,False
63,refs/remotes/origin/pull/64,ab09604f3b33460c0ea1431d7120c93edff2dbd8,c22a673e6e65688a49db093f90a4432fc8ce7e85,dc5bfa760fc460faf56c151593b9c337d60387d2,,,,,,,False,False,False
64,refs/remotes/origin/pull/64,c22a673e6e65688a49db093f90a4432fc8ce7e85,0fcd5bb53fc27f82467f163ae21ade68a0cc2349,fd8c0d256bfe3a9fc392337e398d7d7de0c238df,,,,,,,False,False,False
65,refs/remotes/origin/pull/64,0fcd5bb53fc27f82467f163ae21ade68a0cc2349,541d0752da5b72aa888d7a31e38b14a2b8744dce,a8ee2fcc9e97b0284321f5d0e5767edb28f79b3b,,,,,,,False,False,False
67,refs/remotes/origin/pull/64,722196f8990a122340a9646fe946dbecc49d5c84,c01abe46d03f0b58d35d52ad7825f9a0aae97133,44df53ac13cca24f9a2d16b9be48e38a0ddbb4fd,,,,,,,False,False,False
