idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,sampled for testing,test merge
1,refs/heads/master,099bcd4f895155ae1f97ccfd146540601ca0b44a,e6c1b65b2800761a84e7f50782ef67ab6ad0549c,7d22d25ca12d2939f2e78281d0dfc4af335036e5,,False,33,,,,,,,,False,False
2,refs/heads/master,5af7d8401fcc45a50d2cfaeb5c7dca8661b61fe7,1b15acdb1bad37f1a4d532eeb0b1bd927bcc9451,8b39e96769a36356b16d6deb2ae8a436f25d4b90,,False,7887,,,,,,,,False,False
3,refs/heads/master,1b15acdb1bad37f1a4d532eeb0b1bd927bcc9451,8a3b904c7aaf3caf530a675d7019851de5ddd18f,16c5397231c65c2de9f5361e5f06126e9dea2f3d,,False,7982,,,,,,,,False,False
7,refs/heads/master,e6dae92cd4c87841431cbdfeffa34a4e05f3a2d9,d4c91601649b26088348218596017088bd8f2c5e,9a27caa9a5e5d5075b0559e2b91a138dfcd941f9,,True,4773,0.0,Tests_passed,846f17401eeb20b1d6f452673bf0951d791de9a16c7202ba3162259b93bb2b54,True,0.0,Tests_passed,eefd921b5a64084a7e2d5a003b87067fc7a1f9824536e01ff83ae4b6e487ee4d,True,True
8,refs/heads/master,06aeaf637828b7168a5347a07e5d40f24acf8849,d9ee870ddfcf64e89bfbec372ba1da0ac34bb746,1c15ef7cf1f98c52f956898bdbcdb31fc1590d9d,,False,44,,,,,,,,False,False
10,refs/heads/master,8288c19034339d9c0c23012c910d99ab214f4bd1,89f222e0a01e78959270b4321d8c940cc83f251b,7d5338bb62b69dc492f7025ff0a69b4470379018,,True,6,0.0,Tests_passed,9769d7a6b49312dfe44b0acb703cd64ad71be556e88f63b65097f3f182054868,False,0.0,Tests_failed,834b43f4b1233b335f1d0fcd63dc06ac10d8adc314efd71a6234faf191227f1a,False,False
14,refs/heads/master,23ab5f4b28b30b0198878e6470c209a5c3242b8d,e31d489ea8ceafaa95405cc15cd8ef804069ef5e,caf9f6306ce423ad88da8feab1468a885d5fdac1,,False,26,,,,,,,,False,False
16,refs/heads/master,662c27a79ce26f2c0e481d00bf82a090659f4b36,230ba611c4fd9f2a6f8ab848b97154a5d05ccf3b,6e384fd19b1a5f8e96f2e0199a7d45b16714da13,,False,688,,,,,,,,False,False
17,refs/heads/master,230ba611c4fd9f2a6f8ab848b97154a5d05ccf3b,7bd2b19e51b47c26e141ae961ae4968d3ad90ff1,d64fb6da3df0ba3210bc60fce8e127eab3cda92e,,False,1662,,,,,,,,False,False
18,refs/heads/master,d64fb6da3df0ba3210bc60fce8e127eab3cda92e,3fdfdef88654e6a4caa57991c1878dcaef1c360a,7c63a027fd9474e9b013d5c064951dbd8e0a7981,,False,1623,,,,,,,,False,False
