idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,left parent test coverage,right_tree_fingerprint,right parent test result,right parent test coverage,parents pass,sampled for testing
7,refs/heads/master,a88eacf0a94efb50e0e81a1d3faab4a9638d3ff1,e5b0b335cc58c7d86bc4ab0de11c2c8f82f1bcf0,0ebe491206fc4165a21a551288f8bd8857118e0e,,False,True,72a567f736bfa7f5d25aa1fc446162476e1d4038ce9fe08f0f995765a6294a7e,Tests_failed,0.0,a06e00cddc8828c066dd2370485a69c1b599db1fe95e011acea0085199fc921f,Tests_failed,0.0,False,False
11,refs/heads/master,ad940dfbd9f0c81b30a2c0ed51113e4c05a604b6,8001da10f15c69118b9afbe92896685be761e2eb,4894387d983dd0e8a68bc8de1e05542b5d0194f9,,False,True,80b01f729a185c47edec5da759f4b301c47418387c0858614128546082d20568,Tests_failed,0.0,e532182268c24e42e994c71100c13864d0e11b26ba13f678b8cad75a593a29fd,Tests_failed,0.0,False,False
19,refs/heads/master,7b23a4c43523af82afa7b3d8904fdb6b1a079c77,c1f1fa90a9a39783876618c36eec9b833b944f91,b1725b7d33903327a41f6f79bc7d94f5ffcc2acf,,False,True,e8509ecb7eeb29c539b145270067c0936e2a3b0db2321b0765b744581fbaaf76,Tests_failed,0.0,08cd0f1a9048cdff617e779676df83bfa916e42171ba6a1a2178e8bb35cf7835,Tests_failed,0.0,False,False
24,refs/heads/master,2860d0e53c545b637939b2cfcc8e5a2ed70319d3,bd3fe1f18345d9639604b1a1a458de148c435aa1,d7a05901e02f52de4a9dfc44cb70ae2e499ad7d8,,False,True,904a57049d450dc3b0f2c7dbde3ca64a29591bf1afe339da1cfec134b44d97be,Tests_failed,0.0,a140f34df5fd1c40e097284ac5a1611ecd17ac7d438ed45fcc66f844dbdf7e80,Tests_failed,0.0,False,False
30,refs/heads/master,546fe4da67c7c7bb346a63af357cf661f6e952af,1456dc262d73dd7610528dfd091dffe3ed7bab13,9eac6d73a2a844791ecef25c9bbdd08635edf96f,,False,True,097e38ccc41700350d8330f90007d48b9e7f5928ea78fc2659677e1a510d3277,Tests_failed,0.0,ff2ef4efcf6e1f8b86d6d8df1dbf724ffdd0775c03d03968c91d7d750394f53f,Tests_failed,0.0,False,False
32,refs/heads/master,76481bc476a5390cc5eab38fb1ca9034f0ed06b9,a1c138b5b722c076becffd51b73f9a22c8ed0861,df426482bc57990c9139e0a32b034e281bc9024e,,False,True,1671bcff7a6c39dffb9db642a6ab514a25a45f4d69de8a6bd056598599c6c186,Tests_failed,0.0,1053c4bf465b405b2d6b3c9ba0ad4620ff1f1f069a430a5eb751ec49d6e17268,Tests_failed,0.0,False,False
35,refs/heads/master,e10804f0474a0d28ed7ce4b205e9940637185329,01a2cc68f4367817cd55ca1e3cdc57921a7399a9,cfb723868eeff538ebd60e282272070a22118e0a,,False,True,d4151c74f21b753b5415e2cee3a2f489011f45f0514cffa304ab508095c31d71,Tests_failed,0.0,118a0c5f03651f1c9aaf4470dbe56541479142848fdb62e693fd011546d60b37,Tests_failed,0.0,False,False
38,refs/heads/master,d0d7654ee1b3e6b40f6f051b37ca15c984ee6168,3f99e49dcb35e4d0da1a3f28c0c0e4cc0d1d36b0,25ae9525d0c9f942404ef1f133ab27d135e499ad,,False,True,f2605a1a22738ad014cf2aadd9ae22ff3023876652181e3e8cfd40e75485c325,Tests_failed,0.0,98301f65de98709404584c713afdfa00d04c05bf84f61f0392a85d793f37fa60,Tests_failed,0.0,False,False
44,refs/heads/master,67ce1f47c7e559fb636cf7c5a1cd2d5950990156,4fe56fd4edcf943782879023483284ab8ad08c65,437e709c46d7df7a13e84ef31ee5bbaef739528b,,False,False,,,,,,,,False
46,refs/heads/master,9c328286c39422851ef6fdeb2281564070c25d43,33a922331a6d206a3c67186092b0520f60534757,4dd9cd3a73ca8c54d385185bc357e34b7e387ee5,,False,True,26a1b9e46fc8ca121ed7901bf2edb74af21678c64325e77a6eddbee5397bc7e1,Tests_failed,0.0,e643f56adad8b50ac989f45f1a1281847455344443e1079dee32019b2a6b56dc,Tests_failed,0.0,False,False
47,refs/heads/master,4dd9cd3a73ca8c54d385185bc357e34b7e387ee5,034e33b5979e3c70b135fbaa3684b9d2886f4323,e79b27d355127d08403b5f9c9239fa0dad00e667,,False,True,97c39599778ecc32b4120c3bea9020ac56444691555cc343af8e605cab8a74f8,Tests_failed,0.0,eb6bb93306cb082e9c160bea8fd663a081bf6f2140e0a70e3eeca2040c9a6476,Tests_failed,0.0,False,False
49,refs/heads/master,1344099dec822ac18e8ff928c3bb7fd6ea48d03c,609553d9356c90a3999cc0ca5f69b9bf3bb36141,9191907cb867771e4f7f79524d3aa1816eeffb19,,False,True,f9aeabe74ff96ff0ed6807f672ee5d372fd4893de291da52c66cff1f35ab3a5b,Tests_failed,0.0,aa93862a4ab87bc96bb6b72a1896b4f17a91ca15da035743edee569000293d4b,Tests_failed,0.0,False,False
50,refs/heads/master,fcd38b2af685784a2444781d0f14e4c452f77e1a,a7ff33190c4c9c4ea8a5257ae82ed71aecf56286,fd198708a472590077badf912307c37763e3c126,,False,True,2918b601e433e3d42efcc9f4678e426e937e96c6578b7e168768c2f52c1fbdaa,Tests_failed,0.0,428c07435cffe35b5fe59f235dc552555d14a3be846dcf19aa31e9376b864ba7,Tests_failed,0.0,False,False
51,refs/heads/master,dc788cc2b0c9b2f55f059de7f49e282f4e635bbb,eb0ed9c095af2e0ac835cb679b0843b1a69ccdd6,d3a1737fb5ad5a10be4d8a0f3fa8950993e558ab,,False,True,3ca52e89c61418be7ad205d248838bc10a3cc05d828b32e4a41c0ecd64c1e2c3,Tests_failed,0.0,823d8c35781ab3a204ee11d3b230442ac8896fdafb7ce827b811bb0e84ea327a,Tests_failed,0.0,False,False
56,refs/heads/master,7396610658377d41bac22ab9516ad2a617c488d0,f8d663d451e3e4df3658214490909f1f14ba6624,782e251a68a3535d3ed552133ff7e42a8dea2bdb,,False,False,,,,,,,,False
60,refs/heads/master,bc65bf7350d92a2610edcc0cf476d80745751ce7,868798d024c460ca30a3ef4a3924e7ae8a602510,b311f347e2d0533b2d589a21c24b58369371d85e,,False,True,809aade878032ae2888651692a3bdfbd87c3b848400423908ebe511b9375da2c,Tests_failed,0.0,671448dd8b05bda991d31a76cc95084f87bcc1e330f22b0e1814ccd65fa018d4,Tests_failed,0.0,False,False
61,refs/heads/master,b311f347e2d0533b2d589a21c24b58369371d85e,70c19add6b2c59734cc8ba9a5d0088008c0a0933,de7c22019ffb071fd2b29447095509bf8f568e20,,False,False,,,,,,,,False
68,refs/heads/master,6db55d941a95da5780a2bc2ab5512ecf2d07070b,ef63e515c3801821e8f656516fb77b3c10182978,5d6036b8a252aa170c8693a164b1f3f8082bd057,,True,True,1917b2657caeb3a9fd7043737afea9f53ec31fda4fa513c03c58ce9aaba7d17d,Tests_passed,0.0,2a1ea5104d74ab9677054c1e9103f3d51586c8bae11458e129a383571ccc20b6,Tests_passed,0.0,True,True
77,refs/heads/master,80e334581769870d5b785f547bbc0bb8d295e9ba,a9363eed17dd5fae1d2054bfef051976a9701376,3ad6d67d5bad7b5ae0747970842395aa90ed8eaf,,False,True,b1747fcfe2dff97a043ebeb7e361a6893ee2902744a9e86344638e6b84fc2ca7,Tests_failed,0.0,7fa95ef283a792fea3ca76e48ddcc20d6a2c535cbff1d627ea68c14e5c7369e6,Tests_failed,0.0,False,False
78,refs/heads/master,a9363eed17dd5fae1d2054bfef051976a9701376,8313298e8321b8a4985fddeb74fa5def265aafd8,33b86a777e98edd802f01a142ffe9e854ffa078e,,False,True,f1601d3a3a46be07242e44ce6e8c7182fda300335228768a595a661f612a1233,Tests_failed,0.0,b59ba42e98c3d1bd3a2e235ed29d4e02ec33e3afac4bd915522b3ee6a8ab342a,Tests_failed,0.0,False,False
