idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,test merge
1,refs/heads/main,b3c09690eaf74c9ef354fe6f64c69fc778cc3809,b25e42c8090019fd6d939120c0396d507b50393b,6db3c8f6cf6084aa66f391f5fe5cc67bc42e3bc3,,False,105,0,Tests_timedout,ddaa40ff8b00193cebf0a97901f73a02ff4b3541fb8608a137247d240e27bee9,False,0,Tests_timedout,9556c1d0e2c848813f13d0fa50eb3188e0ffced9640babfdd25bc91f3eb72ced,False
6,refs/heads/main,5adcabd2301e80ec45ba62cd31c68bbe453c3a84,391cb03f9a28ecd842603c2f04f49c0df38e290c,cecb4099bb90bcf80d5e1adb50492089e9155e89,,False,36,0,Tests_timedout,7d656740f0092a0a4b3ad2db68f11a93bed701762035e08f26b1fd3d73f33eb2,False,0,Tests_timedout,67968199a49e704587c123f51a7fd17133ca6e062baf5b86ac6fd7cffad39428,False
8,refs/heads/main,f7b11ed3977eb994bde262a07ab8c3ebd22dd1a8,8685cdcd64d1210e8728f4b15d6974704d112dd1,4031ffbcf8bf12f11d94b605b1c16316749da674,,False,47,0,Tests_timedout,88f49a60224b191ce5b0355f663d2df8f60b65e61f2fde26f332105204e84749,False,0,Tests_timedout,4edce29e382ad6380abe3cc09dab54d150a85774fe89650cc726023310303a3a,False
12,refs/heads/main,4eb3578a026837e2c84db52763ec52f84f0b5d6a,6d066b6b236b1e75f95900818f859f0dc4baa4aa,5e37375ac8e3e19d7a555580e6b4f8460b0b14ca,,False,17,0,Tests_timedout,5d9c9651a3d8e8d8e9d20c84fcb2d42038254c2f7fbcab9c1096b3a02bf6ea78,False,0,Tests_timedout,6d4739771519ac2a72c0a3c13c03d92fca16244c5728164c9555372e7cad4930,False
20,refs/heads/main,acca24ce3cb47d965456caa3e966662b254b99a9,186001b3da05e8366a39e5a37e772e73c6cf9e1f,62d2b5d2e03f1d2ce5beb47699cd75ab5d43cff2,,False,4,0,Tests_timedout,c7078f0bd43d50e450c22dec88111806f5bf369d68392bf0c0bd9b7460abbebd,False,0,Tests_timedout,db75edd7ede18221b3717d55b89cb9033e0654f0ec53f98716baa19ab1c4444d,False
29,refs/heads/main,f8b52d2e8813060098591f5c23a695d3d4ad3a03,0974aa4b9c86f8c37cdc738767e840ee7711bfd7,435df01b49623d82cfc99d193c3a30ee0ea050c2,,False,6,0,Tests_passed,9c68c9550e4296c01a3cae5a3abb94a27bf5550803972c6ad0d8aeb2b21f55e0,True,0,Tests_passed,4df527247c1573eafe9bc0033973f8cd52a1ce2fe86462a540cd070523c4ca51,False
32,refs/heads/main,26e44eed2cf0f52bb6964af255c42f66e4faedd6,dea0754898d47d0db15860f600b1081ed6d581b5,b5adc4ff6223e87c28683b8b5071d7abb7ff69c5,,False,26,0,Tests_passed,4a62f2a284de98a79a6826d53bb443b25efc7b1cce9af3969117420fa326b771,True,0,Tests_passed,b7d3656be0ff6c44531e5ea07941c0dbdacf17c8f26a2acbce18ffff9980ed70,False
33,refs/heads/main,dea0754898d47d0db15860f600b1081ed6d581b5,1a3574e0471a87be6ecdea61e669f5ca0403f08c,950db6bb85f875370e922df30dd4e1a0af21525d,,False,4,0,Tests_passed,349929660348b52d24a99607ad9fba3b5cca4c87b1984ea06bdb022cf0136158,True,0,Tests_passed,02c4952b685eaed689b8cdaaa696a63cdc714f32b3f45274717a01949d53bd41,False
35,refs/heads/main,2257a1e11c79ab784609ceafacf5de18eaa703c2,12820ab33225038cc30e6f8e0756d1599ee1a74f,cb23821127db9a3022c2fba6afa5f824704a43dd,,False,22,0,Tests_passed,bf644bf3b30cea122c813bc9e7792385fc695714629dd929cebfdcb21cbd355f,True,0,Tests_passed,958b7dd444a035c63186e48239fd17de83112e5968a1316f9a33c9cefc7cde1d,False
36,refs/heads/main,12820ab33225038cc30e6f8e0756d1599ee1a74f,1d16de80edd612a22e722810a7feab62276b1c9f,003472df3b909b347c068c67013072fa158c75c7,,False,21,0,Tests_passed,765ad4c82b5038afe24dc9aca8637aeed5af1014e04d41ca51cf38deafcff60a,True,0,Tests_passed,f16fe3930cb4739b783b880dfdbc9c3851ca9983daa66f27db9345b5440e5f92,False
