idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,left parent test coverage,right_tree_fingerprint,right parent test result,right parent test coverage,parents pass,diff contains java file,test merge,sampled for testing
1,refs/heads/master,465dacdc8df9b7c93255aebd4c1ed39cd68b71c2,3bfc2d3c05066517b7925862c8bf23aa5bc91269,afdfec417f9057195ae9b89e2ea14240bfede483,,02b1b20b7485618bd251d2eeecd96f7fa3c2979cc2a96a92e2405815dbfd502b,Tests_failed,0.0,9e4330301bb9a34bd683e6056684c0b5c53e3a2620a6e9a1f7c344132c87368f,Tests_passed,0.0,False,True,False,False
2,refs/heads/master,afdfec417f9057195ae9b89e2ea14240bfede483,14b7c515cfbe1f8f4486372819d88b98ca826386,67248f09b1ad66847a99a7bf47361898b5419a3a,,ae58f9bf5980c06b7d88ec21b654998b99a7d84995a595a3ade47066a1f6aa6a,Tests_passed,0.0,493e13ce4ec937bc4e92e091e4a360a3da251af0eff27d4ecb3f0e8a552dca4c,Tests_passed,0.0,True,True,True,True
3,refs/heads/master,4957e220746bbc40c5330cda3ddc0deb3db2439b,16b1a481d9c11a2ba48dcf0755ae659945355f4c,89e1e6bbdc7e39827b9bd8ea5eb5a0b9f1834ef0,,869005728fdcc50f8320b3875933c13f27ac5c864f06d5e329db9309e0400a0f,Tests_passed,0.0,4c7c5fc4dc3942bcadd73278fdc9c75481df6920c4b5375f30a10ffe8f5ca13a,Tests_failed,0.0,False,True,False,False
5,refs/heads/master,6c41ce6cbfbb7bd6b7144c51de3a3b5007e32e30,c37d9c9f9dbe1567c012e8694e51608925dd87ec,ab75c9e35316bf614dda34f46d8cf87572a05625,,,,,,,,,False,False,False
6,refs/heads/master,b989951530b74af4e4fd5b3c7ddc34634d6a2c58,34f5db3c2282064b73ff48d541604706e019ab58,148300fb9b9ada8bb000af0cd15f9647a2d60bbb,,d9996011c39c5a10ebe834b2ac4250e9d9b2edabcaff7b23307e759ede4c0b2c,Tests_failed,0.0,6f05f243359b2cdc257212fc33779683881b68991969357d9bd5cab4ab664847,Tests_failed,0.0,False,True,False,False
7,refs/heads/master,756321ed503febff6a071d4cdec8aab73f7adb74,e21ce6729a6da7af0bde9d09e97f28a248d4b1f7,23d7d664e6d1d3755451517e3bc6dbbfccef6b75,,,,,,,,,False,False,False
8,refs/heads/master,2a3d4d6c705beb8542e58395b5e54e00b5648bc0,d3a438b6a522dc66991ac3b140810c683a88df3e,363cfc284e04e2967e644b6067e37f58687af5c1,,,,,,,,,False,False,False
9,refs/heads/master,565e44fdb644e62fb8d65bf12b13dcfb36e96492,4e8a63a3c2fdae042f98fce20a515044d9634738,baf9fc0ebbd11b3877b7357fe127b8a06dc28292,,,,,,,,,False,False,False
10,refs/heads/master,4d7ccfc316a0a99930c920ff9a3c819c5e9755ce,9dd5483a0bb4e9304e93e2962cbe9f3eeaa2dda3,36a26980b887797aaed8002859647c9e58e8d16b,,,,,,,,,False,False,False
11,refs/heads/master,9da957651ae9367ba2479d505506f8ea2ebb5846,09ff4052dfb1f112ab8879dfe210832c22351883,00e50b5f2cbb9cbb09f6b38ffccf328105107c79,,fbdba6f0225e5a2066258af066350a40eea310359de2f916e2f441b3e0dc4df3,Tests_failed,0.0,6242a61609403c304140e7830c9759d93258b4ae08aea3003c79786ab07afe15,Tests_failed,0.0,False,True,False,False
