idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,sampled for testing,test merge
2,refs/heads/main,5553f8b9ecd8a29ba25159630e37a5e475611f48,3413e3e1c447638d5a44f84ecd6a5296e64d4d61,db87154fd1f09baf56b5f9c41d83113b5f22cd10,,False,9,,,,,,,,False,False
3,refs/heads/main,3413e3e1c447638d5a44f84ecd6a5296e64d4d61,08e37ff1e610ce50f4988277ca3fdf5f39c784d1,729a9d9b3523c7d1299370ac6be05f11e0ee30b4,,False,4,,,,,,,,False,False
4,refs/heads/main,08e37ff1e610ce50f4988277ca3fdf5f39c784d1,062ca6ff9ab82475ed642c61f26dec8d48ef9156,649f1d08218bb32b5f0b8b6eb4429903f260e50d,,False,4,,,,,,,,False,False
5,refs/heads/main,062ca6ff9ab82475ed642c61f26dec8d48ef9156,779bd74ba2658ebd0c2cbcd4b8baead3e8f1ba14,db5f9546b172f4745cae76ce449689d642824bb4,,False,5,,,,,,,,False,False
9,refs/heads/main,58e2a3963b253c4fe496782d846cdfe933ccf3e0,72f103b9b360c6811cbf687c751e50c047edc8ce,39f441b503f21ddd92a32ee0e66961d972ea3675,,False,17,,,,,,,,False,False
11,refs/heads/main,166e90e2bc6c35aadf65c6530e35a1884520eeef,200d0bf7f73fa9e0a42cf27e7b147b48e01d7b4a,10245a58ba71359278ecbe53dcfc09ac16407e7e,,False,4,,,,,,,,False,False
12,refs/heads/main,200d0bf7f73fa9e0a42cf27e7b147b48e01d7b4a,878f95db2ec6cb3f69144ec456a4b3fa3f1eb2f9,936dd3ec7f06fac3499c38899e7ba2b9f2e9899c,,True,39,0.0,Tests_passed,6901b30e4e6f3a78e0d9924bb083da2e45f49911f1601ee234c2966e6ccfa40e,True,0.0,Tests_passed,b34e56cf908cff2682f48c2d7cfb70dafd3f2451dfe5e7999ed594f1e252332d,True,True
13,refs/heads/main,84f3b051e99f7be17260b1cae8da0217be0bb0a4,948c51c5fce138c65bb3df369c3f7b4d01440605,a549995c07358e070cd11c55a0d777aba261e391,,False,15,,,,,,,,False,False
15,refs/heads/main,dfa8827e153352dde04e97ed1005563f068a4475,19e0d9ab4321730f0063efd7d742bd82ff9d8c1c,319c1a7ed6ec4f557468fe4df404d8e716845a70,,False,58,,,,,,,,False,False
16,refs/heads/main,19e0d9ab4321730f0063efd7d742bd82ff9d8c1c,b5d78e1062b7cc5e785ae9e50dab2be97afdf532,275645564be745ec5c81a8c8529abb6a90cb74ac,,False,47,,,,,,,,False,False
20,refs/heads/main,0545595fdd1eb1475a22e666bebd9041852884d3,604b49b69c48f782cefded77deb2828b68bc6a75,49d4e84cbdd974bb10ac66a1c5ec9b078e4394d9,,False,260,,,,,,,,False,False
21,refs/heads/main,604b49b69c48f782cefded77deb2828b68bc6a75,1c9822cb694582599498b9c91f9a5aa65e43ddf6,da3212e3f74629e89b7d8bfbb02f58fadfb16a3d,,True,237,0.0,Tests_passed,0888735c3aa8980f3958c0dbed4601e88bd25cb3bd2e7f5eeeb94c500b6df0cf,True,0.0,Tests_passed,c90f2fa68579cecba6cd48a8aeaaf70b79ef1b5786e696df97d04a06c9495440,True,True
30,refs/heads/main,2a2c9719581aa92e1e763ebae772c296818596ad,4331cbc446ffe093d78952453e98ccb65d7bfd99,9d4ed7fdc68416f82b4c76335a3dd39d2e013fc4,,True,391,0.0,Tests_passed,f84469c9e170f1dd49f7ff96fb6b75f32ed9df271ef8197227ab8bf7f6ea6f3d,True,0.0,Tests_passed,c37c0baa09166c5c754ea68522b22cc9db426bba3c750982ec8b2101d4ce1dba,True,True
34,refs/heads/main,41cb59e8af99e458d1fd6b0d1a8787034eca76de,05c9699b7d65bf123bc53a521e08727da7448ddb,0007cabf99543012e75e8d5ebfc37db09d05a009,,False,6,,,,,,,,False,False
37,refs/heads/main,b2c42be05bc20c96048c7cd10ad855750c2b6c51,c5eed04dc3918ce8961c8019572cae8e1936ca2b,ab6fba00de2031b7fa04a076fa809a1995ffa9a4,,False,125,,,,,,,,False,False
40,refs/heads/main,e7fa6c7e4fc3e4acf049b2ec2f02373e96e848d2,917ffa421c8f9fc31ecaf3c098799c21981c656f,97c4446ae95e7d7d25542b3a932d6b5e0ba1751e,,False,4,,,,,,,,False,False
41,refs/heads/main,917ffa421c8f9fc31ecaf3c098799c21981c656f,4f89636fbc2ad0318067c0c39c1a51c53114fb0c,94af899bd50be75d2f1c735a2552f0f288043424,,False,17,,,,,,,,False,False
42,refs/heads/main,4f89636fbc2ad0318067c0c39c1a51c53114fb0c,94d1237e8c23ba94565e9a62144f1bc910d814e1,6132afee8f8b136add5d7772dbd35e0f04ae2dd1,,False,6,,,,,,,,False,False
