idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,left parent test coverage,right_tree_fingerprint,right parent test result,right parent test coverage,parents pass,diff contains java file,test merge,sampled for testing
3,refs/heads/master,0d3ef066b2375cb11027bc8bd03f770da6f51b26,7afa2d2ca65da17542865e2107c1e37927d969f4,f40f420b416029849a73c6af3de3644db2011af5,,2d2a612628096e5db1f58f5060eaecb56bd0f02c1f54d8ba5389dfd7b46ba1f9,Tests_passed,0.2,87741efbfd9e0de2897ab70fb00fdb2e098c3edb2e80e53fd4ab557b86b5a5f7,Tests_passed,0.19991906110886282,True,True,True,True
4,refs/heads/master,f40f420b416029849a73c6af3de3644db2011af5,b8a193e57a80d4a35b734d7a1500cd4387cc5c6c,0498df2c05d977eb0f376bf12f6b95d93efd1d53,,2d2a612628096e5db1f58f5060eaecb56bd0f02c1f54d8ba5389dfd7b46ba1f9,Tests_passed,0.2,a6436b451d43e9d1e64cd89a22e4217b8a0466ccaa78c0fd2a45636d618ed5a4,Tests_passed,0.19991906110886282,True,True,True,True
9,refs/heads/master,a38bd8362140842445c0a16e3a662709f3299d91,b8abfa052f41accfc71194afc8752073481a33cf,1a52dc5cf3a77a6bb8c7e1f9e4c678cc160f04aa,,,,,,,,,False,False,False
10,refs/heads/master,7053eb7f35dc455c50102b58d646b04a1399047e,862c69dfa3b313c702e953ec9e689a385b12b00b,0847ef81925d5c479cf428e3864bd08758e7cfcc,,b736156371615666d5e455c87edac70efe51ef6a831542518027f2ae242d5ce3,Tests_passed,0.17407458373469106,afd2d3dee95e6622aa11d0ac1a05294c2a0d1894a780e5cbbe5115e6df824cda,Tests_passed,0.17369215982424824,True,True,True,True
11,refs/heads/master,3d510c72b19f4e4440c4d47f7a0dd6bc1e855946,54f1b52310ae46d35c682a8641292e3a063e8be9,5af4715b6ce8650d5588f5b8ce6e168b342a2b5e,,a5d60ab2da037eacd46df5f20e408647077287084036b1bf882ec93c15731b40,Tests_failed,0.0,0b4dd34412c4e16eec6c720c1f18188b4710a1a8b65557041f52553737f9e16a,Tests_passed,0.17407458373469106,False,True,False,False
12,refs/heads/master,54f1b52310ae46d35c682a8641292e3a063e8be9,159cd5238d6fef8f4fb072e44904b361b5d62814,0a552c36fa8a2f7410c7370791b899ac0c83d06c,,64ddf7fc9be8f18140dd2bb54628641ba9b91030a5cbbc4d09b13de360f50875,Tests_passed,0.17606123869171886,a745ff6e6fc2a0b3b98198716ab531635b56d0243316a0b9a305b1f083e62d86,Tests_failed,0.0,False,True,False,False
13,refs/heads/master,46f4b966ccf4bb5ef8c0359715d3b22088c11852,c0a51a17943d0908792c1004c4436ea9e1b8d57c,9b3e3c4767f26ed8dc91685e7313c562b0cd3a98,,b36a0237aa5c671960265dad28d0ccc715ee7a2c932f88db69fa907601c905d2,Tests_passed,0.1775438596491228,9b11593ed99852cf5913e68258457412a889dadacce4f396f0d8ba8451928486,Tests_passed,0.17606123869171886,True,True,True,True
14,refs/heads/master,c0a51a17943d0908792c1004c4436ea9e1b8d57c,06bee9828442da5b200a5b87d54353073c9d4d33,8f5b407e7febae9316f83bf89f9966a91d3496f5,,,,,,,,,False,False,False
15,refs/heads/master,27c27a31976c219937e4ebd07a8dc7641652c42c,82913ff21251dd6da1c23b1c86caa3eb71905fc2,4b165e59c5f1db5923c322664d73ff968874771d,,517ea081dbf7cd6a2681e97221f9be61169d29c752f55b360d354b92e1183970,Tests_passed,0.18035357855717138,c9b36250d5ce7b34362b1fdd2754eba3041f67130db24309d25cd5e67ff19349,Tests_passed,0.18017376442102265,True,True,True,True
16,refs/heads/master,4b165e59c5f1db5923c322664d73ff968874771d,5051b67d7ce77e6c09a0a15c001568ee9f0ec9e9,12035121b3a4ba90aca59a4b8772cb428d975d78,,,,,,,,,False,False,False
17,refs/heads/master,a40d2801d3b11cc4220c94bf3422c102dfbd2626,b849c5b03c524b7b41fcc1e62470faa8978ec0d3,d33227931197c015757369ab2ecff8bd33173c6a,,aa84d3fac1294379a53ba9c2e759714266251b46b18cca9d3cf478e277dca826,Tests_failed,0.0,b3685dd63d08eb14b4c70a32f336465a93c02e5fdcc31654afe03be8a5f4d58a,Tests_passed,0.18035357855717138,False,True,False,False
18,refs/heads/master,61deef83cfe73422517d629e2fef0d8e26250fc9,fc80a4c7410b50544fc95a6ddbc989411d2f39b0,c2c4928156d52b64f693f94d9865bb5c33172e19,,3c71bdc74f8d5becbbb81191d141aeea86dc9322f21b8b1c07ade89b9ebb078a,Tests_passed,0.17665130568356374,bfc1a44f8e3537f4f4c523be0b879605affabbcef05c876aac562a6a335b7bab,Tests_failed,0.0,False,True,False,False
19,refs/heads/master,fc80a4c7410b50544fc95a6ddbc989411d2f39b0,00bf20565974c14280ea19d806be1a33d0dd4d6a,be411e61be7780afeb13bec7fd4a843d3ae9b30c,,,,,,,,,False,False,False
21,refs/heads/master,1a5ee0502c9e3bf57594e6cf86ce6a5c6a0c9b6d,72d6f3597bb0718e3641b903fa12f562ad020443,96c7c5e8a150c043aa0a4f002bd0d203e38877b3,,c7a1550f8e9568344d57310dd0b2b1eb0582bb5cc84f4c3e6e1b736888678fab,Tests_passed,0.18735189573459715,02f4c70f81655f836dd50e0a67d33fd29b8d9b31a4cf30d6d42ba662a035a49d,Tests_failed,0.0,False,True,False,False
