idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,test merge
9,refs/heads/master,419ab4e4241ca54ecd03824f6e3f2b2fced5ce52,486fa12b91fb127e20e6bdce8c6999bfc618ab50,3eaa1f34de27228be79d6928f2f3154d2be5e7e3,,False,4,0,Tests_timedout,670c53112e55e2b8d1995efe8d827c675bfb22ff03cca472ef93b2893b2fc824,False,0,Tests_timedout,73b12c9b61a4b2a5a4fcd14864175405db8d18c910b5dea2926c6450e467a092,False
21,refs/heads/master,fdbd5e59632b7aebf6fc9e9f9135e54ee5d0dc64,0fd8233c788e2f85f70cd1c49f392414e8ed2ff3,2cabe73e6afbcfb961b53cf5465518c5391e3c8b,,False,139,0,Tests_timedout,91eae1535cd384321044c9b41622e6efa1f4b23f074f66f58db702776d6f5e90,False,0,Tests_timedout,6ad235c922bf1e924958aa1a7fce12b4d6288faa8f3806cab429a0f7176b689a,False
24,refs/heads/master,ad5cbfb1ddd2a624f6e693343e0d3222dd33585f,8c4cc567c8d6f517dd2804b637a0a03a168840d5,b2f7f11d93fffae93ac2867ce7c5a36c01298ffb,,False,7,0,Tests_timedout,f5d877cf66d2a79a77e9d75f8fa9fb83b56cef3d5c5b6119fafb72d2fd40fa32,False,0,Tests_timedout,443f0f487fd2dabb8de8f5ba34427b8e58dbb6609caccf32a1dba8a422c31286,False
26,refs/heads/master,7edcfa440bf7a788770f1b82f94beb5b38c683e8,16553017c324245413b0fbe082e4fc09e1773503,34212989148c06be03cb22fb79950e1c84d44e98,,False,77,0,Tests_timedout,9d2a6ef73e82a9823e8c622cfd2966dfe788c396c3f94e7ca1326d7899ce4405,False,0,Tests_timedout,f1fbc3b98fb92317fc10c24c9ebf81ce62365191764e0b29fc5b6a63259c56a4,False
28,refs/heads/master,160357c1e8bbe4ad18039a72b23399aa121ce3d1,9b24ac019e566ad083f60ad99397cdfb33acbb97,4f7b4ef7ce3a99f71e01e00e643bac08af8cee8e,,False,6,0,Tests_timedout,bb7f5388d1478de2bbb8c0f7268b190ee7a9455e75057565502c0d512c1cb218,False,0,Tests_timedout,5d95d29b0ac9706e435c3828aa3adb432672ec5427962bdf53af77688286449f,False
69,refs/heads/master,3954c72b7ff8690a17dda55dae34cfe15f4a51c0,2a18de52143335a0dbb1573d5cb1a3757a424be2,f5277a1f72b299b01228f90c6d4c64c190c3dcc4,,False,132,0,Tests_timedout,e066033a4c4d5f56c798817c25671a63f113f71eb5c12bdde68259194e671c69,False,0,Tests_timedout,bad794288ec74f8fb76b3501f3d9a6733335418137c1ce85f2d8fa7a5136470f,False
73,refs/heads/master,acb63bf375f0611e55e9317c34f3d50dff6a9ed7,51baa561a30346fd8f3570700f100ba35f5c1ce3,15d0fad16abf6a972693ddfad353174732d060c9,,False,3025,0,Tests_timedout,5001e8e1683686a3686c924128c8436fae12bb9838952a47796cadd16fd2a841,False,0,Tests_timedout,8af8a5d0c31000facd666eda1ccf42c93421a05011018ecdf08aa3c9d93ff1b8,False
120,refs/heads/master,2d50c4bf70ff5d689da11cb819c235960882d835,8e4cf55ad73867dcc2382a576887232be65b1aae,d51f3a7e2ae3b6fe2e3262a26c808f76f0e75576,,False,35,0,Tests_timedout,93c8613c7e476459c44d7e498967c61a456cfb5422ce212c271d415b8f10d548,False,0,Tests_timedout,73cce615b9ae889de6cec89734df3ecace14d06b29fe34201d1b23a06ae5c0bd,False
165,refs/heads/master,9886a011e0a9df170bcbee4b26be5fd384a12dc5,75beb646e012f5f46699b84a038b6d35e0a0c01c,204de04118738e145ab4c06fadb03292bd81333f,,False,4,0,Tests_timedout,8d0ea8c12820710cedac01dbe0db3cf9e5c1daf2793f4fdbf7fc5e4f54e544ee,False,0,Tests_timedout,d00c2c2b1a9695adbfa5ab60fa6db09893d32583544a4f2a44d8cfc6c05a6bb2,False
172,refs/heads/master,bb492ddf0c516fb895448726f743c3aab741da72,2e9581a34c1f6fc6bbb2e88331993e519f2215f1,f8d16508dcc3518be9c659138b03dad7031c8552,,True,10211,0,Tests_timedout,c7f04fa25495ef215bfc1d7ea4d28a65fb1f7093459508134c385446f88cce10,False,0,Tests_timedout,0f009f82b176f6d2d59ea6187a2f908097e21965cdda42fd635751df110f9ee2,False
188,refs/heads/master,9ed919bb1372856fb7cd69969d13731f91fbec16,0c9f887141cbf9a0e6723b4901fc2a8915af6f6f,41b9b839229580cd091ae747b205f207b56157d4,,True,4424,0,Tests_timedout,0b1958033e3122de17471f190f051caeb0fac293139089a7b0bb99ebd5fd3720,False,0,Tests_timedout,53ea0749350579cc69d70173b37854236da7e6be59b762995f28363fd92f9867,False
199,refs/heads/master,7e96b1033fa2c33f41ba69ba12bd72e844adffd6,13a6600290705143c4b78cbaa009679505ba2a84,884431a3ad39e1e36ec9a85bb85a984f242b9034,,False,12,0,Tests_timedout,d49540454d533c551e81f349c6b4a501df35b3c110810415d4e6b0a21b85a04a,False,0,Tests_timedout,c45d6ecca4dd1cc36c6f92f6ce755e90ff2f279813c6756e7d1250406b3c3b33,False
201,refs/heads/master,e38c5aee0454522290c4c82871a142f6a8cdb6b0,b049a05931e05de10327126c716eeb7a24daf905,92cab03605f6f770a63afb35488df561adc2789f,,False,10,0,Tests_timedout,d49540454d533c551e81f349c6b4a501df35b3c110810415d4e6b0a21b85a04a,False,0,Tests_timedout,d49540454d533c551e81f349c6b4a501df35b3c110810415d4e6b0a21b85a04a,False
205,refs/heads/master,44cf870be19fcb4f931fce4ff802eeaa81ca0203,e15ce75d77f658f8f47d73c502e4590a5842c5c8,c698a359f2a424e784371b48b2a0ca30df07bf8f,,False,5,0,Tests_timedout,f4b33e8ff08a1d8d637c79ba10a127c4aff673ad0cbe90eb22297277a00dc3c4,False,0,Tests_timedout,a7023e8572ac4479912bd74ebca42277500f757ecb88142b2ca180a69a56bdc4,False
216,refs/heads/master,68b6b0294661dfc069f3721e3e266e55530ac4e4,4a52e57c34d805027ede6c7c931eb8016b00ebbf,db65689f160c2e9ddc8b64de9743a22b61250ca2,,False,4,0,Tests_timedout,ef9f57f5f9ec74c18cafe101729e9c84029360d4e472cd86d4b590a625436f8f,False,0,Tests_timedout,fd1f70d276da8851b591aa5e0c14f064136bb17f140d7d03d3272a70ce637795,False
220,refs/heads/master,f9db6019164b3e0f8d7c5f3696830ee62b7f7821,3325012e5346293343f805ccec1047349223bb1c,67a41cb47908d18ffd306cc1380e354ab47ea3c5,,False,4,0,Tests_timedout,94d4a3e9a4120fe520496de87238d22658eb15cdfc03bf25b03a2c4fdf2a33d5,False,0,Tests_timedout,c5887df77c31b6db786d07ebbe8a57f3bbcd1a9531e44b7ed59e3014beb443dc,False
222,refs/heads/master,1d8a3eeae3f858227f4891a3322ca59d5e528aa3,e9a08051e0ad7b8fba1f5e260cde5c3d5dc2c83a,a74bca2296f4915c7e0b88398c28162325a9a564,,False,20,0,Tests_timedout,8f489338043b6ca484a2e814049e719a86e34039bf2b6e0a8410dc56328bcc9f,False,0,Tests_timedout,7e10a8f877e9c5aa10e8c0c76dd20109c48e4abe1115c60c49ad355965d376b2,False
227,refs/heads/master,00e7732a2d18193ff1c55c80304f9bda16ee1b7b,bf973b0e4d477f699d4525748067afb61eb3fb6f,7b856e8e5c33ca03fe3586bf96e88f3c38d7b53e,,False,23,0,Tests_timedout,2a83bac8642dfc709dae703bdd301b854bc03051e403d17d12ecd3e5f105cba5,False,0,Tests_timedout,4c145cfae21de04ad6640fe4b53625141c9612710888e3fd37b3bd3d6d269e03,False
228,refs/heads/master,7b856e8e5c33ca03fe3586bf96e88f3c38d7b53e,7ab6bde7daa6b8a5c2926224fed1cbb64318e1a8,b891b5b953086f492b28ae22ef6169079345363a,,False,68,0,Tests_timedout,8722019393789fb3f1afbfc86aca4db5d08bec60f59f0694f6f9410c2a7124f2,False,0,Tests_timedout,c5a5b0093a0a90409d659efed6a6018623d1737a8bfc4264f8953a0b463e8139,False
229,refs/heads/master,7ab6bde7daa6b8a5c2926224fed1cbb64318e1a8,5a3b80bd3bc3aa62076586d498496f27abf3cf22,2d6215ae59f392051de19885519bf57e25fca972,,False,18,0,Tests_timedout,ccec88c1270fde4a9ca5e48705f87e40028d1c077218d6075b76a6072111bb5e,False,0,Tests_timedout,087124326738783e8eec9fc3245fbfc0d2832907658664f3937dbad4d1725250,False
