idx,branch_name,merge,left,right,notes,diff_size,diff_contains_java_file,left_tree_fingerprint,left parent test result,left parent test coverage,parents pass,right_tree_fingerprint,right parent test result,right parent test coverage,test merge
4,refs/heads/master,6fe83be3dd91c22cee2e00e4146dd090e9b31d16,5782ed68b7afa628e1d6027b93f5378608820db4,114750bc9e47a0693fae4ec5329d0128249e923c,,3,True,b2e9afa5185fb94c7292c0bbf7cac955d3ec5d46f95abcbda6f0fa8fb3ed9875,Tests_passed,0.7170965114000805,True,f84c32fe2fa31ff2f9550132e827fd5db98f1a8018e07bc6b35197271304ec12,Tests_passed,0.6625862015487847,True
13,refs/heads/master,5815b72b9d50dd6bb0de17ceb6fca9860129bf89,46e01d6f3b944e7a89082899bef10a550fe8c727,d7440e904b98cf6c79ad26b086f842d53d68a181,,9,False,2c59b4d1a14c51ec13ad577eea6ba570c5c6f735ef47096b3c1dd2666cc8d406,Tests_passed,0.6625862015487847,True,cfa94c6c938c6e7c0271cb25592707ac0c4056c9df8f4a4aba2a52afbdac59de,Tests_passed,0.6625862015487847,False
28,refs/heads/master,8ddcd491ba06fe9fc01d271542152e1801b6fa38,64e251e897155968a0ef5bf1564ea4b254c2da18,a7a038f3617bd24e404b59f3f88d46dd050279ad,,421,False,9c538cc50257f61765c20f41a41256436f42a747da2bb74c97bf67c8972f0fb8,Tests_failed,0.0,False,f3a3f032327679968178323f541009ce3cae791998162cc02eaa57e7ad1e01b3,Tests_passed,0.663213728549142,False
33,refs/heads/master,9928cee5282adc56c3f3754304b93c50d8c9e39b,cd05b93696655cda83e1d18eefd926ea028d3cb5,e42356eddb45655a59fffcd3eb5ed8f14da09d7a,,11,True,b931e66c271958ae4c30e29f45dfe235b580c3424bd8de10da12fc9f33ef5654,Tests_passed,0.6628855679973359,True,7b93e0b46e9b8d70590b8024ececfd12cd3d271f88905171150ca06329938a99,Tests_passed,0.663509378187647,True
34,refs/heads/master,cd05b93696655cda83e1d18eefd926ea028d3cb5,c5acfd6bd7bcb2cc61d228caa0b295781dcdd090,3921d6d1b5bdc550a27d2e0eb47b1678f8fd5ad6,,4,True,1a91dda700b81d8f3e87c41e9a8f5224982fd8e0c89ab8d4c3d1134156b07331,Tests_passed,0.663513921729982,True,bd4549ea233f0285241a035c233f5743829e23ce87a4548962de250dc5238f08,Tests_passed,0.6633411784308416,True
35,refs/heads/master,5784ee2713c22e4ee80934efc1c6e87a872ddf5c,3bf09e84912f1f7efbdb0c11e63efcdf68c3c991,025ca9e0053594ea9095ac51401582a3ff8fee18,,16,False,7a49b9160568346eed524acbf8eb144248b37c96ad2e5081ce2015a86f6e7f6c,Tests_passed,0.6639703966227133,True,58103dfb60e2a0fb62955aa1f61ad13f233d746d079f98697e5d29c27d7ee0c7,Tests_passed,0.6639283592047789,False
44,refs/heads/master,6ff22290da9ccee322d8a6b4b76e1c165a974341,26be4d1a84a98439718d0efd52a4db6b950648c8,cc214017c55ebc3ed6f511001fe0d17462a4cf5f,,75,False,18f4645a222b00af25edd89188a333c481e1d74e0aa0f161f1b2da73e7366ce8,Tests_passed,0.6667644101876675,True,55108f31714e00a23b62f144aada1533732bcbd637731bb2120280d0eeeed968,Tests_passed,0.666848161837848,False
46,refs/heads/master,5dea1657033c280fd862b7238ca112d139542967,7bc43739ba74e54daf03041aabfd3fbb885060f2,5197d59bc4ad60f6bd9ddfa565fecddfd3258f6a,,3,False,25d4317d2187c797e23c21cf7dd936f9c20fb7248d565a6dcefd28737d7b88f1,Tests_passed,0.666848161837848,True,98cb98089d1e51804772aa3436743386e279bd15c1a9759d94decb2bad6882ba,Tests_passed,0.666848161837848,False
55,refs/heads/master,f9611b53da698a7c848016531c0806ac1bf1aecc,b11943641ffcd1e3043e2e0f7a6866d5d47da09a,0f42e2a5bcb2e6bf8c1961eadc884387d99c09b3,,109,True,2d9ee917ff7c107c69d875739de91e73a1b4452a5dce9b84b865ed455f11f9a6,Tests_passed,0.651579683427627,True,235dafa6f85caf3f8051806e034ce928f82b27ff4d30ef19452e78bb8c66d324,Tests_passed,0.6519965332826009,True
61,refs/heads/master,c54197f15d285426e9dd43e979a15aee76f30e6d,d315961dbd9e223492c2fd6b16b8f847a9515e3e,ee1728dc7bb1438090a23d9b97c5bb61cc7a6318,,35,False,756c1e12bc495744bba3b7251d94d1badbce4d95e3484e5add2fbe21f75c1570,Tests_passed,0.6516018306636155,True,d9968c608e658bbc6499cf680bb7dbf63bd99a0cd7ad28aa56ec7d85b9110978,Tests_passed,0.6516225407621651,False
