idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,left parent test coverage,right_tree_fingerprint,right parent test result,right parent test coverage,parents pass,diff contains java file,test merge,sampled for testing
1,refs/heads/master,93b77f98728a1c22fc86eb411d6f8d424b16e6fb,dd6a8ef0aef38d44dd2da98f760687890035d613,998730ddb371faa03862d5570a9afbdabfdc44eb,,883fc55d2e6f18bbf27bc1e449e935c64e87f96a7d2d8a25df5b14454b6356ca,Tests_failed,0.0,17e7013db66d2f532fd34ea3b987918480821e702ed1109371bd78471a57908c,Tests_failed,0.0,False,True,False,False
2,refs/heads/master,998730ddb371faa03862d5570a9afbdabfdc44eb,d4c1378c3d9557d1fac0ead1aa285139b7664950,dc3f56b55abcd494907d5a20b554ba428a36bf58,,2fd864a729e976da6033bd565868bc7bd54419e0bff00ad1baacfb5695648a81,Tests_failed,0.0,9b2ffd36a164a6e0d5802432bde83f6e719cc5e67cc7d31cdc405f594a50010d,Tests_failed,0.0,False,True,False,False
3,refs/heads/master,a6770178834daa6cd15ea92ee351a07bb216e8e0,b72beba137486f86a64735069f668f94ce21b3fb,0612f049263bc7224ca7ed439cc54474f7f434e6,,04f2e388daf82281a96077b53afced410e890dff5cc2df1c3e2a150d8b607ee5,Tests_failed,0.0,db5610cb529c61fab475a05c930e3ee824947678be59c17e419bade5338c6e32,Tests_failed,0.0,False,True,False,False
4,refs/heads/master,8ec84ef6947fb63045a2a1e8d3289f847ed4fbde,a96cc7fca9396210ed703c902eee3b2f70f441a5,dc738bc025cbf7ec80708b997bb1dc845f08f837,,01c94df7e1373c3a6e1b486362d83f17a94f0f99866e0cdfaaca461e6c40b53f,Tests_failed,0.0,c2f30c2db3f3416c023827eb00ac6b4947320c70688c1d2576c19c15b81508ad,Tests_failed,0.0,False,True,False,False
6,refs/heads/master,4790cf24af7eaf1590304e6ccbae4780609150c7,b723f6fb3da97bbb1310afd31a2fdf93ecf0969f,f90480f79a25fadd492a80a42f6eb04d5914dc07,,13f9045af7643421aa2ed019066f6e0e0720f5e996dc55f367de02ac8b9e7ffb,Tests_failed,0.0,2b44d60a208ff5398f0a7f1d9c52da8550e2b965b1619c2b8858183a87fb0e37,Tests_failed,0.0,False,True,False,False
8,refs/heads/master,5b11e6b32284218c8fa957a68f4db34ecd36667a,1f3d3d01a96b81df9285af2db4e040bca7948cc0,b948d6dca1dabdc67e4b1b16bd89db9267d75068,,,,,,,,,False,False,False
9,refs/heads/master,f5bbb4f5957fcd7a1f6d9e80565486b5aad6e49b,cd8bb19ed767a00eefcd9159109e10fd19acdfc0,005571a32a94ddc2c7ace3b40e260f569ed7da4e,,03f1574be3d923bc9f8f46f2f5f8f77680d83c8e4ca74792b51540a1c161d3aa,Tests_failed,0.0,3b73aaf704f2533544dbbfe36e6d091f435ff908887eafa8d39750daf733d61b,Tests_failed,0.0,False,True,False,False
10,refs/heads/master,1237712f5a537f000fe65e04e1df532dacf27498,72fa76652a8561cf4058ca374a8d6405a5d0d446,20e014b76d87659e622900533a3629d0ac534d7e,,652792081f607f41e34734e5287a0b9d82383febb9cfb4bf29c226275fe34af8,Tests_failed,0.0,65396587a78b820a999a112894a3873850fe1fa989761cf9972faaf364a824e3,Tests_failed,0.0,False,True,False,False
11,refs/heads/master,351fe455239187888bae0db4f7a3756688718214,754a494b7dd1b1e0e388841441ec7e66e2fd90f4,2b069d3f879ef1ded95fa7d4ec95b59b8b8766ed,,0aeaaecf6d8879d8def65ada3dece9a3fbb1ecb8cfd13a03c8314d2b69341e9a,Tests_failed,0.0,edd3c7f6003599aa8594d2d28aee2a2539919832a96c5a256ca54d9bae402f9e,Tests_failed,0.0,False,True,False,False
12,refs/heads/master,adb59fd9b0afeaef14116d90961514b2f71714fa,e236aa8ff62ec4d9c9225b7d1e7071eb9164302a,a716b0e798270b20339b8e697598c061656c3515,,ba2718533c9f236451276b03f2894449edd348bcaf9e2e6a9c1e5272a6803fdc,Tests_failed,0.0,f314d5cc19c70eae885f650163164e4b972e368abc4d783f07e4d3138ccb4efe,Tests_failed,0.0,False,True,False,False
13,refs/heads/master,50d0f1e1be3ea5da6a4fe0ef537c4050d1c99d79,083257e7233c441037394cfb8094256f276349a3,4dae585ad3570d0645addcf48a287d9a9f5528b0,,d1da5a3b7668110c2a503b2accb8ec3317a986e586e6bb053c4664ff1d28bf9d,Tests_failed,0.0,48a199a6b400d640a70c5f93abd4c4d77fc9fcf7d38320aefc5870f1c039e495,Tests_failed,0.0,False,True,False,False
14,refs/heads/master,148efb8cadf3924fc77d27bb7de43e357e1d5e1f,45996c542794c82dd2d6add465c91c8d48de62ff,16c1253abc4ed29e436018d3ef321e628ed1cff9,,0e8900d813c79b1ad34e9f08b78d63e0d9314003041238d1601ff38642d8f709,Tests_failed,0.0,a3aba24f3813da92771a1bce4d9b8851adcfce27f75829504c6be559560c4795,Tests_failed,0.0,False,True,False,False
15,refs/heads/master,c3f51a7757110716564c0e6a98b1087462437dad,fdf79883a776e5e259adf69d08ad18ddd4471385,6e25be022ecfe7fb28b6a56d48d2e0b7670cad61,,39b1dd8a34d97e7382e387479eac9a1ab240c2344d57605a85638256da2bc65a,Tests_failed,0.0,c7e0ee1bed5d18bd9bf0b25431878529189ca0712afc92adcbd759600630878f,Tests_failed,0.0,False,True,False,False
16,refs/heads/master,4b0b7c6e0e4330508983f5d67ec24c3f6592fcd4,496aca707d7a9eaefbb14ce919144274d88fff85,23792edc1f37073b568dd5f459508a4f95a53287,,e92d56e450903d7676630f2687990a0c7ac1ea09ad877157c23be4b822bf2687,Tests_failed,0.0,f6774265a054d8379aae1bdbc61543f08bf90e789a6486a8c2bb3045f62de9fc,Tests_failed,0.0,False,True,False,False
17,refs/heads/master,16f953f7c7cedf35fb42ffc20715985148f24fcc,981be905e41ffca49cb19e82a4dd76d834060fd8,b756fa87dcb17e4a45c9cbf6fde3164c13b97d87,,9ce37b4341f57e3bf0f9c9f651ed5628a74dc139e116ff4971015783817a875e,Tests_failed,0.0,37c4fc46e6460b326d42ea498c6c734b803559192c5ed2006fcfca23c14c36aa,Tests_failed,0.0,False,True,False,False
18,refs/heads/master,929e3fe991d9b125d810a48bd6751afc401cc917,f1e9b158270efdbeda075b70d16db2d966472544,2a2c6a4d857f6b556d5b72f41b46bfc0f445bf09,,9e57760c712432e253cabab165bc2e1d782efb50eeede088590188339c3115dc,Tests_failed,0.0,6dae72a68b6c1939ba9b971d8086bbbca815c5d84d5aa6dafb78ffe46ff8ebca,Tests_failed,0.0,False,True,False,False
19,refs/heads/master,3a3f3ca885b89261a5f2cdace34047106e90e23f,e7813bdbabaf0960454a80929224b8488ab81aac,c1896e6215458870e07bc4e2359878a8fad6c9ae,,89b9d24e3181257ac700cf096cdffc14927af21536892db0148cd44c7e71a450,Tests_failed,0.0,bb0e0207778d1aa303ade9f35ab9dcf779ccfd131d5643b79fd1c7e3a6047183,Tests_failed,0.0,False,True,False,False
