idx,branch_name,merge,left,right,notes,test merge,diff contains java file,sampled for testing
1,refs/heads/master,d3596e3c8a3a95737efee1c72a5651c6f10a1e1b,456b62879d59991943cb380ccf2fd8ad1f64467b,914c99d368bd7690e2007e80e0222a5dd8267f5f,,False,False,False
2,refs/heads/master,35b5bb076c0d435562ea6d872c67f683ac7577db,b592c8dedd041e84334f3722c2c7a39e54105789,4c7acac31c6184e2f4e9d803786feb233dec1bb8,,False,False,False
3,refs/heads/master,4c7acac31c6184e2f4e9d803786feb233dec1bb8,6317fe282618dc89dfd8d16dd3937ce3d2768221,d79e0ca616747806805dfd7aec3f0253ca67ec02,,False,False,False
4,refs/heads/master,492ce66fb2e15f6d1aada1ef4e0ab9fc5a50f56c,5fef3d2880934273265b5b99cbd00767b9183920,9af2d7a7558682421eac192aaed380e4cbfc501a,,False,False,False
5,refs/heads/master,bfe9c3299c11c122a10862cdcd9577e9160644ed,dc016d3b5c84a956e046e1a3223c9c0c52b47c00,7e1c04de2c0a7aafdd5f23dba42e6cbd24818b6e,,False,False,False
6,refs/heads/master,7e1c04de2c0a7aafdd5f23dba42e6cbd24818b6e,afe4ed9479d8a53eb843f660e261130e8b2bea54,7409b28dce21d275fd347623a718a39690f1d539,,False,False,False
7,refs/remotes/origin/delving,d921b9787346a00d476f23871e8247fc75f750c5,8ea60019c9203f29ca3318561ba46663aa9d68c8,e510ae31adf132ad08a7ef9dd9bd077ee7259075,,False,False,False
8,refs/remotes/origin/delving,127779fd11a3b8330048e13659df6724b8f7af85,db453664e73cd521aa280edc918c49ab0b04efb7,f0fc995f7f1d2015aa83d6c16dfcd860f2ae4085,,False,False,False
9,refs/remotes/origin/delving,f6c4ea36ce053d20fd92f3230d53376814bcaddc,236ad61ec2fbb3003433899f50160afc4538657c,dc6682e61d86c05e05b739aedb21f80a4dd5335e,,False,False,False
10,refs/remotes/origin/delving,cad30f077015ec5001d8cac654657c888cfe6963,35b5bb076c0d435562ea6d872c67f683ac7577db,0488f299bbe3f7fd5ef1d2dd273c335cf5dadb4a,,False,False,False
11,refs/remotes/origin/delving,eb155820ab41f439dde6316e2808aae815e5ef97,ed6e33dff5640845987e3fdd6ba2a24cfe195eb9,a3ca16205240fae47cf835bfb5a9cfe48148141f,,False,False,False
