idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,left parent test coverage,right_tree_fingerprint,right parent test result,right parent test coverage,parents pass,diff contains java file,test merge,sampled for testing
3,refs/heads/master,59ae72e862fde67cc5bc2bd960f32cfb335c93b0,66ae4b15e9547885f2f7a762adacd54c1c8f6f36,e103b9cc43e50ad743e513429486a93451f76889,,5400e803fd0a7a0f6f32c93302e33afeeecd59af982d9f8a3058318fe35dc346,Tests_failed,0.0,7ddf059d3668c3ca2075c7a235a4c2a307bd35e3b3c8ef6c1b1b1c917eb895ea,Tests_failed,0.0,False,True,False,False
4,refs/heads/master,66ae4b15e9547885f2f7a762adacd54c1c8f6f36,2d14f2326664f2661ee1a165734a8ba37a442fd6,a73157f08c24783d20748c4ae55692937082452f,,,,,,,,,False,False,False
6,refs/heads/master,2d14f2326664f2661ee1a165734a8ba37a442fd6,cb46b4c110c17994a0f518109d87d178e88855a1,8c16877e6b479095c156fd979dd36b95e65b3106,,,,,,,,,False,False,False
7,refs/heads/master,319f945dbd6d2d143fe5aec3599fb6c63287fe27,e58877890233ddaa2fcf4b3f3e53413b725543ab,cd5294f6a8625cb32b40ddc1be62814e40b9846b,,,,,,,,,False,False,False
9,refs/heads/master,32c9eaf84f8191f486fb242cbc0eccb01c610973,26672667720ea61833b8d84a2dc4ba8b0334b535,af5fb2128b0dd1fdbe250992a7dff0dd1b31eded,,7aafd8b75a9b7f65c71ac47b004b12eaea2745341a7dcfee5bb70d10c720bf88,Tests_passed,0.0,dac8936c48ad057a989d9053c950ef918cb660675d3d318b322adb1b99b84857,Tests_passed,0.0,True,True,True,True
12,refs/heads/master,c591155afec9a42d0344ede731cebebdbcfe939b,7a0be643b151cb32c24ea2a6256e970f2701e509,5521e0e3145be088a6133fd5a7d2df62dd23fb02,,038d663d2595682ae42b96d1b396d87832d6d8fc1ae9470ede7fbbf76c59ab88,Tests_failed,0.0,34d175705f14ac0b4421edef19c06274ea1362e6eb3fcaf36ab79f4838718a6d,Tests_failed,0.0,False,True,False,False
13,refs/heads/master,5ddcd6ad2ef14a4e35d4f1610fd75f4781ed71fd,56c546254a798de8a130ecd554e918d69887dae9,a7f9ad04082f3591a3c95cda393e18429e0f19e8,,b24149197a79f534edb52288ee1bf2d319f07e89d8720c0d33672134dc40bc59,Tests_failed,0.0,420042389dcf5b017fad3d136adf488551a612da764461ccf70d1a86cb594683,Tests_failed,0.0,False,True,False,False
14,refs/heads/master,bf9c94b5739549e96d20c2160363eacb783f2bb2,316f8bcb7fa434c0fb09b8cf86548296be8ab059,c7d0516021c0ff1ba14295cda09abe3ddb7c23b1,,88eb0aba84b962641efb9c1ee548ec06ef8d3498b3076c64d8e07cf8740f4fec,Tests_failed,0.0,43de406e7c9f36de1f1e867446a2dfcf583b7c6929d512583f76a4676080cdd8,Tests_failed,0.0,False,True,False,False
16,refs/heads/master,063ac4b48e2e048a6fb1012d7a3197c619803577,7a249e7ac994a98ccad254e02e7ac1f2012a26e5,09a3620194a87753cdc40d2ad0c7310cdfd2d9ca,,,,,,,,,False,False,False
17,refs/heads/master,c29912b7c7b269cc3a20163dad437f4566b0e683,ac6b8246d8868bd887455d6fec80b16e3e3ad97c,ea1b60231e3f69b05e82fa804090baa73c59773b,,d9e1fb60906f897a0a1ea61d94b359dbfea7572182917048f68c7eb993a9565f,Tests_failed,0.0,3d13b9675409ca6214dcef1256b0c52e35b6e33d78dad39f853ef8d84e0775e9,Tests_failed,0.0,False,True,False,False
