idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing
1,refs/heads/master,6557fd4fce7dedd87c51cc60be4d1c123638caf4,dbcc1e2cb845cde75ef881dea3ce8467db77f1f3,ccacd92974268845f8e889f07f5a333d67d1edf3,,865d10c149be3d26da200aea2d871da8d874c87c95d8e3b1ba504a7c3b47877e,Tests_passed,810c05d0f31eddee2d4e3ae9d4fc0ae5a37385b79f13685410e4066d5070d560,Tests_passed,True,True,True,True
3,refs/heads/master,0bda3ef3c236ea9454c1bd0556bb15ea2ac8071e,03c8a29606ad6cfa421db5ad84dad7c9318fe37a,7b9f0ed93a9392c727adb1bff7d1228cb9727f32,,,,,,,False,False,False
4,refs/heads/master,03c8a29606ad6cfa421db5ad84dad7c9318fe37a,11b4c5bedd990367171e4ba62ed64155e7920f94,d6fdbb78ea17e1002d57a25037e3577d201ee44f,,,,,,,False,False,False
5,refs/heads/master,11b4c5bedd990367171e4ba62ed64155e7920f94,d0737c352d43d9e4542d3f6623ba6d13073f5a6c,600b21dd0f311731e97da4df13da1f4da68d3f91,,ba02fddac5e427924d8b6408c72ba684b88d6a3e88d58a81fca92d2fd5a6791f,Tests_passed,e729c5d1edd1db8a932a5e27b61b215f5eba826ea5c67329f8e504d49a8c24a3,Tests_passed,True,True,True,True
6,refs/heads/master,d0737c352d43d9e4542d3f6623ba6d13073f5a6c,2064d8f4e87b07eead1768c99c90830aac877933,7a2afeaf422d535b89153c15749427a3eb3dcdfd,,43d958894699bedf538778e31755e092d984313381b210933e6965341ebbe4b5,Tests_passed,658c2eebc8c3a6b350fc5efe9cf15a5c4c515b2734f2f0a6ac487e547fa7e8b9,Tests_passed,True,True,True,True
8,refs/heads/master,998b496581731ac48e1b4c3bd1d7568ed8cc48fc,8b1946dead22cb1fb4b3c7c551e24973938633fd,3b702f9c1f10ee8ff688764f5f82c22f9e49cde9,,c66adea5949fde41af77dd0e448d7ca6836fe725da0d07c2e2df43b94a48e8d5,Tests_passed,ee755b8816f6bb0d31f1262709ec6999dcc47d61d32fca5ad7c7bf65c8e8a2b6,Tests_passed,True,True,True,True
9,refs/heads/master,8b1946dead22cb1fb4b3c7c551e24973938633fd,968d59a20cfc401d86a23d04181798c8bf52478c,18c80345dc20f6530c34172179ccc9140dd8adf1,,53f42e5729ede47987a70154a713b460a659b23a2fef2db651f2fe8c3dea0583,Tests_passed,0331294cef275d2b3e4228da30eee52692dc8d0af6aa4cbcdbb139a43362d517,Tests_passed,True,True,True,True
10,refs/heads/master,968d59a20cfc401d86a23d04181798c8bf52478c,913b934382eb7f71de8e97747fd1bb1c13d499ea,6193cf6fd3f3108726300e4398dc265d8e2b963d,,8e6ea732be8542c46673dfc285b215600f7e861607b6f07372227d4bb0544e26,Tests_passed,0a6891ecd4e6020ae06fdbba44eb195f0ea8e4dd38a42c35da16095e369ae935,Tests_passed,True,True,True,True
11,refs/heads/master,913b934382eb7f71de8e97747fd1bb1c13d499ea,768bf2115ffff609561d217554832eeddda87cb8,c6d41f3809d7526cbcc0c5738aef75dd7188e3c1,,c85ac7b37988fb03275caf3a7accf7df8d136f0ffb987d75a30404766d6a67aa,Tests_passed,a74afb1cd01fe29356215ca2e671a67bd0cb7ba93e33549259a1ae622522a057,Tests_passed,True,True,True,True
12,refs/heads/master,768bf2115ffff609561d217554832eeddda87cb8,d85a6630e04c77e934b06d2eedc58a605d78955d,45530b32ed25d99a2747a4190fa79a8aa0751802,,,,,,,False,False,False
14,refs/heads/master,d714ae02999fec40a861f57ab2999a4f30518c8f,d7d1ee92ff8354390114c3e072c01c8c23f517b3,5631a4b36cdcfdb06d18cef83a9d8e52681ad7dc,,,,,,,False,False,False
15,refs/heads/master,d7d1ee92ff8354390114c3e072c01c8c23f517b3,b796a8107d2c73e4af6939a4000718a5333e8ab9,21f581b112f1edfba415a30206ae9b52ef819709,,6d66f7908f7c3a1f8aed13cccb8943e59bf6cf6de4de1cbe54aa5853309e6cad,Tests_passed,4d3f8f874f456aaec3e3b394120611318a066a5c9246ec17363d69ea0f0cdd5a,Tests_passed,True,True,True,True
18,refs/heads/master,d158fbfcd5bfcaeaff7b4d1b62984ea5fe3a4f4d,5e40635ee3b2b46bfa3cde9fa1e42f3a992b0e06,f37f1278aeda8c0b64b4b6ac1d6ee37aa6e0417e,,eeb8c4c08eae5be36c3a965732fad9258e47e531af3423ae588857f63e5bd162,Tests_passed,5d19b3edb0cd138b14ce9be27b31dbf498969fe16fbdbb5fbabe6dda63741d77,Tests_passed,True,True,True,True
19,refs/heads/master,5e40635ee3b2b46bfa3cde9fa1e42f3a992b0e06,f36640d119c57fab54b57b43988b4db88a6663d8,1da0b9ebc60a0768b3de47aeffbaca8b7bc5f434,,,,,,,False,False,False
20,refs/heads/master,f36640d119c57fab54b57b43988b4db88a6663d8,c3e98f3356b8390a462628f2bb2aef8c3ff43061,78de5e8295ffc62fc4e88b9d55abfcf9d19203f4,,,,,,,False,False,False
21,refs/heads/master,c3e98f3356b8390a462628f2bb2aef8c3ff43061,724948105ab69ef5a06adc5746c58bc183870277,86fef734082c8759c4768fe47d96c325f08c2052,,,,,,,False,False,False
22,refs/heads/master,724948105ab69ef5a06adc5746c58bc183870277,839f41c46819ad48de127883f095329d007e3066,97f2afa1f0649f721436873ed80d648dea771d7d,,,,,,,False,False,False
27,refs/heads/master,0985b19deafbd25200ec2d61c5025bf3d6eb0063,bb4b448e4f404537c1c514fa7b02dc1508dd7c6f,3ea3b50719486bd3c5b75b06f83af69d326c17bd,,6428e51e22b2c37706fe544e51e9026f12c12224593a5afb1900ae67eef4d28d,Tests_passed,b1e1cf870a2aae8bc118bcca0c89fbcb8eaf0805a579e6920d114b0bcf74edf2,Tests_passed,True,True,True,True
31,refs/heads/master,b69cdb96aec30d8f62da6df1bfe87443d1b3511b,c3c4d0a8f46f63842996548f6d8d8c3a532b0343,23df33decabbbb23ede7ae38c5695efc12b890fa,,,,,,,False,False,False
32,refs/heads/master,c3c4d0a8f46f63842996548f6d8d8c3a532b0343,f151d5bba9756b8ea68d6e253f26ae3539a2a455,7f38cc8d6e393f7f6eb8f004b2991f914615c6ba,,,,,,,False,False,False
33,refs/heads/master,f151d5bba9756b8ea68d6e253f26ae3539a2a455,3bffbd5476de71b0032c4aeb23d269c2af69b5ee,788dafb17b4eb10e8f4f16e6a0b3225d9b262856,,40b72bc4dbafccbe6a25988843ca7a72c359587fbf135c4fba61ab0ade08fc26,Tests_failed,368921ee7c8e6e83c1ba2eb7a9b10db489092c305fb1744b3a6307f7ac89f523,Tests_failed,False,True,False,False
34,refs/heads/master,3bffbd5476de71b0032c4aeb23d269c2af69b5ee,263da4b30248e23fd0d38340e768437ad694d0c4,9045c13d49b7c55c96f413fe5f15f72cea81b679,,008a8c755fed1ac703033674708b9db49d3a229bccfca72b8981720f19a12c7a,Tests_passed,2750c9b74a41306eed7c298d7695791c1e70534de212f3f793a177d32ce4ef39,Tests_passed,True,True,True,True
37,refs/heads/master,cdc6a8d1a8899cf111cb5563f48254af08cb028e,c09bc96d38d6591fc970944d43bda912dd8fc17f,e3750d0271a44c4753fbcc1ce1641ac1b78f4c4b,,2ea79118e16017d56f31a33291759e25af35bece8445d391b33fb3f03a714ffb,Tests_failed,2d53ab662bd1894c17f10463dac9c60b7a62ea4ed6ff8c41ed0fbd26443d3a31,Tests_failed,False,True,False,False
40,refs/heads/master,f83485d6abdaef72cf27abda4ee7f1a7951f6063,8133bf7948e95ae843ec029b268d7409bf2152ba,859a6a9ae5b584fc1969e84ce7e3c41f0f22678a,,,,,,,False,False,False
41,refs/heads/master,8133bf7948e95ae843ec029b268d7409bf2152ba,996902ce0a8963c3aa2158c1cc285a1c831409c0,c009776e134915e5417c6642419dd20ea740f894,,,,,,,False,False,False
42,refs/heads/master,996902ce0a8963c3aa2158c1cc285a1c831409c0,32e82faf0d0afcc1c95a00675c9bcbcc89f64fd7,0b7ac182bec2630dee6a5932fa99c89e3ad9f303,,89b3f23a225ebc63042f1d158443001abd52b70500ca99d26e41cc0fb69336e4,Tests_passed,ff214d89df608a9c41381e94e5f148afba830ad861894a0c30bf8617b4f85254,Tests_passed,True,True,True,True
44,refs/heads/master,72bd95c2c319d424684b33e16bb20839a4f2d962,7967908908074ffe96d2d2b7f740c7173b82a998,c9b43af3b9a43ae35f1c574c513eaed4b4f0b8c4,,d5f87aec31ade9a3db00424d9d9aae4d536ad210b6c117b00c3b56109746611b,Tests_passed,661ac91f44878260b3d4a1ca5f8e0177ccfeb30b060d4a3fa693c81f15575601,Tests_passed,True,True,True,True
45,refs/heads/master,7967908908074ffe96d2d2b7f740c7173b82a998,84cab7c46fbc7fa3d9822166515d5389b733ccd0,9e186c150254c6da8766f23b68240aa697d8ebbb,,8f40617beb5816609d7d517e6e79039ca3293fca1a383ef3d4c3d4bea1366ea0,Tests_passed,c3ad4ce54f1594cc3211c8eedc62bf69aa25aecfcd76e5433fce62a72a99e586,Tests_passed,True,True,True,True
46,refs/heads/master,84cab7c46fbc7fa3d9822166515d5389b733ccd0,ce7a3e24280c14ce64e3fe304f4847b4b34f6769,31807a154837f5532252eb1708877326af85a373,,be1a6e851b5d07f937b640b121c589ea1e48b392a308594643d5d8955f1116ff,Tests_failed,17a6b92d48f44ef6d096d7ab484974578a80455569d79a6545d4e77daa5cb1f4,Tests_failed,False,True,False,False
47,refs/heads/master,ce7a3e24280c14ce64e3fe304f4847b4b34f6769,3d338d80f66fcadad3b60af1ee63a52d852fa84d,af41c52530fcb5debbb1508418a4385717e2249b,,fb9a2cd5d25ff1f232cf8c05bfdfed7470cde57e55d9c0151a3268bdf411f43b,Tests_failed,b0ce6e0ec53cf416fdcb4bd78c8d1b4d027dc5885dd83c3d7d19c9188f7edba0,Tests_failed,False,True,False,False
51,refs/heads/master,ce8fb539a5fbe6229740ec3179cb622dc2866057,c969f32fa6f8945ceae2a55eeedc9c381c972f35,434643f93079530eb152f3c455193a5b39612b40,,6cf759c85e2b5801de13e2d4b7ef33b2b73be3302fd77ebf131811f66daefced,Tests_failed,5ccce8e651416524e9138ac117f7b99e06889f5b3c98988957a921f9d533bea0,Tests_failed,False,True,False,False
52,refs/heads/master,c969f32fa6f8945ceae2a55eeedc9c381c972f35,c74132fcab0bc81133056d8a64a46634abf5fe75,2f342775d59d5021cbce8e6d27ec91f591d72f73,,,,,,,False,False,False
55,refs/heads/master,0fd21669e22c182186df8922b29412d185a048f8,759f8b02cf7c0c538252fe497f67d1ae520cbcae,01933f15e8b7e99088d344516c92e2fa745cbcc4,,39cb65167955cdc427686b2fdd4843780fcfa0efc8633cba92347bb2ccbe73d6,Tests_passed,c9b6cee494cd22285eaa10db35662712f9e8a1d497d6f53bf59393c5c30b7d07,Tests_passed,True,True,True,True
