idx,branch_name,merge,left,right,notes,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,diff_size,diff_contains_java_file,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass,test merge
1,refs/heads/master,868a5ca8977e0c13b792aeed7a793d55cea743ec,c5c2864195012ac574cbb4c687cf3fbeefc9f7fe,e4dd9209e4b7c7907e4d9b90ca6b4ecf490b9b21,,False,469c26fcf35e97d2cc75f5cda8a3909e52413837f4d62cc71ef3ab092ea04344,d44674e53f2a066527a88f89b0fbb4b1dbf45f74c07a1ab0bd21d1940a64bc9e,335,True,Tests_passed,0.2990413841477671,Tests_failed,0.0,False,False
2,refs/heads/master,c5c2864195012ac574cbb4c687cf3fbeefc9f7fe,c7f67d81bf76aac51ed761b0e622680f441b2cb0,94bc83741189fb9cd87ac2a39779aee04624f1b8,,False,a2c0dfd77c3eb5daab67fc1527a3370bc44becb396e06bd1bc51ec46e2cede3c,0bfa69d99af3e898aab8f2d3944b1f3c21e2e5665d33dc3ac4330056bc9b6041,42,True,Tests_passed,0.2992279497777431,Tests_failed,0.0,False,False
3,refs/heads/master,c7f67d81bf76aac51ed761b0e622680f441b2cb0,3665a2f764084aa3616f736ff71261e6eb25cf10,10ffeec5694574143ee1cab6b2217bb576edf684,,True,aac3f41f28f21d07803bb23d7efb3d48c7fc9736cc1531bacb81ff46df690903,f826c48e2bc45fae9c61fec80610e5739e92e7ef46f9b99f84e89536618ec9e5,23,True,Tests_passed,0.29868102708187,Tests_passed,0.2833184801101839,True,True
4,refs/heads/master,3665a2f764084aa3616f736ff71261e6eb25cf10,34a5e9450ccb0b89946f2d143b7cb63cd54ada4b,c50adc2a3f1f397e3d697cd5eb12d415e99b934a,,False,8dcb0498d3be573d53e98757754cf6f59743ed3e7494f2efa9252758e19725da,51f8a6701171b9a0a0d5d089aa20e5a014ac33ac9ce84caf4decf558f5b23649,29,True,Tests_passed,0.2997571864964361,Tests_failed,0.0,False,False
5,refs/heads/master,34a5e9450ccb0b89946f2d143b7cb63cd54ada4b,b0d7ee7a420adb7016118809e1fc4aeb1d27565e,f759375c8829acf8e7866797a41abb0081eef0c9,,False,9edc696d565007f1e41e35024428741bcba3013ee7aaef9cb3a6baf3c13b32f3,2432799ec5ea7a8ea63c13a0d2b0095bd0bf107a3fd41df4f0596425678b1585,25,True,Tests_passed,0.2996222257201322,Tests_failed,0.0,False,False
6,refs/heads/master,b0d7ee7a420adb7016118809e1fc4aeb1d27565e,1c7d4a73d3fb68a381f391b5493420a3506bc6a2,1519116d1f92e01088d0ae1dd7a3cefdd992a235,,False,6230ea143b08365f653ee48108932ee0e007a234cac7b309d39baef1957af2bd,1cd21c200458a96bb38352b5294387872824e9508ff39eb2438dfbd2dc0ccce3,18,True,Tests_passed,0.2997165800661313,Tests_failed,0.0,False,False
7,refs/heads/master,1c7d4a73d3fb68a381f391b5493420a3506bc6a2,29f86d7ec0086284d18ef40cd2ee707fe3ed3645,4ac69cd66bed704dc204ed9f1406475c261c7df4,,False,bb8dd7eca7cc274ca33081282ed6dbce8a217b65310f9688d95f6804138a6598,f9e858aae92981899878d472d140d9270f2224f97a5da56d8430bbd590d60a47,49,True,Tests_passed,0.2805743917032309,Tests_failed,0.0,False,False
8,refs/heads/master,699b16354e9d69c8cc1321f518dda06be278a283,daeaff57deadf736240ccaf69bdc5f7146b16a71,cd83a8ea104fecd8673ca60eb3f39a607761534c,,False,0020104c688c2f9b5f3a8ccc3a18385d3040bc34485fc8cd2cd37fb2eedd7b28,36ea77ed0fd0d2c3297b3fcb229aa02ae325b15c6af57ee3af749dfb06e34693,20,True,Tests_failed,0.0,Tests_failed,0.0,False,False
9,refs/heads/master,daeaff57deadf736240ccaf69bdc5f7146b16a71,ae6e7fd9c5d3ab805026c00491f9e6265694a36e,e3c08f58831b7392569e11f3337258a2f7d0fb7c,,False,24e21252747b76f4374f9a9f91af79e7e744369f866f5a3a9496ca7cb3b2b278,8e6fa272b424504716b62c3d3c4ab5fb39c9926ae5993f5d84c3d9a055ebecf8,6,True,Tests_failed,0.0,Tests_failed,0.0,False,False
10,refs/heads/master,ae6e7fd9c5d3ab805026c00491f9e6265694a36e,beac11cc50588bbab83b8999333e0f041f10a754,38c443d84f9299aaac181fa4b02b7cae3f220b02,,False,7e534718971e29952b5288adf9cc7ef28c036c363a26779379c48be31601f60a,21644761b2f79faffb55624af8b7bbd5dc52bf734cee5fd0212fd9bf6a4022d1,15,True,Tests_failed,0.0,Tests_failed,0.0,False,False
