idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,sampled for testing,test merge
7,refs/heads/main,d345d2903261da5654653f58df810c3fa413e32c,fc28ed27cd6a5acf9782cc0e9b347c174641f8d5,fe7746569157164a877881bd43e9148eebf3fa46,,False,33,0.0,Tests_failed,e576c8aa23c570ec7e95491a8da7c0b2913b56af1ac29283f59564ee4ff4be3a,False,0.0,Tests_failed,b05dfc11a51cdaca113d55145168f10e2a65a2e70f58a3d2bc8499d7cf65eff1,False,False
13,refs/heads/main,4fc2b20da041e2092eab43ffb4470e52d06ad049,ba54936f7788ae664eaa7af347d7032658da5ac4,10d3bcf8064e4e48e539ee8cbd43e6fdc30b57ee,,False,56,0.0,Tests_timedout,b122a4245988901d8ec256d327bd5e7148318b968b6af36bcde29594d37f2452,False,0.0,Tests_timedout,3ec7ce0ff43402b2a1d99ff3fa366bdd629d0fbd084841e86a21e2c95a9e3aae,False,False
24,refs/heads/main,455b8a859077735976c615a6c5681b9c5407bfd2,53d5b1a2fc28773fd2e88f7bd7b1e3e256b2565a,d21b5aff9352a25f2b907af5732bb33e47560fd2,,True,89,0.0,Tests_timedout,fe1cbffc6cc2df867f466a6db6e49ae980121435dc2b142f478e28b897d2d3b4,False,0.0,Tests_timedout,00c5e299612502a501df4764b99d6bfe592f3092be2555d048a59b1c743a0663,False,False
33,refs/heads/main,47b284d131daea2a614fa047dc1beffa01609b69,f82a9dde62f1d421fb8b6f980f60d905fce9b069,bc2b7fa33598258f4dbc8a705684610815ad8917,,True,264,0.0,Tests_failed,b7dddb9b587897a2b0e61dbf0a697c0903d4d3eaa2996615044bffb116043488,False,0.0,Tests_failed,7fd01151cfe433329ae7df7de17515ac9f7789c5a687b30426d51c3badcc90e1,False,False
35,refs/heads/main,87c54d4c739a3da2ad2c6f2400e01e887ae057ff,498d01917b58f0f1c0ad2c175942bd52d892ade7,ea99dcb58688900608443a431681a3c710ec1de6,,True,30,0.0,Tests_failed,8fd767e2a486886d661643dd7ca1622606bc353ef91e8c20dc00c328d0ef8a03,False,0.0,Tests_failed,7e3532b37e421828affb4f25af47ecb415467a76589b18c84eb2876e03cbbd8e,False,False
38,refs/heads/main,67916f2bd479d35db4182a74f667155c207a66e4,30014f5463646f6a0df65e6ded825f104e1f8448,c71f24badf50560f39d5d156fb8278db913bca5d,,False,35,0.0,Tests_failed,cc8f20f492c6fa4a7ef42a2a25aafc40a70d359e74a6ea7c236af2ea04b6a159,False,0.0,Tests_failed,75463ed745d214c13a1f08b7928a6c8442e9f9fd90f7a56b6ddf4d5985f1c2ea,False,False
42,refs/heads/main,6d00868a18947f6292a6ac1e6403b7116bc64744,aa5fc326526916f6ddd24976db280a70680c609a,311dd474695184c31db3c11ca79f530378344024,,False,6,0.0,Tests_timedout,6a1630bc3cc0681b83dc293122a2ba1977f4eb8a288c651f49c0890b82f03f3b,False,0.0,Tests_timedout,bf522917f55a63f24ec273f2a709ec93b3ccbd072fd212d92f731bb62ca172a2,False,False
47,refs/heads/main,39246e24fc20ca083b3e30240030664645110e53,35811d8fe58288cef6aa14a44c3e9982cea1ef43,584e4914f6fe60fe63a3ba20c69ed2e8da61bd61,,False,39,0.0,Tests_failed,75ce431018dcfeec6c863225d9fdcd91943187ed2458fe1616df3f8e3d90c248,False,0.0,Tests_failed,1d72693280a757381493ee49d52e67ad5c3dc4870891a5c296707edf0494f879,False,False
50,refs/heads/main,01c875c2b3fac3c3cb41f31e5f19fb055335327f,f500a73405f22409d4f10d26533fa4e0a6c4dfb8,b2a75ff2baeec54ab8c3eee750a32c4ca389d782,,True,310,0.0,Tests_timedout,5e08bd8bf83ed93badb3002bd0f71c892cbb938918dca0007c8806306bfbce37,False,0.0,Tests_timedout,ebf3f85a825c83271c6b9cfb51653a894fc3b10356bd8f8a046aae0147060400,False,False
51,refs/heads/main,9e03856049c2884850efa4389789e8de5d86464c,8eb255a6f68485c11a8df548f386d44d9e7b0b72,257d087fb604b71fe38766d0ab498fc13657abba,,False,1840,0.0,Tests_failed,01f1b00f2e649dad1b9a5b8755838fcdb291cc64fa7562440ecd9c0f51344c03,False,0.0,Tests_failed,cecb9462fc14e3dd40e4740d4df525a2d1d2204dc25f1aeb50fd1ec285337f8c,False,False
