idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,sampled for testing,test merge
2,refs/heads/master,0338f164bcc061ecdd6ea4bd402cb4d87f2dc81b,54b8b9ab269c661ae3dceb11735a9ed43b13eff7,3f6d9f7a262fcb96a237a1f92b88403608c76f59,,False,14,,,,,,,,False,False
4,refs/heads/master,7c61e1c089a8e67b22f5755ae225c6afc57a4453,fa50f563ee1301fbbd3f58e22236369f2d8f538b,a7cc081207f19136d329fc2a7d45d6a432792db8,,False,4,,,,,,,,False,False
13,refs/heads/master,aff3c8c2e9275d1d524ed1883794e79f11f57e31,64e0ddbff87850aa5439fff8f762220080553e70,32c61beadeff1a4ff00899b7a0792de3e32c4d2f,,False,142,,,,,,,,False,False
15,refs/heads/master,9c89b9f651471cab8b138c45acf99de2d13d009d,659132f2b326fd21aad946bbcf3cf098bde8cbb3,5bd64ea7c06b3e45a41b04e9e230980521fc3b84,,False,211,,,,,,,,False,False
19,refs/heads/master,9dd479841addf836661d8acb523429974d029268,6e062eb16b9f4676749ae1d04e6e554622829666,b5be52ac4da86dfe8511d2eb769d44b86b802fcb,,False,51,,,,,,,,False,False
20,refs/heads/master,6e062eb16b9f4676749ae1d04e6e554622829666,8d9b5f856485cde77c49c4eeff9b43eba323f1d1,9f7b39bdb9cd9e5ad5c29811e763976968d6bebb,,False,4,,,,,,,,False,False
26,refs/heads/master,c66b960c9ca68058138d9e4a469273f8bd817cc0,fc84a412fe6de600c5d778e043ca48461ddc2189,e573fd968011dda3d3a8ae39a1bd5923bea4c19c,,False,317,,,,,,,,False,False
27,refs/heads/master,fc84a412fe6de600c5d778e043ca48461ddc2189,15ef2a41ef767c438e702f40274caead4999b411,7d0795be3de61f4194667d29a8012b932280fe7d,,False,291,,,,,,,,False,False
32,refs/heads/master,2c2576f9e727d4f8b90263c6c4d608c74c896c04,112faa89cf5a199a62d1b8eed7debeb7abac2785,59b5d71173fda829cf5548e1e0c79ff1b6d26a14,,True,2953,0.32004782781984853,Tests_passed,660e1c6fc2cabc946b3ca9c002ff523425cb18b6854a2d20a725c8774fe41469,True,0.5709057639524245,Tests_passed,a039517b4fd21d3a6fa7a0835303615ded56afafb5df818034b6d6e0d3d97f81,True,True
34,refs/heads/master,8a29221353368d4d290973e4d8ebe90325567793,1758fa70e7a74e72c0a4ffad99cf6c7435676173,840c591a5e5cf424f5f1745ec911a79d2cd1185d,,True,2946,0.5721210533211057,Tests_passed,9e6663596a779a6b3091f01f6e904946348a9e3dc9e332460762642c27114cd7,True,0.3093308938839519,Tests_passed,0bf72301352fd98232923cf9535589946937d73fc1a2bb5c15989820dcddca5c,True,True
35,refs/heads/master,44f093264e27aae37cfa6c7a23b1727c01ebb4d3,3d6e613a7c05f7d9df4077a57831fe0cff8b4c20,6f69587843993f678291816ceeb18b9b21c39cc1,,False,55,,,,,,,,False,False
38,refs/heads/master,d6e4fda9be04aa7abbdf923dca948806efae4ca1,42e110380548f47c8cff0dae3d5289b57271e678,26aea9eca4eb56fa34c9306f50ca5865cfdaeeab,,False,11,,,,,,,,False,False
41,refs/heads/master,e3dce12a9ad8b6a7703244a5f92cf54ea22b663a,172ee7f2b98f8e4495e0dc91050251788d84bf9d,db633019a0bcd52a308be10c5c96842786504ac5,,False,7,,,,,,,,False,False
66,refs/heads/master,b09245f4cd9a3ac6d4fc4fb341602a30e7f13983,30fc89783391edaadf99bb70214d91761bdbc7c9,5c46f18fca43f06ac3685442dd9602f05013254c,,False,14,,,,,,,,False,False
72,refs/heads/master,210897a17dd67e14aaf095823171f71d8ef55688,049af9a8ada90902e1454f735538ba735050d5eb,e130c2ff738aaf8247cf4eaf0c10dfd8779c9cd6,,True,151,0.05892857142857143,Tests_passed,bb4a765461965f554894abcf24a822127578bd59c38b6307a52cb38c860d6c12,True,0.0,Tests_passed,f8cb941754a09f3773c0fe20e5840a101e902afb3003d1d155b5f06324561f3d,True,True
74,refs/heads/master,2619e47377f1f331beeb207a29885c6cf11725bf,21ca7419581a57fca98c5fa91f83225fb892190e,da837cd248523731396f2c1b8b1abd17470c589a,,False,15,,,,,,,,False,False
75,refs/heads/master,21ca7419581a57fca98c5fa91f83225fb892190e,2441d37f41b5b1b4226faa38fbc0e4dc5c3c478f,ecb4879d8a079845582ff792afa27479fc228e46,,True,20,0.0,Tests_passed,d773e9f10c88e4173add243d98f161a823a43fe5dce830b30f6056ed05e88bd6,True,0.0,Tests_passed,2f33080aa0d773191cc3be48fb982a7d21a7aae8aeca9d387bfb0e953969169b,True,True
