idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing
3,refs/heads/master,0976313d70d45f70a84f35e0494afa7cd7bd62b1,ee75151aa30c2a2585d8a241cc7c9dce586f2161,3731a7ca5f80b24813d953af288c01adc1413515,,,,,,,False,False,False
9,refs/heads/master,a49fb8437bd7a2b9bbb44e7d47637755eb719d37,6eb5806ffbfe696147daa42bc629fc228d7c55fe,fc760c93a3e24806034a84785f58e0c31f5198ff,,b80976bd0cfba5063e9df707b52b21b7357c376d6a99b6dab770909b88abc1fc,Tests_passed,6ea51dcfa7887b2360572828ef6404038410a91530203b6929313cb06f4177fa,Tests_passed,True,True,True,True
11,refs/heads/master,233cd8e9752e9a55881fb4ff05c92be813e3cc37,c9c7e9ebc933dfbb7373f27a5d0212a16016703f,9a331246f3be90e56a88a44fb0a91f779edc2298,,1a9af774294c754da206ae93fdf23bb69b98e435099425a3048ab4dc5e2d900e,Tests_failed,1f57f42520ca1cbcd3497f0ed4067f6ecef6c8b5765faa8430010d1531c21e43,Tests_failed,False,True,False,False
12,refs/heads/master,c5aa815737f1b5b97b51e42c7bc3736edf41a335,6a8f72bbb547ec837774fc98429e4f9a908d1153,ff41f4020da64fbbf8e7c01cf6403dc7f51c6d42,,d3136c99e9d93ccccadbba8f6781af8494c4c4a7d0ddb9cf5fe5fa874076c51d,Tests_passed,52cc4f3054caef5fa69690c93ed6fb77cd0cdcb49a8efcfb5f028039e178a885,Tests_passed,True,True,True,True
21,refs/heads/master,8c688cfe737747942224bef6b0f1982da8269b72,2659fdc6893462065035003fce8a8c115f541c0f,092e3c1973cba105a89ee9a65bfbc5d431f122f2,,9c3fa6235ac10c658f6a0ca59b591215bc4f04ff44e596f8d08bf8b71cf725f4,Tests_passed,57641728054dbf904ad834f513d464353c82d14d09f123d8dd65a460a3beccac,Tests_passed,True,True,True,True
23,refs/heads/master,092e3c1973cba105a89ee9a65bfbc5d431f122f2,261630c87520d0ebe7afaff5ee677076fb6c3e86,8f66bd6fde2cc8bfb7754c672f5629b02aaa5544,,,,,,,False,False,False
30,refs/heads/master,dda45bc8a232ecdf17c882e129888de4afabdfcc,a04760f01e2bcaefacd32447f4c11c028e267b7e,1ab49ab2769b9b292b0bbde5330bfcd78c109885,,347a195fd0eef437440d273eab5035b82ce2656fd04050c00a9b967baacad14c,Tests_failed,3b6e88881a56d72b0d29ecda93f0b37c541a0bf548073311ccb7fcf8259a95a7,Tests_failed,False,True,False,False
34,refs/heads/master,bfd3cc7ce13dff2d8cd0aeb99c1f26acb9b03a5f,1d25dfb7ca6d3efb6f860db6cd28d17208d03e0b,cb80df69c398335b8351d24ff6a93383544a8ab6,,234ec1f5f9763c539188ae76fd62e8eb5a28b4541c4c5eb4b886366c4ed8b410,Tests_failed,39767a523816d870a65310a51dae27d01fa837fa9032d14a7aa0e53533b6e1d8,Tests_failed,False,True,False,False
41,refs/heads/master,f59d08e331a5ed2a9dc814691033f67346865fc7,50cfa05e8ca10072416067555dee0b937f014aca,2ce20e25b75a201fb06a236ebcfdae48d91fdd77,,,,,,,False,False,False
43,refs/heads/master,9bda8c0cfbc1d09b7298338753711f0ab694e988,6dd48b772431e95ab5a24e77006fe2ca8ff84678,5dfbc31f52aaf6870942c0a6c43e1b34e418f5cd,,,,,,,False,False,False
46,refs/heads/master,d7e1fd1d5c6a91e1e2302d292196c4367d6b840c,deebc1a5cedae9e61af9d9203767d979598b6c4f,f058d804f0a55862dd642f96880d463e275a681e,,6ee0fdc73f83d57cec467c12bd55b50db0016fccaa8404b86f538509f737c5c3,Tests_failed,9a9ed2c0e0e3b32ffd1656a2b037ac62a9a949cc9a6a0a9f16278e482d39c310,Tests_failed,False,True,False,False
47,refs/heads/master,bd0f6a27b7f940eab93b7dfb8154fddb05908547,248464ff74d71e13dc33b2b7b843365ded32a677,311eb13f8f55cc4714ad352bf55a5d521e9bd1f3,,72cd1a0b53dd043bbbd0fc3023b112fae19a1b7f13a749ac8f807a9c7d5e00b6,Tests_failed,8d8a0f09c43200cf2afeb82c88d38c66ae761fb0639e0018233c28f225654ec4,Tests_failed,False,True,False,False
49,refs/heads/master,72e144f30ffb40b4c592227440baf6ccf6b44708,68a7081bb0c560aff71d60b3c9bb9bd29e8d96cc,7a587c652189467c22705c94d75f6b5db61ddb3a,,355b7d4b5bd28ac747ff1c406bfdc35c8ddbb5d10377ef29aedfe1eaf4c2ce18,Tests_failed,436d42a57bad0c3345e2d3506955eafc5bed8420d7a209a9bf821bbcd769e3f7,Tests_failed,False,True,False,False
50,refs/heads/master,311eb13f8f55cc4714ad352bf55a5d521e9bd1f3,5e139dd8825a1be175f985211294b2496216f379,e1c57ccba54a4494b888deae1a64c5388f8a0160,,b4229935cc4fb10c61921fc98ba5fb4f3338bd959fc4e563ee14f6cde91e5faf,Tests_failed,cfa1f1891fea7f79ec93b8004433bbcd8b2e155d2aba0254cdc2c21d7c496e05,Tests_failed,False,True,False,False
53,refs/heads/master,d8e4067c1382a05337ced8ebc46b244b80022975,2654c5037ed09a8f8e11b731874b1aa6567ca234,8cdfee4a5e9da80008861b3b18cee9c0e9c94ce9,,c04c6c5a3048bb9863b1fec31e33778ad29687a3824b271d307db61bad8e7802,Tests_failed,d3f65daec43b9f1eb4c0c404838918c959e32a536d768a04904dbc2192b9feb1,Tests_failed,False,True,False,False
54,refs/heads/master,8cdfee4a5e9da80008861b3b18cee9c0e9c94ce9,d05e97e5eb7b2f9eb5f68d63c33d650e23f08edf,0339db46f82dca06128ff886252dfe8d68b71b90,,,,,,,False,False,False
56,refs/heads/master,6c72cc8fa6f609dfd1e19479073c4b94e0ce34ac,ea68af92d5e76dab8f202a342d58b474ed0dfc1b,cd3e7189e751913be640692c1a7be5818996c45f,,3f55dd91bec216e895ef90d1a8f15ecba46473d96bfa3d75190f47337107c977,Tests_failed,c5bbfe7b3bc8952cc3ba9586c1935cdf731f39602cf100fee74b2bdc59e11ed5,Tests_failed,False,True,False,False
