idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,sampled for testing,test merge
1,refs/heads/master,df0a34d53ed44a793f01ceeaaabaa69edbf1b0fb,4048a793ba270a056f3ce7db2735974ff0531dac,f75d1f6f6ca5cf2926190fcfc82968b3d2b14dd7,,False,169,0,Tests_failed,9adc3d45df74d178e84a74582388de10581b6033fe33ffb4b70e5ce2aca157f8,False,0,Tests_failed,80c8b13ea77ef70739d688b76ec4fe4c7d3b4625cb6bed775670aba45c83a977,False,False
2,refs/heads/master,f75d1f6f6ca5cf2926190fcfc82968b3d2b14dd7,e24b2bed915a5d014c1641e976ade51c053a8833,144be1e605a059d10f76dbb67a1b870b2ae9a163,,False,6510,0,Tests_failed,96d08ba4adb0c3e6508122b435a50bf92503d7664d6eb08ed313044a60dd56fb,False,0,Tests_failed,dc027be140a6f61519beff97c330f84b0b78076c0ff7d1de8a5ae334428c58f8,False,False
3,refs/heads/master,e24b2bed915a5d014c1641e976ade51c053a8833,5d7af51e6887d2fccd3bc482f6a9fe4375904834,db3b75b05d85bae4ce60c299cfbb86c372ec17cc,,False,6439,0,Tests_failed,ab7d8d4bc9e3b4dc29885aeb66923c136d1cd4b45a0814f34b41c9d28382b7f3,False,0,Tests_failed,acd00f7543d0315bc45836c95506cab62ca49078fbc2b7a60a22060639396b99,False,False
4,refs/heads/master,9f08a121a7cdb9854c925bbf5e4521a2e080f8b9,d714569ee209946d97fa5b35c881d2b500314927,1e902b4fdf55624b6b42cba6e5972d035c56c50d,,False,6441,0,Tests_failed,a03b7056ea5263e8c0a6f16c001188242d42845632cbdf5e08c724109cef918c,False,0,Tests_failed,f5de87c2a1f32d707c2428b91944405f1347b56efeb53723b3148a96f1e24f78,False,False
5,refs/heads/master,13780fce3aca5fd4cced659b1fe6c1cde9439741,6b67eec3a9392e30cddc72be4ec66fa9ff35efad,a99f7ed47bd4ec053cffb366b00ca3c3dc7d4ee2,,False,6369,0,Tests_failed,ee2e114768d8599d6e06ee29234f6163177a2856be92c5b83889110c3993723b,False,0,Tests_failed,cebf55d7b4e475b6235494ad37c5cd886c42896b8f40a2e40b220f9fdaa5e4e6,False,False
7,refs/heads/master,c992e2a40e5eef67ed158c15cdbf4c736a073801,bfdaffb78256323da70140b8b1d7870f779e2294,cc78548598c7608b0df7b01512fedf9507a694f2,,True,9337,0,Tests_failed,97c15456c091b2c176a0009168914764f8eed52c01461547b7aac0a11cc6c96b,False,0,Tests_failed,bcbdc8b5b92c11d2788bb6ef1bb54ca65214f5b20f04a2d8b2f1a8ae82da2ebb,False,False
9,refs/heads/master,cd20d5c66622fdcabfaf99f28224fc1f2700ec09,f3a6466d7570903f71145df9a2d97e4a703857b0,026a864aacf23050980cc927eef30306d4ece3e6,,False,447,0,Tests_failed,3352a0272de5eb343e91f3428b0e1670c9f216a285f4f805633a466735764f15,False,0,Tests_failed,13d0f1d1b19893a4176e0c784e1c86995ee03d798c1331465b8ddbed4fc96197,False,False
10,refs/heads/master,f3a6466d7570903f71145df9a2d97e4a703857b0,6b0368eedb27ce33d95353a1a9d0f8ff65851369,b1df508ad8a0adf5294931477bfc4a8fe03d7378,,False,55,0,Tests_failed,a40bd95a11eacaf2f3ae4cd5253f4f9122827fb0177912482d3ebc2ac2adb157,False,0,Tests_failed,0c3ff5642d685422d1a89e1217cd548eabac46477ba1b7212680e033b9c49633,False,False
11,refs/heads/master,6b0368eedb27ce33d95353a1a9d0f8ff65851369,2882454e6977ae9b78d6586626740945da6ad405,56325d87a28d027c8295aeeaccff4be2f016ab4d,,False,22,0,Tests_failed,53b02ceef7f96554a8e6a5a5782c3344fee4ef14d6bda0e29ac29cf94bd68be9,False,0,Tests_failed,e63f2f7b6e38d8af947af493569b5781ad69639d28e32309b436d26806ab57a5,False,False
12,refs/heads/master,2882454e6977ae9b78d6586626740945da6ad405,c50740b6278b297d4f8b08fde00e2b6a1d56b6dc,c0ce9e950aed93d1e899adc57e9128de1a0d51e0,,False,2,0,Tests_failed,50a15732f4891f91f35f5dbbeb79ee5062ef42a6956b7ce08d74ac375df28494,False,0,Tests_failed,3d3d23c58d49c2df73ea54130aa118297767e90977832ca41a2dc48f9ed5f8a1,False,False
19,refs/heads/master,15b766ac9176e14f79197c8ee98605f03a05a198,5cce6cb8304129fbdd1ecabde7b96aa5f0488c85,de5f513a1f7127165380d00f1daa5c3052c5f3fe,,True,3542,0,Tests_failed,b90e79e022d57c672c59b287a4971ebd3ee9b68bfd188311b91736fbc9615387,False,0,Tests_failed,8d19c2b3dfc07bdd2cf6e9edfc68ccebba638d1b068b19637cf6c76035c9fa0a,False,False
20,refs/heads/master,94ba5d6048802225052076231200037f121b4910,95988002c7049784d72e436546a90d3413537a42,cfad32da779ab0ef295a803ed4cde713e6a2df1c,,True,4130,0,Tests_failed,b5934753346f0780355312e859ecc2547f516f7f308ac3a4311666335a0ff26b,False,0,Tests_failed,a22e00bc4e2b370ea52cc5a1a62ff0bec9f59f0db9ded87930c4518d45573745,False,False
21,refs/heads/master,95988002c7049784d72e436546a90d3413537a42,ef684991a1c4225d7623a03b97f241939b8937cb,8b945cd5b720f9c798d5f6078773582a3070419b,,True,4133,0,Tests_failed,cc627b50d4bb6043d5fb45aa865c706497f705a0387099e97d48cb162ad919a9,False,0,Tests_failed,09282bc4582654451b107c4575171a12194252fd85d370960fa07b8b5995cf26,False,False
22,refs/heads/master,ef684991a1c4225d7623a03b97f241939b8937cb,cc0ac6cc1597c5800fcec9a167ddaca41678ebb2,d8c9e2cdf50e52f69ef11c6149b44e805e2b61c0,,True,4125,0,Tests_failed,05213031a98c9cd3702eee36d8c14484bcd06e4925eec5bb279e36b61993225a,False,0,Tests_failed,66b1881eff128b9a825611b7259cbaace4eb1c1886798b25696bd397e9341515,False,False
23,refs/heads/master,cc0ac6cc1597c5800fcec9a167ddaca41678ebb2,9d119b925d59520d57695b466f61226a8690eda6,707dfd2f34f55f08cd07c865a8e8ccc253f7900a,,True,4109,0,Tests_failed,223371ed4b26de9bbd6460b813496bafab4790b0e05f14eb7ebab0936c9e87a0,False,0,Tests_failed,eecccce943724a9553e218cfd7d87d2c3638c7afe6bb4068f6be1aa7d9c0c760,False,False
25,refs/heads/master,ccc8d90d0954762a4747992b39f63d9f995a50c6,0a31c9690d546db1bc32cb83ce7a26b6da74bd57,f1c807901cd99957837b2237b106c7075c8840ab,,False,267,0,Tests_failed,3ba7640022e9fd9618b4f49e74451937be24ddf869f83132b72cc28636951ecd,False,0,Tests_failed,97950ed08609a58057ce305482463ecad54e1b03091c8a48472efc66d601363d,False,False
26,refs/heads/master,b7f2b963aba80e47a27e5603fd4eac2b399a6b21,bf8e4541990c2c7f8012ec22b27888e22a276413,1df8ced2cfc6761556f52bb5e36fd292e3dee154,,True,543,0,Tests_failed,a0110a035df85b0e514d6a82b1fbd6e53ce1329629f01ba4c99f7486023c657b,False,0,Tests_failed,6c95a73baaaeab28ccfed36539559cb714744053151d717c31e244b32de06946,False,False
