idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,left parent test coverage,right_tree_fingerprint,right parent test result,right parent test coverage,parents pass,sampled for testing
1,refs/heads/master,990177753cacf5855c2ff3d3981f039ec997a544,214d5c98e258074e0a7cc09f4204c590834ab994,5f5e906799201f62c3c840e1e0456702407b31f7,,False,True,b5bbcc0b1440d5ccb2dcbd4f0adbd38f7ed007c596f9677f3f94f76a11858a8e,Tests_failed,0.0,4d30b85ec2db6e8f3c9af275e4885e96cc9ab45739204687921718b6ae9dff7e,Tests_failed,0.0,False,False
2,refs/heads/master,214d5c98e258074e0a7cc09f4204c590834ab994,385e97a0de2f9d25801db0d7224c0b1e2646dc07,bd1b08c13f68912c037a2f0d745e9b5a08bbd4f5,,False,True,863b6def9983a59942c723bbab0b5eb50a93d2f0d35883d6f63aaa2a3cf06292,Tests_failed,0.0,58937b3c80f0ed03b6a27b04441d63d5ebd865fd4713cac77176c1ca0b227f1e,Tests_failed,0.0,False,False
3,refs/heads/master,f2d6c76a7a35b2051f6f6e40903fc2f9051b4953,ca161594a9a91c94467fd67e4318c622b5f2aae8,cbc939ec3d18c09352c0d3e8b890dc2be6459e65,,False,True,58200cabdc938b6e296693f13e920d3988cb91bdab7af115bfd7382afae248c5,Tests_failed,0.0,7998784fda06c90958d5bddae5ae38d8b4077f859697d7182867c630c3044895,Tests_failed,0.0,False,False
4,refs/heads/master,a7bf0eaa39f4f8ec46985cecab6c7186aca51e40,81d086f07405b205fe70c697431c8c52826f1c6c,6a9104823ea738c1a85d0c30dfa034a46e6224d7,,False,True,54660a8b6bd98c74e0f523342f9c60d7745d79ed6b0233542494b7a29b3e8b9d,Tests_failed,0.0,968bb9bffdf40c2d4753747e66d0216546dca4333fa866bcf5a7892ec409f073,Tests_passed,0.8962818003913894,False,False
11,refs/heads/master,1b5b73c11b2de7ae8d3d8a19896f3f27285bdde6,d03787db11502d8049d92e00222768a7b8078362,6c843f51c65043556771625216c64fb71c5a9dff,,False,False,,,,,,,,False
15,refs/heads/master,ed9a3738be4cd7bb2b22667333e14da59162423b,8c5516c80aad2d1ff8e2acf5c47a3c546bd97356,a50e3425eff18b05e2d1079534d748294418ec6b,,True,True,5111c43da151bcb8f8a7ec123c9ba38ff3009c1df9b5e719626826d4da4c0f72,Tests_passed,0.849112426035503,02e99a918c20b7531318cac202a7b4826adecc8e87f5eade347bfc3adefc745e,Tests_passed,0.849112426035503,True,True
16,refs/heads/master,8c5516c80aad2d1ff8e2acf5c47a3c546bd97356,a9299526bf91f50345e53e2a6da7b343dbf45369,3a4a57d7932d356bc08b00bfcd952ef04f7c9ec8,,True,True,dfe7a145067a3a739ef4cc2a8ff9906e72bf7355e7a457ee293c33e95ab1dc11,Tests_passed,0.849112426035503,199c370931c32adb05b60cfc25e0a4920c8a281e5105d952ae8b6e469c002f28,Tests_passed,0.849112426035503,True,True
17,refs/heads/master,a9299526bf91f50345e53e2a6da7b343dbf45369,17fd8259d5daee49bc205ed9dff7ba4d2f49e617,7bc81612a9c859729a1168246ad641507625d022,,False,True,2ebecc3f66f5eda4ab80d31bbbcac4e36db4ffd0898c9e736d2c1ce7a07a35ec,Tests_passed,0.849112426035503,c2893730d0d101d6043e89b4cd6f39d67920b750f9eb0943984d790d79992f53,Tests_failed,0.0,False,False
19,refs/heads/master,695fa053a793d9e221946eeb7f1ad0f50886a656,7eaa9de4667b1ff4d0989ecbf9fd6f6fdf1d48cd,fddb140d133955886b9538fe116824f8a28c52e7,,False,False,,,,,,,,False
20,refs/heads/master,7eaa9de4667b1ff4d0989ecbf9fd6f6fdf1d48cd,979119351a48616a778e66b3b083736be7d9d815,c9e16c83c0bb967077372ca51c1e458d9c5304ad,,False,True,0989e059dbac99ed06e3a90e15cf0b1511b70a456089ecc095180c193cc35543,Tests_failed,0.0,a2eb7e98dc42714602ccbda60c622a929f9504086b2cd4d03046c1dd3d102f13,Tests_failed,0.0,False,False
