idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
9,refs/heads/master,a699cc4f2331f421e3f30cc40973b6e015db0746,d04aae2bb80c84e7e8c5f61c4533b30db771eeb9,1a3e9786580f328d457ffe47b633b009f34a527f,,False,False,,,,,,False
11,refs/heads/master,4aa8843d1eb715de59b160778b820bf7540ac8d0,327a1f06f01190cc1fcc025ed3aeaa57bac0ec05,60f10c18eff1a22f242284c462ec746934798187,,False,False,,,,,,False
15,refs/heads/master,a8fe26bcd96ce6c409a060f05e00ce7777268ea2,bc5a976c28db98cd8d4fc9fe0552f8c505d5d807,e6c38a721facc6f66ecc950d439efb3ed81473f2,,False,False,,,,,,False
16,refs/heads/master,bc5a976c28db98cd8d4fc9fe0552f8c505d5d807,954697bb539f013be0594212ed4033083a566521,52da34a0f023f27b1db3b0f0f4cf5d2663b6d2d2,,False,False,,,,,,False
22,refs/heads/master,2a7c1c04c4e983b670a3e923b5f17917d7b248be,4e008b77180c94cd2aeec89f13887ba53edf4e9c,bacb699b38e6f28db342df715ffb85d48ecebf6c,,False,False,,,,,,False
34,refs/heads/master,7466266ed4c0209508bde8d7f573af7469176a72,4b8ccc58e363c0c420eba2120c6b6d3fb8028784,0613f1ae3fffb9d672c26aecde921bbb8fb0a87a,,False,False,,,,,,False
49,refs/heads/master,7fc4921949a57eaaf6e0d1ce9ccc80494b983d45,c3d7840bb39d800393db8ea6992cf997f73d768d,3063b3673630e3149552f3826fb4613ce27a5df3,,False,False,,,,,,False
67,refs/heads/master,bfe8f5e32c169aa404d3ed66a74436c45414e4f2,801cd52381d0a9986f0879254eb47de8957b76f0,bb673e1c0241fb9d7e42d6afb9db6b369117d3b5,,False,False,,,,,,False
69,refs/heads/master,4d0a9b9797cd411eb2ba9f0a4afb259c895b092b,6f4f4515bf8cf3318cb19d1f571ab59d90648932,3cfb3f2c473ee97e25e1477316fce05c87700ed7,,False,False,,,,,,False
81,refs/heads/master,f3880756c7a317b565d1485eec81c6732cf58396,5e0501cfd7c695ad05c708b9cf264ab014e4f8c4,b00eb993fb5d4d5076fbff896321ffc7a90b243d,,False,False,,,,,,False
91,refs/heads/master,e08646825c4b3ffc7e2c8b9b7f6794a52e4b7b7d,feb23446e0dc3a3013cf9c3c3f8054979cb8ef3d,111dc14da011c92f98955bca3c99728351cb1b9e,,False,False,,,,,,False
101,refs/heads/master,7d26e94eed9c2dee2a04d29d02e8632c98c3190b,3d579ba0b809812e4aec5c926188847513e45552,f00e1c3e26a75e045d92099b14900e2b0bfae59c,,False,False,,,,,,False
104,refs/heads/master,dc4735727c27bde55efa0edd02b868ff8790a6c9,898a4d6183a62ed1d1c0ee2ace90c40426878fdb,50d1ee327a30e3b96decfdf3a66d97bdf840cfed,,False,False,,,,,,False
111,refs/heads/master,9fb5c8ccdbdfd00ac2fa09a0b9efebb974b22e07,a0ed602c1aa54b9ea6752087e1864d0f66983a9f,cb97767fff423e866d54834ca79f3f89a6b5d04b,,False,False,,,,,,False
130,refs/heads/master,2c98d8f891edc49a52ae8439ac21fb200ec5e903,787ad981c4e9544df3d6381729db5aaa476eff23,5981ab655c6b65761c43a6552c2e04553f183731,,False,False,,,,,,False
135,refs/heads/master,c54d25ad23ac76a004a7336991451eefa9e894d1,0d15137d69f26318b67d748583b5350ffbd525ec,38af65c54fb12795539b70130adcaf000411ec48,,False,True,e4e0c7b669a06dd498b81742924744ee8d619a123df8068e34e6e09672a49e0c,Tests_passed,0f2e33bf4079ccfb7b6cbbfb4cb8a66c7768778f9ead5c6989d31e66a86c040c,Tests_failed,False,False
159,refs/heads/master,163f164adcf6def57cbadd3c83f8ce7139e213cd,428523f5e71b589bd6881ad3f7987f77d87a765f,77097a2796d33d6b45c069d934a069d393d2f10d,,False,True,48bc765190efca8cbb803664183fa28b4fed7b4047586227e8484fdf27cd2dd2,Tests_failed,6960503b129d31890375f83005bc1d82277a1db069f995ad7345ee49c66ea79e,Tests_passed,False,False
162,refs/heads/master,ccc18c278a9e706fc332cf8ac772e26baff8882b,77f34d5db220b19c8e1745d252dab18766fec2eb,a4faa1ae412953b12494a74a5928f2b4e02ff80f,,False,False,,,,,,False
172,refs/heads/master,f7a86e8a087a57a7cd62bd16c4c0a3667223e57b,26c28f3c8cb6f10313d9c5285082e2596d193aff,a5279dc18e569f85ef4acaf12d5871e9b01e7af3,,False,False,,,,,,False
173,refs/heads/master,26c28f3c8cb6f10313d9c5285082e2596d193aff,41c3e540605429357c0252e7e031cf5f36395d34,bf6318eea687ee91dbddd19cc0137ceed3913820,,False,False,,,,,,False
174,refs/heads/master,41c3e540605429357c0252e7e031cf5f36395d34,9b8dc3dcbaf5541c4dac84e49199c14cb19c5dca,4a01cfe7c0297cde9c15e2869cba1002a9cc3c51,,False,False,,,,,,False
178,refs/heads/master,e80196e07c5cd389cced32b4fec03f1b6abe7afd,0a0ddaeb14fa1733784c925826d2bcacc53bef94,fdd7e43d40a6067d8dc59fc5df844c2bb40e9bf4,,False,False,,,,,,False
185,refs/remotes/origin/dw-1.3,cf8e5df8648d395bb993f20a0d89a779ee205696,37c8ce3eeddba79f005fe47db01155742583dcae,103f6a1a7660d283426ed72d10318110cf3bb329,,False,True,8bde3d7d2f8d487534ea15eb5d2a52e31d97a1f395bd13c38ae50fd00d3526a9,Tests_passed,83c079013a499419ba0e7e971777e55af1ccfa92651f63aa934987ce377002ed,Tests_failed,False,False
189,refs/remotes/origin/freedom,90d7877f9ba63320ee354221aed0d365052c178e,349efa2d0d37c2016c7d273e773fe0817d8518bb,ccdf67955125fc856b03e897a26fc11ac6e62437,,False,True,7c38212b6b4e99052ac6b1a09ab40477a77f9ec5e14f5474c854f595534fda3e,Tests_failed,7155d1d08518e854f3ac3cebf965ad3768b41468402656abffa1dc1f2e60e932,Tests_passed,False,False
190,refs/remotes/origin/freedom,6b310e5785b0130d4c31422fe30370b8c7f43056,063beb0070dfab54b964c999b364dc4d3bdd0d82,57c03a7bd073556b6c02eb447acc9c25986254ed,,False,True,f2056752e5fb64f5e77247d450e36c55ba34dd746fd13a4645125e6f90d6bc84,Tests_failed,231235b8b1d477e6da63a117063bb19e0b0b36efcf100bc5310c807ff45a55e1,Tests_failed,False,False
191,refs/remotes/origin/freedom,2e9ec31684ef894f7154362468ea7c4744c7871e,e6816dd75e8333eb999c6d6dbd2c5b71a9ad2bff,13d0f9b09ada96b35bbeb0d34761fd2f27159e3f,,False,True,ce2e49f5547d6425f87b1ac878c3f05184033d96bcebddf7661cf60d743573a4,Tests_failed,be28e1f6dd7b4efa9241faabba6c80bf7bc653c64472a0c01d80463a3d5b8bfe,Tests_failed,False,False
192,refs/remotes/origin/freedom,e6816dd75e8333eb999c6d6dbd2c5b71a9ad2bff,085e4ab29d06d1b5ce3026888fb279b045794156,7ffa970cfae4c9ca6fbbfe3ff4f99360718c815e,,False,True,4ed2914a1146d6d1c1b7635f446dc255aeba7821cb8c3152a9bc3e7eed9a9123,Tests_failed,45f629a96ce7bd72bf0ace3ccc1849f25ead52540b4c4b71a236f623f2f4d3e6,Tests_failed,False,False
193,refs/remotes/origin/freedom,0d7caf52d5e2b71a8fd48989da947c6b71db0a84,f2556c6b1b0e35005f2ff70a51a2e34dea4eb770,83d6fb84f1c14f022317fbcee9f181a676caf4d0,,False,True,3adb70ba11cf29cc88e545623aa824d69871258982fe57e1f37ae79a17b1c368,Tests_failed,420c9ed1d53333d8f9d601e8ca6706b674d78ed3da878eb2a8c8a0b8f3b70d25,Tests_passed,False,False
