idx,branch_name,merge_commit,parent_1,parent_2,notes
6,refs/heads/master,48e4675ee2e4f2e1fe3a2603221fb47f0d124a7e,d312cf501be82762d6555dd9ef820c514e922abc,c6a9a1d0506b1d4bc81503dc312cee6cd1029e53,
13,refs/heads/master,ec809ae65edc03d093edc9fb49ff9067dd5fa3ae,a55cd9e3d0a70a3aebcdfaaae583a0e03759350c,2704c19d39d838b8702da2c254d322334defce4d,
17,refs/heads/master,80d0becca2d82332ee73da0bf55b44e2cfba532b,46b7ec012737f4e7c22276d1af7111b3146917f4,d0f7ff165853408e6cf9cafa61d64581d7020e17,
21,refs/heads/master,7470f97301f343a9142ce6be36a1ccab094368a7,cc19bfc157286c1c5de1d801a9a82541a24d5a65,f6f1d2df97457aaa916ce4bc171570133b610d0c,
25,refs/heads/master,9ebcece0e5f5ae73afbf138200eaf0c35b971f42,40615e8cba2f5c8bafa1325e5157dbbd331174e9,8d48bc3a4a879f3f9555375693aa53804cd8bfa7,
27,refs/heads/master,0071634f021e3d3db85c833b077de1e3b8b8efda,d12d5315662592e1ec7f734807497711746901d5,612d6f0edc32d47cb9309597c518c0ee1dcef645,
34,refs/heads/master,a4440733dfc4c9382f6476a130216b27a8a88756,405985b115be25d5d14f8bbc4a18dee18282c4f5,43c8b054e916bd4c564e9b91af3279d879db0042,
35,refs/heads/master,43c8b054e916bd4c564e9b91af3279d879db0042,a2516928ac92640f64c2d3f8ee4c9c3fbd91065b,5cbbc301e706559546b8b86a82504c2b4fda2a77,
38,refs/heads/master,405985b115be25d5d14f8bbc4a18dee18282c4f5,342ff1c2c87e67c633273bc163b7b5875c85ac4e,5cbbc301e706559546b8b86a82504c2b4fda2a77,
39,refs/heads/master,342ff1c2c87e67c633273bc163b7b5875c85ac4e,49961ddae07af6ae6be171232cc5f2757f9e9bf7,60f09527bddc75cd44151facbc662be2cec854f8,
43,refs/heads/master,49961ddae07af6ae6be171232cc5f2757f9e9bf7,4c2666170d0dfec2f47e8bf44eb2ce70fac80c41,bdb00aac2be9ffce5d88e915b507d34ec33ab21c,
47,refs/heads/master,b1f9a594c3ede8c8f92b4ca528d88cd51c7c3f6b,ad170a7d2cf3a92f0be6552527db595bbef9d0b4,4263c55c9ba6a308da345aa39b055d063a868f7e,
