idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,0819f5171cb7107d5ee5e6694af2ff8da0395e7f,dcef4645817c03a73f159d47f4c867e5686b885b,05c9c353c3ad3ae95cffb22f707a5f2333279077,
2,refs/heads/master,489278b1af8ca3dc309afe91029da8ed509036f6,81dbc32a1bbda6bb75c421073a59721005c55c18,a8229da7baf3e5f134f1c44fe15b9eb077bb48e6,
3,refs/heads/master,18c63ee9f6d4c1890df25a7bb36403952c39e846,9e56b6d1085c0775966469ae9cc6a4c9f0681cc4,fae32be264268abd63dcc4b45fb2e80348e9788e,
4,refs/heads/master,093676b83ecaa57af77fc74b23062ecbb254f5a9,c1bc17c06b7397339a6ff23b0dd931d1c3e6c818,336ae82dc7ac428055d7a7ad4f73a2063082d493,
5,refs/heads/master,b33c1450e97ff69c7f03d456a499d2e1b6c43d22,017f8700ed4ec2c2fd3869bfff11f4ccd2f61ecd,4f05447bb92252a1404a9aa188a6a6b08c6a30e5,
6,refs/heads/master,4f05447bb92252a1404a9aa188a6a6b08c6a30e5,c175c771ba739b9d21a04e8cec393d650179a4ee,0a087fcd2f454e9bdca00ccf45d21bf746969127,
7,refs/heads/master,7fb55fb6c3a4ff81b62b332d5fffa8c97e1a8e22,2a2878e846ccf93ecc40734625d567770ef9eac4,d006919225d2de8acbf26648e67785c2007ee72b,
8,refs/heads/master,71588b32fa07afa8d025eb3900d595005f32cc9c,b0fabcbded474e2e5821b8612836265e6505b113,de2726a90100eacc776b396dc1139dcc896e0465,
9,refs/heads/master,7cf811909139c4f2696e9602d49c4ecde76d59c1,be61acc673291adfb6006552131613e10f612546,cb3ed80e823ab8754d388913cbdda261bf8b132c,
10,refs/heads/master,99a814da1cf7a18e48ec09cd1b60d6a080a741b7,23de1c215dbb6502f8c384148266b1565cc68ce3,aa1ce619c3aecaed5ffc155968391bfb72c325df,
11,refs/heads/master,d974fcee1dc97662146660528d2754152b126e44,7e9ff8b74ebfb04b09b7f806ee8209cfe78c6376,be6021af0f71def706cbab1a7f640a93067f1e0b,
12,refs/heads/master,e9989394245f75020d657a61a21ca1481377cef1,b9caa5f820cbd1375f2fe0e58032ceee18944eb8,c8d003498e33785d4bad285c18ed04e5a62786e4,
14,refs/heads/master,d6a3d4a839947e442a5f333980e778e3ebef8bb0,2ab3169792fd48e41a7fbac428c94d9fadffc416,56ee30473bfae29fb9a6c1026318d8cd3870f5d2,
15,refs/heads/master,56ee30473bfae29fb9a6c1026318d8cd3870f5d2,522d51c8308a6469619a4275e538dc662358fd7b,9c3cfdf44486e67679a13b738e11f84c3ca40b5c,
16,refs/heads/master,bafa22bed71ce7db11025da11699c8334147fe5d,896d008a7dd89bc7eefcdf9116b9e62c754276bd,b968300f10bca919d9deac23c5878fa9d6745f3c,
17,refs/remotes/origin/jersey,47c653c49b53ef1b952edab8aef749b5fb85ba0c,8448a7eeecee5977f565cf9a307860297bd2c38c,d6858489fb6f1f141d008cf6e73bcb5c9f48abcf,
18,refs/remotes/origin/jersey,cf56633dd010114c855b50de8f15072c67063af5,2634e8b9d43925aa641933f0ca4dde0eadecde84,54494f35a6e0ed6169368c873ca87591a0d10264,
