idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,a8917e8e5a84852da7b5f32f593fc0db0e812931,0f08314eff3814b4c8a7001ff81a397b6b1a2425,9af32a2fa3c09f8e8123877480312db950ec69b0,
3,refs/heads/master,7be5d1b99969ca69b38d295557ae5ed8947e1bb5,5ebce4f901796d0110fda207bf218323fb6c10e0,dc0daa535c2ff2d6e9b2f140c600f538206904e5,
4,refs/heads/master,5ebce4f901796d0110fda207bf218323fb6c10e0,93b5b3cd138003bd5cedd6907f5136ca49047447,38d7e4ce82f5f757e7d15b3114bba22a836d06a4,
7,refs/heads/master,fbfeb9e613d3a502d4db07681f980b9bb13a4491,0ea306a1fdbe82565644586f8cefbe8caf7b127b,93f86f705cbdc1fc17ba9e102e736c9c7f7b158a,
9,refs/heads/master,b061f3fee1e3f99aa02b04b842aa98eadc4fd328,8477f79b6f4274374294ac29b2fcafbdc68dc3f1,c2e52813fef7845f4bbf0a402bb4cffc20bd2f13,
12,refs/heads/master,6d0c07d20cac74f38ac47f6450996a9452da9220,2bccbd66b2e42067eceeefa300905fc344f7cf4c,cd814786cdca41be7dccb80bd68077d005ba6934,
13,refs/heads/master,2bccbd66b2e42067eceeefa300905fc344f7cf4c,16e44588593a9228c55656044dde841b6eea131e,44c37e5ef79e2e0d0f1bbde55f8840290494e9e5,
15,refs/heads/master,8b4c8b4bee5e95e30094c9cd2f1f69e2362337f9,c2fd9dc971c4341bd23277b66a8efa1c5d1f2e74,d88b2add23b7b8bbaad2fe37309c3d7f0bc84263,
16,refs/heads/master,a9217543a645bb3b24c0a5f479a05048fd9c6f11,ebecd2fa9f6b07ad0f09c46a40cf128521a3d694,9830afe3682cf83bdf536486b4e873b9eabf1606,
17,refs/heads/master,ebecd2fa9f6b07ad0f09c46a40cf128521a3d694,5309c2d4f85c13d7cd17a1eef6e0b7ee44f43beb,0d075f6b503aceaf8833a6546d4ce4e497c79041,
20,refs/heads/master,84fd144e32e4c929cedbff936c091b96b2bf8c75,a6aabcc6940b52923df255bdfd3ca95546cbd976,82f7b44b5d92839bcb504c97827b13f7b6bf22e8,
21,refs/heads/master,a6aabcc6940b52923df255bdfd3ca95546cbd976,993236d15ef7f00576cd024aa14b9e8a1f15064e,94fb8433bb6ffb266c148a5b0d8095be0df11d8d,
22,refs/heads/master,993236d15ef7f00576cd024aa14b9e8a1f15064e,28ab8232a0a5ebef636419331c72b8561821ff67,05af367c87cc06be8ed16737f2506ec51658d2e7,
24,refs/heads/master,f602e2039ec4847b4fdf27f79a7f77d4cbcd56e8,d0d4aa1c5908668c847fc300354ded4d4ee752d3,e3b03038a511744bb7bbe258459f0d1fafb765d8,
27,refs/heads/master,c371d8350cf3e84151c728659d9f941f0d8db8af,8618f1a6bbd7173a2a10afbe16b3ae136e4201ba,c657967a21837a157fb0d0ae7028e5836f5cc92e,
