idx,branch_name,merge,left,right,notes,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,diff_size,diff_contains_java_file,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass,test merge,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
8,refs/heads/master,8e142e51c4ea554b82aac6c57259912e12ce5faf,10592530eb74fc1428077ff1668ea0fe2f3a8391,b29d41c2826e2d355ef53e1a3f8e53a45393729d,,True,f1e5a1385659486dac1ece1638b2c0b90c4db3d152ca0c1109b8a28cf952b41a,a29863c0d2bc179c03890a32f6dd6ab916ed12f3fb966d27febdd2fc3acc7305,1025,True,Tests_passed,0.0,Tests_passed,0.0,True,True,Tests_passed,f1e5a1385659486dac1ece1638b2c0b90c4db3d152ca0c1109b8a28cf952b41a,Tests_passed,f1e5a1385659486dac1ece1638b2c0b90c4db3d152ca0c1109b8a28cf952b41a,Tests_passed,f1e5a1385659486dac1ece1638b2c0b90c4db3d152ca0c1109b8a28cf952b41a,Tests_passed,f1e5a1385659486dac1ece1638b2c0b90c4db3d152ca0c1109b8a28cf952b41a,Tests_passed,f1e5a1385659486dac1ece1638b2c0b90c4db3d152ca0c1109b8a28cf952b41a,Tests_passed,f1e5a1385659486dac1ece1638b2c0b90c4db3d152ca0c1109b8a28cf952b41a,Tests_passed,f1e5a1385659486dac1ece1638b2c0b90c4db3d152ca0c1109b8a28cf952b41a,Tests_passed,f1e5a1385659486dac1ece1638b2c0b90c4db3d152ca0c1109b8a28cf952b41a,Tests_passed,f1e5a1385659486dac1ece1638b2c0b90c4db3d152ca0c1109b8a28cf952b41a,Tests_passed,f1e5a1385659486dac1ece1638b2c0b90c4db3d152ca0c1109b8a28cf952b41a,Tests_passed,f1e5a1385659486dac1ece1638b2c0b90c4db3d152ca0c1109b8a28cf952b41a,Tests_passed,f1e5a1385659486dac1ece1638b2c0b90c4db3d152ca0c1109b8a28cf952b41a,Tests_passed,d9964d6954859a04a03327f6ca8b7b63d900c9ba3030636b7b3dda4141280d98,Merge_failed,
9,refs/heads/master,b2752f5492c06cde140cb4bdcef7559c35503216,3d94820557409983f72125a83087257ccc0facfa,6696ca34f6ec18cd4e0c16e73d92034a892836c0,,True,9d3b75f628d7f818e2d1897a34d0b324593262589c5ebc57a49e89f22bc827b7,a39fb7b18224c6fb14bcc6a80d581b61013eefe95c213873da69b6f5188d1b06,537,True,Tests_passed,0.0,Tests_passed,0.0,True,True,Tests_passed,c8b3d39854e03a3252948758cf3118b86b5d260c2696ba8a021c8a50a171105f,Tests_passed,c8b3d39854e03a3252948758cf3118b86b5d260c2696ba8a021c8a50a171105f,Tests_passed,c8b3d39854e03a3252948758cf3118b86b5d260c2696ba8a021c8a50a171105f,Tests_passed,c8b3d39854e03a3252948758cf3118b86b5d260c2696ba8a021c8a50a171105f,Tests_passed,c8b3d39854e03a3252948758cf3118b86b5d260c2696ba8a021c8a50a171105f,Tests_passed,c8b3d39854e03a3252948758cf3118b86b5d260c2696ba8a021c8a50a171105f,Tests_passed,c8b3d39854e03a3252948758cf3118b86b5d260c2696ba8a021c8a50a171105f,Tests_passed,c8b3d39854e03a3252948758cf3118b86b5d260c2696ba8a021c8a50a171105f,Tests_passed,c8b3d39854e03a3252948758cf3118b86b5d260c2696ba8a021c8a50a171105f,Tests_passed,c8b3d39854e03a3252948758cf3118b86b5d260c2696ba8a021c8a50a171105f,Tests_passed,c8b3d39854e03a3252948758cf3118b86b5d260c2696ba8a021c8a50a171105f,Tests_passed,c8b3d39854e03a3252948758cf3118b86b5d260c2696ba8a021c8a50a171105f,Tests_passed,c8b3d39854e03a3252948758cf3118b86b5d260c2696ba8a021c8a50a171105f,Tests_passed,c8b3d39854e03a3252948758cf3118b86b5d260c2696ba8a021c8a50a171105f
11,refs/heads/master,a14441dd5ae2d54bb083cb8ddf2b34c93820731c,790c3d26b8c9493714f2035aee70438a6e96861d,4b07c5d1f1cfd58323374de8565e8d5d44f4f436,,True,e17a72aad2b69ded7383ace7e06a085f2b2d310469a7e55781bc64b98a4df266,9848a23b80acf52412b263245be35e9e6150e9653601f4e87f5d6ad410db93eb,11,True,Tests_passed,0.0,Tests_passed,0.0,True,True,Tests_passed,940d7f440a2f97286be26c66cce18d640fbd94dd51e2d3ece81c7b04af03b1b7,Tests_passed,940d7f440a2f97286be26c66cce18d640fbd94dd51e2d3ece81c7b04af03b1b7,Tests_passed,940d7f440a2f97286be26c66cce18d640fbd94dd51e2d3ece81c7b04af03b1b7,Tests_passed,940d7f440a2f97286be26c66cce18d640fbd94dd51e2d3ece81c7b04af03b1b7,Tests_passed,940d7f440a2f97286be26c66cce18d640fbd94dd51e2d3ece81c7b04af03b1b7,Tests_passed,940d7f440a2f97286be26c66cce18d640fbd94dd51e2d3ece81c7b04af03b1b7,Tests_passed,940d7f440a2f97286be26c66cce18d640fbd94dd51e2d3ece81c7b04af03b1b7,Tests_passed,940d7f440a2f97286be26c66cce18d640fbd94dd51e2d3ece81c7b04af03b1b7,Tests_passed,940d7f440a2f97286be26c66cce18d640fbd94dd51e2d3ece81c7b04af03b1b7,Tests_passed,940d7f440a2f97286be26c66cce18d640fbd94dd51e2d3ece81c7b04af03b1b7,Tests_passed,940d7f440a2f97286be26c66cce18d640fbd94dd51e2d3ece81c7b04af03b1b7,Tests_passed,940d7f440a2f97286be26c66cce18d640fbd94dd51e2d3ece81c7b04af03b1b7,Tests_passed,940d7f440a2f97286be26c66cce18d640fbd94dd51e2d3ece81c7b04af03b1b7,Tests_passed,940d7f440a2f97286be26c66cce18d640fbd94dd51e2d3ece81c7b04af03b1b7
13,refs/heads/master,a6004c5fb92abec0ffbdeac3a61f8341bd63d60e,d2656750aabfbd741e87694400a148e32730b693,6255d1794c4995b65dbd3db8b857a7d356266c5e,,True,aef4ac278cda4eff2f7ae7ad99e5c57b06137a4508da8e915c2518b6a5cd1302,82c3a7c97f4ad1d014ac7e17933606b99917ddf05fcb144381bd24468b5ee5e9,55,True,Tests_passed,0.0,Tests_passed,0.0,True,True,Tests_passed,827ca1f571b7b44b47606260105f0f30df5c0d9acaa0fee2c63a281527a8995f,Tests_passed,827ca1f571b7b44b47606260105f0f30df5c0d9acaa0fee2c63a281527a8995f,Tests_passed,827ca1f571b7b44b47606260105f0f30df5c0d9acaa0fee2c63a281527a8995f,Tests_passed,827ca1f571b7b44b47606260105f0f30df5c0d9acaa0fee2c63a281527a8995f,Tests_passed,827ca1f571b7b44b47606260105f0f30df5c0d9acaa0fee2c63a281527a8995f,Tests_passed,827ca1f571b7b44b47606260105f0f30df5c0d9acaa0fee2c63a281527a8995f,Tests_passed,827ca1f571b7b44b47606260105f0f30df5c0d9acaa0fee2c63a281527a8995f,Tests_passed,827ca1f571b7b44b47606260105f0f30df5c0d9acaa0fee2c63a281527a8995f,Tests_passed,827ca1f571b7b44b47606260105f0f30df5c0d9acaa0fee2c63a281527a8995f,Tests_passed,827ca1f571b7b44b47606260105f0f30df5c0d9acaa0fee2c63a281527a8995f,Tests_passed,827ca1f571b7b44b47606260105f0f30df5c0d9acaa0fee2c63a281527a8995f,Tests_passed,827ca1f571b7b44b47606260105f0f30df5c0d9acaa0fee2c63a281527a8995f,Tests_passed,827ca1f571b7b44b47606260105f0f30df5c0d9acaa0fee2c63a281527a8995f,Tests_passed,827ca1f571b7b44b47606260105f0f30df5c0d9acaa0fee2c63a281527a8995f
20,refs/remotes/origin/pull/1010,e69ad794bfeeac83fa89d5d4c0a8fbcf9b19f87f,b785ead30c84bf761de21ce81dd92762ef5b4ba8,d3ab9468c3aed2a06c280bf6c9cea5108c736dcc,,True,7ee35aa759a2f8db89419a49cacb4d26ac0a4f7254f92d12a24d143332d9c6a6,dee4c72248a173d8e02ac418df8eac0864d30c9d4b7b82ce66f5e53643fb5a38,994,True,Tests_passed,0.2478298126001266,Tests_passed,0.2476183461009624,True,True,Tests_passed,f4ecf18ab4612c5462f76fcb145e3c438a45d04f3df3646ca768dafffd773926,Tests_passed,f4ecf18ab4612c5462f76fcb145e3c438a45d04f3df3646ca768dafffd773926,Tests_passed,f4ecf18ab4612c5462f76fcb145e3c438a45d04f3df3646ca768dafffd773926,Tests_passed,f4ecf18ab4612c5462f76fcb145e3c438a45d04f3df3646ca768dafffd773926,Tests_passed,f4ecf18ab4612c5462f76fcb145e3c438a45d04f3df3646ca768dafffd773926,Tests_passed,f4ecf18ab4612c5462f76fcb145e3c438a45d04f3df3646ca768dafffd773926,Tests_passed,f4ecf18ab4612c5462f76fcb145e3c438a45d04f3df3646ca768dafffd773926,Tests_passed,f4ecf18ab4612c5462f76fcb145e3c438a45d04f3df3646ca768dafffd773926,Tests_passed,f4ecf18ab4612c5462f76fcb145e3c438a45d04f3df3646ca768dafffd773926,Tests_passed,f4ecf18ab4612c5462f76fcb145e3c438a45d04f3df3646ca768dafffd773926,Tests_passed,f4ecf18ab4612c5462f76fcb145e3c438a45d04f3df3646ca768dafffd773926,Tests_passed,f4ecf18ab4612c5462f76fcb145e3c438a45d04f3df3646ca768dafffd773926,Tests_passed,a920722ce00728058dd313f094bf3b470b58a76482ea695c0b4fc6a570a6bfd8,Tests_passed,f4ecf18ab4612c5462f76fcb145e3c438a45d04f3df3646ca768dafffd773926
22,refs/remotes/origin/pull/1091,8c50bcc45f546240b284199746d72b69b1d34650,511f6602e444572e97f44a4a9afc882dae59e1f3,d3ab9468c3aed2a06c280bf6c9cea5108c736dcc,,True,ea214b15085a0965af42392d356383d29e735c56c28b14f38feff7aa164ab610,dee4c72248a173d8e02ac418df8eac0864d30c9d4b7b82ce66f5e53643fb5a38,1302,True,Tests_passed,0.2477831043990163,Tests_passed,0.2476183461009624,True,True,Tests_passed,91f871968d06f6c861c48fa29ab26316e8d9ae959da9acd8940aa074763b711b,Tests_passed,91f871968d06f6c861c48fa29ab26316e8d9ae959da9acd8940aa074763b711b,Tests_passed,91f871968d06f6c861c48fa29ab26316e8d9ae959da9acd8940aa074763b711b,Tests_passed,91f871968d06f6c861c48fa29ab26316e8d9ae959da9acd8940aa074763b711b,Tests_passed,91f871968d06f6c861c48fa29ab26316e8d9ae959da9acd8940aa074763b711b,Tests_passed,91f871968d06f6c861c48fa29ab26316e8d9ae959da9acd8940aa074763b711b,Tests_passed,91f871968d06f6c861c48fa29ab26316e8d9ae959da9acd8940aa074763b711b,Tests_passed,91f871968d06f6c861c48fa29ab26316e8d9ae959da9acd8940aa074763b711b,Tests_passed,91f871968d06f6c861c48fa29ab26316e8d9ae959da9acd8940aa074763b711b,Tests_passed,91f871968d06f6c861c48fa29ab26316e8d9ae959da9acd8940aa074763b711b,Tests_passed,91f871968d06f6c861c48fa29ab26316e8d9ae959da9acd8940aa074763b711b,Tests_passed,91f871968d06f6c861c48fa29ab26316e8d9ae959da9acd8940aa074763b711b,Tests_passed,b96b8deed2e6b2b7ac21982961f116f0a9e3e79e28ce9733b858303dcce5e3ee,Tests_passed,91f871968d06f6c861c48fa29ab26316e8d9ae959da9acd8940aa074763b711b
23,refs/remotes/origin/pull/111,37f1a9b6e45fc94e66420e801d7be0ed88145841,4fc3cf28d5f33e372b4a3097afbaa72611510081,b67f1406bee563207a0ffd6040ce93395f292727,,True,502faac8be718f37d15a04bcb7e1f3e99105867b5e6b3f15652a8d2976579035,d3a1c4f73e0c2c0bedad84b7ad4ff08bc3e6e7f2504cdd8aa31f4260e0c50049,305,True,Tests_passed,0.0,Tests_passed,0.0,True,True,Merge_failed,,Tests_passed,502faac8be718f37d15a04bcb7e1f3e99105867b5e6b3f15652a8d2976579035,Merge_failed,,Tests_passed,502faac8be718f37d15a04bcb7e1f3e99105867b5e6b3f15652a8d2976579035,Tests_passed,502faac8be718f37d15a04bcb7e1f3e99105867b5e6b3f15652a8d2976579035,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,
40,refs/remotes/origin/pull/125,1cfafc7832afa446727968e873c7ede90692c90f,a31bac621de359db9c1958f37fc2aae289b29e92,21c2166f6c95c62609114637a4e54f4692671a00,,True,d7792fa1c46c57aa6de82f15b30300b46eda75248d4cb8be94ca3f7be2039318,de152779ed814871aa5b244a1c534bcdfbc81cc4c858bf9bbf65e16d83bc3bfe,84,True,Tests_passed,0.0,Tests_passed,0.0,True,True,Tests_passed,d7792fa1c46c57aa6de82f15b30300b46eda75248d4cb8be94ca3f7be2039318,Tests_passed,d7792fa1c46c57aa6de82f15b30300b46eda75248d4cb8be94ca3f7be2039318,Tests_passed,d7792fa1c46c57aa6de82f15b30300b46eda75248d4cb8be94ca3f7be2039318,Tests_passed,d7792fa1c46c57aa6de82f15b30300b46eda75248d4cb8be94ca3f7be2039318,Tests_passed,d7792fa1c46c57aa6de82f15b30300b46eda75248d4cb8be94ca3f7be2039318,Tests_passed,d7792fa1c46c57aa6de82f15b30300b46eda75248d4cb8be94ca3f7be2039318,Tests_passed,d7792fa1c46c57aa6de82f15b30300b46eda75248d4cb8be94ca3f7be2039318,Tests_passed,d7792fa1c46c57aa6de82f15b30300b46eda75248d4cb8be94ca3f7be2039318,Tests_passed,d7792fa1c46c57aa6de82f15b30300b46eda75248d4cb8be94ca3f7be2039318,Tests_passed,d7792fa1c46c57aa6de82f15b30300b46eda75248d4cb8be94ca3f7be2039318,Tests_passed,d7792fa1c46c57aa6de82f15b30300b46eda75248d4cb8be94ca3f7be2039318,Tests_passed,d7792fa1c46c57aa6de82f15b30300b46eda75248d4cb8be94ca3f7be2039318,Tests_passed,21ab02de6f730c0d88699de530a33f0ba635614cc7e342826ff0a652cbfdb663,Merge_failed,
44,refs/remotes/origin/pull/145,e08f8afca4aeb2777f7a711a0a4d543e1744a9ae,d8cc69d63cfd66de3faacc8de24294167faf0386,78953d501814f96fa2882294a6226e28d414509d,,True,866d847fc4fcd9499edd51cacef221d096bc16b6336fcdfb10d6f3aadf4059bf,2e9841c8e61be418e3b5c0ebc433d028ffeeab990efdbf1908744aa9fd380e98,76,True,Tests_passed,0.0,Tests_passed,0.0,True,True,Tests_passed,866d847fc4fcd9499edd51cacef221d096bc16b6336fcdfb10d6f3aadf4059bf,Tests_passed,866d847fc4fcd9499edd51cacef221d096bc16b6336fcdfb10d6f3aadf4059bf,Tests_passed,866d847fc4fcd9499edd51cacef221d096bc16b6336fcdfb10d6f3aadf4059bf,Tests_passed,866d847fc4fcd9499edd51cacef221d096bc16b6336fcdfb10d6f3aadf4059bf,Tests_passed,866d847fc4fcd9499edd51cacef221d096bc16b6336fcdfb10d6f3aadf4059bf,Tests_passed,866d847fc4fcd9499edd51cacef221d096bc16b6336fcdfb10d6f3aadf4059bf,Tests_passed,866d847fc4fcd9499edd51cacef221d096bc16b6336fcdfb10d6f3aadf4059bf,Tests_passed,866d847fc4fcd9499edd51cacef221d096bc16b6336fcdfb10d6f3aadf4059bf,Tests_passed,866d847fc4fcd9499edd51cacef221d096bc16b6336fcdfb10d6f3aadf4059bf,Tests_passed,866d847fc4fcd9499edd51cacef221d096bc16b6336fcdfb10d6f3aadf4059bf,Tests_passed,866d847fc4fcd9499edd51cacef221d096bc16b6336fcdfb10d6f3aadf4059bf,Tests_passed,866d847fc4fcd9499edd51cacef221d096bc16b6336fcdfb10d6f3aadf4059bf,Tests_passed,9181df13c219e3505946939741b1b48ba1908d182189f27edc56569ad2dfd27a,Merge_failed,
45,refs/remotes/origin/pull/163,00728a1180a3d8a2c48160346069a02ff5d8a5e1,fade87e6a68ecddf9609476231d6f34c1d659b26,73fe1241143eded77b8a77ad5c07e3aeb6d1be9c,,True,16e8f3fe588c7d58537e3ad22ea2ddab06145c22799e198b2fa51444ef4e3e7e,561f1ec9bec62c196e3633c0ffb0739563bcaf8dee2da04bb0de54f2939211f2,293,True,Tests_passed,0.0,Tests_passed,0.0,True,True,Tests_passed,53fefcb8787bb755310d10d0b6e7609544d6ef25c8f383f54a76c072d60f6a3d,Tests_passed,53fefcb8787bb755310d10d0b6e7609544d6ef25c8f383f54a76c072d60f6a3d,Tests_passed,53fefcb8787bb755310d10d0b6e7609544d6ef25c8f383f54a76c072d60f6a3d,Tests_passed,53fefcb8787bb755310d10d0b6e7609544d6ef25c8f383f54a76c072d60f6a3d,Tests_passed,53fefcb8787bb755310d10d0b6e7609544d6ef25c8f383f54a76c072d60f6a3d,Tests_passed,53fefcb8787bb755310d10d0b6e7609544d6ef25c8f383f54a76c072d60f6a3d,Tests_passed,53fefcb8787bb755310d10d0b6e7609544d6ef25c8f383f54a76c072d60f6a3d,Tests_passed,53fefcb8787bb755310d10d0b6e7609544d6ef25c8f383f54a76c072d60f6a3d,Tests_passed,53fefcb8787bb755310d10d0b6e7609544d6ef25c8f383f54a76c072d60f6a3d,Tests_passed,53fefcb8787bb755310d10d0b6e7609544d6ef25c8f383f54a76c072d60f6a3d,Tests_passed,53fefcb8787bb755310d10d0b6e7609544d6ef25c8f383f54a76c072d60f6a3d,Tests_passed,53fefcb8787bb755310d10d0b6e7609544d6ef25c8f383f54a76c072d60f6a3d,Tests_passed,e78461d10dcca37137e7784a36443dc33f6a585ad99fb02a340b42bc13cdf0e7,Tests_passed,53fefcb8787bb755310d10d0b6e7609544d6ef25c8f383f54a76c072d60f6a3d
