idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
363,refs/heads/master,c8e50905bbba72d8e0fd0cab49bb0b379c1443fd,eaee34b3611df101bdf6ded2f68445d193d813bf,e1e12a5f3f94703611b8a50e1c2acd1843393f38,,True,True,0b7a608c9a247b17377119e5accac9d490132131156dfff4a25d297306a32748,Tests_passed,bd7c43754c7379496351d1985cad3ceae4fa73fd9015bc90b24244f1484f54b5,Tests_passed,True,True,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,1d7b51cdcc299ff405bde8cd288cfc22890052191a66f9b5d32224ceb34681cf,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5
366,refs/heads/master,f98e77686923e7ed87a10a0d9a5462e776aa368c,c61dea96bfe4d6b227b2f83c1044659a950d33f7,607d53a2aa7a4b73f0d0cfaff925aeb6af800648,,True,True,cd826c9d293f32b923e809b00581108a955d2f3dd1043e293d9a925ec6967762,Tests_passed,01c53fbf7e405956be1aa6398d5006102137dea18533e8dd331645f317ad5801,Tests_passed,True,True,Merge_failed,095c83c50c7b9a8183a79d48366bc7d71215ddfa317f23ed98fa8ca7ff3a93bf,Merge_failed,095c83c50c7b9a8183a79d48366bc7d71215ddfa317f23ed98fa8ca7ff3a93bf,Merge_failed,f0e42bc7aafbcb89fb7e6ee01ab3453fdfc16ad71823544686326fc0cf288238,Merge_failed,095c83c50c7b9a8183a79d48366bc7d71215ddfa317f23ed98fa8ca7ff3a93bf,Merge_failed,f0e42bc7aafbcb89fb7e6ee01ab3453fdfc16ad71823544686326fc0cf288238,Merge_failed,620693ae15c280fc79ec0a280205a218662bf1336d55a240e2b8c4ba78c5c437,Merge_failed,095c83c50c7b9a8183a79d48366bc7d71215ddfa317f23ed98fa8ca7ff3a93bf,Merge_failed,f0e42bc7aafbcb89fb7e6ee01ab3453fdfc16ad71823544686326fc0cf288238,Merge_failed,095c83c50c7b9a8183a79d48366bc7d71215ddfa317f23ed98fa8ca7ff3a93bf,Merge_failed,095c83c50c7b9a8183a79d48366bc7d71215ddfa317f23ed98fa8ca7ff3a93bf,Merge_failed,095c83c50c7b9a8183a79d48366bc7d71215ddfa317f23ed98fa8ca7ff3a93bf,Merge_failed,1a9c89c8d60e7fd3ab7ed7b45428bfe083496fbfc8b41a9282a880c8a9d9203f,Tests_passed,b6043e2b9f26f5e16c746812a880122405ba69bc9dc089c67a360aee74f3cc37,Merge_failed,abd177b3ab7f5d89b964db13ef64758a4f202693ffc5686060da8c9da5b53f90
371,refs/heads/master,863038605f7567aa5d0f1a2870dce0231a686665,0652f4ee230962403d64b4447f5623fa38011177,f5b2275913090136b70681eda703422d0b7b4102,,True,True,2a7aca671178b966ab05a58649a5d64946ddba669940669d56c6c552edab5a1c,Tests_passed,d86f4459d6d5225d2e43c844f2fb6d5fdb2b2d65719eb64c5f55f924b78b67a1,Tests_passed,True,True,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,24fdba724f34473aa58dfc9abf6b607aaa187c966ec91d62d628b629c01d3528,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa
381,refs/heads/master,a780e39ab9d1de95b04729eb02aae278a81a23d2,bef2a886037864e904e1fce4b81034052c219bfe,4e3f761efe185c7c93d1cc91d8f1d774a9601b05,,True,True,f2a19c4d561712d8dea4ca9621e60705b757599095d406678cd052092b676cb6,Tests_passed,37d6f578fe1006f2083e188d51213d80e5748b181666dc70c90fa046bd553b05,Tests_passed,True,True,Merge_failed,0b1c3441d93daa54b45be70e13c2cc9708b420f9755798a249817546bbfcf205,Merge_failed,0b1c3441d93daa54b45be70e13c2cc9708b420f9755798a249817546bbfcf205,Merge_failed,bbcba63a63a92748134c829c4e8061f884dc6a53a4a9fb92c243324df3b04262,Merge_failed,0b1c3441d93daa54b45be70e13c2cc9708b420f9755798a249817546bbfcf205,Merge_failed,bbcba63a63a92748134c829c4e8061f884dc6a53a4a9fb92c243324df3b04262,Merge_failed,6a2fcaccd192bcd2f50f96ca171bb064eaf14d8c875b96745d40871e315be5e9,Merge_failed,0b1c3441d93daa54b45be70e13c2cc9708b420f9755798a249817546bbfcf205,Merge_failed,bbcba63a63a92748134c829c4e8061f884dc6a53a4a9fb92c243324df3b04262,Merge_failed,0b1c3441d93daa54b45be70e13c2cc9708b420f9755798a249817546bbfcf205,Merge_failed,0b1c3441d93daa54b45be70e13c2cc9708b420f9755798a249817546bbfcf205,Merge_failed,0b1c3441d93daa54b45be70e13c2cc9708b420f9755798a249817546bbfcf205,Merge_failed,ecdaa96938c618abad8eec251e2897d51a5fb7f85e6d02d0524f404629154c1f,Tests_passed,b07d3a5357f4af639690e95b66f119f0149290adc4cc542b4cbc4af709bc2ddc,Merge_failed,345ed7fb16f254867c1a6c2705ca2f9cca710a32a72b8656a53e5404fa5e210a
390,refs/heads/master,9714053f0790bbe7b88d1ae86b3f587323d3e2c3,9b33321cc251e633232ae1d10d4eee49b3d39d19,286105266f23aff6f2c9d3cd7c6029e274c80d9f,,True,True,383b5dafeebb678430b9fb37eb4d0e598c84504efb1f5b288eeb6e8a5338da5a,Tests_passed,2b737d73b89591aca90c448d17db37c6713c1118369dd83be32710759ea464c4,Tests_passed,True,True,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,2a1db032ec2539def0454491a5b8f065862b68837b09ad118ea8ad0fb8faa664,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744
444,refs/remotes/origin/conditional-opensaml-init,4d8057462faa45cca04a3c0f3f38dc39e2231f8c,c89eba71410e23319b008c5e0c75decc161adb0e,51f6a82a40fbc32a847e8f0064e1fbc2a774784e,,True,True,f2a19c4d561712d8dea4ca9621e60705b757599095d406678cd052092b676cb6,Tests_passed,37d6f578fe1006f2083e188d51213d80e5748b181666dc70c90fa046bd553b05,Tests_passed,True,True,Merge_failed,f686dd484b9540be1afd38b2af32e060bd45d2280dfba033dab4a6127a9f529c,Merge_failed,f686dd484b9540be1afd38b2af32e060bd45d2280dfba033dab4a6127a9f529c,Merge_failed,09f90880be8440977965dd94e8e080ff258642a69e18862e3c2a94d851d40682,Merge_failed,f686dd484b9540be1afd38b2af32e060bd45d2280dfba033dab4a6127a9f529c,Merge_failed,09f90880be8440977965dd94e8e080ff258642a69e18862e3c2a94d851d40682,Merge_failed,6a2fcaccd192bcd2f50f96ca171bb064eaf14d8c875b96745d40871e315be5e9,Merge_failed,f686dd484b9540be1afd38b2af32e060bd45d2280dfba033dab4a6127a9f529c,Merge_failed,09f90880be8440977965dd94e8e080ff258642a69e18862e3c2a94d851d40682,Merge_failed,f686dd484b9540be1afd38b2af32e060bd45d2280dfba033dab4a6127a9f529c,Merge_failed,f686dd484b9540be1afd38b2af32e060bd45d2280dfba033dab4a6127a9f529c,Merge_failed,f686dd484b9540be1afd38b2af32e060bd45d2280dfba033dab4a6127a9f529c,Merge_failed,ecdaa96938c618abad8eec251e2897d51a5fb7f85e6d02d0524f404629154c1f,Tests_passed,b07d3a5357f4af639690e95b66f119f0149290adc4cc542b4cbc4af709bc2ddc,Merge_failed,345ed7fb16f254867c1a6c2705ca2f9cca710a32a72b8656a53e5404fa5e210a
452,refs/remotes/origin/conditional-opensaml-init,33d39be658258f62b346066d7156eb4c896eb661,8d43caa0c993debb905ea452656976ca89a4cfe1,0d83afcc979b0b072850d34135c346c436ae7a99,,True,True,383b5dafeebb678430b9fb37eb4d0e598c84504efb1f5b288eeb6e8a5338da5a,Tests_passed,2b737d73b89591aca90c448d17db37c6713c1118369dd83be32710759ea464c4,Tests_passed,True,True,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744,Tests_passed,2a1db032ec2539def0454491a5b8f065862b68837b09ad118ea8ad0fb8faa664,Tests_passed,524bd5728833474c2f631482d7039f76c98a2cf92e20be9dc286b05fe86a6744
498,refs/remotes/origin/pull/105,bac47028e3fbf8359def14226987c43aec2c4cf7,dd587c2b6140f6aff620e57d0f414d5a222875ea,d0cb1441713014897ed7c2a52b4e3b7f46c49ce6,,True,True,2a7aca671178b966ab05a58649a5d64946ddba669940669d56c6c552edab5a1c,Tests_passed,d86f4459d6d5225d2e43c844f2fb6d5fdb2b2d65719eb64c5f55f924b78b67a1,Tests_passed,True,True,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa,Tests_passed,24fdba724f34473aa58dfc9abf6b607aaa187c966ec91d62d628b629c01d3528,Tests_passed,4a48293667876b171c44c68dee067c0fcc48b71f22e7a78facf791461b57fdfa
503,refs/remotes/origin/pull/122,af1c2f67d7080b229944f0c212c518b8459e6db5,3e85a402d3092ef3bd795084e1a009700cbb0855,d644cdfc20fcf19cbd16cc178a02e2cbec941ab9,,True,True,0b7a608c9a247b17377119e5accac9d490132131156dfff4a25d297306a32748,Tests_passed,bd7c43754c7379496351d1985cad3ceae4fa73fd9015bc90b24244f1484f54b5,Tests_passed,True,True,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5,Tests_passed,1d7b51cdcc299ff405bde8cd288cfc22890052191a66f9b5d32224ceb34681cf,Tests_passed,090139e216b80072211070dd3d9a4a6f139fff4d2f2e274b726800bebf7d7ce5
506,refs/remotes/origin/pull/122,4b98bb252e04b7530043292ceb0206073d4d66ba,9d4ee3356f988e3034f45571f8722e6b5cc78d7b,083e8bbffd6a5d33d8c82db4e7e6ba48c4eddd02,,True,True,cd826c9d293f32b923e809b00581108a955d2f3dd1043e293d9a925ec6967762,Tests_passed,01c53fbf7e405956be1aa6398d5006102137dea18533e8dd331645f317ad5801,Tests_passed,True,True,Merge_failed,0eb3395071de8a539f9fe997f0fd18de69d7c99a05665afae0ac13c47a9b6724,Merge_failed,0eb3395071de8a539f9fe997f0fd18de69d7c99a05665afae0ac13c47a9b6724,Merge_failed,19f239400f0ede53b5a790396667d662d8455c7700eeb61ad9785aeec8bc6a1c,Merge_failed,0eb3395071de8a539f9fe997f0fd18de69d7c99a05665afae0ac13c47a9b6724,Merge_failed,19f239400f0ede53b5a790396667d662d8455c7700eeb61ad9785aeec8bc6a1c,Merge_failed,620693ae15c280fc79ec0a280205a218662bf1336d55a240e2b8c4ba78c5c437,Merge_failed,0eb3395071de8a539f9fe997f0fd18de69d7c99a05665afae0ac13c47a9b6724,Merge_failed,19f239400f0ede53b5a790396667d662d8455c7700eeb61ad9785aeec8bc6a1c,Merge_failed,0eb3395071de8a539f9fe997f0fd18de69d7c99a05665afae0ac13c47a9b6724,Merge_failed,0eb3395071de8a539f9fe997f0fd18de69d7c99a05665afae0ac13c47a9b6724,Merge_failed,0eb3395071de8a539f9fe997f0fd18de69d7c99a05665afae0ac13c47a9b6724,Merge_failed,1a9c89c8d60e7fd3ab7ed7b45428bfe083496fbfc8b41a9282a880c8a9d9203f,Tests_passed,b6043e2b9f26f5e16c746812a880122405ba69bc9dc089c67a360aee74f3cc37,Merge_failed,abd177b3ab7f5d89b964db13ef64758a4f202693ffc5686060da8c9da5b53f90
