idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
1,refs/heads/revamp,4013c74350a395206fdcea870494a43bce66030e,88223a941191eb604eaec022e7080d4b3f7c84af,fa16008d5685b7029e8d04ee02227531e33cc087,,6d2d470aa9196a02f102d2c5bedac9cee089c33f5c5819dcc56b4d3bf7911532,Tests_passed,f5e37f4a8a0362e3fb2d2e0b3e6a19dd5ae794e08d9dadf1cae6adea4e3cf9a1,Tests_passed,True,True,True,True,Tests_passed,61d84da73fab1aa5ea3b242fff827220547fdee22c5c39835453639006194051,Tests_passed,61d84da73fab1aa5ea3b242fff827220547fdee22c5c39835453639006194051,Tests_passed,61d84da73fab1aa5ea3b242fff827220547fdee22c5c39835453639006194051,Tests_passed,61d84da73fab1aa5ea3b242fff827220547fdee22c5c39835453639006194051,Tests_passed,61d84da73fab1aa5ea3b242fff827220547fdee22c5c39835453639006194051,Tests_passed,61d84da73fab1aa5ea3b242fff827220547fdee22c5c39835453639006194051,Tests_passed,61d84da73fab1aa5ea3b242fff827220547fdee22c5c39835453639006194051,Tests_passed,61d84da73fab1aa5ea3b242fff827220547fdee22c5c39835453639006194051,Tests_passed,61d84da73fab1aa5ea3b242fff827220547fdee22c5c39835453639006194051,Tests_passed,61d84da73fab1aa5ea3b242fff827220547fdee22c5c39835453639006194051,Tests_passed,61d84da73fab1aa5ea3b242fff827220547fdee22c5c39835453639006194051,Tests_passed,61d84da73fab1aa5ea3b242fff827220547fdee22c5c39835453639006194051,Tests_passed,61d84da73fab1aa5ea3b242fff827220547fdee22c5c39835453639006194051,Merge_failed,61d84da73fab1aa5ea3b242fff827220547fdee22c5c39835453639006194051
4,refs/heads/revamp,5f8547d9368c73ccbc2ba422b1efa3775af4ac61,6ca6e931a18ca02f2a9d420de96a459c6e7a6281,5668256c052e477a1344916db73f2ad1e3ba6db1,,af5f52231d7c7c13c4d7af0320ab353265a2f86076e8ec9076d76e97e1c87474,Tests_passed,74a8fdaa096d6b359b0c9271cd2ca6840521036dd80b904698bdcd85543a6c0d,Tests_passed,True,True,True,True,Merge_failed,af5f52231d7c7c13c4d7af0320ab353265a2f86076e8ec9076d76e97e1c87474,Tests_passed,af5f52231d7c7c13c4d7af0320ab353265a2f86076e8ec9076d76e97e1c87474,Merge_failed,af5f52231d7c7c13c4d7af0320ab353265a2f86076e8ec9076d76e97e1c87474,Tests_passed,af5f52231d7c7c13c4d7af0320ab353265a2f86076e8ec9076d76e97e1c87474,Tests_passed,af5f52231d7c7c13c4d7af0320ab353265a2f86076e8ec9076d76e97e1c87474,Merge_failed,af5f52231d7c7c13c4d7af0320ab353265a2f86076e8ec9076d76e97e1c87474,Merge_failed,af5f52231d7c7c13c4d7af0320ab353265a2f86076e8ec9076d76e97e1c87474,Merge_failed,af5f52231d7c7c13c4d7af0320ab353265a2f86076e8ec9076d76e97e1c87474,Merge_failed,af5f52231d7c7c13c4d7af0320ab353265a2f86076e8ec9076d76e97e1c87474,Merge_failed,af5f52231d7c7c13c4d7af0320ab353265a2f86076e8ec9076d76e97e1c87474,Merge_failed,af5f52231d7c7c13c4d7af0320ab353265a2f86076e8ec9076d76e97e1c87474,Merge_failed,af5f52231d7c7c13c4d7af0320ab353265a2f86076e8ec9076d76e97e1c87474,Merge_failed,2a176f6af594781567a36f206a18c3c8ef9e7381e334e2680be0d7cb7a0110a4,Merge_failed,f6468148df18a158e1420f23777c22e82f6dc5cd891265b29a7679214604fbbc
5,refs/heads/revamp,fed445e891a43dcf41b4533716513813c022baa4,a070522a722d11d7cce663959b7c3704fb4673d9,fdc6cfbd4b38e2ba2026b3296048ebaa65002fe8,,144623558a5c31afbc95d9407d6e9630b21ffc9c547f16120f89e50084a689ba,Tests_passed,d6aa4f1b3f703cd5240abd2aa0766cc5d8bf181a8a5c35914fcffb48e3af43d0,Tests_passed,True,True,True,True,Tests_passed,30347f2a7bd21ceb83593de6bc890724c281f8de7a8ca46c1af140726a3e5696,Tests_passed,30347f2a7bd21ceb83593de6bc890724c281f8de7a8ca46c1af140726a3e5696,Tests_passed,30347f2a7bd21ceb83593de6bc890724c281f8de7a8ca46c1af140726a3e5696,Tests_passed,30347f2a7bd21ceb83593de6bc890724c281f8de7a8ca46c1af140726a3e5696,Tests_passed,30347f2a7bd21ceb83593de6bc890724c281f8de7a8ca46c1af140726a3e5696,Tests_passed,30347f2a7bd21ceb83593de6bc890724c281f8de7a8ca46c1af140726a3e5696,Tests_passed,30347f2a7bd21ceb83593de6bc890724c281f8de7a8ca46c1af140726a3e5696,Tests_passed,30347f2a7bd21ceb83593de6bc890724c281f8de7a8ca46c1af140726a3e5696,Tests_passed,30347f2a7bd21ceb83593de6bc890724c281f8de7a8ca46c1af140726a3e5696,Tests_passed,30347f2a7bd21ceb83593de6bc890724c281f8de7a8ca46c1af140726a3e5696,Tests_passed,30347f2a7bd21ceb83593de6bc890724c281f8de7a8ca46c1af140726a3e5696,Tests_passed,30347f2a7bd21ceb83593de6bc890724c281f8de7a8ca46c1af140726a3e5696,Tests_passed,30347f2a7bd21ceb83593de6bc890724c281f8de7a8ca46c1af140726a3e5696,Merge_failed,30347f2a7bd21ceb83593de6bc890724c281f8de7a8ca46c1af140726a3e5696
6,refs/heads/revamp,a070522a722d11d7cce663959b7c3704fb4673d9,0555e473e00fe016a8b30708acefe440f717bd1a,42b069476e534b8609296608edf297e8ee415620,,1b4f6a449668cee7509696c5ba334dfb53613a9a4ae9e5e8213bc75df8cb5f8e,Tests_passed,bef64e0c0ada45ee863a43a9b15510ca2343185e0e6c01e95ff7cbbc057d6105,Tests_passed,True,True,True,True,Tests_passed,144623558a5c31afbc95d9407d6e9630b21ffc9c547f16120f89e50084a689ba,Tests_passed,144623558a5c31afbc95d9407d6e9630b21ffc9c547f16120f89e50084a689ba,Tests_passed,144623558a5c31afbc95d9407d6e9630b21ffc9c547f16120f89e50084a689ba,Tests_passed,144623558a5c31afbc95d9407d6e9630b21ffc9c547f16120f89e50084a689ba,Tests_passed,144623558a5c31afbc95d9407d6e9630b21ffc9c547f16120f89e50084a689ba,Tests_passed,144623558a5c31afbc95d9407d6e9630b21ffc9c547f16120f89e50084a689ba,Tests_passed,144623558a5c31afbc95d9407d6e9630b21ffc9c547f16120f89e50084a689ba,Tests_passed,144623558a5c31afbc95d9407d6e9630b21ffc9c547f16120f89e50084a689ba,Tests_passed,144623558a5c31afbc95d9407d6e9630b21ffc9c547f16120f89e50084a689ba,Tests_passed,144623558a5c31afbc95d9407d6e9630b21ffc9c547f16120f89e50084a689ba,Tests_passed,144623558a5c31afbc95d9407d6e9630b21ffc9c547f16120f89e50084a689ba,Tests_passed,144623558a5c31afbc95d9407d6e9630b21ffc9c547f16120f89e50084a689ba,Tests_passed,144623558a5c31afbc95d9407d6e9630b21ffc9c547f16120f89e50084a689ba,Merge_failed,144623558a5c31afbc95d9407d6e9630b21ffc9c547f16120f89e50084a689ba
7,refs/heads/revamp,0555e473e00fe016a8b30708acefe440f717bd1a,6257739f9b25be746679889a8fa4c92c6c56adf1,53e7fc0460c66d556fd613002ba99232e6a7a30d,,2259339bf353e462df6a7bbb392e4acb636a01dd598766a0687ede29e85bc802,Tests_passed,9db71bbe3e8d393a366c28372b7274be5efcdf6acac18a8d71bc85a06671063d,Tests_passed,True,True,True,True,Tests_passed,1b4f6a449668cee7509696c5ba334dfb53613a9a4ae9e5e8213bc75df8cb5f8e,Tests_passed,1b4f6a449668cee7509696c5ba334dfb53613a9a4ae9e5e8213bc75df8cb5f8e,Tests_passed,1b4f6a449668cee7509696c5ba334dfb53613a9a4ae9e5e8213bc75df8cb5f8e,Tests_passed,1b4f6a449668cee7509696c5ba334dfb53613a9a4ae9e5e8213bc75df8cb5f8e,Tests_passed,1b4f6a449668cee7509696c5ba334dfb53613a9a4ae9e5e8213bc75df8cb5f8e,Tests_passed,1b4f6a449668cee7509696c5ba334dfb53613a9a4ae9e5e8213bc75df8cb5f8e,Tests_passed,1b4f6a449668cee7509696c5ba334dfb53613a9a4ae9e5e8213bc75df8cb5f8e,Tests_passed,1b4f6a449668cee7509696c5ba334dfb53613a9a4ae9e5e8213bc75df8cb5f8e,Tests_passed,1b4f6a449668cee7509696c5ba334dfb53613a9a4ae9e5e8213bc75df8cb5f8e,Tests_passed,1b4f6a449668cee7509696c5ba334dfb53613a9a4ae9e5e8213bc75df8cb5f8e,Tests_passed,1b4f6a449668cee7509696c5ba334dfb53613a9a4ae9e5e8213bc75df8cb5f8e,Tests_passed,1b4f6a449668cee7509696c5ba334dfb53613a9a4ae9e5e8213bc75df8cb5f8e,Tests_passed,1b4f6a449668cee7509696c5ba334dfb53613a9a4ae9e5e8213bc75df8cb5f8e,Merge_failed,1b4f6a449668cee7509696c5ba334dfb53613a9a4ae9e5e8213bc75df8cb5f8e
8,refs/heads/revamp,6257739f9b25be746679889a8fa4c92c6c56adf1,262f1d41528483e1466e3100e34e3214fd2ae9ab,5741b0175ccfce24c675921da5c5e4d10e2bc6e6,,6a1ff0b03adf6c8c1daf205d5ab7c3d41749fe1a4c7dd397b6dfd9150d9c7b41,Tests_passed,392e5312e56d5d40433c46aa2000107bbb762016fb05d896259a920e6093e189,Tests_passed,True,True,True,True,Tests_passed,2259339bf353e462df6a7bbb392e4acb636a01dd598766a0687ede29e85bc802,Tests_passed,2259339bf353e462df6a7bbb392e4acb636a01dd598766a0687ede29e85bc802,Tests_passed,2259339bf353e462df6a7bbb392e4acb636a01dd598766a0687ede29e85bc802,Tests_passed,2259339bf353e462df6a7bbb392e4acb636a01dd598766a0687ede29e85bc802,Tests_passed,2259339bf353e462df6a7bbb392e4acb636a01dd598766a0687ede29e85bc802,Tests_passed,2259339bf353e462df6a7bbb392e4acb636a01dd598766a0687ede29e85bc802,Tests_passed,2259339bf353e462df6a7bbb392e4acb636a01dd598766a0687ede29e85bc802,Tests_passed,2259339bf353e462df6a7bbb392e4acb636a01dd598766a0687ede29e85bc802,Tests_passed,2259339bf353e462df6a7bbb392e4acb636a01dd598766a0687ede29e85bc802,Tests_passed,2259339bf353e462df6a7bbb392e4acb636a01dd598766a0687ede29e85bc802,Tests_passed,2259339bf353e462df6a7bbb392e4acb636a01dd598766a0687ede29e85bc802,Tests_passed,2259339bf353e462df6a7bbb392e4acb636a01dd598766a0687ede29e85bc802,Tests_passed,2259339bf353e462df6a7bbb392e4acb636a01dd598766a0687ede29e85bc802,Merge_failed,2259339bf353e462df6a7bbb392e4acb636a01dd598766a0687ede29e85bc802
9,refs/heads/revamp,262f1d41528483e1466e3100e34e3214fd2ae9ab,652d8eb753bbdfa4159d98b241afc3abf635cba8,f6ee14e102b1afc7fd162c04afaa4d149bfc77ff,,591a3f440059d1baa3b8331ad93f89bc0e822685ddfb488ea4759b4740a8586e,Tests_passed,d601f2c1006adb1f947a2ba40116f3b695c7b0ad7ad6a0a672d8b294c27c2b53,Tests_passed,True,True,True,True,Tests_passed,6a1ff0b03adf6c8c1daf205d5ab7c3d41749fe1a4c7dd397b6dfd9150d9c7b41,Tests_passed,6a1ff0b03adf6c8c1daf205d5ab7c3d41749fe1a4c7dd397b6dfd9150d9c7b41,Tests_passed,6a1ff0b03adf6c8c1daf205d5ab7c3d41749fe1a4c7dd397b6dfd9150d9c7b41,Tests_passed,6a1ff0b03adf6c8c1daf205d5ab7c3d41749fe1a4c7dd397b6dfd9150d9c7b41,Tests_passed,6a1ff0b03adf6c8c1daf205d5ab7c3d41749fe1a4c7dd397b6dfd9150d9c7b41,Tests_passed,6a1ff0b03adf6c8c1daf205d5ab7c3d41749fe1a4c7dd397b6dfd9150d9c7b41,Tests_passed,6a1ff0b03adf6c8c1daf205d5ab7c3d41749fe1a4c7dd397b6dfd9150d9c7b41,Tests_passed,6a1ff0b03adf6c8c1daf205d5ab7c3d41749fe1a4c7dd397b6dfd9150d9c7b41,Tests_passed,6a1ff0b03adf6c8c1daf205d5ab7c3d41749fe1a4c7dd397b6dfd9150d9c7b41,Tests_passed,6a1ff0b03adf6c8c1daf205d5ab7c3d41749fe1a4c7dd397b6dfd9150d9c7b41,Tests_passed,6a1ff0b03adf6c8c1daf205d5ab7c3d41749fe1a4c7dd397b6dfd9150d9c7b41,Tests_passed,6a1ff0b03adf6c8c1daf205d5ab7c3d41749fe1a4c7dd397b6dfd9150d9c7b41,Tests_passed,6a1ff0b03adf6c8c1daf205d5ab7c3d41749fe1a4c7dd397b6dfd9150d9c7b41,Merge_failed,6a1ff0b03adf6c8c1daf205d5ab7c3d41749fe1a4c7dd397b6dfd9150d9c7b41
10,refs/heads/revamp,004679e5bb6d1227b91f9e1aeaf79b72c317a397,d5844b55b3f6efe95d71450b49a3723a0b9acae5,ed227f8eaca49f6d1a65ccbcea8fad55b38d591c,,06f41e3da5a99fa1855b1ab414f6b95d5c330ab6b27fe8841c590f052e994045,Tests_passed,cc3198654698c2e4774f971abbf38f0045361de1ec29fe479b44312c7a19fbd5,Tests_passed,True,True,True,True,Merge_failed,06f41e3da5a99fa1855b1ab414f6b95d5c330ab6b27fe8841c590f052e994045,Tests_passed,06f41e3da5a99fa1855b1ab414f6b95d5c330ab6b27fe8841c590f052e994045,Merge_failed,06f41e3da5a99fa1855b1ab414f6b95d5c330ab6b27fe8841c590f052e994045,Tests_passed,06f41e3da5a99fa1855b1ab414f6b95d5c330ab6b27fe8841c590f052e994045,Tests_passed,06f41e3da5a99fa1855b1ab414f6b95d5c330ab6b27fe8841c590f052e994045,Merge_failed,06f41e3da5a99fa1855b1ab414f6b95d5c330ab6b27fe8841c590f052e994045,Merge_failed,06f41e3da5a99fa1855b1ab414f6b95d5c330ab6b27fe8841c590f052e994045,Merge_failed,06f41e3da5a99fa1855b1ab414f6b95d5c330ab6b27fe8841c590f052e994045,Merge_failed,06f41e3da5a99fa1855b1ab414f6b95d5c330ab6b27fe8841c590f052e994045,Merge_failed,06f41e3da5a99fa1855b1ab414f6b95d5c330ab6b27fe8841c590f052e994045,Merge_failed,06f41e3da5a99fa1855b1ab414f6b95d5c330ab6b27fe8841c590f052e994045,Merge_failed,06f41e3da5a99fa1855b1ab414f6b95d5c330ab6b27fe8841c590f052e994045,Merge_failed,1f948cda894d56a5f839ca01f69b0b859e0d9b61fd8118120c23d464be2206d1,Merge_failed,d85a6c0d015c66fba987a8b10ec028de29365f2675f722e8c8a0df996a3a0374
11,refs/heads/revamp,b53a148ca59225dcbceb1fc65321f98a0c5c13f9,0328aebe181d4896b2205893c521c1015eb69ae4,6dcfd0c9bf20779e4b23a3aa05d29ee6cde7364b,,cbee04c3151cae68ef2e931fb88dbe19fd26676962d2194b8acdef0be7b956e4,Tests_passed,7793f3445f483bdfc586988358a2a5506cbc255cf216f4ebd32dbf102a61e56e,Tests_passed,True,True,True,True,Merge_failed,cbee04c3151cae68ef2e931fb88dbe19fd26676962d2194b8acdef0be7b956e4,Tests_passed,cbee04c3151cae68ef2e931fb88dbe19fd26676962d2194b8acdef0be7b956e4,Merge_failed,cbee04c3151cae68ef2e931fb88dbe19fd26676962d2194b8acdef0be7b956e4,Tests_passed,cbee04c3151cae68ef2e931fb88dbe19fd26676962d2194b8acdef0be7b956e4,Tests_passed,cbee04c3151cae68ef2e931fb88dbe19fd26676962d2194b8acdef0be7b956e4,Merge_failed,cbee04c3151cae68ef2e931fb88dbe19fd26676962d2194b8acdef0be7b956e4,Merge_failed,cbee04c3151cae68ef2e931fb88dbe19fd26676962d2194b8acdef0be7b956e4,Merge_failed,cbee04c3151cae68ef2e931fb88dbe19fd26676962d2194b8acdef0be7b956e4,Merge_failed,cbee04c3151cae68ef2e931fb88dbe19fd26676962d2194b8acdef0be7b956e4,Merge_failed,cbee04c3151cae68ef2e931fb88dbe19fd26676962d2194b8acdef0be7b956e4,Merge_failed,cbee04c3151cae68ef2e931fb88dbe19fd26676962d2194b8acdef0be7b956e4,Merge_failed,cbee04c3151cae68ef2e931fb88dbe19fd26676962d2194b8acdef0be7b956e4,Tests_failed,b176459df32f9e7c523e47c6e225632f15d92c8e885001ca0ffda17119814950,Merge_failed,2a113f2cb96e0823ebc7f580d72e00b0b7ccd6972752e02a436356fbba34b9de
12,refs/heads/revamp,652d8eb753bbdfa4159d98b241afc3abf635cba8,69062579ca3bbfb589028cd1fd7f020b98d3ffaf,f195e22063ac29d1916a9cf02b80e8bdd8585799,,2e4f4b97c7b64680394ca3e9f147877061a0fb9fc93b92a4f5bba436c3dbb913,Tests_passed,01232b28d230f73b83e6fd8e13f9ee7f95961241f5469c9f51dc036ce320b2f9,Tests_passed,True,True,True,True,Tests_passed,591a3f440059d1baa3b8331ad93f89bc0e822685ddfb488ea4759b4740a8586e,Tests_passed,591a3f440059d1baa3b8331ad93f89bc0e822685ddfb488ea4759b4740a8586e,Tests_passed,591a3f440059d1baa3b8331ad93f89bc0e822685ddfb488ea4759b4740a8586e,Tests_passed,591a3f440059d1baa3b8331ad93f89bc0e822685ddfb488ea4759b4740a8586e,Tests_passed,591a3f440059d1baa3b8331ad93f89bc0e822685ddfb488ea4759b4740a8586e,Tests_passed,591a3f440059d1baa3b8331ad93f89bc0e822685ddfb488ea4759b4740a8586e,Tests_passed,591a3f440059d1baa3b8331ad93f89bc0e822685ddfb488ea4759b4740a8586e,Tests_passed,591a3f440059d1baa3b8331ad93f89bc0e822685ddfb488ea4759b4740a8586e,Tests_passed,591a3f440059d1baa3b8331ad93f89bc0e822685ddfb488ea4759b4740a8586e,Tests_passed,591a3f440059d1baa3b8331ad93f89bc0e822685ddfb488ea4759b4740a8586e,Tests_passed,591a3f440059d1baa3b8331ad93f89bc0e822685ddfb488ea4759b4740a8586e,Tests_passed,591a3f440059d1baa3b8331ad93f89bc0e822685ddfb488ea4759b4740a8586e,Tests_passed,591a3f440059d1baa3b8331ad93f89bc0e822685ddfb488ea4759b4740a8586e,Merge_failed,591a3f440059d1baa3b8331ad93f89bc0e822685ddfb488ea4759b4740a8586e
