idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
14,refs/heads/master,64892287652746488ee8a688166503d8cc586e94,dc6073491394f9563d9c6d83f1d683994ec964ad,49da79fa94fb8a7f8f8166afde6ccd0e6df9b650,,True,True,0d51f3f00b763c8d4d61af4d5aff63277392f5eff43c07e0c2613c971edc428f,Tests_passed,70cd3a6cdbe9b5334cd783946aebf5b5749f5b8931d701505f8156e5afb8002a,Tests_passed,True,True,Tests_passed,f238ce7f7272b119af397d16412bca91f7dd01d522f18cfcd475c1e747a1e282,Tests_passed,f238ce7f7272b119af397d16412bca91f7dd01d522f18cfcd475c1e747a1e282,Tests_passed,f238ce7f7272b119af397d16412bca91f7dd01d522f18cfcd475c1e747a1e282,Tests_passed,f238ce7f7272b119af397d16412bca91f7dd01d522f18cfcd475c1e747a1e282,Tests_passed,f238ce7f7272b119af397d16412bca91f7dd01d522f18cfcd475c1e747a1e282,Tests_passed,f238ce7f7272b119af397d16412bca91f7dd01d522f18cfcd475c1e747a1e282,Tests_passed,f238ce7f7272b119af397d16412bca91f7dd01d522f18cfcd475c1e747a1e282,Tests_passed,f238ce7f7272b119af397d16412bca91f7dd01d522f18cfcd475c1e747a1e282,Tests_passed,f238ce7f7272b119af397d16412bca91f7dd01d522f18cfcd475c1e747a1e282,Tests_passed,f238ce7f7272b119af397d16412bca91f7dd01d522f18cfcd475c1e747a1e282,Tests_passed,f238ce7f7272b119af397d16412bca91f7dd01d522f18cfcd475c1e747a1e282,Tests_passed,f238ce7f7272b119af397d16412bca91f7dd01d522f18cfcd475c1e747a1e282,Tests_passed,f238ce7f7272b119af397d16412bca91f7dd01d522f18cfcd475c1e747a1e282,Tests_passed,f238ce7f7272b119af397d16412bca91f7dd01d522f18cfcd475c1e747a1e282
49,refs/heads/master,a9d5e434d960f18adf1ca5fee97d38d0300543f1,37fcb8ca56546db88fb27da8e66b441e60a90448,06cf284f9da85f9c9819ab5d80ee9bcf9051253b,,True,True,0372cd87297d9c6b7c74c9be0299dac3ce9d349b861b7b9169da3026eeb17d15,Tests_passed,57918995627ee24fb486825062cd74dfc0f50cf6ede9a11e2e5a48b8dcad1d21,Tests_passed,True,True,Tests_passed,a33132a167d72b97a191b9dbb1daab7080d8218828e9a0508a1f785f42af95fe,Tests_passed,a33132a167d72b97a191b9dbb1daab7080d8218828e9a0508a1f785f42af95fe,Tests_passed,a33132a167d72b97a191b9dbb1daab7080d8218828e9a0508a1f785f42af95fe,Tests_passed,a33132a167d72b97a191b9dbb1daab7080d8218828e9a0508a1f785f42af95fe,Tests_passed,a33132a167d72b97a191b9dbb1daab7080d8218828e9a0508a1f785f42af95fe,Tests_passed,a33132a167d72b97a191b9dbb1daab7080d8218828e9a0508a1f785f42af95fe,Tests_passed,a33132a167d72b97a191b9dbb1daab7080d8218828e9a0508a1f785f42af95fe,Tests_passed,a33132a167d72b97a191b9dbb1daab7080d8218828e9a0508a1f785f42af95fe,Tests_passed,a33132a167d72b97a191b9dbb1daab7080d8218828e9a0508a1f785f42af95fe,Tests_passed,a33132a167d72b97a191b9dbb1daab7080d8218828e9a0508a1f785f42af95fe,Tests_passed,a33132a167d72b97a191b9dbb1daab7080d8218828e9a0508a1f785f42af95fe,Tests_passed,a33132a167d72b97a191b9dbb1daab7080d8218828e9a0508a1f785f42af95fe,Tests_passed,a33132a167d72b97a191b9dbb1daab7080d8218828e9a0508a1f785f42af95fe,Tests_passed,a33132a167d72b97a191b9dbb1daab7080d8218828e9a0508a1f785f42af95fe
50,refs/heads/master,37fcb8ca56546db88fb27da8e66b441e60a90448,0c6d2a09538882ed715d7df72ac4594f85aa93a2,ce1269c33cc785b94294b3c584bfc2f731af4ca8,,True,True,6103996b0c202de9ff1fa6ff2dfcb3f57631a08742812cadf5a1640643877227,Tests_passed,f8d14944637a1a2f9b995536ab5bb386833042aa634d9aa82fae73f80956b982,Tests_passed,True,True,Tests_passed,0372cd87297d9c6b7c74c9be0299dac3ce9d349b861b7b9169da3026eeb17d15,Tests_passed,0372cd87297d9c6b7c74c9be0299dac3ce9d349b861b7b9169da3026eeb17d15,Tests_passed,0372cd87297d9c6b7c74c9be0299dac3ce9d349b861b7b9169da3026eeb17d15,Tests_passed,0372cd87297d9c6b7c74c9be0299dac3ce9d349b861b7b9169da3026eeb17d15,Tests_passed,0372cd87297d9c6b7c74c9be0299dac3ce9d349b861b7b9169da3026eeb17d15,Tests_passed,0372cd87297d9c6b7c74c9be0299dac3ce9d349b861b7b9169da3026eeb17d15,Tests_passed,0372cd87297d9c6b7c74c9be0299dac3ce9d349b861b7b9169da3026eeb17d15,Tests_passed,0372cd87297d9c6b7c74c9be0299dac3ce9d349b861b7b9169da3026eeb17d15,Tests_passed,0372cd87297d9c6b7c74c9be0299dac3ce9d349b861b7b9169da3026eeb17d15,Tests_passed,0372cd87297d9c6b7c74c9be0299dac3ce9d349b861b7b9169da3026eeb17d15,Tests_passed,0372cd87297d9c6b7c74c9be0299dac3ce9d349b861b7b9169da3026eeb17d15,Tests_passed,0372cd87297d9c6b7c74c9be0299dac3ce9d349b861b7b9169da3026eeb17d15,Tests_passed,0372cd87297d9c6b7c74c9be0299dac3ce9d349b861b7b9169da3026eeb17d15,Tests_passed,0372cd87297d9c6b7c74c9be0299dac3ce9d349b861b7b9169da3026eeb17d15
51,refs/heads/master,0c6d2a09538882ed715d7df72ac4594f85aa93a2,22925931b963e742018acf99fe7c1f11212cc635,fece37647513abfa7bd2e78622ca4714392b21e8,,True,True,ade3f144a069b19c2438a0d8b2a41424bb3f4d71b6f4acfbe6ccdbdd892c443e,Tests_passed,6fd72248c2bdda9f3bb23a05deba18df2bd98381dc121cc03ec2e1a5151241fb,Tests_passed,True,True,Tests_passed,6103996b0c202de9ff1fa6ff2dfcb3f57631a08742812cadf5a1640643877227,Tests_passed,6103996b0c202de9ff1fa6ff2dfcb3f57631a08742812cadf5a1640643877227,Tests_passed,6103996b0c202de9ff1fa6ff2dfcb3f57631a08742812cadf5a1640643877227,Tests_passed,6103996b0c202de9ff1fa6ff2dfcb3f57631a08742812cadf5a1640643877227,Tests_passed,6103996b0c202de9ff1fa6ff2dfcb3f57631a08742812cadf5a1640643877227,Tests_passed,6103996b0c202de9ff1fa6ff2dfcb3f57631a08742812cadf5a1640643877227,Tests_passed,6103996b0c202de9ff1fa6ff2dfcb3f57631a08742812cadf5a1640643877227,Tests_passed,6103996b0c202de9ff1fa6ff2dfcb3f57631a08742812cadf5a1640643877227,Tests_passed,6103996b0c202de9ff1fa6ff2dfcb3f57631a08742812cadf5a1640643877227,Tests_passed,6103996b0c202de9ff1fa6ff2dfcb3f57631a08742812cadf5a1640643877227,Tests_passed,6103996b0c202de9ff1fa6ff2dfcb3f57631a08742812cadf5a1640643877227,Tests_passed,6103996b0c202de9ff1fa6ff2dfcb3f57631a08742812cadf5a1640643877227,Tests_passed,6103996b0c202de9ff1fa6ff2dfcb3f57631a08742812cadf5a1640643877227,Tests_passed,6103996b0c202de9ff1fa6ff2dfcb3f57631a08742812cadf5a1640643877227
78,refs/heads/master,c72866014927cd040cd72333d259be7dcbada112,fda91608a6db7c6de52dac445558cb5b65e7a373,41fe900752b2687138619ba7ccbcd70659814ef7,,True,True,c82affeddfca52b7875dd7f3334442804762081e0c66e2ad21b4a705812fe415,Tests_passed,bf34870e33b61ae27bccd9032073c18a18f67555a79bde262b38a02d38c79032,Tests_passed,True,True,Tests_passed,7be18cc60665e7d5c1a96e6c8664aae8658b1590fa8d22f391081b10ad7d4f1b,Tests_passed,7be18cc60665e7d5c1a96e6c8664aae8658b1590fa8d22f391081b10ad7d4f1b,Tests_passed,7be18cc60665e7d5c1a96e6c8664aae8658b1590fa8d22f391081b10ad7d4f1b,Tests_passed,7be18cc60665e7d5c1a96e6c8664aae8658b1590fa8d22f391081b10ad7d4f1b,Tests_passed,7be18cc60665e7d5c1a96e6c8664aae8658b1590fa8d22f391081b10ad7d4f1b,Tests_passed,7be18cc60665e7d5c1a96e6c8664aae8658b1590fa8d22f391081b10ad7d4f1b,Tests_passed,7be18cc60665e7d5c1a96e6c8664aae8658b1590fa8d22f391081b10ad7d4f1b,Tests_passed,7be18cc60665e7d5c1a96e6c8664aae8658b1590fa8d22f391081b10ad7d4f1b,Tests_passed,7be18cc60665e7d5c1a96e6c8664aae8658b1590fa8d22f391081b10ad7d4f1b,Tests_passed,7be18cc60665e7d5c1a96e6c8664aae8658b1590fa8d22f391081b10ad7d4f1b,Tests_passed,7be18cc60665e7d5c1a96e6c8664aae8658b1590fa8d22f391081b10ad7d4f1b,Tests_passed,7be18cc60665e7d5c1a96e6c8664aae8658b1590fa8d22f391081b10ad7d4f1b,Tests_passed,7be18cc60665e7d5c1a96e6c8664aae8658b1590fa8d22f391081b10ad7d4f1b,Tests_passed,7be18cc60665e7d5c1a96e6c8664aae8658b1590fa8d22f391081b10ad7d4f1b
79,refs/heads/master,fda91608a6db7c6de52dac445558cb5b65e7a373,0add26a682b18e2b9a271aff09f0ab80f66ec760,b82fc66b3ed6098f7235a0980105e0666ced69bc,,True,True,b32dd3bbce6c501c30aaa1d15baca40ff1651be5de2afca9185428e0502dfd78,Tests_passed,115aebea15cce42ff0708ef0d33daddf5c65058bdc3b93c22880e0cee832705b,Tests_passed,True,True,Tests_passed,c82affeddfca52b7875dd7f3334442804762081e0c66e2ad21b4a705812fe415,Tests_passed,c82affeddfca52b7875dd7f3334442804762081e0c66e2ad21b4a705812fe415,Tests_passed,c82affeddfca52b7875dd7f3334442804762081e0c66e2ad21b4a705812fe415,Tests_passed,c82affeddfca52b7875dd7f3334442804762081e0c66e2ad21b4a705812fe415,Tests_passed,c82affeddfca52b7875dd7f3334442804762081e0c66e2ad21b4a705812fe415,Tests_passed,c82affeddfca52b7875dd7f3334442804762081e0c66e2ad21b4a705812fe415,Tests_passed,c82affeddfca52b7875dd7f3334442804762081e0c66e2ad21b4a705812fe415,Tests_passed,c82affeddfca52b7875dd7f3334442804762081e0c66e2ad21b4a705812fe415,Tests_passed,c82affeddfca52b7875dd7f3334442804762081e0c66e2ad21b4a705812fe415,Tests_passed,c82affeddfca52b7875dd7f3334442804762081e0c66e2ad21b4a705812fe415,Tests_passed,c82affeddfca52b7875dd7f3334442804762081e0c66e2ad21b4a705812fe415,Tests_passed,c82affeddfca52b7875dd7f3334442804762081e0c66e2ad21b4a705812fe415,Tests_passed,c82affeddfca52b7875dd7f3334442804762081e0c66e2ad21b4a705812fe415,Tests_passed,c82affeddfca52b7875dd7f3334442804762081e0c66e2ad21b4a705812fe415
80,refs/heads/master,0add26a682b18e2b9a271aff09f0ab80f66ec760,71c0242f55a2f6dc774be0ac5ba087e33b700bb0,b7b13a28cfcc1dbe4cdfb3241d7d37c3f83e96e1,,True,True,551c0ef5c49ad2abba7c200549d0185437a7aaddc3567e792f341ceabef22188,Tests_passed,573e1f71d8b0b9ee06e7925d0a6ec16e1deb106a8dfa9445cc3156b04d145dbe,Tests_passed,True,True,Tests_passed,b32dd3bbce6c501c30aaa1d15baca40ff1651be5de2afca9185428e0502dfd78,Tests_passed,b32dd3bbce6c501c30aaa1d15baca40ff1651be5de2afca9185428e0502dfd78,Tests_passed,b32dd3bbce6c501c30aaa1d15baca40ff1651be5de2afca9185428e0502dfd78,Tests_passed,b32dd3bbce6c501c30aaa1d15baca40ff1651be5de2afca9185428e0502dfd78,Tests_passed,b32dd3bbce6c501c30aaa1d15baca40ff1651be5de2afca9185428e0502dfd78,Tests_passed,b32dd3bbce6c501c30aaa1d15baca40ff1651be5de2afca9185428e0502dfd78,Tests_passed,b32dd3bbce6c501c30aaa1d15baca40ff1651be5de2afca9185428e0502dfd78,Tests_passed,b32dd3bbce6c501c30aaa1d15baca40ff1651be5de2afca9185428e0502dfd78,Tests_passed,b32dd3bbce6c501c30aaa1d15baca40ff1651be5de2afca9185428e0502dfd78,Tests_passed,b32dd3bbce6c501c30aaa1d15baca40ff1651be5de2afca9185428e0502dfd78,Tests_passed,b32dd3bbce6c501c30aaa1d15baca40ff1651be5de2afca9185428e0502dfd78,Tests_passed,b32dd3bbce6c501c30aaa1d15baca40ff1651be5de2afca9185428e0502dfd78,Tests_passed,b32dd3bbce6c501c30aaa1d15baca40ff1651be5de2afca9185428e0502dfd78,Tests_passed,b32dd3bbce6c501c30aaa1d15baca40ff1651be5de2afca9185428e0502dfd78
81,refs/heads/master,71c0242f55a2f6dc774be0ac5ba087e33b700bb0,669c2abf2845af28332fcc6006ea61a0a0121244,5f9dcfa1f2bc54be1f168b5880942005f85006b9,,True,True,e6abd34f2e209e0515a76ca954e3d2be429a38174fe9de51e6e1a09f2c6f9037,Tests_passed,e78939cd9944e882c563ab7661575bc617a8abfddabedb056b8a26021b879b62,Tests_passed,True,True,Tests_passed,551c0ef5c49ad2abba7c200549d0185437a7aaddc3567e792f341ceabef22188,Tests_passed,551c0ef5c49ad2abba7c200549d0185437a7aaddc3567e792f341ceabef22188,Tests_passed,551c0ef5c49ad2abba7c200549d0185437a7aaddc3567e792f341ceabef22188,Tests_passed,551c0ef5c49ad2abba7c200549d0185437a7aaddc3567e792f341ceabef22188,Tests_passed,551c0ef5c49ad2abba7c200549d0185437a7aaddc3567e792f341ceabef22188,Tests_passed,551c0ef5c49ad2abba7c200549d0185437a7aaddc3567e792f341ceabef22188,Tests_passed,551c0ef5c49ad2abba7c200549d0185437a7aaddc3567e792f341ceabef22188,Tests_passed,551c0ef5c49ad2abba7c200549d0185437a7aaddc3567e792f341ceabef22188,Tests_passed,551c0ef5c49ad2abba7c200549d0185437a7aaddc3567e792f341ceabef22188,Tests_passed,551c0ef5c49ad2abba7c200549d0185437a7aaddc3567e792f341ceabef22188,Tests_passed,551c0ef5c49ad2abba7c200549d0185437a7aaddc3567e792f341ceabef22188,Tests_passed,551c0ef5c49ad2abba7c200549d0185437a7aaddc3567e792f341ceabef22188,Tests_passed,551c0ef5c49ad2abba7c200549d0185437a7aaddc3567e792f341ceabef22188,Tests_passed,551c0ef5c49ad2abba7c200549d0185437a7aaddc3567e792f341ceabef22188
85,refs/heads/master,f2a63d67f5a95954bd780afe63818e4aba601a08,9fd017729bea36b5306eae9fd6709195011d4ab4,c901ba54b752e471f67e66fc5c2867473d4932eb,,True,True,c6f21647664c097488119a547492412182d87cde27a99d830a63a44ddf822996,Tests_passed,0cc8d9bae6d7969e2354d3a43716e61286f31971e01ba5f887a65bb5d360c5b6,Tests_passed,True,True,Tests_passed,b871768a6551adfc70c3abb092f7faaf52d62ea37542109a3ab497828a8f372a,Tests_passed,b871768a6551adfc70c3abb092f7faaf52d62ea37542109a3ab497828a8f372a,Tests_passed,b871768a6551adfc70c3abb092f7faaf52d62ea37542109a3ab497828a8f372a,Tests_passed,b871768a6551adfc70c3abb092f7faaf52d62ea37542109a3ab497828a8f372a,Tests_passed,b871768a6551adfc70c3abb092f7faaf52d62ea37542109a3ab497828a8f372a,Tests_passed,b871768a6551adfc70c3abb092f7faaf52d62ea37542109a3ab497828a8f372a,Tests_passed,b871768a6551adfc70c3abb092f7faaf52d62ea37542109a3ab497828a8f372a,Tests_passed,b871768a6551adfc70c3abb092f7faaf52d62ea37542109a3ab497828a8f372a,Tests_passed,b871768a6551adfc70c3abb092f7faaf52d62ea37542109a3ab497828a8f372a,Tests_passed,b871768a6551adfc70c3abb092f7faaf52d62ea37542109a3ab497828a8f372a,Tests_passed,b871768a6551adfc70c3abb092f7faaf52d62ea37542109a3ab497828a8f372a,Tests_passed,b871768a6551adfc70c3abb092f7faaf52d62ea37542109a3ab497828a8f372a,Tests_failed,711a2eb8987bbd6b1f4b0131d39ab073536ae4f08b0f5878e789e4ca7815ad58,Tests_passed,b871768a6551adfc70c3abb092f7faaf52d62ea37542109a3ab497828a8f372a
87,refs/heads/master,4bc4802fa8a82dadec2d1dc688224ba5464b59ea,d33139f0e923b290b1948ffceac25893cc844055,f90e61a2b498205ee1cd81c89e87b41746f60108,,True,True,fb280c3a4457de2835adf77a44270944eadbc72599ae3a460b3ae25c88fd6c2b,Tests_passed,adcfbe2d8a2a2ff9832ee28aced6acb04d56f16fa5227f35647ea49a29bcc9a3,Tests_passed,True,True,Tests_passed,076de81a68d67e27f3f60b9f0269ae9973290f04df75fc1969b4b3df95598ff5,Tests_passed,076de81a68d67e27f3f60b9f0269ae9973290f04df75fc1969b4b3df95598ff5,Tests_passed,076de81a68d67e27f3f60b9f0269ae9973290f04df75fc1969b4b3df95598ff5,Tests_passed,076de81a68d67e27f3f60b9f0269ae9973290f04df75fc1969b4b3df95598ff5,Tests_passed,076de81a68d67e27f3f60b9f0269ae9973290f04df75fc1969b4b3df95598ff5,Tests_passed,076de81a68d67e27f3f60b9f0269ae9973290f04df75fc1969b4b3df95598ff5,Tests_passed,076de81a68d67e27f3f60b9f0269ae9973290f04df75fc1969b4b3df95598ff5,Tests_passed,076de81a68d67e27f3f60b9f0269ae9973290f04df75fc1969b4b3df95598ff5,Tests_passed,076de81a68d67e27f3f60b9f0269ae9973290f04df75fc1969b4b3df95598ff5,Tests_passed,076de81a68d67e27f3f60b9f0269ae9973290f04df75fc1969b4b3df95598ff5,Tests_passed,076de81a68d67e27f3f60b9f0269ae9973290f04df75fc1969b4b3df95598ff5,Tests_passed,076de81a68d67e27f3f60b9f0269ae9973290f04df75fc1969b4b3df95598ff5,Tests_passed,076de81a68d67e27f3f60b9f0269ae9973290f04df75fc1969b4b3df95598ff5,Tests_passed,076de81a68d67e27f3f60b9f0269ae9973290f04df75fc1969b4b3df95598ff5
