idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
1,refs/heads/master,833f69b3184bfb8781abcacc04859fd8dbb01b0e,24b3b64b0443ce6d49e50ecd52934bddeee319b0,3d060e0c3804c23128a917d51d96876350d203b1,,True,True,c92c2e0ffa0f0406331b6b4a7961cbf22ff143475c269aa9dbb022d0a8fc8cb7,Tests_passed,211649ad60b8a7b8ac004a571c67878435aa06379fbeed486874381cfe936cab,Tests_passed,True,True,Tests_passed,6304cb7b03eb2ea38440d5c380b9724179569c51e116cc9b317091dcbe95938d,Tests_passed,6304cb7b03eb2ea38440d5c380b9724179569c51e116cc9b317091dcbe95938d,Tests_passed,6304cb7b03eb2ea38440d5c380b9724179569c51e116cc9b317091dcbe95938d,Tests_passed,6304cb7b03eb2ea38440d5c380b9724179569c51e116cc9b317091dcbe95938d,Tests_passed,6304cb7b03eb2ea38440d5c380b9724179569c51e116cc9b317091dcbe95938d,Tests_passed,6304cb7b03eb2ea38440d5c380b9724179569c51e116cc9b317091dcbe95938d,Tests_passed,6304cb7b03eb2ea38440d5c380b9724179569c51e116cc9b317091dcbe95938d,Tests_passed,6304cb7b03eb2ea38440d5c380b9724179569c51e116cc9b317091dcbe95938d,Tests_passed,6304cb7b03eb2ea38440d5c380b9724179569c51e116cc9b317091dcbe95938d,Tests_passed,6304cb7b03eb2ea38440d5c380b9724179569c51e116cc9b317091dcbe95938d,Tests_passed,6304cb7b03eb2ea38440d5c380b9724179569c51e116cc9b317091dcbe95938d,Tests_passed,6304cb7b03eb2ea38440d5c380b9724179569c51e116cc9b317091dcbe95938d,Tests_passed,e278e58788636fdc011f4c15cee3145e710371be9be9f72ce62435a923666b44,Merge_failed,6304cb7b03eb2ea38440d5c380b9724179569c51e116cc9b317091dcbe95938d
2,refs/heads/master,cf643cbea4a993b72bbb6feb18a7394028cbb6c6,dddd03a2462f2e6213da206f5833a0faaf35b794,f316128a4619b7bea7c9881802ca3a60c21ac2b6,,True,True,8aed63f779d5e04ff81060a94013f26c926de0a91a936c20ca1104369ed90335,Tests_passed,b059342a803053dd40344c4e8cfa16d291d52a7e76771bb97eaf5652123d951e,Tests_passed,True,True,Tests_passed,fe150558391bbdaf68e33e0e2cb7c761af4fbde51b021ffe04d03df7d38a3efb,Tests_passed,fe150558391bbdaf68e33e0e2cb7c761af4fbde51b021ffe04d03df7d38a3efb,Tests_passed,fe150558391bbdaf68e33e0e2cb7c761af4fbde51b021ffe04d03df7d38a3efb,Tests_passed,fe150558391bbdaf68e33e0e2cb7c761af4fbde51b021ffe04d03df7d38a3efb,Tests_passed,fe150558391bbdaf68e33e0e2cb7c761af4fbde51b021ffe04d03df7d38a3efb,Tests_passed,fe150558391bbdaf68e33e0e2cb7c761af4fbde51b021ffe04d03df7d38a3efb,Tests_passed,fe150558391bbdaf68e33e0e2cb7c761af4fbde51b021ffe04d03df7d38a3efb,Tests_passed,fe150558391bbdaf68e33e0e2cb7c761af4fbde51b021ffe04d03df7d38a3efb,Tests_passed,fe150558391bbdaf68e33e0e2cb7c761af4fbde51b021ffe04d03df7d38a3efb,Tests_passed,fe150558391bbdaf68e33e0e2cb7c761af4fbde51b021ffe04d03df7d38a3efb,Tests_passed,fe150558391bbdaf68e33e0e2cb7c761af4fbde51b021ffe04d03df7d38a3efb,Tests_passed,fe150558391bbdaf68e33e0e2cb7c761af4fbde51b021ffe04d03df7d38a3efb,Tests_passed,fe150558391bbdaf68e33e0e2cb7c761af4fbde51b021ffe04d03df7d38a3efb,Merge_failed,fe150558391bbdaf68e33e0e2cb7c761af4fbde51b021ffe04d03df7d38a3efb
3,refs/heads/master,f316128a4619b7bea7c9881802ca3a60c21ac2b6,20f64a9fb55236ae24e811a37f414c484799184f,cf429c286315c4e655571c1ae0d392d3e7717b8d,,True,True,6b07fb493f95673440d6110d47d3a839852b6375c6d012a63dc5a44c7aaf3fca,Tests_passed,0a63ef78b928826caa1325e1224401b1d46eac0b9770a31bc616e82c61842774,Tests_passed,True,True,Tests_passed,b059342a803053dd40344c4e8cfa16d291d52a7e76771bb97eaf5652123d951e,Tests_passed,b059342a803053dd40344c4e8cfa16d291d52a7e76771bb97eaf5652123d951e,Tests_passed,b059342a803053dd40344c4e8cfa16d291d52a7e76771bb97eaf5652123d951e,Tests_passed,b059342a803053dd40344c4e8cfa16d291d52a7e76771bb97eaf5652123d951e,Tests_passed,b059342a803053dd40344c4e8cfa16d291d52a7e76771bb97eaf5652123d951e,Tests_passed,b059342a803053dd40344c4e8cfa16d291d52a7e76771bb97eaf5652123d951e,Tests_passed,b059342a803053dd40344c4e8cfa16d291d52a7e76771bb97eaf5652123d951e,Tests_passed,b059342a803053dd40344c4e8cfa16d291d52a7e76771bb97eaf5652123d951e,Tests_passed,b059342a803053dd40344c4e8cfa16d291d52a7e76771bb97eaf5652123d951e,Tests_passed,b059342a803053dd40344c4e8cfa16d291d52a7e76771bb97eaf5652123d951e,Tests_passed,b059342a803053dd40344c4e8cfa16d291d52a7e76771bb97eaf5652123d951e,Tests_passed,b059342a803053dd40344c4e8cfa16d291d52a7e76771bb97eaf5652123d951e,Tests_passed,b059342a803053dd40344c4e8cfa16d291d52a7e76771bb97eaf5652123d951e,Merge_failed,b059342a803053dd40344c4e8cfa16d291d52a7e76771bb97eaf5652123d951e
4,refs/heads/master,20f64a9fb55236ae24e811a37f414c484799184f,83340231db8f7e94b9972fb90e6dbd379e7937fa,27af04c021404a61a63e22a48634a4c269532a8e,,True,True,74717d066e5aef9b79f408311871d46968fbd85f07ae847d36fa3fe36fc3a290,Tests_passed,1275c5cf3a639e5e61a141a405260dae5985365d910ec4ea00e22c8aced0d8f9,Tests_passed,True,True,Tests_passed,6b07fb493f95673440d6110d47d3a839852b6375c6d012a63dc5a44c7aaf3fca,Tests_passed,6b07fb493f95673440d6110d47d3a839852b6375c6d012a63dc5a44c7aaf3fca,Tests_passed,6b07fb493f95673440d6110d47d3a839852b6375c6d012a63dc5a44c7aaf3fca,Tests_passed,6b07fb493f95673440d6110d47d3a839852b6375c6d012a63dc5a44c7aaf3fca,Tests_passed,6b07fb493f95673440d6110d47d3a839852b6375c6d012a63dc5a44c7aaf3fca,Tests_passed,6b07fb493f95673440d6110d47d3a839852b6375c6d012a63dc5a44c7aaf3fca,Tests_passed,6b07fb493f95673440d6110d47d3a839852b6375c6d012a63dc5a44c7aaf3fca,Tests_passed,6b07fb493f95673440d6110d47d3a839852b6375c6d012a63dc5a44c7aaf3fca,Tests_passed,6b07fb493f95673440d6110d47d3a839852b6375c6d012a63dc5a44c7aaf3fca,Tests_passed,6b07fb493f95673440d6110d47d3a839852b6375c6d012a63dc5a44c7aaf3fca,Tests_passed,6b07fb493f95673440d6110d47d3a839852b6375c6d012a63dc5a44c7aaf3fca,Tests_passed,6b07fb493f95673440d6110d47d3a839852b6375c6d012a63dc5a44c7aaf3fca,Tests_passed,6b07fb493f95673440d6110d47d3a839852b6375c6d012a63dc5a44c7aaf3fca,Merge_failed,6b07fb493f95673440d6110d47d3a839852b6375c6d012a63dc5a44c7aaf3fca
5,refs/heads/master,83340231db8f7e94b9972fb90e6dbd379e7937fa,77dd45ad18995198d9763941a0ec5796e726635d,debeb83822e48a6ee582fdcc5390310f750779d6,,True,True,629d7efca8614c600a4fefb81b7b6094da185640f1023e431603472e2b4bb8d2,Tests_passed,855aacfc91ab198d43cc1449edf74ab696add0e0c4e5a48b5ad0c708c44db96b,Tests_passed,True,True,Merge_failed,629d7efca8614c600a4fefb81b7b6094da185640f1023e431603472e2b4bb8d2,Tests_passed,629d7efca8614c600a4fefb81b7b6094da185640f1023e431603472e2b4bb8d2,Merge_failed,629d7efca8614c600a4fefb81b7b6094da185640f1023e431603472e2b4bb8d2,Tests_passed,629d7efca8614c600a4fefb81b7b6094da185640f1023e431603472e2b4bb8d2,Tests_passed,629d7efca8614c600a4fefb81b7b6094da185640f1023e431603472e2b4bb8d2,Merge_failed,629d7efca8614c600a4fefb81b7b6094da185640f1023e431603472e2b4bb8d2,Merge_failed,629d7efca8614c600a4fefb81b7b6094da185640f1023e431603472e2b4bb8d2,Merge_failed,629d7efca8614c600a4fefb81b7b6094da185640f1023e431603472e2b4bb8d2,Merge_failed,629d7efca8614c600a4fefb81b7b6094da185640f1023e431603472e2b4bb8d2,Merge_failed,629d7efca8614c600a4fefb81b7b6094da185640f1023e431603472e2b4bb8d2,Merge_failed,629d7efca8614c600a4fefb81b7b6094da185640f1023e431603472e2b4bb8d2,Merge_failed,629d7efca8614c600a4fefb81b7b6094da185640f1023e431603472e2b4bb8d2,Merge_failed,353e85ef1e0c83cedd9da86c148197c1660787c8d97a51381e1c86801098ad21,Merge_failed,0bf5a9e3afbd67f7a16b90ce6ebed5e20909696f239b9f9632dc74df504ca9a0
10,refs/heads/master,eaa38d57508471e776bfca5558e95b691f71d4fe,d989ba2efe85381c2e2cc152bad67c9eaefa3f4c,53077a81845ddc6ee9323dea21f06166c3f4f34c,,True,True,eb0f2241f28d59f4f696d0f5668ecd2ab7ac5677208ee24c1dbb10470f5bbc5c,Tests_passed,00a8d4cd48a6f3ae962e2b1c683b7e485cb0f777c3f693d2c152b15f8ed40bf9,Tests_passed,True,True,Tests_passed,d66caedb8a84c8c0e94dc9f2277f5012a3b9523c8b6233a882f85da87cc5fd0c,Tests_passed,d66caedb8a84c8c0e94dc9f2277f5012a3b9523c8b6233a882f85da87cc5fd0c,Tests_passed,d66caedb8a84c8c0e94dc9f2277f5012a3b9523c8b6233a882f85da87cc5fd0c,Tests_passed,d66caedb8a84c8c0e94dc9f2277f5012a3b9523c8b6233a882f85da87cc5fd0c,Tests_passed,d66caedb8a84c8c0e94dc9f2277f5012a3b9523c8b6233a882f85da87cc5fd0c,Tests_passed,d66caedb8a84c8c0e94dc9f2277f5012a3b9523c8b6233a882f85da87cc5fd0c,Tests_passed,d66caedb8a84c8c0e94dc9f2277f5012a3b9523c8b6233a882f85da87cc5fd0c,Tests_passed,d66caedb8a84c8c0e94dc9f2277f5012a3b9523c8b6233a882f85da87cc5fd0c,Tests_passed,d66caedb8a84c8c0e94dc9f2277f5012a3b9523c8b6233a882f85da87cc5fd0c,Tests_passed,d66caedb8a84c8c0e94dc9f2277f5012a3b9523c8b6233a882f85da87cc5fd0c,Tests_passed,d66caedb8a84c8c0e94dc9f2277f5012a3b9523c8b6233a882f85da87cc5fd0c,Tests_passed,d66caedb8a84c8c0e94dc9f2277f5012a3b9523c8b6233a882f85da87cc5fd0c,Tests_passed,d66caedb8a84c8c0e94dc9f2277f5012a3b9523c8b6233a882f85da87cc5fd0c,Merge_failed,d66caedb8a84c8c0e94dc9f2277f5012a3b9523c8b6233a882f85da87cc5fd0c
17,refs/heads/master,d00e0eab23794022e39ea6089db1c8235511ab10,0ffb6e0e745497e4d61554ea3b11407cdf4b4cf0,6d7775ab22ea31ffc8966ef4741bd0c4991446fb,,True,True,0d2c9fccf5c35927d3fd80c38893f1a29ba0810d567632e9a910c33e76058fda,Tests_passed,edf8bf501749ab3edb444f8709e8da00af58de686c81402758e82ffe3d828a0f,Tests_passed,True,True,Tests_passed,63cf1d6502f052fd60517436aced10271a8263b42984cbd0d6bc70baa3d8a924,Tests_passed,63cf1d6502f052fd60517436aced10271a8263b42984cbd0d6bc70baa3d8a924,Tests_passed,63cf1d6502f052fd60517436aced10271a8263b42984cbd0d6bc70baa3d8a924,Tests_passed,63cf1d6502f052fd60517436aced10271a8263b42984cbd0d6bc70baa3d8a924,Tests_passed,63cf1d6502f052fd60517436aced10271a8263b42984cbd0d6bc70baa3d8a924,Tests_passed,63cf1d6502f052fd60517436aced10271a8263b42984cbd0d6bc70baa3d8a924,Tests_passed,63cf1d6502f052fd60517436aced10271a8263b42984cbd0d6bc70baa3d8a924,Tests_passed,63cf1d6502f052fd60517436aced10271a8263b42984cbd0d6bc70baa3d8a924,Tests_passed,63cf1d6502f052fd60517436aced10271a8263b42984cbd0d6bc70baa3d8a924,Tests_passed,63cf1d6502f052fd60517436aced10271a8263b42984cbd0d6bc70baa3d8a924,Tests_passed,63cf1d6502f052fd60517436aced10271a8263b42984cbd0d6bc70baa3d8a924,Tests_passed,63cf1d6502f052fd60517436aced10271a8263b42984cbd0d6bc70baa3d8a924,Tests_passed,48cabd70e88cc7a687920229e02a2cc0af6158398471137c9c943d5b4679f82d,Merge_failed,63cf1d6502f052fd60517436aced10271a8263b42984cbd0d6bc70baa3d8a924
19,refs/heads/master,1c7438bdc01ed87e667ee829f8ba93a6364b7d8c,ab5de64c46f54ff74a860eaee0b02b24f6d2cd7f,a3180a7a1e7aa5fc82ed5665651fa37836bb0a77,,True,True,efe5c69888e5de44e41e521b72738c4b564ee78d32f62718a55824436e197adc,Tests_passed,242c9fa837fddfef6756a69344b40c6e78f8918023b83c5240a09f90583d6aea,Tests_passed,True,True,Tests_passed,0d2c9fccf5c35927d3fd80c38893f1a29ba0810d567632e9a910c33e76058fda,Tests_passed,0d2c9fccf5c35927d3fd80c38893f1a29ba0810d567632e9a910c33e76058fda,Tests_passed,0d2c9fccf5c35927d3fd80c38893f1a29ba0810d567632e9a910c33e76058fda,Tests_passed,0d2c9fccf5c35927d3fd80c38893f1a29ba0810d567632e9a910c33e76058fda,Tests_passed,0d2c9fccf5c35927d3fd80c38893f1a29ba0810d567632e9a910c33e76058fda,Tests_passed,0d2c9fccf5c35927d3fd80c38893f1a29ba0810d567632e9a910c33e76058fda,Tests_passed,0d2c9fccf5c35927d3fd80c38893f1a29ba0810d567632e9a910c33e76058fda,Tests_passed,0d2c9fccf5c35927d3fd80c38893f1a29ba0810d567632e9a910c33e76058fda,Tests_passed,0d2c9fccf5c35927d3fd80c38893f1a29ba0810d567632e9a910c33e76058fda,Tests_passed,0d2c9fccf5c35927d3fd80c38893f1a29ba0810d567632e9a910c33e76058fda,Tests_passed,0d2c9fccf5c35927d3fd80c38893f1a29ba0810d567632e9a910c33e76058fda,Tests_passed,0d2c9fccf5c35927d3fd80c38893f1a29ba0810d567632e9a910c33e76058fda,Tests_passed,0d2c9fccf5c35927d3fd80c38893f1a29ba0810d567632e9a910c33e76058fda,Merge_failed,0d2c9fccf5c35927d3fd80c38893f1a29ba0810d567632e9a910c33e76058fda
21,refs/heads/master,85a7622444700a554ea800a06d5c55dfadfc620e,846ff81d5b773ed66c750677cb8d74c27b98634c,51388207a0615ab5cb88012612717ced727287a6,,True,True,ac3d0d92e1f0258f31fa330910aa0671ae5e8d7068e4cda581f79b7d5537304d,Tests_passed,1e22f3053b0dfb75fa02a473e3b1c6b9dcbc45fe78c05bd55ad0d64694ed67da,Tests_passed,True,True,Tests_passed,efe5c69888e5de44e41e521b72738c4b564ee78d32f62718a55824436e197adc,Tests_passed,efe5c69888e5de44e41e521b72738c4b564ee78d32f62718a55824436e197adc,Tests_passed,efe5c69888e5de44e41e521b72738c4b564ee78d32f62718a55824436e197adc,Tests_passed,efe5c69888e5de44e41e521b72738c4b564ee78d32f62718a55824436e197adc,Tests_passed,efe5c69888e5de44e41e521b72738c4b564ee78d32f62718a55824436e197adc,Tests_passed,efe5c69888e5de44e41e521b72738c4b564ee78d32f62718a55824436e197adc,Tests_passed,efe5c69888e5de44e41e521b72738c4b564ee78d32f62718a55824436e197adc,Tests_passed,efe5c69888e5de44e41e521b72738c4b564ee78d32f62718a55824436e197adc,Tests_passed,efe5c69888e5de44e41e521b72738c4b564ee78d32f62718a55824436e197adc,Tests_passed,efe5c69888e5de44e41e521b72738c4b564ee78d32f62718a55824436e197adc,Tests_passed,efe5c69888e5de44e41e521b72738c4b564ee78d32f62718a55824436e197adc,Tests_passed,efe5c69888e5de44e41e521b72738c4b564ee78d32f62718a55824436e197adc,Tests_passed,efe5c69888e5de44e41e521b72738c4b564ee78d32f62718a55824436e197adc,Merge_failed,efe5c69888e5de44e41e521b72738c4b564ee78d32f62718a55824436e197adc
22,refs/heads/master,846ff81d5b773ed66c750677cb8d74c27b98634c,926b729e257b0202492307de968b47ecec6c84af,8a457c75048d5d6e0a1aa9ee1d1003c995e77bef,,True,True,877cfb6d169cdc68d614120ee345c1ebf8660b24854a7d2096d06f27cd7c22c1,Tests_passed,ee655188093f4ae968ed4649e7c92a00ee168fb1469d7ff7cdbc0efbadfc0327,Tests_passed,True,True,Tests_passed,ac3d0d92e1f0258f31fa330910aa0671ae5e8d7068e4cda581f79b7d5537304d,Tests_passed,ac3d0d92e1f0258f31fa330910aa0671ae5e8d7068e4cda581f79b7d5537304d,Tests_passed,ac3d0d92e1f0258f31fa330910aa0671ae5e8d7068e4cda581f79b7d5537304d,Tests_passed,ac3d0d92e1f0258f31fa330910aa0671ae5e8d7068e4cda581f79b7d5537304d,Tests_passed,ac3d0d92e1f0258f31fa330910aa0671ae5e8d7068e4cda581f79b7d5537304d,Tests_passed,ac3d0d92e1f0258f31fa330910aa0671ae5e8d7068e4cda581f79b7d5537304d,Tests_passed,ac3d0d92e1f0258f31fa330910aa0671ae5e8d7068e4cda581f79b7d5537304d,Tests_passed,ac3d0d92e1f0258f31fa330910aa0671ae5e8d7068e4cda581f79b7d5537304d,Tests_passed,ac3d0d92e1f0258f31fa330910aa0671ae5e8d7068e4cda581f79b7d5537304d,Tests_passed,ac3d0d92e1f0258f31fa330910aa0671ae5e8d7068e4cda581f79b7d5537304d,Tests_passed,ac3d0d92e1f0258f31fa330910aa0671ae5e8d7068e4cda581f79b7d5537304d,Tests_passed,ac3d0d92e1f0258f31fa330910aa0671ae5e8d7068e4cda581f79b7d5537304d,Tests_passed,ac3d0d92e1f0258f31fa330910aa0671ae5e8d7068e4cda581f79b7d5537304d,Merge_failed,ac3d0d92e1f0258f31fa330910aa0671ae5e8d7068e4cda581f79b7d5537304d
