idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
2,refs/heads/master,2df20457ef7e0d4f3da9c55e436bd0bd394b89fa,4acdeeffbd626c7d4a82fed62328f9b8e3108755,8c184a5fa9b6907eab4419bed67833c50cbf0a99,,True,True,cb046ea029723b532904d5014df437912bceeee896742f35c9e2e5a7c2a180dc,Tests_passed,8337af9827d08308708c9816351d43302963a2e3f6003463d0f237b49e65a9c4,Tests_passed,True,True,Tests_passed,21d4b642a62ddd79baf036d2a97d4fe865e7f3ee3b4a084671b63fd282e5f47a,Tests_passed,21d4b642a62ddd79baf036d2a97d4fe865e7f3ee3b4a084671b63fd282e5f47a,Tests_passed,21d4b642a62ddd79baf036d2a97d4fe865e7f3ee3b4a084671b63fd282e5f47a,Tests_passed,21d4b642a62ddd79baf036d2a97d4fe865e7f3ee3b4a084671b63fd282e5f47a,Tests_passed,21d4b642a62ddd79baf036d2a97d4fe865e7f3ee3b4a084671b63fd282e5f47a,Tests_passed,21d4b642a62ddd79baf036d2a97d4fe865e7f3ee3b4a084671b63fd282e5f47a,Tests_passed,21d4b642a62ddd79baf036d2a97d4fe865e7f3ee3b4a084671b63fd282e5f47a,Tests_passed,21d4b642a62ddd79baf036d2a97d4fe865e7f3ee3b4a084671b63fd282e5f47a,Tests_passed,21d4b642a62ddd79baf036d2a97d4fe865e7f3ee3b4a084671b63fd282e5f47a,Tests_passed,21d4b642a62ddd79baf036d2a97d4fe865e7f3ee3b4a084671b63fd282e5f47a,Tests_passed,21d4b642a62ddd79baf036d2a97d4fe865e7f3ee3b4a084671b63fd282e5f47a,Tests_passed,21d4b642a62ddd79baf036d2a97d4fe865e7f3ee3b4a084671b63fd282e5f47a,Tests_passed,21d4b642a62ddd79baf036d2a97d4fe865e7f3ee3b4a084671b63fd282e5f47a,Tests_passed,21d4b642a62ddd79baf036d2a97d4fe865e7f3ee3b4a084671b63fd282e5f47a
3,refs/heads/master,42251de30ee585c221434ec8b1f1eb8555b7538b,36544bebd0a0d75f28edf24bd3d4a5a0d94fcd8d,5cee7c6afdb01331b7624d9b83219b346798aa6d,,True,True,955d4e0ee5f9179fd754328a69e04ad9c0f0691ffc4cb34c0855d167098ba115,Tests_passed,61e53a0689cb23fb0922ebea715901be9754afe395655746743cf0365ec2e76a,Tests_passed,True,True,Tests_passed,b9b5de619f3d6fb8293b8623cb17c2a22af7b52803a18193d983ac97d486daa2,Tests_passed,b9b5de619f3d6fb8293b8623cb17c2a22af7b52803a18193d983ac97d486daa2,Tests_passed,b9b5de619f3d6fb8293b8623cb17c2a22af7b52803a18193d983ac97d486daa2,Tests_passed,b9b5de619f3d6fb8293b8623cb17c2a22af7b52803a18193d983ac97d486daa2,Tests_passed,b9b5de619f3d6fb8293b8623cb17c2a22af7b52803a18193d983ac97d486daa2,Tests_passed,b9b5de619f3d6fb8293b8623cb17c2a22af7b52803a18193d983ac97d486daa2,Tests_passed,b9b5de619f3d6fb8293b8623cb17c2a22af7b52803a18193d983ac97d486daa2,Tests_passed,b9b5de619f3d6fb8293b8623cb17c2a22af7b52803a18193d983ac97d486daa2,Tests_passed,b9b5de619f3d6fb8293b8623cb17c2a22af7b52803a18193d983ac97d486daa2,Tests_passed,b9b5de619f3d6fb8293b8623cb17c2a22af7b52803a18193d983ac97d486daa2,Tests_passed,b9b5de619f3d6fb8293b8623cb17c2a22af7b52803a18193d983ac97d486daa2,Tests_passed,b9b5de619f3d6fb8293b8623cb17c2a22af7b52803a18193d983ac97d486daa2,Tests_passed,b9b5de619f3d6fb8293b8623cb17c2a22af7b52803a18193d983ac97d486daa2,Tests_passed,b9b5de619f3d6fb8293b8623cb17c2a22af7b52803a18193d983ac97d486daa2
4,refs/heads/master,4a4a4469c54485ecb7c18c8fa43e684221ca974d,d9a7d795258679a646cda5238a4cf8e9457e4add,0121580fca362120180ac0bf1b0cf2b9cec47828,,True,True,38d46fcab6861758b8d767015447336dc52c8f582f888840a2d855104f9d18cc,Tests_passed,78e64d2b949b88c4d9c2aaebfb33bed32274baddb3a2b388ec23e47a18b87b8c,Tests_passed,True,True,Merge_failed,38d46fcab6861758b8d767015447336dc52c8f582f888840a2d855104f9d18cc,Tests_passed,38d46fcab6861758b8d767015447336dc52c8f582f888840a2d855104f9d18cc,Merge_failed,38d46fcab6861758b8d767015447336dc52c8f582f888840a2d855104f9d18cc,Tests_passed,38d46fcab6861758b8d767015447336dc52c8f582f888840a2d855104f9d18cc,Tests_passed,38d46fcab6861758b8d767015447336dc52c8f582f888840a2d855104f9d18cc,Merge_failed,38d46fcab6861758b8d767015447336dc52c8f582f888840a2d855104f9d18cc,Merge_failed,38d46fcab6861758b8d767015447336dc52c8f582f888840a2d855104f9d18cc,Merge_failed,38d46fcab6861758b8d767015447336dc52c8f582f888840a2d855104f9d18cc,Merge_failed,38d46fcab6861758b8d767015447336dc52c8f582f888840a2d855104f9d18cc,Merge_failed,38d46fcab6861758b8d767015447336dc52c8f582f888840a2d855104f9d18cc,Merge_failed,38d46fcab6861758b8d767015447336dc52c8f582f888840a2d855104f9d18cc,Merge_failed,38d46fcab6861758b8d767015447336dc52c8f582f888840a2d855104f9d18cc,Merge_failed,71f250e509321d738121cdb5377da7f877e04ae8dbddd12f988c509ed7bde054,Merge_failed,71f250e509321d738121cdb5377da7f877e04ae8dbddd12f988c509ed7bde054
10,refs/heads/master,568b0a4a3c5affe67113f082c9933c794d827d05,7dafeb2552b607eeafbd0126f913076fc58a5d7b,1200080f8a241c981ebf7bc292e50df40dadece2,,True,True,79274d631f9fd404d5bf81034760e1cf7c6c19c0b477aca4c020e10d30ab6e09,Tests_passed,9e91cd5589af8c5585acdd2927dfeeeea8f769683c3f8df976c6cf612d71d19b,Tests_passed,True,True,Tests_passed,e27cf7b7e04b7d28532627efcead4a187d3ddaeb08b56d30429960c86bc862d3,Tests_passed,e27cf7b7e04b7d28532627efcead4a187d3ddaeb08b56d30429960c86bc862d3,Tests_passed,e27cf7b7e04b7d28532627efcead4a187d3ddaeb08b56d30429960c86bc862d3,Tests_passed,e27cf7b7e04b7d28532627efcead4a187d3ddaeb08b56d30429960c86bc862d3,Tests_passed,e27cf7b7e04b7d28532627efcead4a187d3ddaeb08b56d30429960c86bc862d3,Tests_passed,e27cf7b7e04b7d28532627efcead4a187d3ddaeb08b56d30429960c86bc862d3,Tests_passed,e27cf7b7e04b7d28532627efcead4a187d3ddaeb08b56d30429960c86bc862d3,Tests_passed,e27cf7b7e04b7d28532627efcead4a187d3ddaeb08b56d30429960c86bc862d3,Tests_passed,e27cf7b7e04b7d28532627efcead4a187d3ddaeb08b56d30429960c86bc862d3,Tests_passed,e27cf7b7e04b7d28532627efcead4a187d3ddaeb08b56d30429960c86bc862d3,Tests_passed,e27cf7b7e04b7d28532627efcead4a187d3ddaeb08b56d30429960c86bc862d3,Tests_passed,e27cf7b7e04b7d28532627efcead4a187d3ddaeb08b56d30429960c86bc862d3,Tests_passed,e27cf7b7e04b7d28532627efcead4a187d3ddaeb08b56d30429960c86bc862d3,Tests_passed,e27cf7b7e04b7d28532627efcead4a187d3ddaeb08b56d30429960c86bc862d3
16,refs/heads/master,3d9457c7ebb2dc0141271a2e6371f4e3407269b8,ac7726475da519c4c50dd0041bafd23d8031fcab,d478ae2a2814a4826a9e5b144b0e304bca529190,,True,True,c66661fb17b55510487d7960c6f15575afdf63a6e8fa0d7b99bcdd7730a4c574,Tests_passed,a57949cb531fdd256f44b7ed63933c008e3d279f21c7a10b8b8306eadde49e77,Tests_passed,True,True,Tests_passed,cdb9e4b082f64661567e69a790b7ddb8e3216940d490b9e039199f930d3480ea,Tests_passed,cdb9e4b082f64661567e69a790b7ddb8e3216940d490b9e039199f930d3480ea,Tests_passed,cdb9e4b082f64661567e69a790b7ddb8e3216940d490b9e039199f930d3480ea,Tests_passed,cdb9e4b082f64661567e69a790b7ddb8e3216940d490b9e039199f930d3480ea,Tests_passed,cdb9e4b082f64661567e69a790b7ddb8e3216940d490b9e039199f930d3480ea,Tests_passed,cdb9e4b082f64661567e69a790b7ddb8e3216940d490b9e039199f930d3480ea,Tests_passed,cdb9e4b082f64661567e69a790b7ddb8e3216940d490b9e039199f930d3480ea,Tests_passed,cdb9e4b082f64661567e69a790b7ddb8e3216940d490b9e039199f930d3480ea,Tests_passed,cdb9e4b082f64661567e69a790b7ddb8e3216940d490b9e039199f930d3480ea,Tests_passed,cdb9e4b082f64661567e69a790b7ddb8e3216940d490b9e039199f930d3480ea,Tests_passed,cdb9e4b082f64661567e69a790b7ddb8e3216940d490b9e039199f930d3480ea,Tests_passed,cdb9e4b082f64661567e69a790b7ddb8e3216940d490b9e039199f930d3480ea,Tests_passed,cdb9e4b082f64661567e69a790b7ddb8e3216940d490b9e039199f930d3480ea,Tests_passed,cdb9e4b082f64661567e69a790b7ddb8e3216940d490b9e039199f930d3480ea
26,refs/remotes/origin/pull/144,90db52c9ae34d2a60850b5490c8e6f91b64b7ba9,3b28f42106b100e78687aa8d46abd89b816e45d8,a8d5177570e70dcfa48febe720d8f9f35e3221e2,,True,True,cc7e6e13e3f00dcffe3aa6491af3aa07a7b2657a7bfe3c2577748cd4964409aa,Tests_passed,74d9fee0d39e4bf874a0d7e18ef6534074c5c56d18e6545da625994dd64b1c61,Tests_passed,True,True,Tests_passed,74d9fee0d39e4bf874a0d7e18ef6534074c5c56d18e6545da625994dd64b1c61,Tests_passed,74d9fee0d39e4bf874a0d7e18ef6534074c5c56d18e6545da625994dd64b1c61,Tests_passed,74d9fee0d39e4bf874a0d7e18ef6534074c5c56d18e6545da625994dd64b1c61,Tests_passed,74d9fee0d39e4bf874a0d7e18ef6534074c5c56d18e6545da625994dd64b1c61,Tests_passed,74d9fee0d39e4bf874a0d7e18ef6534074c5c56d18e6545da625994dd64b1c61,Tests_passed,74d9fee0d39e4bf874a0d7e18ef6534074c5c56d18e6545da625994dd64b1c61,Tests_passed,74d9fee0d39e4bf874a0d7e18ef6534074c5c56d18e6545da625994dd64b1c61,Tests_passed,74d9fee0d39e4bf874a0d7e18ef6534074c5c56d18e6545da625994dd64b1c61,Tests_passed,74d9fee0d39e4bf874a0d7e18ef6534074c5c56d18e6545da625994dd64b1c61,Tests_passed,74d9fee0d39e4bf874a0d7e18ef6534074c5c56d18e6545da625994dd64b1c61,Tests_passed,74d9fee0d39e4bf874a0d7e18ef6534074c5c56d18e6545da625994dd64b1c61,Tests_passed,74d9fee0d39e4bf874a0d7e18ef6534074c5c56d18e6545da625994dd64b1c61,Tests_passed,74d9fee0d39e4bf874a0d7e18ef6534074c5c56d18e6545da625994dd64b1c61,Tests_passed,74d9fee0d39e4bf874a0d7e18ef6534074c5c56d18e6545da625994dd64b1c61
27,refs/remotes/origin/pull/150,e08f006a776c4f620ce8b255e8769141a8169245,dddca36166ab23542e1590c60f2b3b3e48c4c4a3,67cd8a2965f20888f3ecf471f12bcec6d7935099,,True,True,a0bf1c45e3b3858059f43f1612f7c4fedd83b08114fb34cac48451fa484bcb10,Tests_passed,99402a5a77ae4ff70707fcc4e47ff2fb53af934dff079de2c75cb75fa1d46c9d,Tests_passed,True,True,Tests_passed,a0bf1c45e3b3858059f43f1612f7c4fedd83b08114fb34cac48451fa484bcb10,Tests_passed,a0bf1c45e3b3858059f43f1612f7c4fedd83b08114fb34cac48451fa484bcb10,Tests_passed,a0bf1c45e3b3858059f43f1612f7c4fedd83b08114fb34cac48451fa484bcb10,Tests_passed,a0bf1c45e3b3858059f43f1612f7c4fedd83b08114fb34cac48451fa484bcb10,Tests_passed,a0bf1c45e3b3858059f43f1612f7c4fedd83b08114fb34cac48451fa484bcb10,Tests_passed,a0bf1c45e3b3858059f43f1612f7c4fedd83b08114fb34cac48451fa484bcb10,Tests_passed,a0bf1c45e3b3858059f43f1612f7c4fedd83b08114fb34cac48451fa484bcb10,Tests_passed,a0bf1c45e3b3858059f43f1612f7c4fedd83b08114fb34cac48451fa484bcb10,Tests_passed,a0bf1c45e3b3858059f43f1612f7c4fedd83b08114fb34cac48451fa484bcb10,Tests_passed,a0bf1c45e3b3858059f43f1612f7c4fedd83b08114fb34cac48451fa484bcb10,Tests_passed,a0bf1c45e3b3858059f43f1612f7c4fedd83b08114fb34cac48451fa484bcb10,Tests_passed,a0bf1c45e3b3858059f43f1612f7c4fedd83b08114fb34cac48451fa484bcb10,Tests_passed,a0bf1c45e3b3858059f43f1612f7c4fedd83b08114fb34cac48451fa484bcb10,Tests_passed,a0bf1c45e3b3858059f43f1612f7c4fedd83b08114fb34cac48451fa484bcb10
28,refs/remotes/origin/pull/184,ba07071a49b4ef022c745d13c6502b38794ef956,192d3fb32413f101c07fdbc9f5965b41a47daea5,12ef53dec57066f111a7ce9f1e72765469d0fec4,,True,True,8ae063bf60773dbe12a9b1ab6fdcc9c7f1c0867d34f285bbc7003b4ddf87ec5a,Tests_passed,48e3adb0e6bc49f758017df58201dac8c127af6c9196395f3d493e6f7cec23b1,Tests_passed,True,True,Tests_passed,c0a5448ee0b81a41edd8cd6e496d4cb61f1caccf2c2a71c50a4a034de0e06f15,Tests_passed,c0a5448ee0b81a41edd8cd6e496d4cb61f1caccf2c2a71c50a4a034de0e06f15,Tests_passed,c0a5448ee0b81a41edd8cd6e496d4cb61f1caccf2c2a71c50a4a034de0e06f15,Tests_passed,c0a5448ee0b81a41edd8cd6e496d4cb61f1caccf2c2a71c50a4a034de0e06f15,Tests_passed,c0a5448ee0b81a41edd8cd6e496d4cb61f1caccf2c2a71c50a4a034de0e06f15,Tests_passed,c0a5448ee0b81a41edd8cd6e496d4cb61f1caccf2c2a71c50a4a034de0e06f15,Tests_passed,c0a5448ee0b81a41edd8cd6e496d4cb61f1caccf2c2a71c50a4a034de0e06f15,Tests_passed,c0a5448ee0b81a41edd8cd6e496d4cb61f1caccf2c2a71c50a4a034de0e06f15,Tests_passed,c0a5448ee0b81a41edd8cd6e496d4cb61f1caccf2c2a71c50a4a034de0e06f15,Tests_passed,c0a5448ee0b81a41edd8cd6e496d4cb61f1caccf2c2a71c50a4a034de0e06f15,Tests_passed,c0a5448ee0b81a41edd8cd6e496d4cb61f1caccf2c2a71c50a4a034de0e06f15,Tests_passed,c0a5448ee0b81a41edd8cd6e496d4cb61f1caccf2c2a71c50a4a034de0e06f15,Tests_passed,b2c796b8a27226b5b6f5c2fe39e127e96390cae522a8414b6796e59227a08db4,Tests_passed,c0a5448ee0b81a41edd8cd6e496d4cb61f1caccf2c2a71c50a4a034de0e06f15
32,refs/remotes/origin/pull/289,cc5de266d34bd622580059ef5de52d5e893c0b53,1967db34f27494adfbe443337a240891e96b50ad,b888b85119db7adde3d9399c9d9bd1d0079731f4,,True,True,eda46100da055b1844a4bb18f2c5adad510930c2928460d2396afb8993500409,Tests_passed,ec8d986848f0c9e3b88548412c1332df3652820cb9578caf1cbb418bc0636e30,Tests_passed,True,True,Merge_failed,eda46100da055b1844a4bb18f2c5adad510930c2928460d2396afb8993500409,Tests_passed,eda46100da055b1844a4bb18f2c5adad510930c2928460d2396afb8993500409,Merge_failed,eda46100da055b1844a4bb18f2c5adad510930c2928460d2396afb8993500409,Tests_passed,eda46100da055b1844a4bb18f2c5adad510930c2928460d2396afb8993500409,Tests_passed,eda46100da055b1844a4bb18f2c5adad510930c2928460d2396afb8993500409,Merge_failed,eda46100da055b1844a4bb18f2c5adad510930c2928460d2396afb8993500409,Merge_failed,eda46100da055b1844a4bb18f2c5adad510930c2928460d2396afb8993500409,Merge_failed,eda46100da055b1844a4bb18f2c5adad510930c2928460d2396afb8993500409,Merge_failed,eda46100da055b1844a4bb18f2c5adad510930c2928460d2396afb8993500409,Merge_failed,eda46100da055b1844a4bb18f2c5adad510930c2928460d2396afb8993500409,Merge_failed,eda46100da055b1844a4bb18f2c5adad510930c2928460d2396afb8993500409,Merge_failed,eda46100da055b1844a4bb18f2c5adad510930c2928460d2396afb8993500409,Tests_passed,221d24d174765befc62122d0cea7333e9642dfaf65ff7297ec9a4fd891c00aa1,Merge_failed,3224e89bf539864fdab90426d1e7b9278e4da378a0b8e4aa736996733df48d33
35,refs/remotes/origin/pull/81,a9bde13e8711688811c3c0d3c7a15acd43945db8,b13337ec934e1ab4b15d88f54cf5a318680b9652,e8aa3626a981a74d187fadf37e5d4f5a0b5625aa,,True,True,21efa4e73cc9b8bbeddeceee2b809975f364ffd47229bd66eb7b1b778e12a992,Tests_passed,1edbffa0621d3b5b1360bf64d613e367dab8d9b7d4111e374a50a1dd5a53494f,Tests_passed,True,True,Tests_passed,1edbffa0621d3b5b1360bf64d613e367dab8d9b7d4111e374a50a1dd5a53494f,Tests_passed,1edbffa0621d3b5b1360bf64d613e367dab8d9b7d4111e374a50a1dd5a53494f,Tests_passed,1edbffa0621d3b5b1360bf64d613e367dab8d9b7d4111e374a50a1dd5a53494f,Tests_passed,1edbffa0621d3b5b1360bf64d613e367dab8d9b7d4111e374a50a1dd5a53494f,Tests_passed,1edbffa0621d3b5b1360bf64d613e367dab8d9b7d4111e374a50a1dd5a53494f,Tests_passed,1edbffa0621d3b5b1360bf64d613e367dab8d9b7d4111e374a50a1dd5a53494f,Tests_passed,1edbffa0621d3b5b1360bf64d613e367dab8d9b7d4111e374a50a1dd5a53494f,Tests_passed,1edbffa0621d3b5b1360bf64d613e367dab8d9b7d4111e374a50a1dd5a53494f,Tests_passed,1edbffa0621d3b5b1360bf64d613e367dab8d9b7d4111e374a50a1dd5a53494f,Tests_passed,1edbffa0621d3b5b1360bf64d613e367dab8d9b7d4111e374a50a1dd5a53494f,Tests_passed,1edbffa0621d3b5b1360bf64d613e367dab8d9b7d4111e374a50a1dd5a53494f,Tests_passed,1edbffa0621d3b5b1360bf64d613e367dab8d9b7d4111e374a50a1dd5a53494f,Tests_passed,1edbffa0621d3b5b1360bf64d613e367dab8d9b7d4111e374a50a1dd5a53494f,Tests_passed,1edbffa0621d3b5b1360bf64d613e367dab8d9b7d4111e374a50a1dd5a53494f
