idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
2,refs/heads/master,0dc76facfdfe614212c470100c46c8a27a0b7bbd,fe2dcf75d74b6c00643ece42766da293fa53bad4,cb2d84962dfddfef2f933d50360556b43f56221f,,True,True,c3fc49b0b1deee54a124179df369d432c59cd362f5b51953a5464c2cefb437e3,Tests_passed,ffddffe513bb90f899295a145c149778edcb67c9851c985e7acc41fae0c0e69f,Tests_passed,True,True,Tests_passed,7f43377611845a2a3c65b7ef31ddadcb47fd30cd3f90f5cc664bd01d86b974bc,Tests_passed,7f43377611845a2a3c65b7ef31ddadcb47fd30cd3f90f5cc664bd01d86b974bc,Tests_passed,7f43377611845a2a3c65b7ef31ddadcb47fd30cd3f90f5cc664bd01d86b974bc,Tests_passed,7f43377611845a2a3c65b7ef31ddadcb47fd30cd3f90f5cc664bd01d86b974bc,Tests_passed,7f43377611845a2a3c65b7ef31ddadcb47fd30cd3f90f5cc664bd01d86b974bc,Tests_passed,7f43377611845a2a3c65b7ef31ddadcb47fd30cd3f90f5cc664bd01d86b974bc,Tests_passed,7f43377611845a2a3c65b7ef31ddadcb47fd30cd3f90f5cc664bd01d86b974bc,Tests_passed,7f43377611845a2a3c65b7ef31ddadcb47fd30cd3f90f5cc664bd01d86b974bc,Tests_passed,7f43377611845a2a3c65b7ef31ddadcb47fd30cd3f90f5cc664bd01d86b974bc,Tests_passed,7f43377611845a2a3c65b7ef31ddadcb47fd30cd3f90f5cc664bd01d86b974bc,Tests_passed,7f43377611845a2a3c65b7ef31ddadcb47fd30cd3f90f5cc664bd01d86b974bc,Tests_passed,7f43377611845a2a3c65b7ef31ddadcb47fd30cd3f90f5cc664bd01d86b974bc,Tests_passed,7f43377611845a2a3c65b7ef31ddadcb47fd30cd3f90f5cc664bd01d86b974bc,Tests_passed,7f43377611845a2a3c65b7ef31ddadcb47fd30cd3f90f5cc664bd01d86b974bc
9,refs/heads/master,d3b387c66f86d5594ff36573b593a928791d01dc,c252b4f509588a578ae033d522f35a45fc360a1e,f69448340df0a4dc54b658a796152b9952fbabec,,True,True,26783a61133cdbd45413ecdc6e0c5e6673e016005d25ce1f1afd8870956b711f,Tests_passed,7fe74134ccd40a6f84eafc84eb0011bc94ffd0b9c2885b07aa9ad8da26b27784,Tests_passed,True,True,Merge_failed,b92895f711d9ba8b4e4c361cdd29aa24f6e7d6327168f3d3931575bbb77a7d8e,Merge_failed,b92895f711d9ba8b4e4c361cdd29aa24f6e7d6327168f3d3931575bbb77a7d8e,Merge_failed,2f576d85469e796394b40ff5f4f6a0fa4abf7bed43c7edf8c5b41d9746b3fcff,Merge_failed,b92895f711d9ba8b4e4c361cdd29aa24f6e7d6327168f3d3931575bbb77a7d8e,Merge_failed,2f576d85469e796394b40ff5f4f6a0fa4abf7bed43c7edf8c5b41d9746b3fcff,Merge_failed,9c4fdd611ccd5586f4a1f26237599e1729fc6a79c4ce39ef0cc45d340b880c12,Merge_failed,b92895f711d9ba8b4e4c361cdd29aa24f6e7d6327168f3d3931575bbb77a7d8e,Merge_failed,2f576d85469e796394b40ff5f4f6a0fa4abf7bed43c7edf8c5b41d9746b3fcff,Merge_failed,b92895f711d9ba8b4e4c361cdd29aa24f6e7d6327168f3d3931575bbb77a7d8e,Merge_failed,b92895f711d9ba8b4e4c361cdd29aa24f6e7d6327168f3d3931575bbb77a7d8e,Merge_failed,b92895f711d9ba8b4e4c361cdd29aa24f6e7d6327168f3d3931575bbb77a7d8e,Merge_failed,b92895f711d9ba8b4e4c361cdd29aa24f6e7d6327168f3d3931575bbb77a7d8e,Merge_failed,0b52e4c75a7475a363d9749014b41ac993966f3225c212e23e5ba64dfbf8a54b,Merge_failed,67ec3c6ce062fe5af578d6c507706341abaa06c80011f87d7dc059b8151595fb
10,refs/heads/master,06494cc6b74f60841b488eed51950f5b185692da,5dbdb4b869b15387095f17ab7a7f04a234ddcb09,00492339926b01156f47f81e3db1c3550026ad33,,True,True,04d272018af95313b3ef3f6aac0cee7015e4bae9a727b31bd9fdddb2ce317d5b,Tests_passed,02cb756f9e80c8f823baa125ef3f997d3ae60a696656f9189b2b2784b5d4f842,Tests_passed,True,True,Tests_passed,31785e8c74a1a9e7f881968ff7006893d13da5cf85d6cf36f2b692a771b83258,Tests_passed,31785e8c74a1a9e7f881968ff7006893d13da5cf85d6cf36f2b692a771b83258,Tests_passed,31785e8c74a1a9e7f881968ff7006893d13da5cf85d6cf36f2b692a771b83258,Tests_passed,31785e8c74a1a9e7f881968ff7006893d13da5cf85d6cf36f2b692a771b83258,Tests_passed,31785e8c74a1a9e7f881968ff7006893d13da5cf85d6cf36f2b692a771b83258,Tests_passed,31785e8c74a1a9e7f881968ff7006893d13da5cf85d6cf36f2b692a771b83258,Tests_passed,31785e8c74a1a9e7f881968ff7006893d13da5cf85d6cf36f2b692a771b83258,Tests_passed,31785e8c74a1a9e7f881968ff7006893d13da5cf85d6cf36f2b692a771b83258,Tests_passed,31785e8c74a1a9e7f881968ff7006893d13da5cf85d6cf36f2b692a771b83258,Tests_passed,31785e8c74a1a9e7f881968ff7006893d13da5cf85d6cf36f2b692a771b83258,Tests_passed,31785e8c74a1a9e7f881968ff7006893d13da5cf85d6cf36f2b692a771b83258,Tests_passed,31785e8c74a1a9e7f881968ff7006893d13da5cf85d6cf36f2b692a771b83258,Tests_passed,31785e8c74a1a9e7f881968ff7006893d13da5cf85d6cf36f2b692a771b83258,Tests_passed,31785e8c74a1a9e7f881968ff7006893d13da5cf85d6cf36f2b692a771b83258
13,refs/heads/master,e77e378c3ffa5a63dbd7c0e531c7ca226455a5dc,91069a50b6ced570918ba561b1e369d109414eee,0fe8560f544e41f2372dadaf8df54b53536147f6,,True,True,da80c9f04528d9ceb7947718ebcbded9b6846dfd5ab50e083393fdb1b415deef,Tests_passed,0120f2eb9994e7572b4d0ad11e86c72d3ea2ca0e50a1b51e89ae830f973678c0,Tests_passed,True,True,Tests_passed,b61e8ee681b3713f5e24eeea0d3745f16eb75aacb8b0ddbc0d014e56a44695dc,Tests_passed,b61e8ee681b3713f5e24eeea0d3745f16eb75aacb8b0ddbc0d014e56a44695dc,Tests_passed,b61e8ee681b3713f5e24eeea0d3745f16eb75aacb8b0ddbc0d014e56a44695dc,Tests_passed,b61e8ee681b3713f5e24eeea0d3745f16eb75aacb8b0ddbc0d014e56a44695dc,Tests_passed,b61e8ee681b3713f5e24eeea0d3745f16eb75aacb8b0ddbc0d014e56a44695dc,Tests_passed,b61e8ee681b3713f5e24eeea0d3745f16eb75aacb8b0ddbc0d014e56a44695dc,Tests_passed,b61e8ee681b3713f5e24eeea0d3745f16eb75aacb8b0ddbc0d014e56a44695dc,Tests_passed,b61e8ee681b3713f5e24eeea0d3745f16eb75aacb8b0ddbc0d014e56a44695dc,Tests_passed,b61e8ee681b3713f5e24eeea0d3745f16eb75aacb8b0ddbc0d014e56a44695dc,Tests_passed,b61e8ee681b3713f5e24eeea0d3745f16eb75aacb8b0ddbc0d014e56a44695dc,Tests_passed,b61e8ee681b3713f5e24eeea0d3745f16eb75aacb8b0ddbc0d014e56a44695dc,Tests_passed,b61e8ee681b3713f5e24eeea0d3745f16eb75aacb8b0ddbc0d014e56a44695dc,Tests_passed,b61e8ee681b3713f5e24eeea0d3745f16eb75aacb8b0ddbc0d014e56a44695dc,Tests_passed,b61e8ee681b3713f5e24eeea0d3745f16eb75aacb8b0ddbc0d014e56a44695dc
15,refs/heads/master,298ff7a3d763f19287aedde95a413fde171f1c2a,1966190c66e9c2bfe1df4789cdbc7a2b89947508,70cfb42faca8fd3c92707842243d0fe9216173e0,,True,True,2a4dbd6595d71e2d68669ceb8b0d438ba7860a8d995c00a8b438111bfd7ff84c,Tests_passed,bc5cf0b1aa6f6223d5bf85cfdf28c9c86ab61cb3b24854b1e140d42c43574d48,Tests_passed,True,True,Merge_failed,78aae25604cd01f31cc15cdc9aec653ba491fbd8d07f5b31ca8df1efff7f8028,Merge_failed,78aae25604cd01f31cc15cdc9aec653ba491fbd8d07f5b31ca8df1efff7f8028,Merge_failed,78aae25604cd01f31cc15cdc9aec653ba491fbd8d07f5b31ca8df1efff7f8028,Merge_failed,78aae25604cd01f31cc15cdc9aec653ba491fbd8d07f5b31ca8df1efff7f8028,Merge_failed,78aae25604cd01f31cc15cdc9aec653ba491fbd8d07f5b31ca8df1efff7f8028,Merge_failed,6d06f4cc98a7edd583a51502de817ecec018c9a74dc3a9d3df8c5dc36e475176,Merge_failed,78aae25604cd01f31cc15cdc9aec653ba491fbd8d07f5b31ca8df1efff7f8028,Merge_failed,78aae25604cd01f31cc15cdc9aec653ba491fbd8d07f5b31ca8df1efff7f8028,Merge_failed,78aae25604cd01f31cc15cdc9aec653ba491fbd8d07f5b31ca8df1efff7f8028,Merge_failed,78aae25604cd01f31cc15cdc9aec653ba491fbd8d07f5b31ca8df1efff7f8028,Merge_failed,78aae25604cd01f31cc15cdc9aec653ba491fbd8d07f5b31ca8df1efff7f8028,Merge_failed,78aae25604cd01f31cc15cdc9aec653ba491fbd8d07f5b31ca8df1efff7f8028,Merge_failed,085ac1f87ad2be9e2d60a78742bb5e7c544f6313159cdcb0074337ef87972ace,Merge_failed,085ac1f87ad2be9e2d60a78742bb5e7c544f6313159cdcb0074337ef87972ace
27,refs/heads/master,82fdfe2e4f29fdb6dd9f0283b9970ed446ded4d5,f6285bef47db4639e091cb67a947fc2f885e78df,4fe8ad145d9513283ae5e155257d44bad307bd92,,True,True,0065fab90a4fae98e8f6ca9dd7a52e70a236ded33a1620c334c5059405fe01aa,Tests_passed,1f0e70484bbfa5e2af64d0478e83a75fa3e8cc288154a02981f72db8c377e814,Tests_passed,True,True,Tests_passed,81d8ba182849c22e982ea275a1166f03a37b3c18c638e7c02f9ff9907a4c9c73,Tests_passed,81d8ba182849c22e982ea275a1166f03a37b3c18c638e7c02f9ff9907a4c9c73,Tests_passed,81d8ba182849c22e982ea275a1166f03a37b3c18c638e7c02f9ff9907a4c9c73,Tests_passed,81d8ba182849c22e982ea275a1166f03a37b3c18c638e7c02f9ff9907a4c9c73,Tests_passed,81d8ba182849c22e982ea275a1166f03a37b3c18c638e7c02f9ff9907a4c9c73,Tests_passed,81d8ba182849c22e982ea275a1166f03a37b3c18c638e7c02f9ff9907a4c9c73,Tests_passed,81d8ba182849c22e982ea275a1166f03a37b3c18c638e7c02f9ff9907a4c9c73,Tests_passed,81d8ba182849c22e982ea275a1166f03a37b3c18c638e7c02f9ff9907a4c9c73,Tests_passed,81d8ba182849c22e982ea275a1166f03a37b3c18c638e7c02f9ff9907a4c9c73,Tests_passed,81d8ba182849c22e982ea275a1166f03a37b3c18c638e7c02f9ff9907a4c9c73,Tests_passed,81d8ba182849c22e982ea275a1166f03a37b3c18c638e7c02f9ff9907a4c9c73,Tests_passed,81d8ba182849c22e982ea275a1166f03a37b3c18c638e7c02f9ff9907a4c9c73,Tests_passed,81d8ba182849c22e982ea275a1166f03a37b3c18c638e7c02f9ff9907a4c9c73,Tests_passed,81d8ba182849c22e982ea275a1166f03a37b3c18c638e7c02f9ff9907a4c9c73
36,refs/heads/master,7ed83b026d3ec0e99f57121581c92d59c2767e86,7bcf57b1fe8e1e6b5bbbc41799ec52740555041d,41311139de3326275e07e8e084877d8d927553d8,,True,True,dd1291f2945768a9c5157bfeaafd9b490125bdc03e21cba45d07c416db1db4eb,Tests_passed,593408c16ccdc4578d482b04e064ab9de7851ab7862d69ea1111e2b43138c265,Tests_passed,True,True,Tests_passed,dd1291f2945768a9c5157bfeaafd9b490125bdc03e21cba45d07c416db1db4eb,Tests_passed,dd1291f2945768a9c5157bfeaafd9b490125bdc03e21cba45d07c416db1db4eb,Tests_passed,dd1291f2945768a9c5157bfeaafd9b490125bdc03e21cba45d07c416db1db4eb,Tests_passed,dd1291f2945768a9c5157bfeaafd9b490125bdc03e21cba45d07c416db1db4eb,Tests_passed,dd1291f2945768a9c5157bfeaafd9b490125bdc03e21cba45d07c416db1db4eb,Tests_passed,dd1291f2945768a9c5157bfeaafd9b490125bdc03e21cba45d07c416db1db4eb,Tests_passed,dd1291f2945768a9c5157bfeaafd9b490125bdc03e21cba45d07c416db1db4eb,Tests_passed,dd1291f2945768a9c5157bfeaafd9b490125bdc03e21cba45d07c416db1db4eb,Tests_passed,dd1291f2945768a9c5157bfeaafd9b490125bdc03e21cba45d07c416db1db4eb,Tests_passed,dd1291f2945768a9c5157bfeaafd9b490125bdc03e21cba45d07c416db1db4eb,Tests_passed,dd1291f2945768a9c5157bfeaafd9b490125bdc03e21cba45d07c416db1db4eb,Tests_passed,dd1291f2945768a9c5157bfeaafd9b490125bdc03e21cba45d07c416db1db4eb,Tests_passed,dd1291f2945768a9c5157bfeaafd9b490125bdc03e21cba45d07c416db1db4eb,Tests_passed,dd1291f2945768a9c5157bfeaafd9b490125bdc03e21cba45d07c416db1db4eb
43,refs/heads/master,47fde6f866c5bdd1bf3496be08cb374319e2d89d,d5538e8b75f7fa3ff0cd67839e449d80b54f7615,acfcfdf4c27479c12b3fdbc1760c72184fd927e8,,True,True,13e2992f1d922ac3ea15155cc35f93c277d080e4072fb53a9b2098573622871b,Tests_passed,94110c04ddb4412c4ab82a125ff16bee2c248f7e2b1e07524e162e8f205eac76,Tests_passed,True,True,Tests_passed,1c9428c05795e4eaf9762eea9d0fad6d266cbe10b6157fd3d07c22c6c7de2459,Tests_passed,1c9428c05795e4eaf9762eea9d0fad6d266cbe10b6157fd3d07c22c6c7de2459,Tests_passed,1c9428c05795e4eaf9762eea9d0fad6d266cbe10b6157fd3d07c22c6c7de2459,Tests_passed,1c9428c05795e4eaf9762eea9d0fad6d266cbe10b6157fd3d07c22c6c7de2459,Tests_passed,1c9428c05795e4eaf9762eea9d0fad6d266cbe10b6157fd3d07c22c6c7de2459,Tests_passed,1c9428c05795e4eaf9762eea9d0fad6d266cbe10b6157fd3d07c22c6c7de2459,Tests_passed,1c9428c05795e4eaf9762eea9d0fad6d266cbe10b6157fd3d07c22c6c7de2459,Tests_passed,1c9428c05795e4eaf9762eea9d0fad6d266cbe10b6157fd3d07c22c6c7de2459,Tests_passed,1c9428c05795e4eaf9762eea9d0fad6d266cbe10b6157fd3d07c22c6c7de2459,Tests_passed,1c9428c05795e4eaf9762eea9d0fad6d266cbe10b6157fd3d07c22c6c7de2459,Tests_passed,1c9428c05795e4eaf9762eea9d0fad6d266cbe10b6157fd3d07c22c6c7de2459,Tests_passed,1c9428c05795e4eaf9762eea9d0fad6d266cbe10b6157fd3d07c22c6c7de2459,Tests_passed,1c9428c05795e4eaf9762eea9d0fad6d266cbe10b6157fd3d07c22c6c7de2459,Tests_passed,1c9428c05795e4eaf9762eea9d0fad6d266cbe10b6157fd3d07c22c6c7de2459
44,refs/heads/master,d3ab593c724ddde38019e8485e0b97cedb44da3f,80ea701874078072a279d61c92b545273be650f8,d97046f8aae958d4f77880d7acff2d8626297fb9,,True,True,bd05b609da661114b2feb44585a667155732088347bca53ade0dd26bcabaee94,Tests_passed,853e0723c846805ce02a28d6b4dcbf9fda6c2f803fe29ef99024b8bb64a34367,Tests_passed,True,True,Tests_passed,aca5421197eae8d00e19ec33bc984b43bf4683a15ceed680a61861933bc6a70f,Tests_passed,aca5421197eae8d00e19ec33bc984b43bf4683a15ceed680a61861933bc6a70f,Tests_passed,aca5421197eae8d00e19ec33bc984b43bf4683a15ceed680a61861933bc6a70f,Tests_passed,aca5421197eae8d00e19ec33bc984b43bf4683a15ceed680a61861933bc6a70f,Tests_passed,aca5421197eae8d00e19ec33bc984b43bf4683a15ceed680a61861933bc6a70f,Tests_passed,aca5421197eae8d00e19ec33bc984b43bf4683a15ceed680a61861933bc6a70f,Tests_passed,aca5421197eae8d00e19ec33bc984b43bf4683a15ceed680a61861933bc6a70f,Tests_passed,aca5421197eae8d00e19ec33bc984b43bf4683a15ceed680a61861933bc6a70f,Tests_passed,aca5421197eae8d00e19ec33bc984b43bf4683a15ceed680a61861933bc6a70f,Tests_passed,aca5421197eae8d00e19ec33bc984b43bf4683a15ceed680a61861933bc6a70f,Tests_passed,aca5421197eae8d00e19ec33bc984b43bf4683a15ceed680a61861933bc6a70f,Tests_passed,aca5421197eae8d00e19ec33bc984b43bf4683a15ceed680a61861933bc6a70f,Tests_passed,aca5421197eae8d00e19ec33bc984b43bf4683a15ceed680a61861933bc6a70f,Tests_passed,aca5421197eae8d00e19ec33bc984b43bf4683a15ceed680a61861933bc6a70f
58,refs/remotes/origin/JEE8,4448238842cf7d4d50f336cffbabb5724c7ebf17,7cd4b9ef3f47cb693248cfcea40ff1310bed87bc,99df1e70eb8f91ce6dac41ae63e5ca5c28ac1688,,True,True,d10d73f33cb3af43886558d8fd9dbd3284f65abd7664774193903ee6fa832749,Tests_passed,e151926958c4112f42c7e621442a94b667be07621f677f2d84f4d4694ee8524a,Tests_passed,True,True,Merge_failed,ff6dfba86eb929b17407ff24e316a3542d18c7a49ce5c59adcd4513376f3fbdb,Merge_failed,ff6dfba86eb929b17407ff24e316a3542d18c7a49ce5c59adcd4513376f3fbdb,Merge_failed,ff6dfba86eb929b17407ff24e316a3542d18c7a49ce5c59adcd4513376f3fbdb,Merge_failed,ff6dfba86eb929b17407ff24e316a3542d18c7a49ce5c59adcd4513376f3fbdb,Merge_failed,ff6dfba86eb929b17407ff24e316a3542d18c7a49ce5c59adcd4513376f3fbdb,Merge_failed,3f5039693dc2e799c95493ba7c2c19a1fd1bf04d870409ca8ec4525a5e6aec4e,Merge_failed,ff6dfba86eb929b17407ff24e316a3542d18c7a49ce5c59adcd4513376f3fbdb,Merge_failed,ff6dfba86eb929b17407ff24e316a3542d18c7a49ce5c59adcd4513376f3fbdb,Merge_failed,ff6dfba86eb929b17407ff24e316a3542d18c7a49ce5c59adcd4513376f3fbdb,Merge_failed,ff6dfba86eb929b17407ff24e316a3542d18c7a49ce5c59adcd4513376f3fbdb,Merge_failed,ff6dfba86eb929b17407ff24e316a3542d18c7a49ce5c59adcd4513376f3fbdb,Merge_failed,ff6dfba86eb929b17407ff24e316a3542d18c7a49ce5c59adcd4513376f3fbdb,Merge_failed,57d65318fefbde20d4adffe98dc6cd9e733c03475dbbe365ef95916e271ca9f9,Merge_failed,57d65318fefbde20d4adffe98dc6cd9e733c03475dbbe365ef95916e271ca9f9
