idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
7,refs/heads/master,47f4b70d8392a721d18827121cde1be0179484c9,2a9673cf1473ed5f0abf901df6ab79687bb62029,54db1d59909096e3d6c843f2d5338b18a93f6df1,,44c7ba77106e5af0b0728e09032143b11c7b810bc83a3567838b528e0ea4179e,Tests_passed,78de4abb536eb2e184a2147ca779b6cc7b102fd3977af97be2ed570e3ad57d23,Tests_passed,True,True,True,True,Tests_passed,e10f7412c2bebf77a21217fa4a6c87a1b3bbb782b7bb3cf8566a997df3e918e8,Tests_passed,e10f7412c2bebf77a21217fa4a6c87a1b3bbb782b7bb3cf8566a997df3e918e8,Tests_passed,e10f7412c2bebf77a21217fa4a6c87a1b3bbb782b7bb3cf8566a997df3e918e8,Tests_passed,e10f7412c2bebf77a21217fa4a6c87a1b3bbb782b7bb3cf8566a997df3e918e8,Tests_passed,e10f7412c2bebf77a21217fa4a6c87a1b3bbb782b7bb3cf8566a997df3e918e8,Tests_passed,e10f7412c2bebf77a21217fa4a6c87a1b3bbb782b7bb3cf8566a997df3e918e8,Tests_passed,e10f7412c2bebf77a21217fa4a6c87a1b3bbb782b7bb3cf8566a997df3e918e8,Tests_passed,e10f7412c2bebf77a21217fa4a6c87a1b3bbb782b7bb3cf8566a997df3e918e8,Tests_passed,e10f7412c2bebf77a21217fa4a6c87a1b3bbb782b7bb3cf8566a997df3e918e8,Tests_passed,e10f7412c2bebf77a21217fa4a6c87a1b3bbb782b7bb3cf8566a997df3e918e8,Tests_passed,e10f7412c2bebf77a21217fa4a6c87a1b3bbb782b7bb3cf8566a997df3e918e8,Tests_passed,e10f7412c2bebf77a21217fa4a6c87a1b3bbb782b7bb3cf8566a997df3e918e8,Tests_passed,3539d37f7c39af08d6aa92ee96bfe369c1efc3a38fb6113f04a08b0e4692c210,Merge_failed,e10f7412c2bebf77a21217fa4a6c87a1b3bbb782b7bb3cf8566a997df3e918e8
10,refs/heads/master,e1b2916df053fc4ba9cb7348b43970482787d830,58bfd7f1c96da587c32bcf54e264711959adb665,e972f10829d52745e5304609acecf8a5dfd4cbd3,,1b279654732bee269590fdfc6dbd0d60d737e932546097518032b7c7f1fae38b,Tests_passed,40cbb86d478e479edbdde6887d5832b299f33e5cda31077ecafdb96ec2728e4c,Tests_passed,True,True,True,True,Tests_passed,112fcdc43cdea52c350ebd8f4818c47cf8469cdbf9ca96697926985780d7eb4e,Tests_passed,112fcdc43cdea52c350ebd8f4818c47cf8469cdbf9ca96697926985780d7eb4e,Tests_passed,112fcdc43cdea52c350ebd8f4818c47cf8469cdbf9ca96697926985780d7eb4e,Tests_passed,112fcdc43cdea52c350ebd8f4818c47cf8469cdbf9ca96697926985780d7eb4e,Tests_passed,112fcdc43cdea52c350ebd8f4818c47cf8469cdbf9ca96697926985780d7eb4e,Tests_passed,112fcdc43cdea52c350ebd8f4818c47cf8469cdbf9ca96697926985780d7eb4e,Tests_passed,112fcdc43cdea52c350ebd8f4818c47cf8469cdbf9ca96697926985780d7eb4e,Tests_passed,112fcdc43cdea52c350ebd8f4818c47cf8469cdbf9ca96697926985780d7eb4e,Tests_passed,112fcdc43cdea52c350ebd8f4818c47cf8469cdbf9ca96697926985780d7eb4e,Tests_passed,112fcdc43cdea52c350ebd8f4818c47cf8469cdbf9ca96697926985780d7eb4e,Tests_passed,112fcdc43cdea52c350ebd8f4818c47cf8469cdbf9ca96697926985780d7eb4e,Tests_passed,112fcdc43cdea52c350ebd8f4818c47cf8469cdbf9ca96697926985780d7eb4e,Tests_passed,112fcdc43cdea52c350ebd8f4818c47cf8469cdbf9ca96697926985780d7eb4e,Tests_passed,112fcdc43cdea52c350ebd8f4818c47cf8469cdbf9ca96697926985780d7eb4e
12,refs/remotes/origin/pull/54,4a3fb23983dbc134e4c3e1b80b811e3c560b14a7,e3fccd699dc79d69afab8200baadbd4752f31e32,dded1a29ff1ebcc18c1f360d1b51c5e81f140858,,9ffecb530344b8350dd876efd26e60085669b8ada20e6a13687c56fc3992f92c,Tests_passed,7adff26d754ec6dbb3d9f57e70395e84b5a8ace83983f909f1d4ca06276961a4,Tests_passed,True,True,True,True,Tests_passed,7adff26d754ec6dbb3d9f57e70395e84b5a8ace83983f909f1d4ca06276961a4,Tests_passed,7adff26d754ec6dbb3d9f57e70395e84b5a8ace83983f909f1d4ca06276961a4,Tests_passed,7adff26d754ec6dbb3d9f57e70395e84b5a8ace83983f909f1d4ca06276961a4,Tests_passed,7adff26d754ec6dbb3d9f57e70395e84b5a8ace83983f909f1d4ca06276961a4,Tests_passed,7adff26d754ec6dbb3d9f57e70395e84b5a8ace83983f909f1d4ca06276961a4,Tests_passed,7adff26d754ec6dbb3d9f57e70395e84b5a8ace83983f909f1d4ca06276961a4,Tests_passed,7adff26d754ec6dbb3d9f57e70395e84b5a8ace83983f909f1d4ca06276961a4,Tests_passed,7adff26d754ec6dbb3d9f57e70395e84b5a8ace83983f909f1d4ca06276961a4,Tests_passed,7adff26d754ec6dbb3d9f57e70395e84b5a8ace83983f909f1d4ca06276961a4,Tests_passed,7adff26d754ec6dbb3d9f57e70395e84b5a8ace83983f909f1d4ca06276961a4,Tests_passed,7adff26d754ec6dbb3d9f57e70395e84b5a8ace83983f909f1d4ca06276961a4,Tests_passed,7adff26d754ec6dbb3d9f57e70395e84b5a8ace83983f909f1d4ca06276961a4,Tests_passed,7adff26d754ec6dbb3d9f57e70395e84b5a8ace83983f909f1d4ca06276961a4,Tests_passed,7adff26d754ec6dbb3d9f57e70395e84b5a8ace83983f909f1d4ca06276961a4
14,refs/remotes/origin/pull/56,30c6fc1fb10b729a71d71ba53a2d0a1846283b1f,4a3fb23983dbc134e4c3e1b80b811e3c560b14a7,b923c2c268330175bd2e1a329974b04f9751a149,,7adff26d754ec6dbb3d9f57e70395e84b5a8ace83983f909f1d4ca06276961a4,Tests_passed,4e3b4810758d9c90ce70c0c09b786c6e15eb0025041680e4bda84824d76684e6,Tests_passed,True,True,True,True,Tests_passed,4e3b4810758d9c90ce70c0c09b786c6e15eb0025041680e4bda84824d76684e6,Tests_passed,4e3b4810758d9c90ce70c0c09b786c6e15eb0025041680e4bda84824d76684e6,Tests_passed,4e3b4810758d9c90ce70c0c09b786c6e15eb0025041680e4bda84824d76684e6,Tests_passed,4e3b4810758d9c90ce70c0c09b786c6e15eb0025041680e4bda84824d76684e6,Tests_passed,4e3b4810758d9c90ce70c0c09b786c6e15eb0025041680e4bda84824d76684e6,Tests_passed,4e3b4810758d9c90ce70c0c09b786c6e15eb0025041680e4bda84824d76684e6,Tests_passed,4e3b4810758d9c90ce70c0c09b786c6e15eb0025041680e4bda84824d76684e6,Tests_passed,4e3b4810758d9c90ce70c0c09b786c6e15eb0025041680e4bda84824d76684e6,Tests_passed,4e3b4810758d9c90ce70c0c09b786c6e15eb0025041680e4bda84824d76684e6,Tests_passed,4e3b4810758d9c90ce70c0c09b786c6e15eb0025041680e4bda84824d76684e6,Tests_passed,4e3b4810758d9c90ce70c0c09b786c6e15eb0025041680e4bda84824d76684e6,Tests_passed,4e3b4810758d9c90ce70c0c09b786c6e15eb0025041680e4bda84824d76684e6,Tests_passed,4e3b4810758d9c90ce70c0c09b786c6e15eb0025041680e4bda84824d76684e6,Tests_passed,4e3b4810758d9c90ce70c0c09b786c6e15eb0025041680e4bda84824d76684e6
15,refs/remotes/origin/pull/58,34ea9b33399f186391b0bfa1534c86a03b9d192a,3ef02dc8ee07859861f5fd73f28912e600c118ee,3d604642fdfc43763f18d805ed474b697483cca6,,2942c980314fc487e7ccb25ec1c26de2d8115bfeb143a4e6bc74b1d8a27723e7,Tests_passed,ce17c516360aa49452b0ce953eb45b4e82c85578c8544b278b0828d13d6bc302,Tests_passed,True,True,True,True,Merge_failed,3eb52931f365575c96776c8b347a0a19ebc2e2040491e1c6c18aa3fa4f9f1f15,Merge_failed,3eb52931f365575c96776c8b347a0a19ebc2e2040491e1c6c18aa3fa4f9f1f15,Merge_failed,3eb52931f365575c96776c8b347a0a19ebc2e2040491e1c6c18aa3fa4f9f1f15,Merge_failed,3eb52931f365575c96776c8b347a0a19ebc2e2040491e1c6c18aa3fa4f9f1f15,Merge_failed,3eb52931f365575c96776c8b347a0a19ebc2e2040491e1c6c18aa3fa4f9f1f15,Merge_failed,8e7d7bfa4490c397a6500c67fac4dffd1b19d8113e971f3311c9ecac1c8544d6,Merge_failed,3eb52931f365575c96776c8b347a0a19ebc2e2040491e1c6c18aa3fa4f9f1f15,Merge_failed,3eb52931f365575c96776c8b347a0a19ebc2e2040491e1c6c18aa3fa4f9f1f15,Merge_failed,3eb52931f365575c96776c8b347a0a19ebc2e2040491e1c6c18aa3fa4f9f1f15,Merge_failed,3eb52931f365575c96776c8b347a0a19ebc2e2040491e1c6c18aa3fa4f9f1f15,Merge_failed,3eb52931f365575c96776c8b347a0a19ebc2e2040491e1c6c18aa3fa4f9f1f15,Merge_failed,3eb52931f365575c96776c8b347a0a19ebc2e2040491e1c6c18aa3fa4f9f1f15,Merge_failed,863d451334684e1d216db00e050063e709276e0ae7b00725a1bde6849c346c09,Merge_failed,d6743ed533f9b6b5ea41fa34d296642e0236fce1ea26224c9c40e2af7391cdea
16,refs/remotes/origin/pull/59,3f35dba815f865f30fbd42270a68bd74a9b1970f,30c6fc1fb10b729a71d71ba53a2d0a1846283b1f,3d604642fdfc43763f18d805ed474b697483cca6,,4e3b4810758d9c90ce70c0c09b786c6e15eb0025041680e4bda84824d76684e6,Tests_passed,ce17c516360aa49452b0ce953eb45b4e82c85578c8544b278b0828d13d6bc302,Tests_passed,True,True,True,True,Tests_passed,ce17c516360aa49452b0ce953eb45b4e82c85578c8544b278b0828d13d6bc302,Tests_passed,ce17c516360aa49452b0ce953eb45b4e82c85578c8544b278b0828d13d6bc302,Tests_passed,ce17c516360aa49452b0ce953eb45b4e82c85578c8544b278b0828d13d6bc302,Tests_passed,ce17c516360aa49452b0ce953eb45b4e82c85578c8544b278b0828d13d6bc302,Tests_passed,ce17c516360aa49452b0ce953eb45b4e82c85578c8544b278b0828d13d6bc302,Tests_passed,ce17c516360aa49452b0ce953eb45b4e82c85578c8544b278b0828d13d6bc302,Tests_passed,ce17c516360aa49452b0ce953eb45b4e82c85578c8544b278b0828d13d6bc302,Tests_passed,ce17c516360aa49452b0ce953eb45b4e82c85578c8544b278b0828d13d6bc302,Tests_passed,ce17c516360aa49452b0ce953eb45b4e82c85578c8544b278b0828d13d6bc302,Tests_passed,ce17c516360aa49452b0ce953eb45b4e82c85578c8544b278b0828d13d6bc302,Tests_passed,ce17c516360aa49452b0ce953eb45b4e82c85578c8544b278b0828d13d6bc302,Tests_passed,ce17c516360aa49452b0ce953eb45b4e82c85578c8544b278b0828d13d6bc302,Tests_passed,ce17c516360aa49452b0ce953eb45b4e82c85578c8544b278b0828d13d6bc302,Tests_passed,ce17c516360aa49452b0ce953eb45b4e82c85578c8544b278b0828d13d6bc302
17,refs/remotes/origin/pull/70,48e9a51d19fecb5e51db498c1caa70acc5102efb,556338152c101ae1f6cc0b88297dcb5ffe23d3e8,18b8a5e8a288c87882bd2fb9a4d087a392f9035f,,a740b9fd3436b07556e168f6e57efde4008e703bd6a2970b84c639239334efde,Tests_passed,50b90578f7b3f31d9441d3cbe42266d7093e4186c9681e540e5e944ccdd830fd,Tests_passed,True,True,True,True,Merge_failed,d6320cfa2612ec151f4db92ebc2ee0d6ee05bb12dfc45303c6f41434db225c34,Merge_failed,d6320cfa2612ec151f4db92ebc2ee0d6ee05bb12dfc45303c6f41434db225c34,Merge_failed,5bca0e9a43ff3da876b568879df754abef963dd89b95b40fb35808f3a0160fff,Merge_failed,d6320cfa2612ec151f4db92ebc2ee0d6ee05bb12dfc45303c6f41434db225c34,Merge_failed,5bca0e9a43ff3da876b568879df754abef963dd89b95b40fb35808f3a0160fff,Merge_failed,e4f06d46c02fb8a16613a3d92ed2b12206e69b40e5b03029f2a296b0957e82cb,Merge_failed,d6320cfa2612ec151f4db92ebc2ee0d6ee05bb12dfc45303c6f41434db225c34,Merge_failed,5bca0e9a43ff3da876b568879df754abef963dd89b95b40fb35808f3a0160fff,Merge_failed,d6320cfa2612ec151f4db92ebc2ee0d6ee05bb12dfc45303c6f41434db225c34,Merge_failed,d6320cfa2612ec151f4db92ebc2ee0d6ee05bb12dfc45303c6f41434db225c34,Merge_failed,d6320cfa2612ec151f4db92ebc2ee0d6ee05bb12dfc45303c6f41434db225c34,Merge_failed,d6320cfa2612ec151f4db92ebc2ee0d6ee05bb12dfc45303c6f41434db225c34,Merge_failed,7247c6ae2321ab4f9e48ea2d097be22b25332cb98eca2dfec3a5ef101c6e9bfe,Merge_failed,c4a1b34d9ed1d57e95c7cb118e0aa2d29e085600357b0ba71a9cb3d8fd402c14
18,refs/remotes/origin/pull/72,ff0a01cb418a68ad17519e520761b273f294c924,949b05dfff032c10cad9d6df8b4f283d70791587,7c7c4a0ec9b3027f0587754c030338797e534283,,3414836b4f10beb6dc60131763d9561057c1d6e2e178a0ac2e283b01d56c9b7d,Tests_passed,ffcad236dee99ace211bf745de5103fe7e85b18d6d15fbb78e6ce88afcf60479,Tests_passed,True,True,True,True,Tests_passed,ffcad236dee99ace211bf745de5103fe7e85b18d6d15fbb78e6ce88afcf60479,Tests_passed,ffcad236dee99ace211bf745de5103fe7e85b18d6d15fbb78e6ce88afcf60479,Tests_passed,ffcad236dee99ace211bf745de5103fe7e85b18d6d15fbb78e6ce88afcf60479,Tests_passed,ffcad236dee99ace211bf745de5103fe7e85b18d6d15fbb78e6ce88afcf60479,Tests_passed,ffcad236dee99ace211bf745de5103fe7e85b18d6d15fbb78e6ce88afcf60479,Tests_passed,ffcad236dee99ace211bf745de5103fe7e85b18d6d15fbb78e6ce88afcf60479,Tests_passed,ffcad236dee99ace211bf745de5103fe7e85b18d6d15fbb78e6ce88afcf60479,Tests_passed,ffcad236dee99ace211bf745de5103fe7e85b18d6d15fbb78e6ce88afcf60479,Tests_passed,ffcad236dee99ace211bf745de5103fe7e85b18d6d15fbb78e6ce88afcf60479,Tests_passed,ffcad236dee99ace211bf745de5103fe7e85b18d6d15fbb78e6ce88afcf60479,Tests_passed,ffcad236dee99ace211bf745de5103fe7e85b18d6d15fbb78e6ce88afcf60479,Tests_passed,ffcad236dee99ace211bf745de5103fe7e85b18d6d15fbb78e6ce88afcf60479,Tests_passed,ffcad236dee99ace211bf745de5103fe7e85b18d6d15fbb78e6ce88afcf60479,Tests_passed,ffcad236dee99ace211bf745de5103fe7e85b18d6d15fbb78e6ce88afcf60479
19,refs/remotes/origin/pull/72,949b05dfff032c10cad9d6df8b4f283d70791587,16b385cd5b831e8e52fb934755dc9fe3b0cbd636,46d03c06ec711c02765477bae5f3d3db7f5e76e1,,a59d0165ef4fe7ebe3b6580665195b1f3540475cb899e46e4fdac511dff6bada,Tests_passed,3414836b4f10beb6dc60131763d9561057c1d6e2e178a0ac2e283b01d56c9b7d,Tests_passed,True,True,True,True,Tests_passed,3414836b4f10beb6dc60131763d9561057c1d6e2e178a0ac2e283b01d56c9b7d,Tests_passed,3414836b4f10beb6dc60131763d9561057c1d6e2e178a0ac2e283b01d56c9b7d,Tests_passed,3414836b4f10beb6dc60131763d9561057c1d6e2e178a0ac2e283b01d56c9b7d,Tests_passed,3414836b4f10beb6dc60131763d9561057c1d6e2e178a0ac2e283b01d56c9b7d,Tests_passed,3414836b4f10beb6dc60131763d9561057c1d6e2e178a0ac2e283b01d56c9b7d,Tests_passed,3414836b4f10beb6dc60131763d9561057c1d6e2e178a0ac2e283b01d56c9b7d,Tests_passed,3414836b4f10beb6dc60131763d9561057c1d6e2e178a0ac2e283b01d56c9b7d,Tests_passed,3414836b4f10beb6dc60131763d9561057c1d6e2e178a0ac2e283b01d56c9b7d,Tests_passed,3414836b4f10beb6dc60131763d9561057c1d6e2e178a0ac2e283b01d56c9b7d,Tests_passed,3414836b4f10beb6dc60131763d9561057c1d6e2e178a0ac2e283b01d56c9b7d,Tests_passed,3414836b4f10beb6dc60131763d9561057c1d6e2e178a0ac2e283b01d56c9b7d,Tests_passed,3414836b4f10beb6dc60131763d9561057c1d6e2e178a0ac2e283b01d56c9b7d,Tests_passed,3414836b4f10beb6dc60131763d9561057c1d6e2e178a0ac2e283b01d56c9b7d,Tests_passed,3414836b4f10beb6dc60131763d9561057c1d6e2e178a0ac2e283b01d56c9b7d
20,refs/remotes/origin/pull/72,16b385cd5b831e8e52fb934755dc9fe3b0cbd636,3f35dba815f865f30fbd42270a68bd74a9b1970f,70331920f228490f8f11b8a7e30c3ba7b13b60f0,,ce17c516360aa49452b0ce953eb45b4e82c85578c8544b278b0828d13d6bc302,Tests_passed,a59d0165ef4fe7ebe3b6580665195b1f3540475cb899e46e4fdac511dff6bada,Tests_passed,True,True,True,True,Tests_passed,a59d0165ef4fe7ebe3b6580665195b1f3540475cb899e46e4fdac511dff6bada,Tests_passed,a59d0165ef4fe7ebe3b6580665195b1f3540475cb899e46e4fdac511dff6bada,Tests_passed,a59d0165ef4fe7ebe3b6580665195b1f3540475cb899e46e4fdac511dff6bada,Tests_passed,a59d0165ef4fe7ebe3b6580665195b1f3540475cb899e46e4fdac511dff6bada,Tests_passed,a59d0165ef4fe7ebe3b6580665195b1f3540475cb899e46e4fdac511dff6bada,Tests_passed,a59d0165ef4fe7ebe3b6580665195b1f3540475cb899e46e4fdac511dff6bada,Tests_passed,a59d0165ef4fe7ebe3b6580665195b1f3540475cb899e46e4fdac511dff6bada,Tests_passed,a59d0165ef4fe7ebe3b6580665195b1f3540475cb899e46e4fdac511dff6bada,Tests_passed,a59d0165ef4fe7ebe3b6580665195b1f3540475cb899e46e4fdac511dff6bada,Tests_passed,a59d0165ef4fe7ebe3b6580665195b1f3540475cb899e46e4fdac511dff6bada,Tests_passed,a59d0165ef4fe7ebe3b6580665195b1f3540475cb899e46e4fdac511dff6bada,Tests_passed,a59d0165ef4fe7ebe3b6580665195b1f3540475cb899e46e4fdac511dff6bada,Tests_passed,a59d0165ef4fe7ebe3b6580665195b1f3540475cb899e46e4fdac511dff6bada,Tests_passed,a59d0165ef4fe7ebe3b6580665195b1f3540475cb899e46e4fdac511dff6bada
