idx,branch_name,merge,left,right,notes,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,diff_size,diff_contains_java_file,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass,test merge,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
66,refs/heads/master,e55ea34e951f8bbc8be50a49b166949a4d1e4873,8e6e165c1db7a69c9a0d34387892f2bc2409a301,707f7bc046b363ac6262f43bdc0885ff04f35f1c,,True,5f8eb8867805b411684f48bdc39e2252ade78d9c946269a029192c08f218c654,dbffa571c22047f577768182edd2e7934092a67e1b38ecef5389f2f1bf3489fe,371,True,Tests_passed,0.9743322203672788,Tests_passed,0.5450835352633593,True,True,Tests_passed,85b4128161d36de4cccd030c13d7a3990129471ed5f7d947320f76efaac6a9fe,Tests_passed,85b4128161d36de4cccd030c13d7a3990129471ed5f7d947320f76efaac6a9fe,Tests_passed,85b4128161d36de4cccd030c13d7a3990129471ed5f7d947320f76efaac6a9fe,Tests_passed,85b4128161d36de4cccd030c13d7a3990129471ed5f7d947320f76efaac6a9fe,Tests_passed,85b4128161d36de4cccd030c13d7a3990129471ed5f7d947320f76efaac6a9fe,Tests_passed,85b4128161d36de4cccd030c13d7a3990129471ed5f7d947320f76efaac6a9fe,Tests_passed,85b4128161d36de4cccd030c13d7a3990129471ed5f7d947320f76efaac6a9fe,Tests_passed,85b4128161d36de4cccd030c13d7a3990129471ed5f7d947320f76efaac6a9fe,Tests_passed,85b4128161d36de4cccd030c13d7a3990129471ed5f7d947320f76efaac6a9fe,Tests_passed,85b4128161d36de4cccd030c13d7a3990129471ed5f7d947320f76efaac6a9fe,Tests_passed,85b4128161d36de4cccd030c13d7a3990129471ed5f7d947320f76efaac6a9fe,Tests_passed,85b4128161d36de4cccd030c13d7a3990129471ed5f7d947320f76efaac6a9fe,Tests_failed,55ae3c777e57d84dd242547ddc745a33c190aeac4e49c0830bff52907466a545,Tests_passed,85b4128161d36de4cccd030c13d7a3990129471ed5f7d947320f76efaac6a9fe
72,refs/heads/master,13d2e8370abacd87989f667767b2d239ccd6a5f7,0534120f9ca98d08f9f18b0cdbba524f81bba019,a20c92c0954c2e294eca61cc9be77bdcdde3477d,,True,0933c92df313f8c18700c701d7bb59c5dc8e50f9742ab1ce2e70c0c64c6023aa,5d1bd8a883f963934968c300c5ac519a68670b15d626fac471b17c32de63e34e,71,True,Tests_passed,0.5451880178457617,Tests_passed,0.5462739621683382,True,True,Tests_passed,81dd2e733aaffb11fcfc4ea41082547c07ed312bf5eb1139cf76780dd59d5050,Tests_passed,81dd2e733aaffb11fcfc4ea41082547c07ed312bf5eb1139cf76780dd59d5050,Tests_passed,81dd2e733aaffb11fcfc4ea41082547c07ed312bf5eb1139cf76780dd59d5050,Tests_passed,81dd2e733aaffb11fcfc4ea41082547c07ed312bf5eb1139cf76780dd59d5050,Tests_passed,81dd2e733aaffb11fcfc4ea41082547c07ed312bf5eb1139cf76780dd59d5050,Tests_passed,81dd2e733aaffb11fcfc4ea41082547c07ed312bf5eb1139cf76780dd59d5050,Tests_passed,81dd2e733aaffb11fcfc4ea41082547c07ed312bf5eb1139cf76780dd59d5050,Tests_passed,81dd2e733aaffb11fcfc4ea41082547c07ed312bf5eb1139cf76780dd59d5050,Tests_passed,81dd2e733aaffb11fcfc4ea41082547c07ed312bf5eb1139cf76780dd59d5050,Tests_passed,81dd2e733aaffb11fcfc4ea41082547c07ed312bf5eb1139cf76780dd59d5050,Tests_passed,81dd2e733aaffb11fcfc4ea41082547c07ed312bf5eb1139cf76780dd59d5050,Tests_passed,81dd2e733aaffb11fcfc4ea41082547c07ed312bf5eb1139cf76780dd59d5050,Tests_passed,81dd2e733aaffb11fcfc4ea41082547c07ed312bf5eb1139cf76780dd59d5050,Tests_passed,81dd2e733aaffb11fcfc4ea41082547c07ed312bf5eb1139cf76780dd59d5050
78,refs/heads/master,1d525e94c687734f78fc4e835bd753995b606927,de817222bc926c29177cb06ca220baa72f67c690,638d84963f79280fa74ff876def58fc63ed1e609,,True,5dbafb539dddc26b99f46cff5547e99305433e61c2de77fc98fec4164f334155,758619af1d9ff5dd689c16eeda6b6e41ba92b635b2b565f7b46efd91a1a69f0d,1617,True,Tests_passed,0.4917204602862756,Tests_passed,0.5451880178457617,True,True,Tests_passed,386943b4b2c7ef14c159c57f6cc8657a80bb47981183f49923b6fdf1af023adb,Tests_passed,386943b4b2c7ef14c159c57f6cc8657a80bb47981183f49923b6fdf1af023adb,Tests_passed,386943b4b2c7ef14c159c57f6cc8657a80bb47981183f49923b6fdf1af023adb,Tests_passed,386943b4b2c7ef14c159c57f6cc8657a80bb47981183f49923b6fdf1af023adb,Tests_passed,386943b4b2c7ef14c159c57f6cc8657a80bb47981183f49923b6fdf1af023adb,Tests_passed,386943b4b2c7ef14c159c57f6cc8657a80bb47981183f49923b6fdf1af023adb,Tests_passed,386943b4b2c7ef14c159c57f6cc8657a80bb47981183f49923b6fdf1af023adb,Tests_passed,386943b4b2c7ef14c159c57f6cc8657a80bb47981183f49923b6fdf1af023adb,Tests_passed,386943b4b2c7ef14c159c57f6cc8657a80bb47981183f49923b6fdf1af023adb,Tests_passed,386943b4b2c7ef14c159c57f6cc8657a80bb47981183f49923b6fdf1af023adb,Tests_passed,386943b4b2c7ef14c159c57f6cc8657a80bb47981183f49923b6fdf1af023adb,Tests_passed,386943b4b2c7ef14c159c57f6cc8657a80bb47981183f49923b6fdf1af023adb,Tests_passed,386943b4b2c7ef14c159c57f6cc8657a80bb47981183f49923b6fdf1af023adb,Tests_passed,386943b4b2c7ef14c159c57f6cc8657a80bb47981183f49923b6fdf1af023adb
82,refs/heads/master,269a14389903d2bc36de27a529bcfae3a59bec9a,257bddc3e2fc97083b85b8808fe3c06c8da4763e,20e80ffa47ab733011c7212a29b2f2114443904c,,True,1cc43cef42cd110f9aaf45e0bd97c739dad6340f27e6cd134b0e5aade5c75688,f67d8daac56802f0c0b543e3e0cfba77af46b885d6b18fae07ebaf85cfd0c381,148,True,Tests_passed,0.5357417371252883,Tests_passed,0.5212324179504354,True,True,Tests_passed,892ce2429db9fdd490e577d00b2f1a8fe6e18e1e78abfed0887afed1fa256ce6,Tests_passed,892ce2429db9fdd490e577d00b2f1a8fe6e18e1e78abfed0887afed1fa256ce6,Tests_passed,892ce2429db9fdd490e577d00b2f1a8fe6e18e1e78abfed0887afed1fa256ce6,Tests_passed,892ce2429db9fdd490e577d00b2f1a8fe6e18e1e78abfed0887afed1fa256ce6,Tests_passed,892ce2429db9fdd490e577d00b2f1a8fe6e18e1e78abfed0887afed1fa256ce6,Tests_passed,892ce2429db9fdd490e577d00b2f1a8fe6e18e1e78abfed0887afed1fa256ce6,Tests_passed,892ce2429db9fdd490e577d00b2f1a8fe6e18e1e78abfed0887afed1fa256ce6,Tests_passed,892ce2429db9fdd490e577d00b2f1a8fe6e18e1e78abfed0887afed1fa256ce6,Tests_passed,892ce2429db9fdd490e577d00b2f1a8fe6e18e1e78abfed0887afed1fa256ce6,Tests_passed,892ce2429db9fdd490e577d00b2f1a8fe6e18e1e78abfed0887afed1fa256ce6,Tests_passed,892ce2429db9fdd490e577d00b2f1a8fe6e18e1e78abfed0887afed1fa256ce6,Tests_passed,892ce2429db9fdd490e577d00b2f1a8fe6e18e1e78abfed0887afed1fa256ce6,Tests_passed,892ce2429db9fdd490e577d00b2f1a8fe6e18e1e78abfed0887afed1fa256ce6,Tests_passed,892ce2429db9fdd490e577d00b2f1a8fe6e18e1e78abfed0887afed1fa256ce6
83,refs/heads/master,257bddc3e2fc97083b85b8808fe3c06c8da4763e,19f6fcaa51d9f64cfb20c136b002f7ef51c2b0a4,e7dc7a74d0a51cf9257f0a66790330c0f8b4d6ce,,True,b67a54dc74e4f9665c234cd402616c272ace1d282730452c9752c937a74bb6e9,4c802265ec94863e1f6bf325d7afd3a7210c252897cefd3fdb65c7f5382b2394,969,True,Tests_passed,0.5149892933618844,Tests_passed,0.5181732198351574,True,True,Tests_passed,b67a54dc74e4f9665c234cd402616c272ace1d282730452c9752c937a74bb6e9,Tests_passed,b67a54dc74e4f9665c234cd402616c272ace1d282730452c9752c937a74bb6e9,Tests_passed,b67a54dc74e4f9665c234cd402616c272ace1d282730452c9752c937a74bb6e9,Tests_passed,b67a54dc74e4f9665c234cd402616c272ace1d282730452c9752c937a74bb6e9,Tests_passed,b67a54dc74e4f9665c234cd402616c272ace1d282730452c9752c937a74bb6e9,Tests_passed,b67a54dc74e4f9665c234cd402616c272ace1d282730452c9752c937a74bb6e9,Tests_passed,b67a54dc74e4f9665c234cd402616c272ace1d282730452c9752c937a74bb6e9,Tests_passed,b67a54dc74e4f9665c234cd402616c272ace1d282730452c9752c937a74bb6e9,Tests_passed,b67a54dc74e4f9665c234cd402616c272ace1d282730452c9752c937a74bb6e9,Tests_passed,b67a54dc74e4f9665c234cd402616c272ace1d282730452c9752c937a74bb6e9,Tests_passed,b67a54dc74e4f9665c234cd402616c272ace1d282730452c9752c937a74bb6e9,Tests_passed,b67a54dc74e4f9665c234cd402616c272ace1d282730452c9752c937a74bb6e9,Tests_failed,c86c98b2a087a3837266b9bf629bb92db8f32587a1fa5d8c4aa1160e2bb12f08,Tests_failed,c96a653f495dfb5b82a2ce0ae978c1ad7d5e96fafdea84325900f0ab8035fb8c
86,refs/heads/master,4b59e4bf7103463477affa01d7b7fb11a3c60330,56fb2c6a75b32433dae2b4e1e3cbf34471862438,a22a76ad79d202798a2f36518cb7a7288df56ff2,,True,0d96ee877ba98c6c36f9c18267e96eab2a35f439428ee049f02fbf7f1ca9876d,7d5535a3c96ffee3dd2638396b10dced636b2e89394a793f06f63dbcbdfdcac6,930,True,Tests_passed,0.4954011603226262,Tests_passed,0.5181732198351574,True,True,Tests_passed,ab791615e2f718520c7b03414348db30ddbc375cf4a9b0c09187a897e039dcb7,Tests_passed,ab791615e2f718520c7b03414348db30ddbc375cf4a9b0c09187a897e039dcb7,Tests_passed,ab791615e2f718520c7b03414348db30ddbc375cf4a9b0c09187a897e039dcb7,Tests_passed,ab791615e2f718520c7b03414348db30ddbc375cf4a9b0c09187a897e039dcb7,Tests_passed,ab791615e2f718520c7b03414348db30ddbc375cf4a9b0c09187a897e039dcb7,Tests_passed,ab791615e2f718520c7b03414348db30ddbc375cf4a9b0c09187a897e039dcb7,Tests_passed,ab791615e2f718520c7b03414348db30ddbc375cf4a9b0c09187a897e039dcb7,Tests_passed,ab791615e2f718520c7b03414348db30ddbc375cf4a9b0c09187a897e039dcb7,Tests_passed,ab791615e2f718520c7b03414348db30ddbc375cf4a9b0c09187a897e039dcb7,Tests_passed,ab791615e2f718520c7b03414348db30ddbc375cf4a9b0c09187a897e039dcb7,Tests_passed,ab791615e2f718520c7b03414348db30ddbc375cf4a9b0c09187a897e039dcb7,Tests_passed,ab791615e2f718520c7b03414348db30ddbc375cf4a9b0c09187a897e039dcb7,Tests_passed,ab791615e2f718520c7b03414348db30ddbc375cf4a9b0c09187a897e039dcb7,Tests_passed,ab791615e2f718520c7b03414348db30ddbc375cf4a9b0c09187a897e039dcb7
94,refs/heads/master,c18e4eed0559a9a1a0f1e7b35187cd0a10a7d49b,01996aa15b6272f34fd4a8db0f7de0b0c276a209,d74a9214879af6c4edf0743127de938d2a48af3b,,True,c4ae09c526d3ee7a8783430691c05f550594dbb1c69b93e6aff2438c54c92eff,771579dc49278afe41c3471b7feedf674f89e8d384a219ee8729267ce48c7141,339,True,Tests_passed,0.4062917346787357,Tests_passed,0.4901544128063465,True,True,Tests_passed,3ac75d87cec3f48618f6082d860268a82ffb73dae267c5fcfb2fd40695055f0f,Tests_passed,3ac75d87cec3f48618f6082d860268a82ffb73dae267c5fcfb2fd40695055f0f,Tests_passed,3ac75d87cec3f48618f6082d860268a82ffb73dae267c5fcfb2fd40695055f0f,Tests_passed,3ac75d87cec3f48618f6082d860268a82ffb73dae267c5fcfb2fd40695055f0f,Tests_passed,3ac75d87cec3f48618f6082d860268a82ffb73dae267c5fcfb2fd40695055f0f,Tests_passed,3ac75d87cec3f48618f6082d860268a82ffb73dae267c5fcfb2fd40695055f0f,Tests_passed,3ac75d87cec3f48618f6082d860268a82ffb73dae267c5fcfb2fd40695055f0f,Tests_passed,3ac75d87cec3f48618f6082d860268a82ffb73dae267c5fcfb2fd40695055f0f,Tests_passed,3ac75d87cec3f48618f6082d860268a82ffb73dae267c5fcfb2fd40695055f0f,Tests_passed,3ac75d87cec3f48618f6082d860268a82ffb73dae267c5fcfb2fd40695055f0f,Tests_passed,3ac75d87cec3f48618f6082d860268a82ffb73dae267c5fcfb2fd40695055f0f,Tests_passed,3ac75d87cec3f48618f6082d860268a82ffb73dae267c5fcfb2fd40695055f0f,Tests_passed,3ac75d87cec3f48618f6082d860268a82ffb73dae267c5fcfb2fd40695055f0f,Tests_passed,3ac75d87cec3f48618f6082d860268a82ffb73dae267c5fcfb2fd40695055f0f
100,refs/heads/master,dd856ea8440f8f9fbf06f4e047ba35b9767b970f,27ec90f35ae0cfbb13612b624e45c7067a1704a9,5699a692565dc0f03ab7dc53fa8cd814bad2e724,,True,ddeb15388dbeb8e32a3491f2fd29eb8ee602d04be4438f9b663070db2f39f803,f87a79c8b4d7b7e471813d0531bb99cb7d91877825df358b114c9635b368f21d,73,True,Tests_passed,0.388558352402746,Tests_passed,0.3898999090081892,True,True,Tests_passed,bb2073d60b0e5ac39a5dc2c170d7f76671cbe8025f11df42b300a1c582a6b5b8,Tests_passed,bb2073d60b0e5ac39a5dc2c170d7f76671cbe8025f11df42b300a1c582a6b5b8,Tests_passed,bb2073d60b0e5ac39a5dc2c170d7f76671cbe8025f11df42b300a1c582a6b5b8,Tests_passed,bb2073d60b0e5ac39a5dc2c170d7f76671cbe8025f11df42b300a1c582a6b5b8,Tests_passed,bb2073d60b0e5ac39a5dc2c170d7f76671cbe8025f11df42b300a1c582a6b5b8,Tests_passed,bb2073d60b0e5ac39a5dc2c170d7f76671cbe8025f11df42b300a1c582a6b5b8,Tests_passed,bb2073d60b0e5ac39a5dc2c170d7f76671cbe8025f11df42b300a1c582a6b5b8,Tests_passed,bb2073d60b0e5ac39a5dc2c170d7f76671cbe8025f11df42b300a1c582a6b5b8,Tests_passed,bb2073d60b0e5ac39a5dc2c170d7f76671cbe8025f11df42b300a1c582a6b5b8,Tests_passed,bb2073d60b0e5ac39a5dc2c170d7f76671cbe8025f11df42b300a1c582a6b5b8,Tests_passed,bb2073d60b0e5ac39a5dc2c170d7f76671cbe8025f11df42b300a1c582a6b5b8,Tests_passed,bb2073d60b0e5ac39a5dc2c170d7f76671cbe8025f11df42b300a1c582a6b5b8,Tests_passed,bb2073d60b0e5ac39a5dc2c170d7f76671cbe8025f11df42b300a1c582a6b5b8,Tests_passed,bb2073d60b0e5ac39a5dc2c170d7f76671cbe8025f11df42b300a1c582a6b5b8
103,refs/heads/master,6580c92211185c208033358657950f3129530d97,1c207002028964ba50d7ab5bf1f2eacc10149a17,13650e3f01adbae75572eb676b819ffa086978b7,,True,4e2448ab0a27e1267440e1dc9705d0bea59a7b27f1c570b59732303d76237d2f,4f895598c7119713de659a39d34a189a41954fb8a612093616ce19027f05e841,13,True,Tests_passed,0.3224735094100901,Tests_passed,0.3299886713060366,True,True,Tests_passed,e6ef903e26fa85395820a6133a71b95e45c92431ae2fbc0b0c6c93d1f7f605ea,Tests_passed,e6ef903e26fa85395820a6133a71b95e45c92431ae2fbc0b0c6c93d1f7f605ea,Tests_passed,e6ef903e26fa85395820a6133a71b95e45c92431ae2fbc0b0c6c93d1f7f605ea,Tests_passed,e6ef903e26fa85395820a6133a71b95e45c92431ae2fbc0b0c6c93d1f7f605ea,Tests_passed,e6ef903e26fa85395820a6133a71b95e45c92431ae2fbc0b0c6c93d1f7f605ea,Tests_passed,e6ef903e26fa85395820a6133a71b95e45c92431ae2fbc0b0c6c93d1f7f605ea,Tests_passed,e6ef903e26fa85395820a6133a71b95e45c92431ae2fbc0b0c6c93d1f7f605ea,Tests_passed,e6ef903e26fa85395820a6133a71b95e45c92431ae2fbc0b0c6c93d1f7f605ea,Tests_passed,e6ef903e26fa85395820a6133a71b95e45c92431ae2fbc0b0c6c93d1f7f605ea,Tests_passed,e6ef903e26fa85395820a6133a71b95e45c92431ae2fbc0b0c6c93d1f7f605ea,Tests_passed,e6ef903e26fa85395820a6133a71b95e45c92431ae2fbc0b0c6c93d1f7f605ea,Tests_passed,e6ef903e26fa85395820a6133a71b95e45c92431ae2fbc0b0c6c93d1f7f605ea,Tests_passed,e6ef903e26fa85395820a6133a71b95e45c92431ae2fbc0b0c6c93d1f7f605ea,Tests_passed,e6ef903e26fa85395820a6133a71b95e45c92431ae2fbc0b0c6c93d1f7f605ea
105,refs/heads/master,99cdf07fabeb80af1089e94e378c6d60f0bbf26c,4f6423160092b5dbb26bcf0131d2a29121d4cb80,bc4ee78c2682ce8b2e255d7d4b02b52dc6e6c5ef,,True,8f5c7f681986b9cfde563ce9aa14441daf539b58e72c44548dfa0418ebea1d5b,60ce2670e874f689b823ef2998da4d8048eac913fccc7f09c4ecde857ef88e3a,74,True,Tests_passed,0.3299886713060366,Tests_passed,0.2913543228385807,True,True,Tests_passed,a726ef8d39ad49e832209c2afa11bba8c0ad7dc719589aecafdf998abd5c7ca9,Tests_passed,a726ef8d39ad49e832209c2afa11bba8c0ad7dc719589aecafdf998abd5c7ca9,Tests_passed,a726ef8d39ad49e832209c2afa11bba8c0ad7dc719589aecafdf998abd5c7ca9,Tests_passed,a726ef8d39ad49e832209c2afa11bba8c0ad7dc719589aecafdf998abd5c7ca9,Tests_passed,a726ef8d39ad49e832209c2afa11bba8c0ad7dc719589aecafdf998abd5c7ca9,Tests_passed,a726ef8d39ad49e832209c2afa11bba8c0ad7dc719589aecafdf998abd5c7ca9,Tests_passed,a726ef8d39ad49e832209c2afa11bba8c0ad7dc719589aecafdf998abd5c7ca9,Tests_passed,a726ef8d39ad49e832209c2afa11bba8c0ad7dc719589aecafdf998abd5c7ca9,Tests_passed,a726ef8d39ad49e832209c2afa11bba8c0ad7dc719589aecafdf998abd5c7ca9,Tests_passed,a726ef8d39ad49e832209c2afa11bba8c0ad7dc719589aecafdf998abd5c7ca9,Tests_passed,a726ef8d39ad49e832209c2afa11bba8c0ad7dc719589aecafdf998abd5c7ca9,Tests_passed,a726ef8d39ad49e832209c2afa11bba8c0ad7dc719589aecafdf998abd5c7ca9,Tests_passed,a726ef8d39ad49e832209c2afa11bba8c0ad7dc719589aecafdf998abd5c7ca9,Tests_passed,a726ef8d39ad49e832209c2afa11bba8c0ad7dc719589aecafdf998abd5c7ca9
