idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,left parent test coverage,right_tree_fingerprint,right parent test result,right parent test coverage,parents pass,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
7,refs/heads/master,a3db9357e3c2319464acddec3787f7f40bcf5e2f,8f44f0f84ce680227a3f4a937efe887f1ad4e266,95fefb6de0bc2c25ab3e82b1584504d486a785e6,,True,True,acfd2fba445c6f54b73822cf2d1bbf2d86b76bb3551d525e1857f3b0eddb52b4,Tests_passed,0.7217512715667698,f4aeb7886040bf85a37b43adf740fe3a17aec448ba24cb18a4c1dce83bdb0c59,Tests_passed,0.7158570119156737,True,True,Tests_passed,b8f41887cc58fba9f0c58052f0841c4cf88eedfd56f6a76f23293b261059f514,Tests_passed,b8f41887cc58fba9f0c58052f0841c4cf88eedfd56f6a76f23293b261059f514,Tests_passed,b8f41887cc58fba9f0c58052f0841c4cf88eedfd56f6a76f23293b261059f514,Tests_passed,b8f41887cc58fba9f0c58052f0841c4cf88eedfd56f6a76f23293b261059f514,Tests_passed,b8f41887cc58fba9f0c58052f0841c4cf88eedfd56f6a76f23293b261059f514,Tests_passed,b8f41887cc58fba9f0c58052f0841c4cf88eedfd56f6a76f23293b261059f514,Tests_passed,b8f41887cc58fba9f0c58052f0841c4cf88eedfd56f6a76f23293b261059f514,Tests_passed,b8f41887cc58fba9f0c58052f0841c4cf88eedfd56f6a76f23293b261059f514,Tests_passed,b8f41887cc58fba9f0c58052f0841c4cf88eedfd56f6a76f23293b261059f514,Tests_passed,b8f41887cc58fba9f0c58052f0841c4cf88eedfd56f6a76f23293b261059f514,Tests_passed,b8f41887cc58fba9f0c58052f0841c4cf88eedfd56f6a76f23293b261059f514,Tests_passed,b8f41887cc58fba9f0c58052f0841c4cf88eedfd56f6a76f23293b261059f514,Tests_passed,b8f41887cc58fba9f0c58052f0841c4cf88eedfd56f6a76f23293b261059f514,Merge_failed,b8f41887cc58fba9f0c58052f0841c4cf88eedfd56f6a76f23293b261059f514
8,refs/heads/master,8f44f0f84ce680227a3f4a937efe887f1ad4e266,9855305c7475ca958734a13884ac02cd130dd1ef,99bca601a6f240008c4d583d565343f852f1ae20,,True,True,f89587437481370df5db39f8199fe2bc252535369b24e896294e1c9499ed5f5d,Tests_passed,0.7158570119156737,c44aa6ef6b0dd20d6f274e8c9194499306a4bdd889627f9c12eca46792c7c177,Tests_passed,0.7217512715667698,True,True,Tests_passed,acfd2fba445c6f54b73822cf2d1bbf2d86b76bb3551d525e1857f3b0eddb52b4,Tests_passed,acfd2fba445c6f54b73822cf2d1bbf2d86b76bb3551d525e1857f3b0eddb52b4,Tests_passed,acfd2fba445c6f54b73822cf2d1bbf2d86b76bb3551d525e1857f3b0eddb52b4,Tests_passed,acfd2fba445c6f54b73822cf2d1bbf2d86b76bb3551d525e1857f3b0eddb52b4,Tests_passed,acfd2fba445c6f54b73822cf2d1bbf2d86b76bb3551d525e1857f3b0eddb52b4,Tests_passed,acfd2fba445c6f54b73822cf2d1bbf2d86b76bb3551d525e1857f3b0eddb52b4,Tests_passed,acfd2fba445c6f54b73822cf2d1bbf2d86b76bb3551d525e1857f3b0eddb52b4,Tests_passed,acfd2fba445c6f54b73822cf2d1bbf2d86b76bb3551d525e1857f3b0eddb52b4,Tests_passed,acfd2fba445c6f54b73822cf2d1bbf2d86b76bb3551d525e1857f3b0eddb52b4,Tests_passed,acfd2fba445c6f54b73822cf2d1bbf2d86b76bb3551d525e1857f3b0eddb52b4,Tests_passed,acfd2fba445c6f54b73822cf2d1bbf2d86b76bb3551d525e1857f3b0eddb52b4,Tests_passed,acfd2fba445c6f54b73822cf2d1bbf2d86b76bb3551d525e1857f3b0eddb52b4,Tests_passed,acfd2fba445c6f54b73822cf2d1bbf2d86b76bb3551d525e1857f3b0eddb52b4,Merge_failed,acfd2fba445c6f54b73822cf2d1bbf2d86b76bb3551d525e1857f3b0eddb52b4
15,refs/heads/master,54e0dfc94f0cefd9eeb7ced7f5985fbee56ca141,fffe69ccc1f4b2363d14a1d50a14a3663c1f8234,b9308a9d27c573e7a7a3bcc9626cddbef0a9b789,,True,True,c38a1a0f932ed17cd72a38a386ab50248f7c1b4ed1faf1eccfe5cf243fac5991,Tests_passed,0.716376944190302,82d52f55c2b9a0c9f6ecb3f2a1a26d507655cc1d4e2c2d50cc66f0eac2284549,Tests_passed,0.7158570119156737,True,True,Tests_passed,82d52f55c2b9a0c9f6ecb3f2a1a26d507655cc1d4e2c2d50cc66f0eac2284549,Tests_passed,82d52f55c2b9a0c9f6ecb3f2a1a26d507655cc1d4e2c2d50cc66f0eac2284549,Tests_passed,82d52f55c2b9a0c9f6ecb3f2a1a26d507655cc1d4e2c2d50cc66f0eac2284549,Tests_passed,82d52f55c2b9a0c9f6ecb3f2a1a26d507655cc1d4e2c2d50cc66f0eac2284549,Tests_passed,82d52f55c2b9a0c9f6ecb3f2a1a26d507655cc1d4e2c2d50cc66f0eac2284549,Tests_passed,82d52f55c2b9a0c9f6ecb3f2a1a26d507655cc1d4e2c2d50cc66f0eac2284549,Tests_passed,82d52f55c2b9a0c9f6ecb3f2a1a26d507655cc1d4e2c2d50cc66f0eac2284549,Tests_passed,82d52f55c2b9a0c9f6ecb3f2a1a26d507655cc1d4e2c2d50cc66f0eac2284549,Tests_passed,82d52f55c2b9a0c9f6ecb3f2a1a26d507655cc1d4e2c2d50cc66f0eac2284549,Tests_passed,82d52f55c2b9a0c9f6ecb3f2a1a26d507655cc1d4e2c2d50cc66f0eac2284549,Tests_passed,82d52f55c2b9a0c9f6ecb3f2a1a26d507655cc1d4e2c2d50cc66f0eac2284549,Tests_passed,82d52f55c2b9a0c9f6ecb3f2a1a26d507655cc1d4e2c2d50cc66f0eac2284549,Tests_passed,82d52f55c2b9a0c9f6ecb3f2a1a26d507655cc1d4e2c2d50cc66f0eac2284549,Merge_failed,82d52f55c2b9a0c9f6ecb3f2a1a26d507655cc1d4e2c2d50cc66f0eac2284549
25,refs/heads/master,7e822c0f59855290167217d5218fb54bf48ffed3,ad1af63b28d7955be54c2a89f87a2dfeb2ebdef9,9f14edb79e11cd2df20d9b14276377e999bdc7be,,True,True,f972cd359f96d10ac99b7d4d242f491f080f4f08bd6872c48914c40ac7c4f9d4,Tests_passed,0.7077211628633948,d6b9e7b6eb18239be5948554827db5cdf6d93ea4969151f9799383843b04aea9,Tests_passed,0.6933555162732661,True,True,Tests_passed,9cb834903f1450ddf8fcd4c3a7b1bb29d4fc7cbc65c3b36e099cb2192435a448,Tests_passed,9cb834903f1450ddf8fcd4c3a7b1bb29d4fc7cbc65c3b36e099cb2192435a448,Tests_passed,9cb834903f1450ddf8fcd4c3a7b1bb29d4fc7cbc65c3b36e099cb2192435a448,Tests_passed,9cb834903f1450ddf8fcd4c3a7b1bb29d4fc7cbc65c3b36e099cb2192435a448,Tests_passed,9cb834903f1450ddf8fcd4c3a7b1bb29d4fc7cbc65c3b36e099cb2192435a448,Tests_passed,9cb834903f1450ddf8fcd4c3a7b1bb29d4fc7cbc65c3b36e099cb2192435a448,Tests_passed,9cb834903f1450ddf8fcd4c3a7b1bb29d4fc7cbc65c3b36e099cb2192435a448,Tests_passed,9cb834903f1450ddf8fcd4c3a7b1bb29d4fc7cbc65c3b36e099cb2192435a448,Tests_passed,9cb834903f1450ddf8fcd4c3a7b1bb29d4fc7cbc65c3b36e099cb2192435a448,Tests_passed,9cb834903f1450ddf8fcd4c3a7b1bb29d4fc7cbc65c3b36e099cb2192435a448,Tests_passed,9cb834903f1450ddf8fcd4c3a7b1bb29d4fc7cbc65c3b36e099cb2192435a448,Tests_passed,9cb834903f1450ddf8fcd4c3a7b1bb29d4fc7cbc65c3b36e099cb2192435a448,Tests_passed,9cb834903f1450ddf8fcd4c3a7b1bb29d4fc7cbc65c3b36e099cb2192435a448,Merge_failed,9cb834903f1450ddf8fcd4c3a7b1bb29d4fc7cbc65c3b36e099cb2192435a448
36,refs/heads/master,751d8761dc355e1028e6fb45cd795bd2af57396f,e63bfe97ef83775f41d7bb08951b029314fd37ea,1981fab9182a40737ab043a33c402b05d57c6101,,True,True,d03c857ed654b9488b61c5789c25fb13cea895de0e8e98541c32c4b7bb82901d,Tests_passed,0.685581112574729,67ce278a6e3d47f5b7e6a2042909d09308f03e54500b3fde1fb5b29e0f1a1047,Tests_passed,0.6856623219157321,True,True,Tests_passed,05b89a7ec359061c475ef9b6efca44e8baa5a27b671b93f6b69aaee172afd988,Tests_passed,05b89a7ec359061c475ef9b6efca44e8baa5a27b671b93f6b69aaee172afd988,Tests_passed,05b89a7ec359061c475ef9b6efca44e8baa5a27b671b93f6b69aaee172afd988,Tests_passed,05b89a7ec359061c475ef9b6efca44e8baa5a27b671b93f6b69aaee172afd988,Tests_passed,05b89a7ec359061c475ef9b6efca44e8baa5a27b671b93f6b69aaee172afd988,Tests_passed,05b89a7ec359061c475ef9b6efca44e8baa5a27b671b93f6b69aaee172afd988,Tests_passed,05b89a7ec359061c475ef9b6efca44e8baa5a27b671b93f6b69aaee172afd988,Tests_passed,05b89a7ec359061c475ef9b6efca44e8baa5a27b671b93f6b69aaee172afd988,Tests_passed,05b89a7ec359061c475ef9b6efca44e8baa5a27b671b93f6b69aaee172afd988,Tests_passed,05b89a7ec359061c475ef9b6efca44e8baa5a27b671b93f6b69aaee172afd988,Tests_passed,05b89a7ec359061c475ef9b6efca44e8baa5a27b671b93f6b69aaee172afd988,Tests_passed,05b89a7ec359061c475ef9b6efca44e8baa5a27b671b93f6b69aaee172afd988,Tests_passed,05b89a7ec359061c475ef9b6efca44e8baa5a27b671b93f6b69aaee172afd988,Merge_failed,05b89a7ec359061c475ef9b6efca44e8baa5a27b671b93f6b69aaee172afd988
43,refs/heads/master,32ad9920f77722eb0249d914ac13f115e8c924e9,acf393ac16f6df047e12e8b9fd77bcf9192caebc,0ac89a56899902b3a947695166c9c3820b6b4ec2,,True,True,3b1b006782c1a0f19ce73258f32a317ffc928eaddf21371464f447536a390909,Tests_passed,0.7100412058121882,029df5870d4a9e6aa9b5bc601c8c8d104a531a46e7cbe528cc59d4d048abc0ac,Tests_passed,0.7098509933774835,True,True,Tests_passed,b9b7f4f553053d81a298897cbaf8a03b45ad81b64829d57e7716e405375d88d9,Tests_passed,b9b7f4f553053d81a298897cbaf8a03b45ad81b64829d57e7716e405375d88d9,Tests_passed,b9b7f4f553053d81a298897cbaf8a03b45ad81b64829d57e7716e405375d88d9,Tests_passed,b9b7f4f553053d81a298897cbaf8a03b45ad81b64829d57e7716e405375d88d9,Tests_passed,b9b7f4f553053d81a298897cbaf8a03b45ad81b64829d57e7716e405375d88d9,Tests_passed,b9b7f4f553053d81a298897cbaf8a03b45ad81b64829d57e7716e405375d88d9,Tests_passed,b9b7f4f553053d81a298897cbaf8a03b45ad81b64829d57e7716e405375d88d9,Tests_passed,b9b7f4f553053d81a298897cbaf8a03b45ad81b64829d57e7716e405375d88d9,Tests_passed,b9b7f4f553053d81a298897cbaf8a03b45ad81b64829d57e7716e405375d88d9,Tests_passed,b9b7f4f553053d81a298897cbaf8a03b45ad81b64829d57e7716e405375d88d9,Tests_passed,b9b7f4f553053d81a298897cbaf8a03b45ad81b64829d57e7716e405375d88d9,Tests_passed,b9b7f4f553053d81a298897cbaf8a03b45ad81b64829d57e7716e405375d88d9,Tests_passed,b9b7f4f553053d81a298897cbaf8a03b45ad81b64829d57e7716e405375d88d9,Merge_failed,b9b7f4f553053d81a298897cbaf8a03b45ad81b64829d57e7716e405375d88d9
50,refs/heads/master,5a62f4ededc96a9d8ca67a4ebbf4d7f537e8ad42,3a0c2e7c4a633597ff1c9fe5ac8f768f298b9d0a,06157909242b5db314c9e9caabd0abcad75e7348,,True,True,629f212f89c64c8a65bad61a09ce9b12d0b6f93303ee14210cdb83d9404ec6f1,Tests_passed,0.6937430167597766,f38f4f9336f6241c11faa338ec12e01956434d05e6dbefb3e0bff1d818a360b6,Tests_passed,0.6988232682060391,True,True,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f,Tests_passed,837a98dfef9c8fc5f17bf2681ef39e8448807563c7f116fd98cebee44cee30d3,Merge_failed,86e33857a9b0e9c9531ac2faf624a3468fadb0b364fde0a14c7378138153804f
57,refs/heads/master,e278ace2cb84789adb9af30d186f0f123170901b,e4a024eee0e4f0e9c610a786258a2ad45c1773ec,4c417c57120553f5ec0e0ef18440e80fac0f1d79,,True,True,ccae829e89e397eec0f774bc8ad65456d564cf6fd326ad5f71eb0b1988a27d7e,Tests_passed,0.6912625907706723,137899cd882d0ae5aa68dc9449e0e49328abbc8a6c0875413c2d4a81a0b9a74e,Tests_passed,0.6921728971962616,True,True,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,747dc9e83f8920cdaee29c19a22e2f0cd2673b3c66f5ca29d3c49a48a6057a1b,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,747dc9e83f8920cdaee29c19a22e2f0cd2673b3c66f5ca29d3c49a48a6057a1b,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,747dc9e83f8920cdaee29c19a22e2f0cd2673b3c66f5ca29d3c49a48a6057a1b,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e,Tests_passed,07f5dbf43e687b1d5205a0e89c1bf757210c691c426dabf03d79059b24b226b5,Merge_failed,3a0bac86be4edc56aa751f183f5a8096d24f2678495cde0f2edf7f7ecbe3f99e
73,refs/heads/master,f00b973b8acb6fc4a450030d8d0c27d22be3dd21,e1bacabb4f70e2b7d5c0cdccbb36113a26d24075,33e0d618a5cf2706854648e8d6e4371f44a8ee20,,True,True,e64a493f1306178463f71a9b7bbe0e0c23303d4d0f2318f6238fadfe844df70d,Tests_passed,0.505063848524879,b0a2cff7c4ac49df2ba3e9f3b8c2816bcaab6dc03e2bdf062ebdf15779170608,Tests_passed,0.5066035659255999,True,True,Tests_passed,9d514b8187ef49230587bdaa0499f896f41e5abe896665eb3323c7889810900b,Tests_passed,9d514b8187ef49230587bdaa0499f896f41e5abe896665eb3323c7889810900b,Tests_passed,9d514b8187ef49230587bdaa0499f896f41e5abe896665eb3323c7889810900b,Tests_passed,9d514b8187ef49230587bdaa0499f896f41e5abe896665eb3323c7889810900b,Tests_passed,9d514b8187ef49230587bdaa0499f896f41e5abe896665eb3323c7889810900b,Tests_passed,9d514b8187ef49230587bdaa0499f896f41e5abe896665eb3323c7889810900b,Tests_passed,9d514b8187ef49230587bdaa0499f896f41e5abe896665eb3323c7889810900b,Tests_passed,9d514b8187ef49230587bdaa0499f896f41e5abe896665eb3323c7889810900b,Tests_passed,9d514b8187ef49230587bdaa0499f896f41e5abe896665eb3323c7889810900b,Tests_passed,9d514b8187ef49230587bdaa0499f896f41e5abe896665eb3323c7889810900b,Tests_passed,9d514b8187ef49230587bdaa0499f896f41e5abe896665eb3323c7889810900b,Tests_passed,9d514b8187ef49230587bdaa0499f896f41e5abe896665eb3323c7889810900b,Tests_passed,9d514b8187ef49230587bdaa0499f896f41e5abe896665eb3323c7889810900b,Merge_failed,9d514b8187ef49230587bdaa0499f896f41e5abe896665eb3323c7889810900b
75,refs/heads/master,33e0d618a5cf2706854648e8d6e4371f44a8ee20,b5ca14c0ec8ec72a2bacd88b097f8015a4ff504d,efde68e16bf96241781ec1956a507f9c0f8ad8e6,,True,True,916792519a8b0fdc7f39cfcf0c7e8568eb6fb102ed94c9390be11af15de5949e,Tests_passed,0.5066035659255999,eb9cddeabe268ead002c2e9cb2e16dfee1e2d4d8000c58a0fce961da9550f11f,Tests_passed,0.505063848524879,True,True,Tests_passed,b0a2cff7c4ac49df2ba3e9f3b8c2816bcaab6dc03e2bdf062ebdf15779170608,Tests_passed,b0a2cff7c4ac49df2ba3e9f3b8c2816bcaab6dc03e2bdf062ebdf15779170608,Tests_passed,b0a2cff7c4ac49df2ba3e9f3b8c2816bcaab6dc03e2bdf062ebdf15779170608,Tests_passed,b0a2cff7c4ac49df2ba3e9f3b8c2816bcaab6dc03e2bdf062ebdf15779170608,Tests_passed,b0a2cff7c4ac49df2ba3e9f3b8c2816bcaab6dc03e2bdf062ebdf15779170608,Tests_passed,b0a2cff7c4ac49df2ba3e9f3b8c2816bcaab6dc03e2bdf062ebdf15779170608,Tests_passed,b0a2cff7c4ac49df2ba3e9f3b8c2816bcaab6dc03e2bdf062ebdf15779170608,Tests_passed,b0a2cff7c4ac49df2ba3e9f3b8c2816bcaab6dc03e2bdf062ebdf15779170608,Tests_passed,b0a2cff7c4ac49df2ba3e9f3b8c2816bcaab6dc03e2bdf062ebdf15779170608,Tests_passed,b0a2cff7c4ac49df2ba3e9f3b8c2816bcaab6dc03e2bdf062ebdf15779170608,Tests_passed,b0a2cff7c4ac49df2ba3e9f3b8c2816bcaab6dc03e2bdf062ebdf15779170608,Tests_passed,b0a2cff7c4ac49df2ba3e9f3b8c2816bcaab6dc03e2bdf062ebdf15779170608,Tests_passed,b0a2cff7c4ac49df2ba3e9f3b8c2816bcaab6dc03e2bdf062ebdf15779170608,Merge_failed,b0a2cff7c4ac49df2ba3e9f3b8c2816bcaab6dc03e2bdf062ebdf15779170608
