idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,left parent test coverage,right_tree_fingerprint,right parent test result,right parent test coverage,parents pass,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
1,refs/heads/master,31b81421b682a35b4fe2f9d6e591753de57f2698,a85bab7136a634a375002856b5440839dc548e26,219301794b25056677e26646180cabbd9ad8a3bf,,True,True,60bfada38f92c2f42522915f98194a878d004956ccfd7f5c9cd65276d4cf70b3,Tests_passed,0.570566755217542,e4e16b902d89558cb9d8801a19602dd8813c70cdbb91654cdda2aef766c50f95,Tests_passed,0.5698903715285798,True,True,Tests_passed,fcf7e2ca4606de0fe89d69c373082ed747ec6f13018e46d02dbe3490a9a6c59c,Tests_passed,fcf7e2ca4606de0fe89d69c373082ed747ec6f13018e46d02dbe3490a9a6c59c,Tests_passed,fcf7e2ca4606de0fe89d69c373082ed747ec6f13018e46d02dbe3490a9a6c59c,Tests_passed,fcf7e2ca4606de0fe89d69c373082ed747ec6f13018e46d02dbe3490a9a6c59c,Tests_passed,fcf7e2ca4606de0fe89d69c373082ed747ec6f13018e46d02dbe3490a9a6c59c,Tests_passed,fcf7e2ca4606de0fe89d69c373082ed747ec6f13018e46d02dbe3490a9a6c59c,Tests_passed,fcf7e2ca4606de0fe89d69c373082ed747ec6f13018e46d02dbe3490a9a6c59c,Tests_passed,fcf7e2ca4606de0fe89d69c373082ed747ec6f13018e46d02dbe3490a9a6c59c,Tests_passed,fcf7e2ca4606de0fe89d69c373082ed747ec6f13018e46d02dbe3490a9a6c59c,Tests_passed,fcf7e2ca4606de0fe89d69c373082ed747ec6f13018e46d02dbe3490a9a6c59c,Tests_passed,fcf7e2ca4606de0fe89d69c373082ed747ec6f13018e46d02dbe3490a9a6c59c,Tests_passed,fcf7e2ca4606de0fe89d69c373082ed747ec6f13018e46d02dbe3490a9a6c59c,Tests_passed,fcf7e2ca4606de0fe89d69c373082ed747ec6f13018e46d02dbe3490a9a6c59c,Tests_passed,fcf7e2ca4606de0fe89d69c373082ed747ec6f13018e46d02dbe3490a9a6c59c
2,refs/heads/master,3824b38ac35a4b245f1184fe266b2848f49df4d1,ce037852c6d81aa566cb2d1a4499c41150db97df,b89f6fb08d741db171edbbdb0c38e915b8c79969,,True,True,1157eddc036c4810fb3623276cb46c9486309d30e2e80c4e456c36c6cf52c299,Tests_passed,0.566845823915713,98260f8bb9a19c398b8a3dc74a5b3244de9a78d99c18edd453ed0a8d544838ec,Tests_passed,0.56683635328041,True,True,Tests_passed,d07727e560fabc8366f729ac6f1295739138cf80ec490acd9d8895f1591e6c39,Tests_passed,d07727e560fabc8366f729ac6f1295739138cf80ec490acd9d8895f1591e6c39,Tests_passed,d07727e560fabc8366f729ac6f1295739138cf80ec490acd9d8895f1591e6c39,Tests_passed,d07727e560fabc8366f729ac6f1295739138cf80ec490acd9d8895f1591e6c39,Tests_passed,d07727e560fabc8366f729ac6f1295739138cf80ec490acd9d8895f1591e6c39,Tests_passed,d07727e560fabc8366f729ac6f1295739138cf80ec490acd9d8895f1591e6c39,Tests_passed,d07727e560fabc8366f729ac6f1295739138cf80ec490acd9d8895f1591e6c39,Tests_passed,d07727e560fabc8366f729ac6f1295739138cf80ec490acd9d8895f1591e6c39,Tests_passed,d07727e560fabc8366f729ac6f1295739138cf80ec490acd9d8895f1591e6c39,Tests_passed,d07727e560fabc8366f729ac6f1295739138cf80ec490acd9d8895f1591e6c39,Tests_passed,d07727e560fabc8366f729ac6f1295739138cf80ec490acd9d8895f1591e6c39,Tests_passed,d07727e560fabc8366f729ac6f1295739138cf80ec490acd9d8895f1591e6c39,Tests_passed,d07727e560fabc8366f729ac6f1295739138cf80ec490acd9d8895f1591e6c39,Tests_passed,d07727e560fabc8366f729ac6f1295739138cf80ec490acd9d8895f1591e6c39
3,refs/heads/master,ce037852c6d81aa566cb2d1a4499c41150db97df,0f34afbd1a5f4b0b6c0c836e2c932eac3b6d9cce,fdfbeea474d3064a218db4115f797e46bf468843,,True,True,0f2eadba03e7180b176a71fb645ebd597a3e0acd27dc5c1bafcea15ea5730722,Tests_passed,0.5668247879602353,aec00a3c05a5e6d46b4eed6a9e4b7760b7092ea4a4ed51c3c6f7e3e2be973d3d,Tests_passed,0.5661007291601748,True,True,Tests_passed,1157eddc036c4810fb3623276cb46c9486309d30e2e80c4e456c36c6cf52c299,Tests_passed,1157eddc036c4810fb3623276cb46c9486309d30e2e80c4e456c36c6cf52c299,Tests_passed,1157eddc036c4810fb3623276cb46c9486309d30e2e80c4e456c36c6cf52c299,Tests_passed,1157eddc036c4810fb3623276cb46c9486309d30e2e80c4e456c36c6cf52c299,Tests_passed,1157eddc036c4810fb3623276cb46c9486309d30e2e80c4e456c36c6cf52c299,Tests_passed,1157eddc036c4810fb3623276cb46c9486309d30e2e80c4e456c36c6cf52c299,Tests_passed,1157eddc036c4810fb3623276cb46c9486309d30e2e80c4e456c36c6cf52c299,Tests_passed,1157eddc036c4810fb3623276cb46c9486309d30e2e80c4e456c36c6cf52c299,Tests_passed,1157eddc036c4810fb3623276cb46c9486309d30e2e80c4e456c36c6cf52c299,Tests_passed,1157eddc036c4810fb3623276cb46c9486309d30e2e80c4e456c36c6cf52c299,Tests_passed,1157eddc036c4810fb3623276cb46c9486309d30e2e80c4e456c36c6cf52c299,Tests_passed,1157eddc036c4810fb3623276cb46c9486309d30e2e80c4e456c36c6cf52c299,Tests_passed,1157eddc036c4810fb3623276cb46c9486309d30e2e80c4e456c36c6cf52c299,Tests_passed,1157eddc036c4810fb3623276cb46c9486309d30e2e80c4e456c36c6cf52c299
5,refs/heads/master,fdfbeea474d3064a218db4115f797e46bf468843,8d6878de8dad0075e5b2d3066271d7fe0a04c0e1,8a35a326884d7e98320da4125639833de5f83263,,True,True,f728fb642808941f6c29e84809ae7e9d0dfc0ab6a5689cd04b30f8ab62c91860,Tests_passed,0.5658247344663955,fda65bd60224a9d641f3b58549e888b6453e0537f29941c0ff856f11ae459af7,Tests_passed,0.5661329961532982,True,True,Tests_passed,aec00a3c05a5e6d46b4eed6a9e4b7760b7092ea4a4ed51c3c6f7e3e2be973d3d,Tests_passed,aec00a3c05a5e6d46b4eed6a9e4b7760b7092ea4a4ed51c3c6f7e3e2be973d3d,Tests_passed,aec00a3c05a5e6d46b4eed6a9e4b7760b7092ea4a4ed51c3c6f7e3e2be973d3d,Tests_passed,aec00a3c05a5e6d46b4eed6a9e4b7760b7092ea4a4ed51c3c6f7e3e2be973d3d,Tests_passed,aec00a3c05a5e6d46b4eed6a9e4b7760b7092ea4a4ed51c3c6f7e3e2be973d3d,Tests_passed,aec00a3c05a5e6d46b4eed6a9e4b7760b7092ea4a4ed51c3c6f7e3e2be973d3d,Tests_passed,aec00a3c05a5e6d46b4eed6a9e4b7760b7092ea4a4ed51c3c6f7e3e2be973d3d,Tests_passed,aec00a3c05a5e6d46b4eed6a9e4b7760b7092ea4a4ed51c3c6f7e3e2be973d3d,Tests_passed,aec00a3c05a5e6d46b4eed6a9e4b7760b7092ea4a4ed51c3c6f7e3e2be973d3d,Tests_passed,aec00a3c05a5e6d46b4eed6a9e4b7760b7092ea4a4ed51c3c6f7e3e2be973d3d,Tests_passed,aec00a3c05a5e6d46b4eed6a9e4b7760b7092ea4a4ed51c3c6f7e3e2be973d3d,Tests_passed,aec00a3c05a5e6d46b4eed6a9e4b7760b7092ea4a4ed51c3c6f7e3e2be973d3d,Tests_passed,aec00a3c05a5e6d46b4eed6a9e4b7760b7092ea4a4ed51c3c6f7e3e2be973d3d,Tests_passed,aec00a3c05a5e6d46b4eed6a9e4b7760b7092ea4a4ed51c3c6f7e3e2be973d3d
6,refs/heads/master,8d6878de8dad0075e5b2d3066271d7fe0a04c0e1,4eee5573c01c4374f421356e1fa02e6ce91fadb3,5d9f56d4b3b0c563e2d7be3e2fb4a9ab3bd160a8,,True,True,fb60c6751b9cc1606a6b68a0e65dbfdc7551864f0780806769176683d1c50a25,Tests_passed,0.5661541474880031,e4ea8bb6c77c63ecf075cecd4670d6ab7da3aa69117f0ef57296d3e40119dba4,Tests_passed,0.5662754665906824,True,True,Tests_passed,f728fb642808941f6c29e84809ae7e9d0dfc0ab6a5689cd04b30f8ab62c91860,Tests_passed,f728fb642808941f6c29e84809ae7e9d0dfc0ab6a5689cd04b30f8ab62c91860,Tests_passed,f728fb642808941f6c29e84809ae7e9d0dfc0ab6a5689cd04b30f8ab62c91860,Tests_passed,f728fb642808941f6c29e84809ae7e9d0dfc0ab6a5689cd04b30f8ab62c91860,Tests_passed,f728fb642808941f6c29e84809ae7e9d0dfc0ab6a5689cd04b30f8ab62c91860,Tests_passed,f728fb642808941f6c29e84809ae7e9d0dfc0ab6a5689cd04b30f8ab62c91860,Tests_passed,f728fb642808941f6c29e84809ae7e9d0dfc0ab6a5689cd04b30f8ab62c91860,Tests_passed,f728fb642808941f6c29e84809ae7e9d0dfc0ab6a5689cd04b30f8ab62c91860,Tests_passed,f728fb642808941f6c29e84809ae7e9d0dfc0ab6a5689cd04b30f8ab62c91860,Tests_passed,f728fb642808941f6c29e84809ae7e9d0dfc0ab6a5689cd04b30f8ab62c91860,Tests_passed,f728fb642808941f6c29e84809ae7e9d0dfc0ab6a5689cd04b30f8ab62c91860,Tests_passed,f728fb642808941f6c29e84809ae7e9d0dfc0ab6a5689cd04b30f8ab62c91860,Tests_passed,f728fb642808941f6c29e84809ae7e9d0dfc0ab6a5689cd04b30f8ab62c91860,Tests_passed,f728fb642808941f6c29e84809ae7e9d0dfc0ab6a5689cd04b30f8ab62c91860
7,refs/heads/master,d0bc5cf6fb62571cec50dccf449538c566f5b1a8,ce4c1eccf61db05eecbd2d9c2da0d14c180d69c0,bac95e0cf8884a0713693161c589514a8a43fe87,,True,True,b5d7543665693634eedd7a784b7d7597f41b1945b0d9d219075ea90573e2e4cc,Tests_passed,0.5654169786429921,fda65bd60224a9d641f3b58549e888b6453e0537f29941c0ff856f11ae459af7,Tests_passed,0.5661329961532982,True,True,Tests_passed,a03c11917e0a690c33eeda64b4eab76454097d0c98dd1c80122fd50309cc6954,Tests_passed,a03c11917e0a690c33eeda64b4eab76454097d0c98dd1c80122fd50309cc6954,Tests_passed,a03c11917e0a690c33eeda64b4eab76454097d0c98dd1c80122fd50309cc6954,Tests_passed,a03c11917e0a690c33eeda64b4eab76454097d0c98dd1c80122fd50309cc6954,Tests_passed,a03c11917e0a690c33eeda64b4eab76454097d0c98dd1c80122fd50309cc6954,Tests_passed,a03c11917e0a690c33eeda64b4eab76454097d0c98dd1c80122fd50309cc6954,Tests_passed,a03c11917e0a690c33eeda64b4eab76454097d0c98dd1c80122fd50309cc6954,Tests_passed,a03c11917e0a690c33eeda64b4eab76454097d0c98dd1c80122fd50309cc6954,Tests_passed,a03c11917e0a690c33eeda64b4eab76454097d0c98dd1c80122fd50309cc6954,Tests_passed,a03c11917e0a690c33eeda64b4eab76454097d0c98dd1c80122fd50309cc6954,Tests_passed,a03c11917e0a690c33eeda64b4eab76454097d0c98dd1c80122fd50309cc6954,Tests_passed,a03c11917e0a690c33eeda64b4eab76454097d0c98dd1c80122fd50309cc6954,Tests_passed,a03c11917e0a690c33eeda64b4eab76454097d0c98dd1c80122fd50309cc6954,Tests_passed,a03c11917e0a690c33eeda64b4eab76454097d0c98dd1c80122fd50309cc6954
22,refs/heads/master,ff36da199d472b2e842d3098931a6d6bae4e7ba2,691466dd5657317a421792dfb1c366394288c1fe,0e68fc6b5fcf67c1bc88069633ddb254fe4ded67,,True,True,077d539488c60d88fcdebb0da7241ba0fac57ea284e134990aa18b6204ef623c,Tests_passed,0.5640087457052341,eeb0c2c7ec7239f3de1ec72e01e8c4defe2189674dfb68d056c331355679bf59,Tests_passed,0.564058162472887,True,True,Tests_passed,d0f6d6fe58c6e4b001313e1b682c9bd11907339c4fdc76ac671884ac828223da,Tests_passed,d0f6d6fe58c6e4b001313e1b682c9bd11907339c4fdc76ac671884ac828223da,Tests_passed,d0f6d6fe58c6e4b001313e1b682c9bd11907339c4fdc76ac671884ac828223da,Tests_passed,d0f6d6fe58c6e4b001313e1b682c9bd11907339c4fdc76ac671884ac828223da,Tests_passed,d0f6d6fe58c6e4b001313e1b682c9bd11907339c4fdc76ac671884ac828223da,Tests_passed,d0f6d6fe58c6e4b001313e1b682c9bd11907339c4fdc76ac671884ac828223da,Tests_passed,d0f6d6fe58c6e4b001313e1b682c9bd11907339c4fdc76ac671884ac828223da,Tests_passed,d0f6d6fe58c6e4b001313e1b682c9bd11907339c4fdc76ac671884ac828223da,Tests_passed,d0f6d6fe58c6e4b001313e1b682c9bd11907339c4fdc76ac671884ac828223da,Tests_passed,d0f6d6fe58c6e4b001313e1b682c9bd11907339c4fdc76ac671884ac828223da,Tests_passed,d0f6d6fe58c6e4b001313e1b682c9bd11907339c4fdc76ac671884ac828223da,Tests_passed,d0f6d6fe58c6e4b001313e1b682c9bd11907339c4fdc76ac671884ac828223da,Tests_passed,d0f6d6fe58c6e4b001313e1b682c9bd11907339c4fdc76ac671884ac828223da,Tests_passed,d0f6d6fe58c6e4b001313e1b682c9bd11907339c4fdc76ac671884ac828223da
23,refs/heads/master,5b2d9566ef895ffd5ff2b028715ca43b9ffab123,129baa96ee5a7452554688655a1c4f6ebee55877,e10ff9653576311b1ad73d02ed3a94c7c813f051,,True,True,5d4b23efbcc2eca1478a8f906d053049ebfc07ad503372559ba701cb2b564e48,Tests_passed,0.5640270301634486,e24d60b5d4ded40b7daf1c0ba2ec748bbd9ce15ed0e02fdcecce308e560551a7,Tests_passed,0.4003958167601234,True,True,Tests_passed,67e0800a51dd66d3c44a3af98b23feabd9ebb33b7278985baca17571396e92db,Tests_passed,67e0800a51dd66d3c44a3af98b23feabd9ebb33b7278985baca17571396e92db,Tests_passed,67e0800a51dd66d3c44a3af98b23feabd9ebb33b7278985baca17571396e92db,Tests_passed,67e0800a51dd66d3c44a3af98b23feabd9ebb33b7278985baca17571396e92db,Tests_passed,67e0800a51dd66d3c44a3af98b23feabd9ebb33b7278985baca17571396e92db,Tests_passed,67e0800a51dd66d3c44a3af98b23feabd9ebb33b7278985baca17571396e92db,Tests_passed,67e0800a51dd66d3c44a3af98b23feabd9ebb33b7278985baca17571396e92db,Tests_passed,67e0800a51dd66d3c44a3af98b23feabd9ebb33b7278985baca17571396e92db,Tests_passed,67e0800a51dd66d3c44a3af98b23feabd9ebb33b7278985baca17571396e92db,Tests_passed,67e0800a51dd66d3c44a3af98b23feabd9ebb33b7278985baca17571396e92db,Tests_passed,67e0800a51dd66d3c44a3af98b23feabd9ebb33b7278985baca17571396e92db,Tests_passed,67e0800a51dd66d3c44a3af98b23feabd9ebb33b7278985baca17571396e92db,Tests_passed,749688cffcf0b843d3ae01b719bb67492e22423baf82c20618c9ffa0652a2b49,Tests_passed,67e0800a51dd66d3c44a3af98b23feabd9ebb33b7278985baca17571396e92db
24,refs/heads/master,129baa96ee5a7452554688655a1c4f6ebee55877,56b8415627d078a62ebbce748f2ccc9f171f349f,acd7b703f302ee7b02cdce645a10c57ac308ac17,,True,True,048066f0be5b28a0b7e1b6be76c56d7b7526a817ba7cbd7b2f2ef6934ad4c27f,Tests_passed,0.5642447128560844,be1bd80988e3b6296df3edbc4ba436f5717de5b7efca42d7be0fca59c85dac84,Tests_passed,0.5630593615462941,True,True,Tests_passed,5d4b23efbcc2eca1478a8f906d053049ebfc07ad503372559ba701cb2b564e48,Tests_passed,5d4b23efbcc2eca1478a8f906d053049ebfc07ad503372559ba701cb2b564e48,Tests_passed,5d4b23efbcc2eca1478a8f906d053049ebfc07ad503372559ba701cb2b564e48,Tests_passed,5d4b23efbcc2eca1478a8f906d053049ebfc07ad503372559ba701cb2b564e48,Tests_passed,5d4b23efbcc2eca1478a8f906d053049ebfc07ad503372559ba701cb2b564e48,Tests_passed,5d4b23efbcc2eca1478a8f906d053049ebfc07ad503372559ba701cb2b564e48,Tests_passed,5d4b23efbcc2eca1478a8f906d053049ebfc07ad503372559ba701cb2b564e48,Tests_passed,5d4b23efbcc2eca1478a8f906d053049ebfc07ad503372559ba701cb2b564e48,Tests_passed,5d4b23efbcc2eca1478a8f906d053049ebfc07ad503372559ba701cb2b564e48,Tests_passed,5d4b23efbcc2eca1478a8f906d053049ebfc07ad503372559ba701cb2b564e48,Tests_passed,5d4b23efbcc2eca1478a8f906d053049ebfc07ad503372559ba701cb2b564e48,Tests_passed,5d4b23efbcc2eca1478a8f906d053049ebfc07ad503372559ba701cb2b564e48,Tests_passed,5d4b23efbcc2eca1478a8f906d053049ebfc07ad503372559ba701cb2b564e48,Tests_passed,5d4b23efbcc2eca1478a8f906d053049ebfc07ad503372559ba701cb2b564e48
25,refs/heads/master,56b8415627d078a62ebbce748f2ccc9f171f349f,dacf9e5fa3242a21f155fd63066a85c0c5a71f29,f0b39f10dbba020f19450ef233546db26696f664,,True,True,5d14c587c49c4241d61996896eea17ec3eedde0f6dd9ff8f25a95d4ab3717349,Tests_passed,0.5635124756648627,21c20f86d38c6b4d542c17b0259f111ba2cfb4f52612be83a368c7a01ed1b9f0,Tests_passed,0.5632863355091035,True,True,Tests_passed,048066f0be5b28a0b7e1b6be76c56d7b7526a817ba7cbd7b2f2ef6934ad4c27f,Tests_passed,048066f0be5b28a0b7e1b6be76c56d7b7526a817ba7cbd7b2f2ef6934ad4c27f,Tests_passed,f8be39e18f51131ddd9f65f5a17901b04e569c011f17ec97607694dab8f6b58b,Tests_passed,048066f0be5b28a0b7e1b6be76c56d7b7526a817ba7cbd7b2f2ef6934ad4c27f,Tests_passed,f8be39e18f51131ddd9f65f5a17901b04e569c011f17ec97607694dab8f6b58b,Tests_passed,048066f0be5b28a0b7e1b6be76c56d7b7526a817ba7cbd7b2f2ef6934ad4c27f,Tests_passed,048066f0be5b28a0b7e1b6be76c56d7b7526a817ba7cbd7b2f2ef6934ad4c27f,Tests_passed,f8be39e18f51131ddd9f65f5a17901b04e569c011f17ec97607694dab8f6b58b,Tests_passed,048066f0be5b28a0b7e1b6be76c56d7b7526a817ba7cbd7b2f2ef6934ad4c27f,Tests_passed,048066f0be5b28a0b7e1b6be76c56d7b7526a817ba7cbd7b2f2ef6934ad4c27f,Tests_passed,048066f0be5b28a0b7e1b6be76c56d7b7526a817ba7cbd7b2f2ef6934ad4c27f,Tests_passed,048066f0be5b28a0b7e1b6be76c56d7b7526a817ba7cbd7b2f2ef6934ad4c27f,Tests_passed,5d0f2e8712809e0c2d15d895459f559f3674991eb36446ea48bbcde3a39037ea,Tests_passed,048066f0be5b28a0b7e1b6be76c56d7b7526a817ba7cbd7b2f2ef6934ad4c27f
