idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
7,refs/heads/master,61ddf8dc13910a383a73c114b3e1716a3d31715d,7a964dbb35b2d10b649e9b91e571250f938fdb15,87c2af08826e2dff12f0b580c670d61e8c97c498,,046abe733216996337cf4cbe240f1e1e201d5d5ed14e351f1ad24af8cdc7677a,Tests_passed,865b41020f1f25e59b114f6bafbf8c7f4a34d6a7368eb8d392cb718bb81b52e3,Tests_passed,True,True,True,True,Merge_failed,6e25e2c6073d05bc05292e15acf2186b9f755455a717ea4bbebc52c0cf79a5a4,Merge_failed,6e25e2c6073d05bc05292e15acf2186b9f755455a717ea4bbebc52c0cf79a5a4,Merge_failed,6e25e2c6073d05bc05292e15acf2186b9f755455a717ea4bbebc52c0cf79a5a4,Merge_failed,6e25e2c6073d05bc05292e15acf2186b9f755455a717ea4bbebc52c0cf79a5a4,Merge_failed,6e25e2c6073d05bc05292e15acf2186b9f755455a717ea4bbebc52c0cf79a5a4,Merge_failed,ee8b8eb4560fd16219b425c6f32ab5239d2dee1e740d88e4f47c607e44aef13c,Merge_failed,6e25e2c6073d05bc05292e15acf2186b9f755455a717ea4bbebc52c0cf79a5a4,Merge_failed,6e25e2c6073d05bc05292e15acf2186b9f755455a717ea4bbebc52c0cf79a5a4,Merge_failed,6e25e2c6073d05bc05292e15acf2186b9f755455a717ea4bbebc52c0cf79a5a4,Merge_failed,6e25e2c6073d05bc05292e15acf2186b9f755455a717ea4bbebc52c0cf79a5a4,Merge_failed,6e25e2c6073d05bc05292e15acf2186b9f755455a717ea4bbebc52c0cf79a5a4,Merge_failed,6e25e2c6073d05bc05292e15acf2186b9f755455a717ea4bbebc52c0cf79a5a4,Merge_failed,dfc6b2d0b0ea8e2c3d987a162222fd62e9fcee8c582de29a81adbd27d7691b18,Merge_failed,dfc6b2d0b0ea8e2c3d987a162222fd62e9fcee8c582de29a81adbd27d7691b18
12,refs/heads/master,df4e0ef5dcd2596917cb62ead0f4d08b9e37b322,44bef0b215e0234e4fbbad5ec293bcc9bc0c858a,fc6edc872ccfe54c83908c9488f55e1982dddcca,,e6796d67a409130032994d311cd0e3bc2c14693d4a0ad94e3aba511b246cf0ea,Tests_passed,978b3d0d6911e442848afff90cacc7336ba5e07e360f4e3303947389c1ad31b7,Tests_passed,True,True,True,True,Tests_passed,ed9765ed5851053fe63763244d5b7188101c4dfc9690e0eadc82eb6d40862e79,Tests_passed,ed9765ed5851053fe63763244d5b7188101c4dfc9690e0eadc82eb6d40862e79,Tests_passed,ed9765ed5851053fe63763244d5b7188101c4dfc9690e0eadc82eb6d40862e79,Tests_passed,ed9765ed5851053fe63763244d5b7188101c4dfc9690e0eadc82eb6d40862e79,Tests_passed,ed9765ed5851053fe63763244d5b7188101c4dfc9690e0eadc82eb6d40862e79,Tests_passed,ed9765ed5851053fe63763244d5b7188101c4dfc9690e0eadc82eb6d40862e79,Tests_passed,ed9765ed5851053fe63763244d5b7188101c4dfc9690e0eadc82eb6d40862e79,Tests_passed,ed9765ed5851053fe63763244d5b7188101c4dfc9690e0eadc82eb6d40862e79,Tests_passed,ed9765ed5851053fe63763244d5b7188101c4dfc9690e0eadc82eb6d40862e79,Tests_passed,ed9765ed5851053fe63763244d5b7188101c4dfc9690e0eadc82eb6d40862e79,Tests_passed,ed9765ed5851053fe63763244d5b7188101c4dfc9690e0eadc82eb6d40862e79,Tests_passed,ed9765ed5851053fe63763244d5b7188101c4dfc9690e0eadc82eb6d40862e79,Tests_passed,ed9765ed5851053fe63763244d5b7188101c4dfc9690e0eadc82eb6d40862e79,Merge_failed,ed9765ed5851053fe63763244d5b7188101c4dfc9690e0eadc82eb6d40862e79
13,refs/heads/master,34262c5a7193c74dbe3856fab198848604fc631d,aa225d1c47a3ab71e3ae8729f5d9862a7b5d5277,f2121d5d20d3de1841ead4a3bf0c1a92e00ac649,,598085cae8990183169b2da12e628bd84fb63f435f7498fe14519e9aa5342d6d,Tests_passed,e250e44d5c71d8d7b0182cb2222f3a9eedee24bf507db3b349ac852d4c0cdfec,Tests_passed,True,True,True,True,Tests_passed,9e86955a5a3ebdd2a17c5d0b38663f2dbb6a491cff0c69afeaa30fbd4ae8a381,Tests_passed,9e86955a5a3ebdd2a17c5d0b38663f2dbb6a491cff0c69afeaa30fbd4ae8a381,Tests_passed,9e86955a5a3ebdd2a17c5d0b38663f2dbb6a491cff0c69afeaa30fbd4ae8a381,Tests_passed,9e86955a5a3ebdd2a17c5d0b38663f2dbb6a491cff0c69afeaa30fbd4ae8a381,Tests_passed,9e86955a5a3ebdd2a17c5d0b38663f2dbb6a491cff0c69afeaa30fbd4ae8a381,Tests_passed,9e86955a5a3ebdd2a17c5d0b38663f2dbb6a491cff0c69afeaa30fbd4ae8a381,Tests_passed,9e86955a5a3ebdd2a17c5d0b38663f2dbb6a491cff0c69afeaa30fbd4ae8a381,Tests_passed,9e86955a5a3ebdd2a17c5d0b38663f2dbb6a491cff0c69afeaa30fbd4ae8a381,Tests_passed,9e86955a5a3ebdd2a17c5d0b38663f2dbb6a491cff0c69afeaa30fbd4ae8a381,Tests_passed,9e86955a5a3ebdd2a17c5d0b38663f2dbb6a491cff0c69afeaa30fbd4ae8a381,Tests_passed,9e86955a5a3ebdd2a17c5d0b38663f2dbb6a491cff0c69afeaa30fbd4ae8a381,Tests_passed,9e86955a5a3ebdd2a17c5d0b38663f2dbb6a491cff0c69afeaa30fbd4ae8a381,Tests_passed,9e86955a5a3ebdd2a17c5d0b38663f2dbb6a491cff0c69afeaa30fbd4ae8a381,Merge_failed,9e86955a5a3ebdd2a17c5d0b38663f2dbb6a491cff0c69afeaa30fbd4ae8a381
14,refs/heads/master,a1e94950696d8ca2430d435be2221196a7089ec0,47764f8ea60a7196c883c694b906b22a9a114dd1,99788e6a37091e542f7233fa10ba465474743207,,70b499f5406ca2c861615227320658533ab419d41a7112e2daea1baf085d647f,Tests_passed,8a2afde9b13c914c3e517266afc00cb6f92e7f518cfc1be2636b734337c8db93,Tests_passed,True,True,True,True,Merge_failed,3719d089e17abe91bd1d747e10b27350277c5982607eee7b90cecc35db6f63af,Merge_failed,3719d089e17abe91bd1d747e10b27350277c5982607eee7b90cecc35db6f63af,Merge_failed,41e80ac22acc69443e74c57431cabe8a920ec313df0df9dc30c368b642061c63,Merge_failed,3719d089e17abe91bd1d747e10b27350277c5982607eee7b90cecc35db6f63af,Merge_failed,41e80ac22acc69443e74c57431cabe8a920ec313df0df9dc30c368b642061c63,Merge_failed,bde0366aec583bd8fc5f9f3c11d92aa5528a892472ced2bca52903fb95c0577c,Merge_failed,3719d089e17abe91bd1d747e10b27350277c5982607eee7b90cecc35db6f63af,Merge_failed,41e80ac22acc69443e74c57431cabe8a920ec313df0df9dc30c368b642061c63,Merge_failed,3719d089e17abe91bd1d747e10b27350277c5982607eee7b90cecc35db6f63af,Merge_failed,3719d089e17abe91bd1d747e10b27350277c5982607eee7b90cecc35db6f63af,Merge_failed,3719d089e17abe91bd1d747e10b27350277c5982607eee7b90cecc35db6f63af,Merge_failed,3719d089e17abe91bd1d747e10b27350277c5982607eee7b90cecc35db6f63af,Merge_failed,3e8e949763aeda9820fe9c799b9d0b0993c4f3a5185a8f2802ef311b1a8a5ea7,Merge_failed,645a52de444e39ff125d6ca64ce9652338f1bb436f0c8e86c4250066cf03b029
16,refs/heads/master,285740d778f4966996234a770b36bc82beda6287,63c4c01c6801f7fb2b1414aeed3c1fe08527822c,129b3a91564b0a49027ecf1cdcf15deee778c58a,,d649d7413f60d6375e5d86b5e94aa2c3799c4bc270b98294cd37746d5829a999,Tests_passed,1a4b94cd01ccc0791709d54d08ad4956c4f6095084e55a0e50940635c5e3c850,Tests_passed,True,True,True,True,Tests_passed,7d763f96a99bf2d3d93a025917871de94b0fc893f6a2cbd039f11911583d597e,Tests_passed,7d763f96a99bf2d3d93a025917871de94b0fc893f6a2cbd039f11911583d597e,Tests_passed,7d763f96a99bf2d3d93a025917871de94b0fc893f6a2cbd039f11911583d597e,Tests_passed,7d763f96a99bf2d3d93a025917871de94b0fc893f6a2cbd039f11911583d597e,Tests_passed,7d763f96a99bf2d3d93a025917871de94b0fc893f6a2cbd039f11911583d597e,Tests_passed,7d763f96a99bf2d3d93a025917871de94b0fc893f6a2cbd039f11911583d597e,Tests_passed,7d763f96a99bf2d3d93a025917871de94b0fc893f6a2cbd039f11911583d597e,Tests_passed,7d763f96a99bf2d3d93a025917871de94b0fc893f6a2cbd039f11911583d597e,Tests_passed,7d763f96a99bf2d3d93a025917871de94b0fc893f6a2cbd039f11911583d597e,Tests_passed,7d763f96a99bf2d3d93a025917871de94b0fc893f6a2cbd039f11911583d597e,Tests_passed,7d763f96a99bf2d3d93a025917871de94b0fc893f6a2cbd039f11911583d597e,Tests_passed,7d763f96a99bf2d3d93a025917871de94b0fc893f6a2cbd039f11911583d597e,Tests_passed,7d763f96a99bf2d3d93a025917871de94b0fc893f6a2cbd039f11911583d597e,Merge_failed,7d763f96a99bf2d3d93a025917871de94b0fc893f6a2cbd039f11911583d597e
17,refs/heads/master,63c4c01c6801f7fb2b1414aeed3c1fe08527822c,7dc23f6c279d336146cffcd836b03def7a120f2f,e3331ceb22d21a375a8e62481459357c9bcede5a,,7e21829054a2fac3acd737d19ca4c57265a4f125f2dde841e2aa7d8602eb674f,Tests_passed,0bf746cfeefdf1d944048298137f4132822c86f5637746f9a60883a3f394cddb,Tests_passed,True,True,True,True,Tests_passed,d649d7413f60d6375e5d86b5e94aa2c3799c4bc270b98294cd37746d5829a999,Tests_passed,d649d7413f60d6375e5d86b5e94aa2c3799c4bc270b98294cd37746d5829a999,Tests_passed,d649d7413f60d6375e5d86b5e94aa2c3799c4bc270b98294cd37746d5829a999,Tests_passed,d649d7413f60d6375e5d86b5e94aa2c3799c4bc270b98294cd37746d5829a999,Tests_passed,d649d7413f60d6375e5d86b5e94aa2c3799c4bc270b98294cd37746d5829a999,Tests_passed,d649d7413f60d6375e5d86b5e94aa2c3799c4bc270b98294cd37746d5829a999,Tests_passed,d649d7413f60d6375e5d86b5e94aa2c3799c4bc270b98294cd37746d5829a999,Tests_passed,d649d7413f60d6375e5d86b5e94aa2c3799c4bc270b98294cd37746d5829a999,Tests_passed,d649d7413f60d6375e5d86b5e94aa2c3799c4bc270b98294cd37746d5829a999,Tests_passed,d649d7413f60d6375e5d86b5e94aa2c3799c4bc270b98294cd37746d5829a999,Tests_passed,d649d7413f60d6375e5d86b5e94aa2c3799c4bc270b98294cd37746d5829a999,Tests_passed,d649d7413f60d6375e5d86b5e94aa2c3799c4bc270b98294cd37746d5829a999,Tests_passed,d649d7413f60d6375e5d86b5e94aa2c3799c4bc270b98294cd37746d5829a999,Merge_failed,d649d7413f60d6375e5d86b5e94aa2c3799c4bc270b98294cd37746d5829a999
18,refs/heads/master,7dc23f6c279d336146cffcd836b03def7a120f2f,b8d37c4b939fe8ba2dbc2b6e05e24c9fb8ef1b09,f37a3d7531c7ef0d159c09cb00fbbf59cbe965cf,,03c3a8c004604962780703165c90eea92418d7476575f53cdd5f6d1cb99f3d0c,Tests_passed,942b596850d1b81f9b9f7a62169203823734631190eb743073d3ee732e01441c,Tests_passed,True,True,True,True,Tests_passed,7e21829054a2fac3acd737d19ca4c57265a4f125f2dde841e2aa7d8602eb674f,Tests_passed,7e21829054a2fac3acd737d19ca4c57265a4f125f2dde841e2aa7d8602eb674f,Tests_passed,7e21829054a2fac3acd737d19ca4c57265a4f125f2dde841e2aa7d8602eb674f,Tests_passed,7e21829054a2fac3acd737d19ca4c57265a4f125f2dde841e2aa7d8602eb674f,Tests_passed,7e21829054a2fac3acd737d19ca4c57265a4f125f2dde841e2aa7d8602eb674f,Tests_passed,7e21829054a2fac3acd737d19ca4c57265a4f125f2dde841e2aa7d8602eb674f,Tests_passed,7e21829054a2fac3acd737d19ca4c57265a4f125f2dde841e2aa7d8602eb674f,Tests_passed,7e21829054a2fac3acd737d19ca4c57265a4f125f2dde841e2aa7d8602eb674f,Tests_passed,7e21829054a2fac3acd737d19ca4c57265a4f125f2dde841e2aa7d8602eb674f,Tests_passed,7e21829054a2fac3acd737d19ca4c57265a4f125f2dde841e2aa7d8602eb674f,Tests_passed,7e21829054a2fac3acd737d19ca4c57265a4f125f2dde841e2aa7d8602eb674f,Tests_passed,7e21829054a2fac3acd737d19ca4c57265a4f125f2dde841e2aa7d8602eb674f,Tests_passed,7e21829054a2fac3acd737d19ca4c57265a4f125f2dde841e2aa7d8602eb674f,Merge_failed,7e21829054a2fac3acd737d19ca4c57265a4f125f2dde841e2aa7d8602eb674f
19,refs/heads/master,b8d37c4b939fe8ba2dbc2b6e05e24c9fb8ef1b09,11ca06693da6fe0a3bcabf1b6bdff0211c030fe4,29c62e7f7e2667157c32768939826466b8112fa4,,03e5f3487bf7e5325c2171e0c10fd8f70330754b618797d5dccdcfa98032ec1b,Tests_passed,52afa5a4410d9f8edff8b9d87a09dd18a561047db65f60eac3e70463d4c4bb3e,Tests_passed,True,True,True,True,Tests_passed,03c3a8c004604962780703165c90eea92418d7476575f53cdd5f6d1cb99f3d0c,Tests_passed,03c3a8c004604962780703165c90eea92418d7476575f53cdd5f6d1cb99f3d0c,Tests_passed,03c3a8c004604962780703165c90eea92418d7476575f53cdd5f6d1cb99f3d0c,Tests_passed,03c3a8c004604962780703165c90eea92418d7476575f53cdd5f6d1cb99f3d0c,Tests_passed,03c3a8c004604962780703165c90eea92418d7476575f53cdd5f6d1cb99f3d0c,Tests_passed,03c3a8c004604962780703165c90eea92418d7476575f53cdd5f6d1cb99f3d0c,Tests_passed,03c3a8c004604962780703165c90eea92418d7476575f53cdd5f6d1cb99f3d0c,Tests_passed,03c3a8c004604962780703165c90eea92418d7476575f53cdd5f6d1cb99f3d0c,Tests_passed,03c3a8c004604962780703165c90eea92418d7476575f53cdd5f6d1cb99f3d0c,Tests_passed,03c3a8c004604962780703165c90eea92418d7476575f53cdd5f6d1cb99f3d0c,Tests_passed,03c3a8c004604962780703165c90eea92418d7476575f53cdd5f6d1cb99f3d0c,Tests_passed,03c3a8c004604962780703165c90eea92418d7476575f53cdd5f6d1cb99f3d0c,Tests_passed,03c3a8c004604962780703165c90eea92418d7476575f53cdd5f6d1cb99f3d0c,Merge_failed,03c3a8c004604962780703165c90eea92418d7476575f53cdd5f6d1cb99f3d0c
24,refs/remotes/origin/grammar-playground,cc021babb6a9f8f46fa4180007fb4c15b16ef005,11ca06693da6fe0a3bcabf1b6bdff0211c030fe4,2cba5b8225a0343f76dc3684bcea2b202cf58ffd,,03e5f3487bf7e5325c2171e0c10fd8f70330754b618797d5dccdcfa98032ec1b,Tests_passed,c10f2fc0d9de087767f9c3ce0ac4514a50670a58915ffe117033f1452d2a56a0,Tests_passed,True,True,True,True,Tests_passed,49bd14a1177904b31e4998af94e949a56245edac1acdcc90cf6cd52e3c90cba0,Tests_passed,49bd14a1177904b31e4998af94e949a56245edac1acdcc90cf6cd52e3c90cba0,Tests_passed,49bd14a1177904b31e4998af94e949a56245edac1acdcc90cf6cd52e3c90cba0,Tests_passed,49bd14a1177904b31e4998af94e949a56245edac1acdcc90cf6cd52e3c90cba0,Tests_passed,49bd14a1177904b31e4998af94e949a56245edac1acdcc90cf6cd52e3c90cba0,Tests_passed,49bd14a1177904b31e4998af94e949a56245edac1acdcc90cf6cd52e3c90cba0,Tests_passed,49bd14a1177904b31e4998af94e949a56245edac1acdcc90cf6cd52e3c90cba0,Tests_passed,49bd14a1177904b31e4998af94e949a56245edac1acdcc90cf6cd52e3c90cba0,Tests_passed,49bd14a1177904b31e4998af94e949a56245edac1acdcc90cf6cd52e3c90cba0,Tests_passed,49bd14a1177904b31e4998af94e949a56245edac1acdcc90cf6cd52e3c90cba0,Tests_passed,49bd14a1177904b31e4998af94e949a56245edac1acdcc90cf6cd52e3c90cba0,Tests_passed,49bd14a1177904b31e4998af94e949a56245edac1acdcc90cf6cd52e3c90cba0,Tests_passed,49bd14a1177904b31e4998af94e949a56245edac1acdcc90cf6cd52e3c90cba0,Merge_failed,49bd14a1177904b31e4998af94e949a56245edac1acdcc90cf6cd52e3c90cba0
27,refs/remotes/origin/pull/104,b836820b107cd3bc5b7501fbccec5233804e39fb,96d4fdd2284122f3b9019d0d02b81ae3793d0d55,e8b0e178bcb565ef6356f732f33c1c9ea5991c3b,,a36f03aef9a42aa4327b69c98c1cee4d0cc5341f763bad51cb8f3517057d75db,Tests_passed,b13a644ba693a782e0d8983d7f8abfd00d4d8d9fcc42118c9186b837425cc3f3,Tests_passed,True,True,True,True,Merge_failed,3c4bc0c0a1ccb2826a65ed5c8bae1876b597959cc30b65d9af69ed1e1d31a77e,Merge_failed,3c4bc0c0a1ccb2826a65ed5c8bae1876b597959cc30b65d9af69ed1e1d31a77e,Merge_failed,4c174b2d7a0a4e93d9fe38e26535e063bbe5735491f7607d7e9e9a44b550ca16,Merge_failed,3c4bc0c0a1ccb2826a65ed5c8bae1876b597959cc30b65d9af69ed1e1d31a77e,Merge_failed,4c174b2d7a0a4e93d9fe38e26535e063bbe5735491f7607d7e9e9a44b550ca16,Merge_failed,d873e576732256913858e84ee1c3f8737ec71d85e125ba6a38d12ac1f19de53a,Merge_failed,3c4bc0c0a1ccb2826a65ed5c8bae1876b597959cc30b65d9af69ed1e1d31a77e,Merge_failed,4c174b2d7a0a4e93d9fe38e26535e063bbe5735491f7607d7e9e9a44b550ca16,Merge_failed,3c4bc0c0a1ccb2826a65ed5c8bae1876b597959cc30b65d9af69ed1e1d31a77e,Merge_failed,3c4bc0c0a1ccb2826a65ed5c8bae1876b597959cc30b65d9af69ed1e1d31a77e,Merge_failed,3c4bc0c0a1ccb2826a65ed5c8bae1876b597959cc30b65d9af69ed1e1d31a77e,Merge_failed,3c4bc0c0a1ccb2826a65ed5c8bae1876b597959cc30b65d9af69ed1e1d31a77e,Tests_failed,4ae16258e73f03b5fef992ab4d7b1e4a3ee67f20f3dbf20132984a32c5ea0c2b,Merge_failed,ff2c14d110c8c72694dcf79fd30092abda0b85d292c1490f2031e3dee15b5931
