idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,left parent test coverage,right_tree_fingerprint,right parent test result,right parent test coverage,parents pass,diff contains java file,test merge,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
3,refs/heads/master,af3be2890ed0c60c2b39ca50dbbe824f21a997ab,9e30f717018adf06323186632402761a299ff896,e8f0cd224c3ca7c23079ece1774ada7c0af74397,,1c9c421de49845397664c9410271ae025b5e24388344b1225ad1bbc2ebca7ac3,Tests_passed,0.0,b20969c0a608211e78117ab03822ea7ea75aa89b10f38489f13810a03e4ddb5d,Tests_passed,0.0,True,True,True,True,Merge_failed,1c9c421de49845397664c9410271ae025b5e24388344b1225ad1bbc2ebca7ac3,Tests_passed,1c9c421de49845397664c9410271ae025b5e24388344b1225ad1bbc2ebca7ac3,Merge_failed,1c9c421de49845397664c9410271ae025b5e24388344b1225ad1bbc2ebca7ac3,Tests_passed,1c9c421de49845397664c9410271ae025b5e24388344b1225ad1bbc2ebca7ac3,Tests_passed,1c9c421de49845397664c9410271ae025b5e24388344b1225ad1bbc2ebca7ac3,Merge_failed,1c9c421de49845397664c9410271ae025b5e24388344b1225ad1bbc2ebca7ac3,Merge_failed,1c9c421de49845397664c9410271ae025b5e24388344b1225ad1bbc2ebca7ac3,Merge_failed,1c9c421de49845397664c9410271ae025b5e24388344b1225ad1bbc2ebca7ac3,Merge_failed,1c9c421de49845397664c9410271ae025b5e24388344b1225ad1bbc2ebca7ac3,Merge_failed,1c9c421de49845397664c9410271ae025b5e24388344b1225ad1bbc2ebca7ac3,Merge_failed,1c9c421de49845397664c9410271ae025b5e24388344b1225ad1bbc2ebca7ac3,Merge_failed,1c9c421de49845397664c9410271ae025b5e24388344b1225ad1bbc2ebca7ac3,Merge_failed,be0927bbcfee7220aaa98f4323b61fb7a4618565412d039a190590d325cc9cce,Merge_failed,be0927bbcfee7220aaa98f4323b61fb7a4618565412d039a190590d325cc9cce
14,refs/heads/master,0fe28d174e89355a76eb698dd4f13327180400a3,5401cd4daf32fd37e513f354ce05088d6513e8b1,c63bdc8c5f9e4234ae7493bc82fd6478332511e3,,4382d7db0abc6f775d4cee8342f3e8365d119a47b5777ba84d764b57fa5759ef,Tests_passed,0.6715856753454272,76bc4925bde781429ad29061b49a315e6555ee9e3dd021c3527b7eadee2753a5,Tests_passed,0.6283884144077237,True,True,True,True,Merge_failed,4382d7db0abc6f775d4cee8342f3e8365d119a47b5777ba84d764b57fa5759ef,Tests_passed,4382d7db0abc6f775d4cee8342f3e8365d119a47b5777ba84d764b57fa5759ef,Merge_failed,4382d7db0abc6f775d4cee8342f3e8365d119a47b5777ba84d764b57fa5759ef,Tests_passed,4382d7db0abc6f775d4cee8342f3e8365d119a47b5777ba84d764b57fa5759ef,Tests_passed,4382d7db0abc6f775d4cee8342f3e8365d119a47b5777ba84d764b57fa5759ef,Merge_failed,4382d7db0abc6f775d4cee8342f3e8365d119a47b5777ba84d764b57fa5759ef,Merge_failed,4382d7db0abc6f775d4cee8342f3e8365d119a47b5777ba84d764b57fa5759ef,Merge_failed,4382d7db0abc6f775d4cee8342f3e8365d119a47b5777ba84d764b57fa5759ef,Merge_failed,4382d7db0abc6f775d4cee8342f3e8365d119a47b5777ba84d764b57fa5759ef,Merge_failed,4382d7db0abc6f775d4cee8342f3e8365d119a47b5777ba84d764b57fa5759ef,Merge_failed,4382d7db0abc6f775d4cee8342f3e8365d119a47b5777ba84d764b57fa5759ef,Merge_failed,4382d7db0abc6f775d4cee8342f3e8365d119a47b5777ba84d764b57fa5759ef,Merge_failed,05fd2e2b045d8fbea12c9346fc1970ad93a23a2b9aaf6fcd0eb060bbcb35d16a,Merge_failed,49b9ee5d9738aad814cfc385c046d469260972a7deabd665883f85b69504ee44
16,refs/heads/master,3df696d062b432a0dcddf572837cb5fc2577b9b8,6e8d616eba7a4151c05521cc5d1e7682feed1a2d,d17e0c0c869162d214b6e47c299ca607ea4e1303,,a69c6cc86007187010aea642b0db0dedbe8e1584fa5e04b3ac015a0713433af0,Tests_passed,0.6757451671269403,d4331d677056f482e68539e46d7392373fb3d8b20e267ceca54ee449b7a2e252,Tests_passed,0.4321852731591449,True,True,True,True,Merge_failed,a69c6cc86007187010aea642b0db0dedbe8e1584fa5e04b3ac015a0713433af0,Tests_passed,a69c6cc86007187010aea642b0db0dedbe8e1584fa5e04b3ac015a0713433af0,Merge_failed,a69c6cc86007187010aea642b0db0dedbe8e1584fa5e04b3ac015a0713433af0,Tests_passed,a69c6cc86007187010aea642b0db0dedbe8e1584fa5e04b3ac015a0713433af0,Tests_passed,a69c6cc86007187010aea642b0db0dedbe8e1584fa5e04b3ac015a0713433af0,Merge_failed,a69c6cc86007187010aea642b0db0dedbe8e1584fa5e04b3ac015a0713433af0,Merge_failed,a69c6cc86007187010aea642b0db0dedbe8e1584fa5e04b3ac015a0713433af0,Merge_failed,a69c6cc86007187010aea642b0db0dedbe8e1584fa5e04b3ac015a0713433af0,Merge_failed,a69c6cc86007187010aea642b0db0dedbe8e1584fa5e04b3ac015a0713433af0,Merge_failed,a69c6cc86007187010aea642b0db0dedbe8e1584fa5e04b3ac015a0713433af0,Merge_failed,a69c6cc86007187010aea642b0db0dedbe8e1584fa5e04b3ac015a0713433af0,Merge_failed,a69c6cc86007187010aea642b0db0dedbe8e1584fa5e04b3ac015a0713433af0,Tests_failed,f9f9dd7bf60affe302e1ddc77b6a5e9d0a690416584a629e696d07766b340d03,Merge_failed,a7e0a08e56f55100d81b89127c11f9bc208fdf50de9ba266ea150863c7c1beae
19,refs/heads/master,38e0ea624008eb1ed648ef47d3bdd04c4c2eabe5,a67343584ae3a459c097f81423f07901f817ca27,6d29c26b4acb4624f2fba2361f07981043628e0d,,6acf500c364c41bc7d266c17a09d8e61f5308a87ba89e527b71eeaf0ac27a604,Tests_passed,0.6914710316605643,2f0f2777a201f6f5337bd18f391852e565ffbd402a426382faaefc8e0b628f6e,Tests_passed,0.4321852731591449,True,True,True,True,Merge_failed,6acf500c364c41bc7d266c17a09d8e61f5308a87ba89e527b71eeaf0ac27a604,Tests_passed,6acf500c364c41bc7d266c17a09d8e61f5308a87ba89e527b71eeaf0ac27a604,Merge_failed,6acf500c364c41bc7d266c17a09d8e61f5308a87ba89e527b71eeaf0ac27a604,Tests_passed,6acf500c364c41bc7d266c17a09d8e61f5308a87ba89e527b71eeaf0ac27a604,Tests_passed,6acf500c364c41bc7d266c17a09d8e61f5308a87ba89e527b71eeaf0ac27a604,Merge_failed,6acf500c364c41bc7d266c17a09d8e61f5308a87ba89e527b71eeaf0ac27a604,Merge_failed,6acf500c364c41bc7d266c17a09d8e61f5308a87ba89e527b71eeaf0ac27a604,Merge_failed,6acf500c364c41bc7d266c17a09d8e61f5308a87ba89e527b71eeaf0ac27a604,Merge_failed,6acf500c364c41bc7d266c17a09d8e61f5308a87ba89e527b71eeaf0ac27a604,Merge_failed,6acf500c364c41bc7d266c17a09d8e61f5308a87ba89e527b71eeaf0ac27a604,Merge_failed,6acf500c364c41bc7d266c17a09d8e61f5308a87ba89e527b71eeaf0ac27a604,Merge_failed,6acf500c364c41bc7d266c17a09d8e61f5308a87ba89e527b71eeaf0ac27a604,Merge_failed,3c2b6a98395c644f8b381f0490f489bc87d70fd126903541eb1fb838e246d119,Tests_passed,38d01ea79368cb6e10050fde0b672e3809a525b025e985a04a0655fb190463f6
21,refs/heads/master,cedf40c2211b5e353f2f2fcfd3a209daaa715595,dc430cc733535be8b135388ea7bb0183919bad72,728d1820fa5bc413df7aff4de74e0e4f91404502,,001a2537f5ace2212216789803b92363ce4c49d0ce36ac8fc86dedaeb30ac238,Tests_passed,0.6233820026923476,88a0234b600887a2722a86c3e0e1b8006dcb4035a20f659fac6662f4688f49e1,Tests_passed,0.0,True,True,True,True,Merge_failed,001a2537f5ace2212216789803b92363ce4c49d0ce36ac8fc86dedaeb30ac238,Tests_passed,001a2537f5ace2212216789803b92363ce4c49d0ce36ac8fc86dedaeb30ac238,Merge_failed,001a2537f5ace2212216789803b92363ce4c49d0ce36ac8fc86dedaeb30ac238,Tests_passed,001a2537f5ace2212216789803b92363ce4c49d0ce36ac8fc86dedaeb30ac238,Tests_passed,001a2537f5ace2212216789803b92363ce4c49d0ce36ac8fc86dedaeb30ac238,Merge_failed,001a2537f5ace2212216789803b92363ce4c49d0ce36ac8fc86dedaeb30ac238,Merge_failed,001a2537f5ace2212216789803b92363ce4c49d0ce36ac8fc86dedaeb30ac238,Merge_failed,001a2537f5ace2212216789803b92363ce4c49d0ce36ac8fc86dedaeb30ac238,Merge_failed,001a2537f5ace2212216789803b92363ce4c49d0ce36ac8fc86dedaeb30ac238,Merge_failed,001a2537f5ace2212216789803b92363ce4c49d0ce36ac8fc86dedaeb30ac238,Merge_failed,001a2537f5ace2212216789803b92363ce4c49d0ce36ac8fc86dedaeb30ac238,Merge_failed,001a2537f5ace2212216789803b92363ce4c49d0ce36ac8fc86dedaeb30ac238,Merge_failed,8004d6022ae8fdb5b2e7efa15e617c79aff3d5641dc9570794f31c4e163d4f43,Merge_failed,c366522427e8b413396021776e3013b00a07f1e8af9d03935846981a6f0e91df
22,refs/heads/master,99de16a6d21b4ae00ae5fe6ed2cbd6693dfcf8d4,75c39babb6ba9d725f6efa3372406a04931ee74b,c30070ba7131b8a69119638d8e1109f140d22e85,,b288d4c2aa9852e1877c33c0b04f8fb33dda08c51cf68beeb3929f1c83936dd9,Tests_passed,0.693249111725227,3ce23ece92471dbfc837ada2d589b71a1e958072ecdca86c6e4f4b32025ee72e,Tests_passed,0.0,True,True,True,True,Tests_failed,e43f72a726b43f2b15816afab06a8fbe8ec0463be4afae3d4faee1bc5db6d5ab,Tests_failed,e43f72a726b43f2b15816afab06a8fbe8ec0463be4afae3d4faee1bc5db6d5ab,Tests_failed,939b36ed94e3f234da8acdae92ebeab788a7441df324ec395865f1bc1fff6e4f,Tests_failed,e43f72a726b43f2b15816afab06a8fbe8ec0463be4afae3d4faee1bc5db6d5ab,Tests_failed,939b36ed94e3f234da8acdae92ebeab788a7441df324ec395865f1bc1fff6e4f,Tests_failed,e43f72a726b43f2b15816afab06a8fbe8ec0463be4afae3d4faee1bc5db6d5ab,Tests_failed,e43f72a726b43f2b15816afab06a8fbe8ec0463be4afae3d4faee1bc5db6d5ab,Tests_failed,939b36ed94e3f234da8acdae92ebeab788a7441df324ec395865f1bc1fff6e4f,Tests_failed,e43f72a726b43f2b15816afab06a8fbe8ec0463be4afae3d4faee1bc5db6d5ab,Tests_failed,e43f72a726b43f2b15816afab06a8fbe8ec0463be4afae3d4faee1bc5db6d5ab,Tests_failed,e43f72a726b43f2b15816afab06a8fbe8ec0463be4afae3d4faee1bc5db6d5ab,Tests_failed,e43f72a726b43f2b15816afab06a8fbe8ec0463be4afae3d4faee1bc5db6d5ab,Tests_failed,2337e06d67f72f653b89a106de63f6703d4de305c7025d93fa2293be4b57d254,Tests_failed,e43f72a726b43f2b15816afab06a8fbe8ec0463be4afae3d4faee1bc5db6d5ab
23,refs/heads/master,c30070ba7131b8a69119638d8e1109f140d22e85,6bcb914a5723ca8d94947558039072f2d3c517b7,ad88f96ad06b9e2856a91bc9ff316b37df250f78,,4f67feea8f5fd0d410dd3d602b35610ccc2cdbd628236a6e0f160d823e1d4bb4,Tests_passed,0.0,5eb1bc97eb07f240ee71e8096f1e0797c16be3bf77a24e49b3625d24fc453068,Tests_passed,0.0,True,True,True,True,Merge_failed,4f67feea8f5fd0d410dd3d602b35610ccc2cdbd628236a6e0f160d823e1d4bb4,Tests_passed,4f67feea8f5fd0d410dd3d602b35610ccc2cdbd628236a6e0f160d823e1d4bb4,Merge_failed,4f67feea8f5fd0d410dd3d602b35610ccc2cdbd628236a6e0f160d823e1d4bb4,Tests_passed,4f67feea8f5fd0d410dd3d602b35610ccc2cdbd628236a6e0f160d823e1d4bb4,Tests_passed,4f67feea8f5fd0d410dd3d602b35610ccc2cdbd628236a6e0f160d823e1d4bb4,Merge_failed,4f67feea8f5fd0d410dd3d602b35610ccc2cdbd628236a6e0f160d823e1d4bb4,Merge_failed,4f67feea8f5fd0d410dd3d602b35610ccc2cdbd628236a6e0f160d823e1d4bb4,Merge_failed,4f67feea8f5fd0d410dd3d602b35610ccc2cdbd628236a6e0f160d823e1d4bb4,Merge_failed,4f67feea8f5fd0d410dd3d602b35610ccc2cdbd628236a6e0f160d823e1d4bb4,Merge_failed,4f67feea8f5fd0d410dd3d602b35610ccc2cdbd628236a6e0f160d823e1d4bb4,Merge_failed,4f67feea8f5fd0d410dd3d602b35610ccc2cdbd628236a6e0f160d823e1d4bb4,Merge_failed,4f67feea8f5fd0d410dd3d602b35610ccc2cdbd628236a6e0f160d823e1d4bb4,Merge_failed,1888df0d24a75df17364335e9996b78c517e8987ab7196dcdd9519f594559e2b,Merge_failed,5988a57483643869e4170bab755b553bc8f9167c6f20a6943785f6f9626da6a9
26,refs/heads/master,553a89b66dd92de4f155b99ca36859fc71c70738,16ef2d52281cf07529a739455f9cef773c371225,d9a000deaf127680bb0fdc63c0b94f3b8e47b339,,f69acd9c9291611c6bb0f608822617eff972f4ea72abe2f3b3fd796aa25188dd,Tests_passed,0.6779861020060312,808e78535010b5f7c9a3910ec125c2b11feb6f50225e5c3549835a1a54d1501e,Tests_passed,0.0,True,True,True,True,Merge_failed,f69acd9c9291611c6bb0f608822617eff972f4ea72abe2f3b3fd796aa25188dd,Tests_passed,f69acd9c9291611c6bb0f608822617eff972f4ea72abe2f3b3fd796aa25188dd,Merge_failed,f69acd9c9291611c6bb0f608822617eff972f4ea72abe2f3b3fd796aa25188dd,Tests_passed,f69acd9c9291611c6bb0f608822617eff972f4ea72abe2f3b3fd796aa25188dd,Tests_passed,f69acd9c9291611c6bb0f608822617eff972f4ea72abe2f3b3fd796aa25188dd,Merge_failed,f69acd9c9291611c6bb0f608822617eff972f4ea72abe2f3b3fd796aa25188dd,Merge_failed,f69acd9c9291611c6bb0f608822617eff972f4ea72abe2f3b3fd796aa25188dd,Merge_failed,f69acd9c9291611c6bb0f608822617eff972f4ea72abe2f3b3fd796aa25188dd,Merge_failed,f69acd9c9291611c6bb0f608822617eff972f4ea72abe2f3b3fd796aa25188dd,Merge_failed,f69acd9c9291611c6bb0f608822617eff972f4ea72abe2f3b3fd796aa25188dd,Merge_failed,f69acd9c9291611c6bb0f608822617eff972f4ea72abe2f3b3fd796aa25188dd,Merge_failed,f69acd9c9291611c6bb0f608822617eff972f4ea72abe2f3b3fd796aa25188dd,Merge_failed,6fe36d1a2b4a1f33bc19fa6e961e53badf1767b08a21dd517918078c5570b95b,Merge_failed,22a095ff35b916140e2c5a958287a4c91935ecc19bc02a21e2b6f2ac086b2208
29,refs/heads/master,a823abff038fd7f1526fd6c6ad13c8a7edfab6ca,5b0342bd9438a76eac6202288bd6eda3edcafd3b,64fec370082a673a9b50fa5f58fe3ca2bbe54699,,dd7c5a424c027a9ec502a77ef34b9aa47e05a63f6c60daf3948a0ec9f0d690a2,Tests_passed,0.4558145660476755,1e99da3fe449fc72822c49f02554e5e97572868b5517957dc652ee335c051f6a,Tests_passed,0.0,True,True,True,True,Merge_failed,dd7c5a424c027a9ec502a77ef34b9aa47e05a63f6c60daf3948a0ec9f0d690a2,Tests_passed,dd7c5a424c027a9ec502a77ef34b9aa47e05a63f6c60daf3948a0ec9f0d690a2,Merge_failed,dd7c5a424c027a9ec502a77ef34b9aa47e05a63f6c60daf3948a0ec9f0d690a2,Tests_passed,dd7c5a424c027a9ec502a77ef34b9aa47e05a63f6c60daf3948a0ec9f0d690a2,Tests_passed,dd7c5a424c027a9ec502a77ef34b9aa47e05a63f6c60daf3948a0ec9f0d690a2,Merge_failed,dd7c5a424c027a9ec502a77ef34b9aa47e05a63f6c60daf3948a0ec9f0d690a2,Merge_failed,dd7c5a424c027a9ec502a77ef34b9aa47e05a63f6c60daf3948a0ec9f0d690a2,Merge_failed,dd7c5a424c027a9ec502a77ef34b9aa47e05a63f6c60daf3948a0ec9f0d690a2,Merge_failed,dd7c5a424c027a9ec502a77ef34b9aa47e05a63f6c60daf3948a0ec9f0d690a2,Merge_failed,dd7c5a424c027a9ec502a77ef34b9aa47e05a63f6c60daf3948a0ec9f0d690a2,Merge_failed,dd7c5a424c027a9ec502a77ef34b9aa47e05a63f6c60daf3948a0ec9f0d690a2,Merge_failed,dd7c5a424c027a9ec502a77ef34b9aa47e05a63f6c60daf3948a0ec9f0d690a2,Merge_failed,e7c74d7afcc25895beae8fbbed0cb81f3c0fba116550632bae3479fc2c71226f,Merge_failed,110879014abfdc4d4ed0829ec9ab83c041e2cd0921847ee83b8350dae7145481
30,refs/heads/master,d19c0a83d2acf805c46091c3449b27927f6bb17c,cdbf5a163938557e5938e10a32fd6454f9033954,c9f440ae0699d474aed975096fa285db5d20683d,,4dcd76d4048b68adc986e57f40ebd7765457a707eb748a30fdb88cf41156da69,Tests_passed,0.3926072607260726,40758d967ded7c5abdff63ec23b9709c7bd4d55349aad04ec4ab8d13e30bd921,Tests_passed,0.0,True,True,True,True,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Merge_failed,4dcd76d4048b68adc986e57f40ebd7765457a707eb748a30fdb88cf41156da69,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d,Tests_passed,a4d2657b3f240640f584e7f895045ab997c82d2bfa9c510ddeeeb5595226773d
