idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
20,refs/heads/master,a8c83209fc2a3b8fe8439a6f68a259dbafa7cb25,ff2e98ca2d37926df4a4bafd44b5d3d1d3582d41,d01c91c21946b8d264c0064e888b07692f358c2a,,899393d6a2e3848b9c101a942b2916aaeb9176c5fe1fc48925b262e4542bdfd8,Tests_passed,090f2c72cd975217f9011d73e15a0042483cf6220f219b739161a1499cf74712,Tests_passed,True,True,True,True,Tests_passed,a859b76dbb584929008e96586627e0120f772313ecc949f6c31acd3d6312f069,Tests_passed,a859b76dbb584929008e96586627e0120f772313ecc949f6c31acd3d6312f069,Tests_passed,a859b76dbb584929008e96586627e0120f772313ecc949f6c31acd3d6312f069,Tests_passed,a859b76dbb584929008e96586627e0120f772313ecc949f6c31acd3d6312f069,Tests_passed,a859b76dbb584929008e96586627e0120f772313ecc949f6c31acd3d6312f069,Tests_passed,a859b76dbb584929008e96586627e0120f772313ecc949f6c31acd3d6312f069,Tests_passed,a859b76dbb584929008e96586627e0120f772313ecc949f6c31acd3d6312f069,Tests_passed,a859b76dbb584929008e96586627e0120f772313ecc949f6c31acd3d6312f069,Tests_passed,a859b76dbb584929008e96586627e0120f772313ecc949f6c31acd3d6312f069,Tests_passed,a859b76dbb584929008e96586627e0120f772313ecc949f6c31acd3d6312f069,Tests_passed,a859b76dbb584929008e96586627e0120f772313ecc949f6c31acd3d6312f069,Tests_passed,a859b76dbb584929008e96586627e0120f772313ecc949f6c31acd3d6312f069,Tests_passed,a859b76dbb584929008e96586627e0120f772313ecc949f6c31acd3d6312f069,Merge_failed,a859b76dbb584929008e96586627e0120f772313ecc949f6c31acd3d6312f069
31,refs/heads/master,93c52c566d0a5c6800e5218abbb8db9f2154f5bb,f1ad9f195875deefe8bcba61ee2a54580381cc28,8ecb9b2f4047f24fe172cd23b2cf6d3580bf8ca0,,3748b49f5ad172cc9b428a66578985ed3ae6e90d6103fd30a39a3a3212a0f136,Tests_passed,03cb0b6d3890f0318ea02b71ba5676cb046eaa89344bffde37ea45cce4f112c8,Tests_passed,True,True,True,True,Tests_passed,657cd2ff356a95c4f5026a03c59b8462b99cb999585b8223b0e658cc8a7c4f1a,Tests_passed,657cd2ff356a95c4f5026a03c59b8462b99cb999585b8223b0e658cc8a7c4f1a,Tests_passed,657cd2ff356a95c4f5026a03c59b8462b99cb999585b8223b0e658cc8a7c4f1a,Tests_passed,657cd2ff356a95c4f5026a03c59b8462b99cb999585b8223b0e658cc8a7c4f1a,Tests_passed,657cd2ff356a95c4f5026a03c59b8462b99cb999585b8223b0e658cc8a7c4f1a,Tests_passed,657cd2ff356a95c4f5026a03c59b8462b99cb999585b8223b0e658cc8a7c4f1a,Tests_passed,657cd2ff356a95c4f5026a03c59b8462b99cb999585b8223b0e658cc8a7c4f1a,Tests_passed,657cd2ff356a95c4f5026a03c59b8462b99cb999585b8223b0e658cc8a7c4f1a,Tests_passed,657cd2ff356a95c4f5026a03c59b8462b99cb999585b8223b0e658cc8a7c4f1a,Tests_passed,657cd2ff356a95c4f5026a03c59b8462b99cb999585b8223b0e658cc8a7c4f1a,Tests_passed,657cd2ff356a95c4f5026a03c59b8462b99cb999585b8223b0e658cc8a7c4f1a,Tests_passed,657cd2ff356a95c4f5026a03c59b8462b99cb999585b8223b0e658cc8a7c4f1a,Tests_passed,657cd2ff356a95c4f5026a03c59b8462b99cb999585b8223b0e658cc8a7c4f1a,Merge_failed,657cd2ff356a95c4f5026a03c59b8462b99cb999585b8223b0e658cc8a7c4f1a
54,refs/heads/master,8d8fad3bc91f3a8ff30a5e1d62a300e42a686688,f8460325640f66d182f3d46433c63d77ad7e2f2e,27349248033f47b91fba45d6f1c4722c2919e37c,,c1502ea1236084e0dcbb6609c2238bafe87dee9533b017d24f69051760562826,Tests_passed,e3427dfacb37e6a77f6bee77ff963b29cd3c49433b6df0b469e9c2a717c847b5,Tests_passed,True,True,True,True,Tests_passed,ea4a52360ee205fc79d705a571fbff01c29972ce69f32be08a16e7b5a938af4e,Tests_passed,ea4a52360ee205fc79d705a571fbff01c29972ce69f32be08a16e7b5a938af4e,Tests_passed,ea4a52360ee205fc79d705a571fbff01c29972ce69f32be08a16e7b5a938af4e,Tests_passed,ea4a52360ee205fc79d705a571fbff01c29972ce69f32be08a16e7b5a938af4e,Tests_passed,ea4a52360ee205fc79d705a571fbff01c29972ce69f32be08a16e7b5a938af4e,Tests_passed,ea4a52360ee205fc79d705a571fbff01c29972ce69f32be08a16e7b5a938af4e,Tests_passed,ea4a52360ee205fc79d705a571fbff01c29972ce69f32be08a16e7b5a938af4e,Tests_passed,ea4a52360ee205fc79d705a571fbff01c29972ce69f32be08a16e7b5a938af4e,Tests_passed,ea4a52360ee205fc79d705a571fbff01c29972ce69f32be08a16e7b5a938af4e,Tests_passed,ea4a52360ee205fc79d705a571fbff01c29972ce69f32be08a16e7b5a938af4e,Tests_passed,ea4a52360ee205fc79d705a571fbff01c29972ce69f32be08a16e7b5a938af4e,Tests_passed,ea4a52360ee205fc79d705a571fbff01c29972ce69f32be08a16e7b5a938af4e,Tests_passed,ea4a52360ee205fc79d705a571fbff01c29972ce69f32be08a16e7b5a938af4e,Merge_failed,ea4a52360ee205fc79d705a571fbff01c29972ce69f32be08a16e7b5a938af4e
55,refs/heads/master,f8460325640f66d182f3d46433c63d77ad7e2f2e,05f2239408d4c114e18ebceba7aab21bd70f8243,78e32df2d1de662aa5ac719a932c7e66e539a087,,eb8f240e97f8ac2efd8ed81f1ef43bdc370eebc95d4f0f8d6c5a53da322fa550,Tests_passed,e2f1667cd2d7905f22dc480cf5d8db34414a2d64071dabae7afa11802c6a5d5a,Tests_passed,True,True,True,True,Tests_passed,c1502ea1236084e0dcbb6609c2238bafe87dee9533b017d24f69051760562826,Tests_passed,c1502ea1236084e0dcbb6609c2238bafe87dee9533b017d24f69051760562826,Tests_passed,c1502ea1236084e0dcbb6609c2238bafe87dee9533b017d24f69051760562826,Tests_passed,c1502ea1236084e0dcbb6609c2238bafe87dee9533b017d24f69051760562826,Tests_passed,c1502ea1236084e0dcbb6609c2238bafe87dee9533b017d24f69051760562826,Tests_passed,c1502ea1236084e0dcbb6609c2238bafe87dee9533b017d24f69051760562826,Tests_passed,c1502ea1236084e0dcbb6609c2238bafe87dee9533b017d24f69051760562826,Tests_passed,c1502ea1236084e0dcbb6609c2238bafe87dee9533b017d24f69051760562826,Tests_passed,c1502ea1236084e0dcbb6609c2238bafe87dee9533b017d24f69051760562826,Tests_passed,c1502ea1236084e0dcbb6609c2238bafe87dee9533b017d24f69051760562826,Tests_passed,c1502ea1236084e0dcbb6609c2238bafe87dee9533b017d24f69051760562826,Tests_passed,c1502ea1236084e0dcbb6609c2238bafe87dee9533b017d24f69051760562826,Tests_passed,c1502ea1236084e0dcbb6609c2238bafe87dee9533b017d24f69051760562826,Merge_failed,c1502ea1236084e0dcbb6609c2238bafe87dee9533b017d24f69051760562826
56,refs/heads/master,05f2239408d4c114e18ebceba7aab21bd70f8243,179550a23ca46d6a53093d686ae1220e5872facc,726d0e2b431efb953e5a6c222bf6d89060ec020f,,f28ed0eb03aabf705610c05485cefc39e097207917e26d3c100928f91d4499d6,Tests_passed,d280ff12fc3a59a92d6a5d4f030f714bb7176f95b08627568483715a73eb7570,Tests_passed,True,True,True,True,Tests_passed,eb8f240e97f8ac2efd8ed81f1ef43bdc370eebc95d4f0f8d6c5a53da322fa550,Tests_passed,eb8f240e97f8ac2efd8ed81f1ef43bdc370eebc95d4f0f8d6c5a53da322fa550,Tests_passed,eb8f240e97f8ac2efd8ed81f1ef43bdc370eebc95d4f0f8d6c5a53da322fa550,Tests_passed,eb8f240e97f8ac2efd8ed81f1ef43bdc370eebc95d4f0f8d6c5a53da322fa550,Tests_passed,eb8f240e97f8ac2efd8ed81f1ef43bdc370eebc95d4f0f8d6c5a53da322fa550,Tests_passed,eb8f240e97f8ac2efd8ed81f1ef43bdc370eebc95d4f0f8d6c5a53da322fa550,Tests_passed,eb8f240e97f8ac2efd8ed81f1ef43bdc370eebc95d4f0f8d6c5a53da322fa550,Tests_passed,eb8f240e97f8ac2efd8ed81f1ef43bdc370eebc95d4f0f8d6c5a53da322fa550,Tests_passed,eb8f240e97f8ac2efd8ed81f1ef43bdc370eebc95d4f0f8d6c5a53da322fa550,Tests_passed,eb8f240e97f8ac2efd8ed81f1ef43bdc370eebc95d4f0f8d6c5a53da322fa550,Tests_passed,eb8f240e97f8ac2efd8ed81f1ef43bdc370eebc95d4f0f8d6c5a53da322fa550,Tests_passed,eb8f240e97f8ac2efd8ed81f1ef43bdc370eebc95d4f0f8d6c5a53da322fa550,Tests_passed,eb8f240e97f8ac2efd8ed81f1ef43bdc370eebc95d4f0f8d6c5a53da322fa550,Merge_failed,eb8f240e97f8ac2efd8ed81f1ef43bdc370eebc95d4f0f8d6c5a53da322fa550
60,refs/heads/master,7cf284791fa98a422081587633249748ef02bad2,b515b97831a17ade148b0631e31b8aadf0fe24a8,7131f8bc108d6d44b846a55cdb1a793e19a18735,,7235e8aa5616af42098b3c0504d7ce164c5c3ddc18ea7adb1bd5b4d3acc49c02,Tests_passed,c24d684c8f3234c3e141c16f57a7fdd8054cf230c6c9fdceb7ea110b1b02cdda,Tests_passed,True,True,True,True,Tests_passed,a37e13ec960b72bb33dc1029b3295c633aca9a762fe3484b0616dc9fd85cd4ba,Tests_passed,a37e13ec960b72bb33dc1029b3295c633aca9a762fe3484b0616dc9fd85cd4ba,Tests_passed,a37e13ec960b72bb33dc1029b3295c633aca9a762fe3484b0616dc9fd85cd4ba,Tests_passed,a37e13ec960b72bb33dc1029b3295c633aca9a762fe3484b0616dc9fd85cd4ba,Tests_passed,a37e13ec960b72bb33dc1029b3295c633aca9a762fe3484b0616dc9fd85cd4ba,Tests_passed,a37e13ec960b72bb33dc1029b3295c633aca9a762fe3484b0616dc9fd85cd4ba,Tests_passed,a37e13ec960b72bb33dc1029b3295c633aca9a762fe3484b0616dc9fd85cd4ba,Tests_passed,a37e13ec960b72bb33dc1029b3295c633aca9a762fe3484b0616dc9fd85cd4ba,Tests_passed,a37e13ec960b72bb33dc1029b3295c633aca9a762fe3484b0616dc9fd85cd4ba,Tests_passed,a37e13ec960b72bb33dc1029b3295c633aca9a762fe3484b0616dc9fd85cd4ba,Tests_passed,a37e13ec960b72bb33dc1029b3295c633aca9a762fe3484b0616dc9fd85cd4ba,Tests_passed,a37e13ec960b72bb33dc1029b3295c633aca9a762fe3484b0616dc9fd85cd4ba,Tests_passed,a37e13ec960b72bb33dc1029b3295c633aca9a762fe3484b0616dc9fd85cd4ba,Merge_failed,a37e13ec960b72bb33dc1029b3295c633aca9a762fe3484b0616dc9fd85cd4ba
61,refs/heads/master,140320280c77ff44225becdb7e6ec9e43fcc6454,de7514ba6b9ded1d778b591440311ed3b4c0a3c0,b309e2e158c7fa19a3b3a1158573cf0f7f7ec9b4,,dd59e529b17bb252ca648649437989f67bf0f4de97f1a7abc9ea252b2d634f7e,Tests_passed,65e7f14846f510872e25eb0ea5ed4550550e07088f43492ac07828d61ce442ea,Tests_passed,True,True,True,True,Tests_passed,3fc280cfc77b38a711d7453f8c9cca71cec8181e7c20227cc53d1507dcb480f5,Tests_passed,3fc280cfc77b38a711d7453f8c9cca71cec8181e7c20227cc53d1507dcb480f5,Tests_passed,3fc280cfc77b38a711d7453f8c9cca71cec8181e7c20227cc53d1507dcb480f5,Tests_passed,3fc280cfc77b38a711d7453f8c9cca71cec8181e7c20227cc53d1507dcb480f5,Tests_passed,3fc280cfc77b38a711d7453f8c9cca71cec8181e7c20227cc53d1507dcb480f5,Tests_passed,3fc280cfc77b38a711d7453f8c9cca71cec8181e7c20227cc53d1507dcb480f5,Tests_passed,3fc280cfc77b38a711d7453f8c9cca71cec8181e7c20227cc53d1507dcb480f5,Tests_passed,3fc280cfc77b38a711d7453f8c9cca71cec8181e7c20227cc53d1507dcb480f5,Tests_passed,3fc280cfc77b38a711d7453f8c9cca71cec8181e7c20227cc53d1507dcb480f5,Tests_passed,3fc280cfc77b38a711d7453f8c9cca71cec8181e7c20227cc53d1507dcb480f5,Tests_passed,3fc280cfc77b38a711d7453f8c9cca71cec8181e7c20227cc53d1507dcb480f5,Tests_passed,3fc280cfc77b38a711d7453f8c9cca71cec8181e7c20227cc53d1507dcb480f5,Tests_passed,3fc280cfc77b38a711d7453f8c9cca71cec8181e7c20227cc53d1507dcb480f5,Merge_failed,3fc280cfc77b38a711d7453f8c9cca71cec8181e7c20227cc53d1507dcb480f5
66,refs/heads/master,42209c2e318d29432904a7e7ec707e6b723db03b,6bf5884e10058e7a72df60487dfa574ee07a1104,6902420089c17af176255717c30260e8671f6d81,,48b6f75a25861cab3640fe8e3a519cb9a4bb7c32a58af85d19aa47275f8da2bb,Tests_passed,1bfb9ca3560dc453b61b9c1063ad8441035c2c6ec458f7398d6e3033d1b428e0,Tests_passed,True,True,True,True,Tests_passed,3fd067edcd70831a75b7a6ad5ad1e1f15195cfeb11849d2ffa8be5701ebfb595,Tests_passed,3fd067edcd70831a75b7a6ad5ad1e1f15195cfeb11849d2ffa8be5701ebfb595,Tests_passed,3fd067edcd70831a75b7a6ad5ad1e1f15195cfeb11849d2ffa8be5701ebfb595,Tests_passed,3fd067edcd70831a75b7a6ad5ad1e1f15195cfeb11849d2ffa8be5701ebfb595,Tests_passed,3fd067edcd70831a75b7a6ad5ad1e1f15195cfeb11849d2ffa8be5701ebfb595,Tests_passed,3fd067edcd70831a75b7a6ad5ad1e1f15195cfeb11849d2ffa8be5701ebfb595,Tests_passed,3fd067edcd70831a75b7a6ad5ad1e1f15195cfeb11849d2ffa8be5701ebfb595,Tests_passed,3fd067edcd70831a75b7a6ad5ad1e1f15195cfeb11849d2ffa8be5701ebfb595,Tests_passed,3fd067edcd70831a75b7a6ad5ad1e1f15195cfeb11849d2ffa8be5701ebfb595,Tests_passed,3fd067edcd70831a75b7a6ad5ad1e1f15195cfeb11849d2ffa8be5701ebfb595,Tests_passed,3fd067edcd70831a75b7a6ad5ad1e1f15195cfeb11849d2ffa8be5701ebfb595,Tests_passed,3fd067edcd70831a75b7a6ad5ad1e1f15195cfeb11849d2ffa8be5701ebfb595,Tests_passed,3fd067edcd70831a75b7a6ad5ad1e1f15195cfeb11849d2ffa8be5701ebfb595,Merge_failed,3fd067edcd70831a75b7a6ad5ad1e1f15195cfeb11849d2ffa8be5701ebfb595
67,refs/heads/master,daeaf46791d01438d12d3a64de897ac0708d0972,b187032984e2cf82cb650aa23a3dc4d2a43b6d4c,c1e3f175e988aab1d4536b6ac3ac42a3570254eb,,1b9c6f8637b5109dfc547d2e1fedd7b97122b326588f0a06d95e0eff5c42fbc2,Tests_passed,877e4f3173c70c67fdc31460880c74ea18c8313f84245e9485a50a444728858b,Tests_passed,True,True,True,True,Tests_passed,de3d0725770c73f62a4919fe2c5d5a9df0617c7d5b8c9a78c5aa30f19cce0832,Tests_passed,de3d0725770c73f62a4919fe2c5d5a9df0617c7d5b8c9a78c5aa30f19cce0832,Tests_passed,de3d0725770c73f62a4919fe2c5d5a9df0617c7d5b8c9a78c5aa30f19cce0832,Tests_passed,de3d0725770c73f62a4919fe2c5d5a9df0617c7d5b8c9a78c5aa30f19cce0832,Tests_passed,de3d0725770c73f62a4919fe2c5d5a9df0617c7d5b8c9a78c5aa30f19cce0832,Tests_passed,de3d0725770c73f62a4919fe2c5d5a9df0617c7d5b8c9a78c5aa30f19cce0832,Tests_passed,de3d0725770c73f62a4919fe2c5d5a9df0617c7d5b8c9a78c5aa30f19cce0832,Tests_passed,de3d0725770c73f62a4919fe2c5d5a9df0617c7d5b8c9a78c5aa30f19cce0832,Tests_passed,de3d0725770c73f62a4919fe2c5d5a9df0617c7d5b8c9a78c5aa30f19cce0832,Tests_passed,de3d0725770c73f62a4919fe2c5d5a9df0617c7d5b8c9a78c5aa30f19cce0832,Tests_passed,de3d0725770c73f62a4919fe2c5d5a9df0617c7d5b8c9a78c5aa30f19cce0832,Tests_passed,de3d0725770c73f62a4919fe2c5d5a9df0617c7d5b8c9a78c5aa30f19cce0832,Tests_passed,de3d0725770c73f62a4919fe2c5d5a9df0617c7d5b8c9a78c5aa30f19cce0832,Merge_failed,de3d0725770c73f62a4919fe2c5d5a9df0617c7d5b8c9a78c5aa30f19cce0832
88,refs/heads/master,485862209b3199e53c8cbdc89d05b20e8f3a4095,92ea26bb389f734eeb71cc7919c72e7afad37990,8837a0a946605b8c19cf86e2a7d64eec920c5618,,ec9ee1b1d3c972d1fa5297acc6c9838aa79038b3f6b45ae101e14ea67d28b95f,Tests_passed,e9bb11294e7589472223dafd690881a1772d2e51b2a6eb33717b88c7c736f97b,Tests_passed,True,True,True,True,Tests_passed,08173a476ad1650032cc0f0d796a26d0606ee2d6acd2e1c335564db844063efb,Tests_passed,08173a476ad1650032cc0f0d796a26d0606ee2d6acd2e1c335564db844063efb,Tests_passed,08173a476ad1650032cc0f0d796a26d0606ee2d6acd2e1c335564db844063efb,Tests_passed,08173a476ad1650032cc0f0d796a26d0606ee2d6acd2e1c335564db844063efb,Tests_passed,08173a476ad1650032cc0f0d796a26d0606ee2d6acd2e1c335564db844063efb,Tests_passed,08173a476ad1650032cc0f0d796a26d0606ee2d6acd2e1c335564db844063efb,Tests_passed,08173a476ad1650032cc0f0d796a26d0606ee2d6acd2e1c335564db844063efb,Tests_passed,08173a476ad1650032cc0f0d796a26d0606ee2d6acd2e1c335564db844063efb,Tests_passed,08173a476ad1650032cc0f0d796a26d0606ee2d6acd2e1c335564db844063efb,Tests_passed,08173a476ad1650032cc0f0d796a26d0606ee2d6acd2e1c335564db844063efb,Tests_passed,08173a476ad1650032cc0f0d796a26d0606ee2d6acd2e1c335564db844063efb,Tests_passed,08173a476ad1650032cc0f0d796a26d0606ee2d6acd2e1c335564db844063efb,Tests_passed,08173a476ad1650032cc0f0d796a26d0606ee2d6acd2e1c335564db844063efb,Merge_failed,08173a476ad1650032cc0f0d796a26d0606ee2d6acd2e1c335564db844063efb
