idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
3,refs/heads/master,797b4024afb2c498fdc31e666d7ebe26b5a91afb,cb114746a6dda8d0bb4ceb049a6a3ccaa3651e2a,6b4f6099805443cacd9333a17270a3d8d18e7053,,1694c3d8e78b0081ce1a4bfa7c659b883ce95e6a8ec97b56a8bc19ccfbe3e607,Tests_passed,5341ea51526fd4e432aa6370f91c756bcd19fc98879a6871ddff0c3a266e6568,Tests_passed,True,True,True,True,Tests_passed,2ae7df0c3dd16f39517d6a55e1f5b793eb4482b7db44220c4bd3b6710b9b6996,Tests_passed,2ae7df0c3dd16f39517d6a55e1f5b793eb4482b7db44220c4bd3b6710b9b6996,Tests_passed,2ae7df0c3dd16f39517d6a55e1f5b793eb4482b7db44220c4bd3b6710b9b6996,Tests_passed,2ae7df0c3dd16f39517d6a55e1f5b793eb4482b7db44220c4bd3b6710b9b6996,Tests_passed,2ae7df0c3dd16f39517d6a55e1f5b793eb4482b7db44220c4bd3b6710b9b6996,Tests_passed,2ae7df0c3dd16f39517d6a55e1f5b793eb4482b7db44220c4bd3b6710b9b6996,Tests_passed,2ae7df0c3dd16f39517d6a55e1f5b793eb4482b7db44220c4bd3b6710b9b6996,Tests_passed,2ae7df0c3dd16f39517d6a55e1f5b793eb4482b7db44220c4bd3b6710b9b6996,Tests_passed,2ae7df0c3dd16f39517d6a55e1f5b793eb4482b7db44220c4bd3b6710b9b6996,Tests_passed,2ae7df0c3dd16f39517d6a55e1f5b793eb4482b7db44220c4bd3b6710b9b6996,Tests_passed,2ae7df0c3dd16f39517d6a55e1f5b793eb4482b7db44220c4bd3b6710b9b6996,Tests_passed,2ae7df0c3dd16f39517d6a55e1f5b793eb4482b7db44220c4bd3b6710b9b6996,Tests_passed,2ae7df0c3dd16f39517d6a55e1f5b793eb4482b7db44220c4bd3b6710b9b6996,Tests_passed,2ae7df0c3dd16f39517d6a55e1f5b793eb4482b7db44220c4bd3b6710b9b6996
6,refs/heads/master,cedf5683838781502901535d326f79b6bf0d8b96,1c0320b36d23351b689658e462ad7274ef72a6af,736dfffd04c81566730cd7635358407f4c4a387a,,c8fb14fab354e2b7f27da1cdae7e0122ee40a4f759386dbac3a14f701756c1ee,Tests_passed,f89ec6e3b21b0362355e639ce2b5523be115bac5ffbb76966ed17cd360cb2cbf,Tests_passed,True,True,True,True,Tests_passed,15d9d4bf52521a8f9c7b1b06471637890ea77a436782f75070f2b4b64b66936a,Tests_passed,15d9d4bf52521a8f9c7b1b06471637890ea77a436782f75070f2b4b64b66936a,Tests_passed,15d9d4bf52521a8f9c7b1b06471637890ea77a436782f75070f2b4b64b66936a,Tests_passed,15d9d4bf52521a8f9c7b1b06471637890ea77a436782f75070f2b4b64b66936a,Tests_passed,15d9d4bf52521a8f9c7b1b06471637890ea77a436782f75070f2b4b64b66936a,Tests_passed,15d9d4bf52521a8f9c7b1b06471637890ea77a436782f75070f2b4b64b66936a,Tests_passed,15d9d4bf52521a8f9c7b1b06471637890ea77a436782f75070f2b4b64b66936a,Tests_passed,15d9d4bf52521a8f9c7b1b06471637890ea77a436782f75070f2b4b64b66936a,Tests_passed,15d9d4bf52521a8f9c7b1b06471637890ea77a436782f75070f2b4b64b66936a,Tests_passed,15d9d4bf52521a8f9c7b1b06471637890ea77a436782f75070f2b4b64b66936a,Tests_passed,15d9d4bf52521a8f9c7b1b06471637890ea77a436782f75070f2b4b64b66936a,Tests_passed,15d9d4bf52521a8f9c7b1b06471637890ea77a436782f75070f2b4b64b66936a,Tests_passed,15d9d4bf52521a8f9c7b1b06471637890ea77a436782f75070f2b4b64b66936a,Tests_passed,15d9d4bf52521a8f9c7b1b06471637890ea77a436782f75070f2b4b64b66936a
7,refs/heads/master,dacd977987dabb1bf55fa857c8e7c55653021050,09ed5b0f2c7996038bc28ec8f233c3ad77053fb0,799a49e4f5f7ccef8c96a8e9c3efa0a9227d2506,,bb7204e62f1f3e8ccd97572c157abcbca71b3840c5c5b7fcf8dac59759a545d4,Tests_passed,2d7d6fca2bc679764783086f24c7a0da47f7d0e3a61b1c3a7c62726506588116,Tests_passed,True,True,True,True,Tests_passed,fafee4fcf19becdf3d02c5f6294bf5acc7d5bfc947d3a998e8b21803924c9f23,Tests_passed,fafee4fcf19becdf3d02c5f6294bf5acc7d5bfc947d3a998e8b21803924c9f23,Tests_passed,fafee4fcf19becdf3d02c5f6294bf5acc7d5bfc947d3a998e8b21803924c9f23,Tests_passed,fafee4fcf19becdf3d02c5f6294bf5acc7d5bfc947d3a998e8b21803924c9f23,Tests_passed,fafee4fcf19becdf3d02c5f6294bf5acc7d5bfc947d3a998e8b21803924c9f23,Tests_passed,fafee4fcf19becdf3d02c5f6294bf5acc7d5bfc947d3a998e8b21803924c9f23,Tests_passed,fafee4fcf19becdf3d02c5f6294bf5acc7d5bfc947d3a998e8b21803924c9f23,Tests_passed,fafee4fcf19becdf3d02c5f6294bf5acc7d5bfc947d3a998e8b21803924c9f23,Tests_passed,fafee4fcf19becdf3d02c5f6294bf5acc7d5bfc947d3a998e8b21803924c9f23,Tests_passed,fafee4fcf19becdf3d02c5f6294bf5acc7d5bfc947d3a998e8b21803924c9f23,Tests_passed,fafee4fcf19becdf3d02c5f6294bf5acc7d5bfc947d3a998e8b21803924c9f23,Tests_passed,fafee4fcf19becdf3d02c5f6294bf5acc7d5bfc947d3a998e8b21803924c9f23,Tests_passed,fafee4fcf19becdf3d02c5f6294bf5acc7d5bfc947d3a998e8b21803924c9f23,Tests_passed,fafee4fcf19becdf3d02c5f6294bf5acc7d5bfc947d3a998e8b21803924c9f23
8,refs/heads/master,09ed5b0f2c7996038bc28ec8f233c3ad77053fb0,c50451e0db3ac2d63f4dcd21a79bbda64f3b256b,eff8e312993e04302c2e92d5cf52edae81a16344,,7a06298395c430e690461c1d3eba87affcf793ad4356297f6ccc52e24b26d9d5,Tests_passed,63d245e626050d90a717f7799010809c8f91d754ddd14143dc4231d3b91086c3,Tests_passed,True,True,True,True,Tests_passed,bb7204e62f1f3e8ccd97572c157abcbca71b3840c5c5b7fcf8dac59759a545d4,Tests_passed,bb7204e62f1f3e8ccd97572c157abcbca71b3840c5c5b7fcf8dac59759a545d4,Tests_passed,bb7204e62f1f3e8ccd97572c157abcbca71b3840c5c5b7fcf8dac59759a545d4,Tests_passed,bb7204e62f1f3e8ccd97572c157abcbca71b3840c5c5b7fcf8dac59759a545d4,Tests_passed,bb7204e62f1f3e8ccd97572c157abcbca71b3840c5c5b7fcf8dac59759a545d4,Tests_passed,bb7204e62f1f3e8ccd97572c157abcbca71b3840c5c5b7fcf8dac59759a545d4,Tests_passed,bb7204e62f1f3e8ccd97572c157abcbca71b3840c5c5b7fcf8dac59759a545d4,Tests_passed,bb7204e62f1f3e8ccd97572c157abcbca71b3840c5c5b7fcf8dac59759a545d4,Tests_passed,bb7204e62f1f3e8ccd97572c157abcbca71b3840c5c5b7fcf8dac59759a545d4,Tests_passed,bb7204e62f1f3e8ccd97572c157abcbca71b3840c5c5b7fcf8dac59759a545d4,Tests_passed,bb7204e62f1f3e8ccd97572c157abcbca71b3840c5c5b7fcf8dac59759a545d4,Tests_passed,bb7204e62f1f3e8ccd97572c157abcbca71b3840c5c5b7fcf8dac59759a545d4,Tests_passed,bb7204e62f1f3e8ccd97572c157abcbca71b3840c5c5b7fcf8dac59759a545d4,Tests_passed,bb7204e62f1f3e8ccd97572c157abcbca71b3840c5c5b7fcf8dac59759a545d4
9,refs/heads/master,c50451e0db3ac2d63f4dcd21a79bbda64f3b256b,e8db626c1d8429d0503d4058248623670f1cb12b,6f2b8039402ee0cfe365b2b1cfb9328e3640097c,,f4df5f49fb5f8eee044db1b8690116c442755dbf5a72bece6f23a41950a6490c,Tests_passed,218b4e53f8328e1f5d9008b4dc5e393b5cceea56c2916866d6bd640d863e91df,Tests_passed,True,True,True,True,Tests_passed,7a06298395c430e690461c1d3eba87affcf793ad4356297f6ccc52e24b26d9d5,Tests_passed,7a06298395c430e690461c1d3eba87affcf793ad4356297f6ccc52e24b26d9d5,Tests_passed,7a06298395c430e690461c1d3eba87affcf793ad4356297f6ccc52e24b26d9d5,Tests_passed,7a06298395c430e690461c1d3eba87affcf793ad4356297f6ccc52e24b26d9d5,Tests_passed,7a06298395c430e690461c1d3eba87affcf793ad4356297f6ccc52e24b26d9d5,Tests_passed,7a06298395c430e690461c1d3eba87affcf793ad4356297f6ccc52e24b26d9d5,Tests_passed,7a06298395c430e690461c1d3eba87affcf793ad4356297f6ccc52e24b26d9d5,Tests_passed,7a06298395c430e690461c1d3eba87affcf793ad4356297f6ccc52e24b26d9d5,Tests_passed,7a06298395c430e690461c1d3eba87affcf793ad4356297f6ccc52e24b26d9d5,Tests_passed,7a06298395c430e690461c1d3eba87affcf793ad4356297f6ccc52e24b26d9d5,Tests_passed,7a06298395c430e690461c1d3eba87affcf793ad4356297f6ccc52e24b26d9d5,Tests_passed,7a06298395c430e690461c1d3eba87affcf793ad4356297f6ccc52e24b26d9d5,Tests_passed,7a06298395c430e690461c1d3eba87affcf793ad4356297f6ccc52e24b26d9d5,Tests_passed,7a06298395c430e690461c1d3eba87affcf793ad4356297f6ccc52e24b26d9d5
11,refs/heads/master,66c037feed79627efac262e770c7860d82eeb898,a212a1e7a52c978db1bcef2c89b0d5a12cc7a20d,338b5a66ef8a730b3eb5af41465596600f6396d6,,880dcc5ea84612f8ddf893793145e11c6b2fef92bd467990136faa8559cbd400,Tests_passed,6860d6bd852fdeb9e873bd58db602bde08b732f7603b92d2a5b01774f168720e,Tests_passed,True,True,True,True,Tests_passed,b71a2f498cd8f5687d62a0dcc4aef2d10323cc0e1f790f423a2355e478093552,Tests_passed,b71a2f498cd8f5687d62a0dcc4aef2d10323cc0e1f790f423a2355e478093552,Tests_passed,b71a2f498cd8f5687d62a0dcc4aef2d10323cc0e1f790f423a2355e478093552,Tests_passed,b71a2f498cd8f5687d62a0dcc4aef2d10323cc0e1f790f423a2355e478093552,Tests_passed,b71a2f498cd8f5687d62a0dcc4aef2d10323cc0e1f790f423a2355e478093552,Tests_passed,b71a2f498cd8f5687d62a0dcc4aef2d10323cc0e1f790f423a2355e478093552,Tests_passed,b71a2f498cd8f5687d62a0dcc4aef2d10323cc0e1f790f423a2355e478093552,Tests_passed,b71a2f498cd8f5687d62a0dcc4aef2d10323cc0e1f790f423a2355e478093552,Tests_passed,b71a2f498cd8f5687d62a0dcc4aef2d10323cc0e1f790f423a2355e478093552,Tests_passed,b71a2f498cd8f5687d62a0dcc4aef2d10323cc0e1f790f423a2355e478093552,Tests_passed,b71a2f498cd8f5687d62a0dcc4aef2d10323cc0e1f790f423a2355e478093552,Tests_passed,b71a2f498cd8f5687d62a0dcc4aef2d10323cc0e1f790f423a2355e478093552,Tests_passed,b71a2f498cd8f5687d62a0dcc4aef2d10323cc0e1f790f423a2355e478093552,Tests_passed,b71a2f498cd8f5687d62a0dcc4aef2d10323cc0e1f790f423a2355e478093552
13,refs/heads/master,305fc314ab2c1afd185f9d049531fe8fccb66506,fbc383d942f047279713ef298d8c4a750c82cde9,e7818030a7181681b7c2a3395810b5ce510eda96,,f1f56da0a19848d256fcc0832ce34625df82577acbf1951a4b477dfaac2623cf,Tests_passed,1101f4ed5dae1bd0335f0b6c51a749bae3a0d3a789208d56e44edb2d7ba40bda,Tests_passed,True,True,True,True,Tests_passed,122d95206da79a4f03be4765cf998f7bc58590249cece904cce3184c477de328,Tests_passed,122d95206da79a4f03be4765cf998f7bc58590249cece904cce3184c477de328,Tests_passed,122d95206da79a4f03be4765cf998f7bc58590249cece904cce3184c477de328,Tests_passed,122d95206da79a4f03be4765cf998f7bc58590249cece904cce3184c477de328,Tests_passed,122d95206da79a4f03be4765cf998f7bc58590249cece904cce3184c477de328,Tests_passed,122d95206da79a4f03be4765cf998f7bc58590249cece904cce3184c477de328,Tests_passed,122d95206da79a4f03be4765cf998f7bc58590249cece904cce3184c477de328,Tests_passed,122d95206da79a4f03be4765cf998f7bc58590249cece904cce3184c477de328,Tests_passed,122d95206da79a4f03be4765cf998f7bc58590249cece904cce3184c477de328,Tests_passed,122d95206da79a4f03be4765cf998f7bc58590249cece904cce3184c477de328,Tests_passed,122d95206da79a4f03be4765cf998f7bc58590249cece904cce3184c477de328,Tests_passed,122d95206da79a4f03be4765cf998f7bc58590249cece904cce3184c477de328,Tests_passed,122d95206da79a4f03be4765cf998f7bc58590249cece904cce3184c477de328,Tests_passed,122d95206da79a4f03be4765cf998f7bc58590249cece904cce3184c477de328
16,refs/heads/master,c4529bd42d099bd34921842aae07cd4152ff471e,a706936bce17e317b179c4f1308cb7e849369df7,4a63a0262cbc3e32062e936d9541ca325e252bb5,,889de03bf312f3993187c59394161a375f73f1782f9d3f55bf01a82d23d200d2,Tests_passed,b2166ad085c8b82c89354c4e9e7b5caeecfa2f148021344db47f25fa026b2193,Tests_passed,True,True,True,True,Tests_passed,ff34e26a6a562370e053630cc8bf2d2eb696c1bd83f76b372564bf1209b7691a,Tests_passed,ff34e26a6a562370e053630cc8bf2d2eb696c1bd83f76b372564bf1209b7691a,Tests_passed,ff34e26a6a562370e053630cc8bf2d2eb696c1bd83f76b372564bf1209b7691a,Tests_passed,ff34e26a6a562370e053630cc8bf2d2eb696c1bd83f76b372564bf1209b7691a,Tests_passed,ff34e26a6a562370e053630cc8bf2d2eb696c1bd83f76b372564bf1209b7691a,Tests_passed,ff34e26a6a562370e053630cc8bf2d2eb696c1bd83f76b372564bf1209b7691a,Tests_passed,ff34e26a6a562370e053630cc8bf2d2eb696c1bd83f76b372564bf1209b7691a,Tests_passed,ff34e26a6a562370e053630cc8bf2d2eb696c1bd83f76b372564bf1209b7691a,Tests_passed,ff34e26a6a562370e053630cc8bf2d2eb696c1bd83f76b372564bf1209b7691a,Tests_passed,ff34e26a6a562370e053630cc8bf2d2eb696c1bd83f76b372564bf1209b7691a,Tests_passed,ff34e26a6a562370e053630cc8bf2d2eb696c1bd83f76b372564bf1209b7691a,Tests_passed,ff34e26a6a562370e053630cc8bf2d2eb696c1bd83f76b372564bf1209b7691a,Tests_passed,ff34e26a6a562370e053630cc8bf2d2eb696c1bd83f76b372564bf1209b7691a,Tests_passed,ff34e26a6a562370e053630cc8bf2d2eb696c1bd83f76b372564bf1209b7691a
18,refs/heads/master,ad32699ca3156b8423fe198b0486c346f18cafbc,b18f96c1d69599132c94fa352308223a715559b3,0a4bfe65c4f08e8fbff4db6a88211d742258e913,,86c6bc37113b6aeaf7f5814c861100e6d42e3fb15e95e595a0801e3bdd16d389,Tests_passed,6c2df12e2287a4cca52bc982a184f8f8d4b45898266f644526251394d75e5be8,Tests_passed,True,True,True,True,Merge_failed,60c142c499d2550c92e7926e0e904a6745d237611d99bc3200037e93910cd770,Merge_failed,60c142c499d2550c92e7926e0e904a6745d237611d99bc3200037e93910cd770,Merge_failed,1204144a09a5f1c93c60d296378b4a77ae923cacc62a9bfea2c2134ea4e10066,Merge_failed,60c142c499d2550c92e7926e0e904a6745d237611d99bc3200037e93910cd770,Merge_failed,1204144a09a5f1c93c60d296378b4a77ae923cacc62a9bfea2c2134ea4e10066,Merge_failed,1062e27bb89f6581a031307603b90980ccc765e9b7bc7a3b42672734d369ef1e,Merge_failed,60c142c499d2550c92e7926e0e904a6745d237611d99bc3200037e93910cd770,Merge_failed,1204144a09a5f1c93c60d296378b4a77ae923cacc62a9bfea2c2134ea4e10066,Merge_failed,60c142c499d2550c92e7926e0e904a6745d237611d99bc3200037e93910cd770,Merge_failed,60c142c499d2550c92e7926e0e904a6745d237611d99bc3200037e93910cd770,Merge_failed,60c142c499d2550c92e7926e0e904a6745d237611d99bc3200037e93910cd770,Merge_failed,60c142c499d2550c92e7926e0e904a6745d237611d99bc3200037e93910cd770,Merge_failed,24522581c9a85f20aba00392b01ac3acbcdba222f4d3c136a238628fc0e862b7,Merge_failed,c8eefbb08f74446f8542b24720fa6269930ee522123254f99b692bccb4052312
20,refs/heads/master,f087863098a6bc43551643f94cbe1893348773e6,b57524d0d6eaa00a1cd5737d446fa015c8980849,6af6081648724ebb7bc62448e44f2ef44159d810,,9a1df4730b492bf5218d149a2e26d94b262b58a9711ba7f5ef62030d4f523877,Tests_passed,5539a376de9ddc0351d79618bd7c088a6340f9138643df1f7599881475381ef5,Tests_passed,True,True,True,True,Merge_failed,587cc43b18a9b34f94ae425844f74080de7a8a3be06bfe90df7609be96c278b1,Merge_failed,587cc43b18a9b34f94ae425844f74080de7a8a3be06bfe90df7609be96c278b1,Merge_failed,3a98ccf6b5314ea07a43844c18af944502f36fb94d0178643c68cdb63eceb31f,Merge_failed,587cc43b18a9b34f94ae425844f74080de7a8a3be06bfe90df7609be96c278b1,Merge_failed,3a98ccf6b5314ea07a43844c18af944502f36fb94d0178643c68cdb63eceb31f,Merge_failed,f283cf5d4a1a74e4f6e81e8e456e83f085bb06c6885f969529e1ec4c1e1c01a0,Merge_failed,587cc43b18a9b34f94ae425844f74080de7a8a3be06bfe90df7609be96c278b1,Merge_failed,587cc43b18a9b34f94ae425844f74080de7a8a3be06bfe90df7609be96c278b1,Merge_failed,587cc43b18a9b34f94ae425844f74080de7a8a3be06bfe90df7609be96c278b1,Merge_failed,587cc43b18a9b34f94ae425844f74080de7a8a3be06bfe90df7609be96c278b1,Merge_failed,587cc43b18a9b34f94ae425844f74080de7a8a3be06bfe90df7609be96c278b1,Merge_failed,587cc43b18a9b34f94ae425844f74080de7a8a3be06bfe90df7609be96c278b1,Merge_failed,b091550ee257de719158ca2bc66af55a72e20d3bba043a1d545cc9f4b7a4cf62,Merge_failed,8e82ef666a4e29ae922e075b189b601501ce5ea455fa87aab546bdd4569c2d14
