idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,test merge,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
12,refs/heads/master,19d56a00207b01ab2853640efd051b6e15e8f987,02a69b7532750acef3099bd7ad9a25e2a97e0d77,f4c87b497a9369e080fac81dcfb80e901624a9f7,,True,17,0.5980877019452687,Tests_passed,f797742978ffe9e46a9948c2b016515c0741f642610426f9fea44d4a6212b241,True,0.5893510815307821,Tests_passed,c208c7a292755c0083a650431c6dd1cc4cdd272a813dca515691786239a4537d,True,True,Tests_passed,7abf302e0f0ca47b23dad2e68fb197218b351c0772798634aeef18ee4fde389b,Tests_passed,7abf302e0f0ca47b23dad2e68fb197218b351c0772798634aeef18ee4fde389b,Tests_passed,7abf302e0f0ca47b23dad2e68fb197218b351c0772798634aeef18ee4fde389b,Tests_passed,7abf302e0f0ca47b23dad2e68fb197218b351c0772798634aeef18ee4fde389b,Tests_passed,7abf302e0f0ca47b23dad2e68fb197218b351c0772798634aeef18ee4fde389b,Tests_passed,7abf302e0f0ca47b23dad2e68fb197218b351c0772798634aeef18ee4fde389b,Tests_passed,7abf302e0f0ca47b23dad2e68fb197218b351c0772798634aeef18ee4fde389b,Tests_passed,7abf302e0f0ca47b23dad2e68fb197218b351c0772798634aeef18ee4fde389b,Tests_passed,7abf302e0f0ca47b23dad2e68fb197218b351c0772798634aeef18ee4fde389b,Tests_passed,7abf302e0f0ca47b23dad2e68fb197218b351c0772798634aeef18ee4fde389b,Tests_passed,7abf302e0f0ca47b23dad2e68fb197218b351c0772798634aeef18ee4fde389b,Tests_passed,7abf302e0f0ca47b23dad2e68fb197218b351c0772798634aeef18ee4fde389b,Tests_passed,7abf302e0f0ca47b23dad2e68fb197218b351c0772798634aeef18ee4fde389b,Tests_passed,7abf302e0f0ca47b23dad2e68fb197218b351c0772798634aeef18ee4fde389b
18,refs/heads/master,31bd6f83359d9dfb9b9e37ccdc397e7db3fda35d,05daabf2b00fe7252d6da43e5a42bb2ac357eedf,1a8c269e91506dd1f050b30a6fa6d16fecc3bd43,,True,116,0.5475671750181554,Tests_passed,211efe71c6a879f7786af3d12a8e7dd9ecba17b3f12ee4f1e19b47583883ec64,True,0.5534395647104547,Tests_passed,8f3e33ebf166441fb8ea3582e145c90dc6cfd3772247873157bf6cd6a57087fb,True,True,Tests_failed,e1a1fe2e4fcab86fb0d6f54b5d6eb58c88cdc92fc349b3320b1a134ffb6f5f68,Tests_failed,e1a1fe2e4fcab86fb0d6f54b5d6eb58c88cdc92fc349b3320b1a134ffb6f5f68,Tests_failed,687c3b098637a11787996b63393d728b733d94529b3188437b3d9714288b68ef,Tests_failed,e1a1fe2e4fcab86fb0d6f54b5d6eb58c88cdc92fc349b3320b1a134ffb6f5f68,Tests_failed,687c3b098637a11787996b63393d728b733d94529b3188437b3d9714288b68ef,Tests_failed,e1a1fe2e4fcab86fb0d6f54b5d6eb58c88cdc92fc349b3320b1a134ffb6f5f68,Tests_failed,e1a1fe2e4fcab86fb0d6f54b5d6eb58c88cdc92fc349b3320b1a134ffb6f5f68,Tests_failed,687c3b098637a11787996b63393d728b733d94529b3188437b3d9714288b68ef,Tests_failed,e1a1fe2e4fcab86fb0d6f54b5d6eb58c88cdc92fc349b3320b1a134ffb6f5f68,Tests_failed,e1a1fe2e4fcab86fb0d6f54b5d6eb58c88cdc92fc349b3320b1a134ffb6f5f68,Tests_failed,e1a1fe2e4fcab86fb0d6f54b5d6eb58c88cdc92fc349b3320b1a134ffb6f5f68,Tests_failed,e1a1fe2e4fcab86fb0d6f54b5d6eb58c88cdc92fc349b3320b1a134ffb6f5f68,Tests_failed,f77513a0db72e1bc9e6472dfa851214868a7ed306a7c209f4f983f5f341a3871,Tests_failed,e1a1fe2e4fcab86fb0d6f54b5d6eb58c88cdc92fc349b3320b1a134ffb6f5f68
19,refs/heads/master,05daabf2b00fe7252d6da43e5a42bb2ac357eedf,58c017c5ed6a2e50f15d13bbe1277e842238fbee,69d63e5cb303460016b49d6cb57d8be9c6284d82,,True,104,0.5380434782608695,Tests_passed,98b8c2774299c224335fa37fba8aec5dd19521ee653b9a5f11723b6e49dac0b9,True,0.544090742773509,Tests_passed,fe65ceba030df8ba1098428c7ffa99df461b3a1955cdc9e35d31428758ee9992,True,True,Tests_passed,211efe71c6a879f7786af3d12a8e7dd9ecba17b3f12ee4f1e19b47583883ec64,Tests_passed,211efe71c6a879f7786af3d12a8e7dd9ecba17b3f12ee4f1e19b47583883ec64,Tests_passed,211efe71c6a879f7786af3d12a8e7dd9ecba17b3f12ee4f1e19b47583883ec64,Tests_passed,211efe71c6a879f7786af3d12a8e7dd9ecba17b3f12ee4f1e19b47583883ec64,Tests_passed,211efe71c6a879f7786af3d12a8e7dd9ecba17b3f12ee4f1e19b47583883ec64,Tests_passed,211efe71c6a879f7786af3d12a8e7dd9ecba17b3f12ee4f1e19b47583883ec64,Tests_passed,211efe71c6a879f7786af3d12a8e7dd9ecba17b3f12ee4f1e19b47583883ec64,Tests_passed,211efe71c6a879f7786af3d12a8e7dd9ecba17b3f12ee4f1e19b47583883ec64,Tests_passed,211efe71c6a879f7786af3d12a8e7dd9ecba17b3f12ee4f1e19b47583883ec64,Tests_passed,211efe71c6a879f7786af3d12a8e7dd9ecba17b3f12ee4f1e19b47583883ec64,Tests_passed,211efe71c6a879f7786af3d12a8e7dd9ecba17b3f12ee4f1e19b47583883ec64,Tests_passed,211efe71c6a879f7786af3d12a8e7dd9ecba17b3f12ee4f1e19b47583883ec64,Tests_passed,211efe71c6a879f7786af3d12a8e7dd9ecba17b3f12ee4f1e19b47583883ec64,Tests_passed,211efe71c6a879f7786af3d12a8e7dd9ecba17b3f12ee4f1e19b47583883ec64
20,refs/heads/master,e826df70c8772e95f1327bac233ce0ca9d9fa46e,2fef8c416e54d353e9d0eca1de0c88fb49d8ec6a,703a299360ffa0a0dd3eb1fe5f9c09c7bd677863,,True,102,0.5342465753424658,Tests_passed,e4f0286cee91db3fdf7968c079330c90a1c5a5e4a1ce0e8dd25bfaccd53a2651,True,0.5283165244375485,Tests_passed,8653adea3c6acef2fe056b0aee097ee51c9dc87eab1a178f3565d1ad8b1794ee,True,True,Merge_failed,e4f0286cee91db3fdf7968c079330c90a1c5a5e4a1ce0e8dd25bfaccd53a2651,Tests_passed,e4f0286cee91db3fdf7968c079330c90a1c5a5e4a1ce0e8dd25bfaccd53a2651,Merge_failed,e4f0286cee91db3fdf7968c079330c90a1c5a5e4a1ce0e8dd25bfaccd53a2651,Tests_passed,e4f0286cee91db3fdf7968c079330c90a1c5a5e4a1ce0e8dd25bfaccd53a2651,Tests_passed,e4f0286cee91db3fdf7968c079330c90a1c5a5e4a1ce0e8dd25bfaccd53a2651,Merge_failed,e4f0286cee91db3fdf7968c079330c90a1c5a5e4a1ce0e8dd25bfaccd53a2651,Merge_failed,e4f0286cee91db3fdf7968c079330c90a1c5a5e4a1ce0e8dd25bfaccd53a2651,Merge_failed,e4f0286cee91db3fdf7968c079330c90a1c5a5e4a1ce0e8dd25bfaccd53a2651,Merge_failed,e4f0286cee91db3fdf7968c079330c90a1c5a5e4a1ce0e8dd25bfaccd53a2651,Merge_failed,e4f0286cee91db3fdf7968c079330c90a1c5a5e4a1ce0e8dd25bfaccd53a2651,Merge_failed,e4f0286cee91db3fdf7968c079330c90a1c5a5e4a1ce0e8dd25bfaccd53a2651,Merge_failed,e4f0286cee91db3fdf7968c079330c90a1c5a5e4a1ce0e8dd25bfaccd53a2651,Tests_passed,fae242d085a666c8f30cdc8931f537b462a751d3f95b9063fb2f10b027665175,Merge_failed,8ce8117c40feffd4c2a407c4d118bebcb8a4895f05d717864402676cbbeb82f6
22,refs/heads/master,f6efe42bf1b29e52b72832b8c1754fc93cd3ec4b,f067ff717dd1ae97ff4c4bebc2f4415c33fa1df3,2fef8c416e54d353e9d0eca1de0c88fb49d8ec6a,,True,505,0.5452480121166224,Tests_passed,780417cb37382b2f8a2998af1f2c9d31b627a3a69c752dee4c0a159a957bad06,True,0.5342465753424658,Tests_passed,e4f0286cee91db3fdf7968c079330c90a1c5a5e4a1ce0e8dd25bfaccd53a2651,True,True,Merge_failed,780417cb37382b2f8a2998af1f2c9d31b627a3a69c752dee4c0a159a957bad06,Tests_passed,780417cb37382b2f8a2998af1f2c9d31b627a3a69c752dee4c0a159a957bad06,Merge_failed,780417cb37382b2f8a2998af1f2c9d31b627a3a69c752dee4c0a159a957bad06,Tests_passed,780417cb37382b2f8a2998af1f2c9d31b627a3a69c752dee4c0a159a957bad06,Tests_passed,780417cb37382b2f8a2998af1f2c9d31b627a3a69c752dee4c0a159a957bad06,Merge_failed,780417cb37382b2f8a2998af1f2c9d31b627a3a69c752dee4c0a159a957bad06,Merge_failed,780417cb37382b2f8a2998af1f2c9d31b627a3a69c752dee4c0a159a957bad06,Merge_failed,780417cb37382b2f8a2998af1f2c9d31b627a3a69c752dee4c0a159a957bad06,Merge_failed,780417cb37382b2f8a2998af1f2c9d31b627a3a69c752dee4c0a159a957bad06,Merge_failed,780417cb37382b2f8a2998af1f2c9d31b627a3a69c752dee4c0a159a957bad06,Merge_failed,780417cb37382b2f8a2998af1f2c9d31b627a3a69c752dee4c0a159a957bad06,Merge_failed,780417cb37382b2f8a2998af1f2c9d31b627a3a69c752dee4c0a159a957bad06,Tests_passed,6dc08f2f15bfd86e288143c405f6cf995a641a1cb5f2f8b4c412898df6aea17a,Merge_failed,245bf2a2011024365ef9c0f1e398aa15eeb4f6e77d3ba6363c2373429deb69e7
23,refs/heads/master,24a9051600c96faae367080d1895ee051e41ad67,5e98c5904c698330a5d97f4d112170f5733056a6,bc0a9bce64a917ce7554dd3e2ec6631de1f14c55,,True,210,0.5335717123559793,Tests_passed,ff7dc548291b4e2877915d0971e72bc82b5b234ef8a7149fc6f6a129e33e2d62,True,0.537058595265813,Tests_passed,a8f7ff3ce71de5ade090fb92ddecf838ac7fc72e84f6f66946225053b1456918,True,True,Merge_failed,ff7dc548291b4e2877915d0971e72bc82b5b234ef8a7149fc6f6a129e33e2d62,Tests_passed,ff7dc548291b4e2877915d0971e72bc82b5b234ef8a7149fc6f6a129e33e2d62,Merge_failed,ff7dc548291b4e2877915d0971e72bc82b5b234ef8a7149fc6f6a129e33e2d62,Tests_passed,ff7dc548291b4e2877915d0971e72bc82b5b234ef8a7149fc6f6a129e33e2d62,Tests_passed,ff7dc548291b4e2877915d0971e72bc82b5b234ef8a7149fc6f6a129e33e2d62,Merge_failed,ff7dc548291b4e2877915d0971e72bc82b5b234ef8a7149fc6f6a129e33e2d62,Merge_failed,ff7dc548291b4e2877915d0971e72bc82b5b234ef8a7149fc6f6a129e33e2d62,Merge_failed,ff7dc548291b4e2877915d0971e72bc82b5b234ef8a7149fc6f6a129e33e2d62,Merge_failed,ff7dc548291b4e2877915d0971e72bc82b5b234ef8a7149fc6f6a129e33e2d62,Merge_failed,ff7dc548291b4e2877915d0971e72bc82b5b234ef8a7149fc6f6a129e33e2d62,Merge_failed,ff7dc548291b4e2877915d0971e72bc82b5b234ef8a7149fc6f6a129e33e2d62,Merge_failed,ff7dc548291b4e2877915d0971e72bc82b5b234ef8a7149fc6f6a129e33e2d62,Tests_failed,84bf202a69019f8550c969fe134e7a9ec96e73a6e8222e624b3a03cbee542303,Merge_failed,93a51b9e8b354f6b36493a02b81f4952d8875b0802c1888f678bcec55d352139
24,refs/heads/master,7f11b916bf62f92e12c3a6c098ed2df7c36ad9f4,4aef1b09925156d87b53d29bc42f0a51d4a3c5c5,b79cce10d867f71ef34d0f028712e91dc2d911e9,,True,70,0.53359375,Tests_passed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,True,0.5326001571091908,Tests_passed,eb1a5cf44aa8ae5e1107a505988977600939bbce3d81204d46a562569d93557c,True,True,Merge_failed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Tests_passed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Merge_failed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Tests_passed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Tests_passed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Merge_failed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Merge_failed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Merge_failed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Merge_failed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Merge_failed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Merge_failed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Merge_failed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Merge_failed,4fcc71e6ef092c069e654b4fa9065a1958e74ffff47e18e7ac50847338549f45,Merge_failed,2446cdf9b6c7974dcc1dca279def69e153f523feb7f7adde251eaa06912fdb26
25,refs/heads/master,4aef1b09925156d87b53d29bc42f0a51d4a3c5c5,6aad51ffc15c26e788987b659c8a8655f4152455,970b8d7639d3edb71afb0d5c4838645a74f5b32a,,True,4,0.53359375,Tests_passed,d994ad6bb19bc0b107fcb18bcced2a7c17214677b155ab335298925434088fe5,True,0.5342197888150176,Tests_passed,450dd4cbff32d154a8465cb4b06612086a87e3e91b198d4a4b19e7f58534f79d,True,True,Tests_passed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Tests_passed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Tests_passed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Tests_passed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Tests_passed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Tests_passed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Tests_passed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Tests_passed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Tests_passed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Tests_passed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Tests_passed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Tests_passed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Tests_passed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85,Tests_passed,748c0c6c455c9068372ba4cb576a9bd45e25cb256e9c7c73f65a9ea64b7d6a85
36,refs/heads/master,9919ffff10187b9c9107e6794b47d0d224138593,6c4838b5980dd446dabef53028cafa6da67b5237,45c9476fd597e84f40cbc584b0040e2e6f6a63bf,two initial commits,True,575,0.0,Tests_passed,6a661dc96a9a02da6e30c57dbb9bd32da0b2dc768a5d8e8c811668f5ac309b61,True,0.0,Tests_passed,1c5dccb4ddbbb714f0d14a112175df93f83c90638cc623e2141a63524ab5c3e1,True,True,Merge_failed,6a661dc96a9a02da6e30c57dbb9bd32da0b2dc768a5d8e8c811668f5ac309b61,Tests_passed,6a661dc96a9a02da6e30c57dbb9bd32da0b2dc768a5d8e8c811668f5ac309b61,Merge_failed,6a661dc96a9a02da6e30c57dbb9bd32da0b2dc768a5d8e8c811668f5ac309b61,Tests_passed,6a661dc96a9a02da6e30c57dbb9bd32da0b2dc768a5d8e8c811668f5ac309b61,Tests_passed,6a661dc96a9a02da6e30c57dbb9bd32da0b2dc768a5d8e8c811668f5ac309b61,Merge_failed,6a661dc96a9a02da6e30c57dbb9bd32da0b2dc768a5d8e8c811668f5ac309b61,Merge_failed,6a661dc96a9a02da6e30c57dbb9bd32da0b2dc768a5d8e8c811668f5ac309b61,Merge_failed,6a661dc96a9a02da6e30c57dbb9bd32da0b2dc768a5d8e8c811668f5ac309b61,Merge_failed,6a661dc96a9a02da6e30c57dbb9bd32da0b2dc768a5d8e8c811668f5ac309b61,Merge_failed,6a661dc96a9a02da6e30c57dbb9bd32da0b2dc768a5d8e8c811668f5ac309b61,Merge_failed,6a661dc96a9a02da6e30c57dbb9bd32da0b2dc768a5d8e8c811668f5ac309b61,Merge_failed,6a661dc96a9a02da6e30c57dbb9bd32da0b2dc768a5d8e8c811668f5ac309b61,Merge_failed,6a661dc96a9a02da6e30c57dbb9bd32da0b2dc768a5d8e8c811668f5ac309b61,Tests_passed,6a661dc96a9a02da6e30c57dbb9bd32da0b2dc768a5d8e8c811668f5ac309b61
37,refs/remotes/origin/pull/18,54323b978d80f80e8009fe9943d8ea7e16658414,8f3b5d754b620e791d5839dab64d072918ae7b73,f80a1aa506d226e16a378c8ce7398edfbbcdba4e,,True,253,0.6101162425384857,Tests_passed,e4bca14a4582b88cf6e24169b244151746528167c2566033b08c90e3dab11d2e,True,0.4519137986490833,Tests_passed,db268983d312ad1aea1f35179abc37a36212bc0391fa48044f1fad539baa4d47,True,True,Merge_failed,e4bca14a4582b88cf6e24169b244151746528167c2566033b08c90e3dab11d2e,Tests_passed,e4bca14a4582b88cf6e24169b244151746528167c2566033b08c90e3dab11d2e,Merge_failed,e4bca14a4582b88cf6e24169b244151746528167c2566033b08c90e3dab11d2e,Tests_passed,e4bca14a4582b88cf6e24169b244151746528167c2566033b08c90e3dab11d2e,Tests_passed,e4bca14a4582b88cf6e24169b244151746528167c2566033b08c90e3dab11d2e,Merge_failed,e4bca14a4582b88cf6e24169b244151746528167c2566033b08c90e3dab11d2e,Merge_failed,e4bca14a4582b88cf6e24169b244151746528167c2566033b08c90e3dab11d2e,Merge_failed,e4bca14a4582b88cf6e24169b244151746528167c2566033b08c90e3dab11d2e,Merge_failed,e4bca14a4582b88cf6e24169b244151746528167c2566033b08c90e3dab11d2e,Merge_failed,e4bca14a4582b88cf6e24169b244151746528167c2566033b08c90e3dab11d2e,Merge_failed,e4bca14a4582b88cf6e24169b244151746528167c2566033b08c90e3dab11d2e,Merge_failed,e4bca14a4582b88cf6e24169b244151746528167c2566033b08c90e3dab11d2e,Merge_failed,1ab8323ba4a2422943aeffd9ee70adf5238e121400f6e829a2bff4a23c12f28b,Merge_failed,53dc748cae8fc52c463d8e0894d5ff5fc1fd515cc11751b5b19452e2a11d2cc4
