idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,49e0a4536ed23ef6e3292ecf683bc37dd176721d,9a9697ef499915cba89129a1dd8e17aab835d262,2dea122db5c03970928b7036dde95b1f82674bad,a parent is the base
2,refs/heads/master,9a9697ef499915cba89129a1dd8e17aab835d262,f6f65c4d06d47a2b6d3f94e50ef879de44c66c2e,fd8ba65950c90907edab325aa796baa7c65beb92,
3,refs/heads/master,f6f65c4d06d47a2b6d3f94e50ef879de44c66c2e,96dae84a05e26385c62a263e7d5766ab64e561cd,b005eff796ddd483716d4b0777f8e78ce3e1acf8,
4,refs/heads/master,96dae84a05e26385c62a263e7d5766ab64e561cd,ba112c234990b7a60bfcf0e78b7c04121043dd72,fce01a8d3fe332c17cca8bfd303f9ed42b54ea25,
5,refs/heads/master,ba112c234990b7a60bfcf0e78b7c04121043dd72,f16421911895a8da895baf3f7fc0d7061df08b0b,1136656974f704f743c453d2ddd39ff7c730e022,a parent is the base
6,refs/heads/master,f16421911895a8da895baf3f7fc0d7061df08b0b,c0eb74e7ff82bd063a10a5eb3223467e0f72bf9d,d4e067b5ae8e7e710b187b9987a648db8d9baeea,a parent is the base
7,refs/heads/master,c0eb74e7ff82bd063a10a5eb3223467e0f72bf9d,8c4337a4c4da542c89c6e925b55d839f3a8b9cf8,508ef0ef9638b87aacc2750445219279dfa7563b,
8,refs/heads/master,8c4337a4c4da542c89c6e925b55d839f3a8b9cf8,0984ad1050431c9b734e5f4656741172392f5ec0,ca9a63d30100b8e8d9d960b8f718e10981bfc34e,a parent is the base
9,refs/heads/master,0984ad1050431c9b734e5f4656741172392f5ec0,9581ae46d9185c872993b83525b594e981c8620c,7a6ea9e90a1ae439c8be950e3b80de782308bc71,a parent is the base
10,refs/heads/master,3724b64d3c55af6b1a87ac6212e88cffd59ed62d,a6fa87d1a3ae027bf2b4e587745d19653e5bcfc9,4d4191ecad8f24ed6b9c1fb8b853016455c90538,a parent is the base
11,refs/heads/master,9c4df17d679f59a0dbc508a575d5f421fde449e5,ebdb8935536aad9f3aeab54e1622f21e316009ca,520a6ee3171e7dbec959fb801b5d95c171c0d83a,
12,refs/heads/master,520a6ee3171e7dbec959fb801b5d95c171c0d83a,a9bbff18386878cd832d60bbbf62c489c494981a,6f2fc54f43b52cb18d962d06e8f19263bb398d00,
13,refs/heads/master,92e8e481bc9f56f27b1eecc54a706b279d24c5bf,552772329209602551e663d3f6b0dea97dca41ec,2360919513a2ba2443c660a302ec13b821d9121c,
14,refs/heads/master,2360919513a2ba2443c660a302ec13b821d9121c,9d35430f0c53f47fb4a19f20aa9626b7d789f93d,18431a246840c91524eb958e2c6df4b2dbd757db,
15,refs/heads/master,a9b5a2d70e91a64da2f4948bb6dfd6add36e3701,c559cf1bbfad52bcdc5a2af148db7308fc3dba09,ee96664c71113f416f1b2c5ac5630fd39dd1838b,
16,refs/heads/master,ee96664c71113f416f1b2c5ac5630fd39dd1838b,67d6c8cf40f6f29275a27109bd9b58884ed73c3a,4cb5bfce83c8187765636fc512e03161ef4de0fa,a parent is the base
17,refs/heads/master,67d6c8cf40f6f29275a27109bd9b58884ed73c3a,f8bde95feb762d358254bba86b058b7f582e1651,c08ee115dbed07ac4a7d0f5ce39d36985246330e,a parent is the base
18,refs/heads/master,f8bde95feb762d358254bba86b058b7f582e1651,2c8722f253cbdd96643ce59bc9cda818402d5d7d,c8417289f1d94e7ef60e5f4968f672faa53539d6,
19,refs/heads/master,2c8722f253cbdd96643ce59bc9cda818402d5d7d,78fa63abb3107c2dcabf38d27e82f1f7e39de20d,1010fc48b664e9f90eaaf8c9c25aaf1cf21262e1,
20,refs/heads/master,78fa63abb3107c2dcabf38d27e82f1f7e39de20d,e320d8f9277dc75182c78359bfe81cc8eea6a8ba,1226cbb2084017ff49fbaab1aad5b2e107d737d9,
21,refs/heads/master,5e09875d97db7038e3ba6af9468f5313d99b0082,4958463e5a0d1008a43fa9e44b8b4e653ca9c719,b9c4bd89e021b980bbb4809d0a7749ab4d12001f,
22,refs/heads/master,290ebcc5e0536f805901bafd015e1242f65221e1,a25b8f5c18a3a0c6d304c8ea1396e1f2c7b5d325,6804b65e37e779a0c3726f21551384340899298e,a parent is the base
23,refs/heads/master,44d1c8573f0d718ec9777c1b389125332a2b42a6,dd0b48a52ba0622b9e96b9303ea2db09fc91e98e,c76e925998f970bb1aca468e0ebdae3d2f039181,
24,refs/heads/master,c76e925998f970bb1aca468e0ebdae3d2f039181,965c285c4dac09c0705e31da16b832820b0fddd0,4d83a94c0297805c6a75cf8c671d7812aa0f3a93,
25,refs/heads/master,4d24324e5afbbb8a15c369e8251dde736be265f1,75e72915d53bab25250648c7ffd8a6fe708a324b,f611f4264919fd0806ac6d3dc158257fb546b0ea,a parent is the base
26,refs/heads/master,1fe59c7ed9c3bb2b0922c0c82777ea49d06c5b80,37d2901bf45c7172f597c25868eb22080776d006,30e41bba2be27688747d3d9ddacef28b14ecefa8,
27,refs/heads/master,30e41bba2be27688747d3d9ddacef28b14ecefa8,9c8029f8afb16a78def617b560ab2ea30a4814d5,cf9ed508f162a1cd9f1615f4c6661053fb6bdfda,a parent is the base
28,refs/heads/master,be3f2b3a47542b66935560c30a34c514ebe6fb7c,c63fca2952b3750fd2d214a1adeca7904d04c754,696deb41d76fa28888f5ef9cab58517bd10e2055,a parent is the base
29,refs/heads/master,39e3072ce6f05bc5f42216788f0b7290445aa4c7,8f63f19627c1cd6a7163f34155267104e0474408,f4088a3ca9904f4cbfad449606ff5501c81ddfc5,
30,refs/heads/master,8f63f19627c1cd6a7163f34155267104e0474408,81b86de170c34970b7e946b926f44156bce17011,b2c46f23ba9555f13380d8f942c2b60976af6601,
31,refs/heads/master,0892562230d47091c05779f810fb52dcf530d1df,c0f7743b6ef415d2af27774b62491a45d44fb7df,d636122c606e26df7258086dd5938aa354a002df,a parent is the base
