idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,c71d24a84cbcb7ecb0ddf7e80e92ed51026c8c76,3a9213efaa19c59e98aeffada03782babbed6c7c,4a739cc4e0b34a5e78e90bc8cf21c9f3f6185a78,a parent is the base
2,refs/heads/master,4a1b8514f8253ede28c2b19c933519987832af3e,621e9cb928984a09b260cab4a3ea0aa3c95ee81c,340a4042c76cee1decf5a48b40ed514c49c9adab,
3,refs/heads/master,a8eb49e8b237fc90f474550fa9a18dcef9339e15,3ba959f35e7943bf8be1f99a385339013df00dbf,37d83ef1d3ea5b03cb4c88b33bf8992880c4c8d6,a parent is the base
4,refs/heads/master,745ccbf6b3481599b65a838c401ab3fc17307a0d,37a77e0fdec46fda7eb89794785f2775c0f39df3,60020b1fd24760c767b912466fb59387fade216e,a parent is the base
5,refs/heads/master,6f72a35c8ada8d97275076736bb89d224c7e7850,f35571d4bbec9258c6de179220254602f12f348d,1ab194d66a25ce1d287ec2f26c63cd88b20a444b,
6,refs/heads/master,1c9077a48016086be96e522950c9550e5df7a2b4,37a77e0fdec46fda7eb89794785f2775c0f39df3,affc2ef10738a4f2771d8165ae8474056e367fd5,a parent is the base
7,refs/heads/master,37a77e0fdec46fda7eb89794785f2775c0f39df3,8787bc9dfcc10650f33b7498f0e78f7df82b3e94,be6e5a12f3cebe3a6108072fc59fd0ede2d6d62c,a parent is the base
8,refs/heads/master,1626770839073627b7bbc64333d25719106585de,bf71c966bbe9ae0e92d23451f0dae407e16589c4,cf2f4b85381b3424d75c260e602d04e5231e25f8,
9,refs/heads/master,bf71c966bbe9ae0e92d23451f0dae407e16589c4,0ef3020a34b409280ed3641527863842d4bd5266,08b2589b3fe9934a2c8bc25f155016c783bdde2f,
10,refs/heads/master,d36f1f984624773f59f0a48abd8c40ee2db69827,bcf2754e9b249ac706acfa997b1a73c438930714,f6ac6a4865bc69bd27a9c7b745117c5af50ce85c,
11,refs/heads/master,0ef3020a34b409280ed3641527863842d4bd5266,7c694e19a15824e59c81303de3a69227bf32886b,f6ac6a4865bc69bd27a9c7b745117c5af50ce85c,a parent is the base
12,refs/heads/master,fb49b44ecc49fb05ac20f426e7d055943616c5bb,5d5f7386bb309694e05af8df7394a8c9d554d25d,dfc08cf6779b9a99edefec708dfacd0767aa89b6,
