idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,9f72d0d6d6c6504c856f6c6529b6a9a29656169f,45fcc5528a0149101b12bcbf8519d7ffdcd25462,003cd3995fa0560d307727d21d912c0003d60947,a parent is the base
2,refs/heads/master,1ca08268e2bcc10ad8bca167f6fe3b98b76ecada,ecac6bc0310ed0177bcac006097534bc788b6400,f65ab8a36d738b10a53bbf3df7fa22fed1a0c4a8,a parent is the base
3,refs/heads/master,5e6f8075939b89a1f86e56556d048022cf963b49,7b837aca247543e07b5c4ae544731e1f418b92f6,2e5c164d93caf25241c413609756245c0ee70069,a parent is the base
4,refs/heads/master,7b837aca247543e07b5c4ae544731e1f418b92f6,d682fad278d172575a26dff1c679c01f68b73ee1,d750fa7a46904c1b25cb82cfe1ac807fd878659a,
5,refs/heads/master,d682fad278d172575a26dff1c679c01f68b73ee1,72777f49d722f32cc40ea468f95f22a29bad8dd3,4214f362d106f28bca7997068836867e93ccfed3,a parent is the base
6,refs/heads/master,72777f49d722f32cc40ea468f95f22a29bad8dd3,ad0dd1d5caacf6aa6138d3665ee759b329e6a350,7cd1fc797e0d3deea3d734f70651ebb9508a4386,a parent is the base
7,refs/heads/master,ad0dd1d5caacf6aa6138d3665ee759b329e6a350,b9e65adb342b2b711f57139cedce82a5fe908788,cb8e14127388fc5cc1c0677a2896869f3f8ff872,a parent is the base
8,refs/heads/master,b9e65adb342b2b711f57139cedce82a5fe908788,7cf1917c39cc2dbc529a3e543e28721394593412,2898c524880ff045a8eb6211993b132f032ee6ca,a parent is the base
9,refs/heads/master,067ae9f692bdb99f9f7110fd4b57f2dbededc851,34fef68045a92bfc388047416c0e3c8035344d6b,090c6f275e1b4227f7c75be381231ac1a9c59036,a parent is the base
10,refs/heads/master,34fef68045a92bfc388047416c0e3c8035344d6b,6f16d78840da4fa32b44b5e9a813303094df8db6,3223f3149fc073a1880ac3e206149818ece3a86d,a parent is the base
11,refs/heads/master,393242190e728148bc242d39b792af7d0e09cbf1,0e8b9920e1926313047c6ed78480c9c5af2e3736,3a8957258e678f10a6aa0d647aef88df9e8aea04,
12,refs/heads/master,9f742615fe6dcab0376c4d9592be3120ebeb28b9,ae143ec74d2191dfde1415fb5865ac4aec7fd602,8f6968ef59a90b9b24a2e13a5761d5afacdb2867,
13,refs/heads/master,8f6968ef59a90b9b24a2e13a5761d5afacdb2867,2201eaf9d13db4aed7a806fdffb53d6304755fff,8872b66c236519459c40ce6c60cf4e238039e14e,
14,refs/heads/master,2201eaf9d13db4aed7a806fdffb53d6304755fff,6e519998d887a39a319cb9d8298f60067f2ee1b6,b3c066607ed751be31b8e6b991612cc69b415990,
15,refs/heads/master,6e519998d887a39a319cb9d8298f60067f2ee1b6,f758b71dd1c01332a3a6b1504ebb6b7b30244f02,506b585a843a222fc2cf4b7439971730d96af424,a parent is the base
16,refs/heads/master,35cd048870093b68f0093dc6e9ad587c67c2dc80,1f9ce881eff295e454b2814db5af7aa50fb42498,77415dd808243c15a10167c9b43940677513ede6,
17,refs/remotes/origin/pull/10,8cf113c8fab19332f5c053142d48ad40ad7f852a,e56c72c0b086d99913db1df0d1678acae0b72e64,bfd675a6c83b53a43229ed5e76c96c34e6322628,
18,refs/remotes/origin/pull/11,dcc916423db9b78fb89d1ce80719f01c1d55f35a,81546f8fc24be89099c0da3652099ad2eace44ad,e0e7408a05c1292498e2349b4ff75eb44b24def8,
19,refs/remotes/origin/pull/11,e0e7408a05c1292498e2349b4ff75eb44b24def8,d4fbdc5277d5f3143a8187c41fcc75b94ea1f3bf,25bc9b5ba1409d703218cbe53bd3a8fb8ce4145b,
20,refs/remotes/origin/pull/11,d4fbdc5277d5f3143a8187c41fcc75b94ea1f3bf,6fbfc95e4f584611754ae2349c26d8d9d881410e,54e307e750dc9c761176daee491a9651dc091ab9,
21,refs/remotes/origin/pull/11,6fbfc95e4f584611754ae2349c26d8d9d881410e,1d40e3e44be51b07698c27b4d2aec84d06ff8fb9,9edfffb5316342ac85da0a07a35d586613f940a2,a parent is the base
22,refs/remotes/origin/pull/13,21e981fc92d1aa0d7f80a2d530340ca709819429,d473077aa110bd333d2ba898068b2ea70bf0b5a9,5142ba6301b38a8591ee74331d982fa54813b82c,
23,refs/remotes/origin/pull/13,d473077aa110bd333d2ba898068b2ea70bf0b5a9,9f742615fe6dcab0376c4d9592be3120ebeb28b9,dcc916423db9b78fb89d1ce80719f01c1d55f35a,
24,refs/remotes/origin/pull/15,4783acc3630ceacdeded6d100f0485452fa95ea9,6977ece9d26cc6ab23bdbff3a7369d74f18e61d1,a4d2187d8ed2ee07c79b64e02ad6c1011ea0decd,a parent is the base
25,refs/remotes/origin/pull/17,34d114134c80717e47f5a2f2488c5d3c1d05f38d,4783acc3630ceacdeded6d100f0485452fa95ea9,d57fb1821a17c4526c5cdd741a6c22b2fe70fc42,a parent is the base
26,refs/remotes/origin/pull/18,2cd3d45f36dc82538a4b9918a06f40b11b4894b5,8f82bf17b41bacb1c93ff6dc62525f69b91141a5,6afb6c642d65232747312cc81ca6ceabafdc85b5,a parent is the base
27,refs/remotes/origin/pull/19,d1306b6ec5a88b169f5d42040a2c901c13869bc6,2cd3d45f36dc82538a4b9918a06f40b11b4894b5,aaeccf6ca32d0e330635123d557c05d749f932ad,a parent is the base
28,refs/remotes/origin/pull/20,832fa57f30503ac8751a65bc164786128bbf5446,d1306b6ec5a88b169f5d42040a2c901c13869bc6,2b501add2737c67cf4e8c9996e0000a6f8730b8b,a parent is the base
29,refs/remotes/origin/pull/23,f32c0a8bf8b1b7ef4010f52d7a85fba6f739c2bb,cad5c07764bc340073695d23f494266371968927,e6d67b5aa00c3511517ce2f0a50cb490ddc4477e,
30,refs/remotes/origin/pull/23,cad5c07764bc340073695d23f494266371968927,832fa57f30503ac8751a65bc164786128bbf5446,bf9ba57b6036b3edb3b009aa3420ed0ee56b5735,a parent is the base
31,refs/remotes/origin/pull/24,f7f8f922128225375735664230287b584f611823,f32c0a8bf8b1b7ef4010f52d7a85fba6f739c2bb,bf64473eeded8b1742ed84664b60d880b0a00dab,a parent is the base
