idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,c649c4f9bc6da888b3c30a0b521c887c2cec1c46,7ff19c243eb25e0dfa435e8453cf2d7fadeaf991,24e1afed662fed20dade2a8b791772696937b62a,a parent is the base
2,refs/heads/master,7ff19c243eb25e0dfa435e8453cf2d7fadeaf991,2cc81c4237c244f4e0d53c78a6b4ceeb07c502a0,2386c3df8db8d562b0d02a3e8eadc2da2388b518,a parent is the base
3,refs/heads/master,4446e601096aa1bcdad3b88c6814cdbd5162a6cc,b93fb76bb3d52991f492354d7b60e7cbf0d50430,2fe840c6d539ce0afdf0bf55e50b5de25b1c3d75,
4,refs/heads/master,b93fb76bb3d52991f492354d7b60e7cbf0d50430,75f4d6b7ab5295c50a29093ef830f07eda680bcf,8c80cd24e917c46743b55d15c3714f503834028f,
5,refs/heads/master,75f4d6b7ab5295c50a29093ef830f07eda680bcf,f040c43f8c0ca4a59b2b5b2accda8c868840f8c6,7eaf478b1f33cbab3fb05f07621695c5cdb8a671,a parent is the base
6,refs/heads/master,f040c43f8c0ca4a59b2b5b2accda8c868840f8c6,38eb005d4af26d4efac55ee553a324707ca75486,3e57712e0ef05f5030327e1895d9f394c4c1a846,a parent is the base
7,refs/heads/master,38eb005d4af26d4efac55ee553a324707ca75486,0f668972d2ea34b04685aa7d8ea4dc20924e1dad,0671ea4bf8142f1731e00ac44c10b73abce310d4,
8,refs/heads/master,0f668972d2ea34b04685aa7d8ea4dc20924e1dad,6e79bb2e0be82c7275b311de37af11a665452928,3cef04433f03bc21e679d7839ac04a3d196769af,
9,refs/heads/master,6e79bb2e0be82c7275b311de37af11a665452928,18072b1256c9b409789af05143f9f396a348ad4c,3ea91ab06b0126adc71a59a28d9956a9408a8a76,
10,refs/heads/master,18072b1256c9b409789af05143f9f396a348ad4c,17e8e4a97f66fc00e8ff23fb42f3033f7166b2b3,40618944bb5b341cf799e2532190cd305954e35c,
11,refs/heads/master,17e8e4a97f66fc00e8ff23fb42f3033f7166b2b3,4de13272de6114d97ea67ba628be3511b6824179,5ac1e18da2b2a5ce79a705d7d927f15bb5295b83,
12,refs/heads/master,4de13272de6114d97ea67ba628be3511b6824179,52de003efc49e86097f1b098563397d27dabfc7f,74de4f9870d126d9b367d54f50c6f80da0835cf7,
13,refs/heads/master,52de003efc49e86097f1b098563397d27dabfc7f,8ccde7b767cf3ac446eb4a8ebe61f27082a4378c,7e79208038c28fa0a66a469c21c826d815eee862,
14,refs/heads/master,8ccde7b767cf3ac446eb4a8ebe61f27082a4378c,fca758e17d1e1de34ab4ab3c7fec162cc9a933f6,b02505255b0a8958a03edb45bd289f0bb1413a28,
15,refs/heads/master,fca758e17d1e1de34ab4ab3c7fec162cc9a933f6,0565109209eb92255ad6c21f2f5b471d667363d3,c83f9964fcde966e0e259648965e5e3ffc3c69c0,
16,refs/heads/master,0565109209eb92255ad6c21f2f5b471d667363d3,a6068002c753d0d1c2753bb2cd4baca76ca5bd98,4ac8d5df1897c3dba9b522837db60a88c2d15c9f,a parent is the base
17,refs/heads/master,9eca81864c3ecda45ce0658624b49f4f60ac4cbd,d66eb60755a7dd7027feb5ad3ec81814843e486f,f075b3fc63a5b28f847eb313f4586136f3baa5bd,
18,refs/heads/master,89388fe663547f1bea952500a5aaa30c9ea19889,c345ed7b6987c4fa5ed3a1ce80b6274536182a59,c17e723188969093b5054bf01e20cee519491071,
19,refs/heads/master,7a1884cd23cc2c92f9c6263b3769d562b69cc2ac,7fd8a1a483818c8eb68e96391b21ab17a39dff2c,a05f4debb6a0371ac9edfe76ba7e94cde27a497b,a parent is the base
20,refs/heads/master,e55736d610cd3277f47344025c59ad6bbbaea105,5073b81d6a72ad6564e17a0dc6ab7b86f27f3a32,7fd8a1a483818c8eb68e96391b21ab17a39dff2c,a parent is the base
