idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,d7a8de104663b0a63fa8bacb829edd61c08daa59,79abe81566557992e920df96b9e2e7454be0a935,309f291be57a2e3cf899fa6511dce149f9ae433d,a parent is the base
2,refs/heads/master,301ae6bad571a32f862481c03d9fc7768e96dc73,8bf317aa1dede99b5110522d32340ca951bf2030,9ac6c8c3ea643e6ac55e7c18e734aa4a8cbe970d,
3,refs/heads/master,8bf317aa1dede99b5110522d32340ca951bf2030,411dac2139a3a5b59ddaae723db9d543bde95660,61b140968cc43603b7226b822b82213b935bd54e,
4,refs/heads/master,411dac2139a3a5b59ddaae723db9d543bde95660,28a469fa0817d3b3e036c4fccb14bc71328fc227,584bcd33bbb8b7730184f20ae1dd9211d70062a8,a parent is the base
5,refs/heads/master,28a469fa0817d3b3e036c4fccb14bc71328fc227,88c187a8705e310f3d058ebd551a5e3376f43667,77909b29ea7e76bac3f87f252324d7b64eeecadc,a parent is the base
6,refs/heads/master,9564c46cdea4b7dfd2fa4ec807b7a62f71191337,c091240c3585de70878c3793caaa16cf1a4cb479,04117f725ca8c906c05263ff53dfe04e413a9049,
7,refs/heads/master,c091240c3585de70878c3793caaa16cf1a4cb479,d13cb5a4887beb58f4c3d5853868c65578bbb2f9,2af444d7505ca959c8afa8d84d7f1cfe35d75489,
8,refs/heads/master,d13cb5a4887beb58f4c3d5853868c65578bbb2f9,44a28c5ba8f6f1a5d6bccda75fed73e491413758,a1bad627fe9310d1ec2147f03f6a2d3fea72f5d1,a parent is the base
9,refs/heads/master,44a28c5ba8f6f1a5d6bccda75fed73e491413758,0febdaa211a12df39524be675b9c4ac9c78353c6,b5dfb15d6e9fc4c9dc17c7f6ce9e1b1961c0012f,
10,refs/heads/master,fd82a4b8547e1f1a24b62e09550fd3c2d2720758,ac575d6a92c304a4475102b655d15b0c221a71ef,a7b59e6009b4df51e126db2f6adff657b54b673c,a parent is the base
11,refs/heads/master,9dcf27382e7ab4d4b1ca9b734c8490e2104db452,7ece2bd04b63c3138eb59d8809a08c7c2ecb0859,ac84a2a0d79252bc7b91d1e5950e78939b38ab85,
12,refs/heads/master,7ece2bd04b63c3138eb59d8809a08c7c2ecb0859,4c9caa213667dd7e312da854010093639a6e85e4,786f44d1e2d5b50a43634775b1a3359ca8b3bbe7,a parent is the base
13,refs/heads/master,3428ea7d59a4d1acd96de32fa9d9555fd57dea99,cdbeb3b8d119fce8473dba8443d6e66029ea56ab,ae659d865ea622c87bcaa853a2b3e7f63c219c08,a parent is the base
14,refs/heads/master,cdbeb3b8d119fce8473dba8443d6e66029ea56ab,26cebc1e905280a495f760b6f743b396e78a80dd,fd9856aee42c51c93ad37c860bfdb4c3ed615625,a parent is the base
15,refs/heads/master,fd9856aee42c51c93ad37c860bfdb4c3ed615625,8600df96d1309588913610488feca448caebe945,26cebc1e905280a495f760b6f743b396e78a80dd,
16,refs/heads/master,26cebc1e905280a495f760b6f743b396e78a80dd,d085c11cd81b9d18ebe8222c34ee41d7d8efd755,4552477f6e3697e237b316f0edfa953c05eeda0a,a parent is the base
17,refs/heads/master,d085c11cd81b9d18ebe8222c34ee41d7d8efd755,2e913c55698b17dcbc11ab591fd51d6375709748,19a5168e5ae3697819a94a2f65ef0df877a622c8,a parent is the base
18,refs/heads/master,2e913c55698b17dcbc11ab591fd51d6375709748,93614cc7a45cb56a4ff47b2cbd70588fcd724e4c,ae726f840c60b80200c90c495e06d3dcdbf08ef6,a parent is the base
