idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/main,08359a095a4401fe912836addc0d33ca18f682a2,166d86b13ef6b1bb1ebd530382a0ce53897c0fde,58a40895002b35e645081b542bcc63dfd0ddb673,a parent is the base
2,refs/heads/main,166d86b13ef6b1bb1ebd530382a0ce53897c0fde,26e7e36024c30394f1c10513f7c03007bd91b030,0c65fca7b7d2dd21e1436d211958ffb4e384b703,a parent is the base
3,refs/heads/main,26e7e36024c30394f1c10513f7c03007bd91b030,4b20243d721e340545573e08b17461f7e37e8d36,866b3aab22809760921570c433dd9a370d6c86f7,a parent is the base
4,refs/heads/main,866b3aab22809760921570c433dd9a370d6c86f7,80470d74460474fbd69c28eb3d172e85c83f50f2,da39b958fbc53f0c17b217515e09a1322aedad76,a parent is the base
5,refs/heads/main,4b20243d721e340545573e08b17461f7e37e8d36,305fb9a398f198068ff7cde5ccda2f4eda9887e0,80470d74460474fbd69c28eb3d172e85c83f50f2,a parent is the base
6,refs/heads/main,305fb9a398f198068ff7cde5ccda2f4eda9887e0,330c8be9dcfe3f3de43effae70e15d8aed148f98,63f2b009810523da6a2e3d2981b2fbdd4c5f35fd,a parent is the base
7,refs/heads/main,330c8be9dcfe3f3de43effae70e15d8aed148f98,49edbfaa24d0a1abdd6bdfa23661d5c97a43acf7,a0c896ba9e135379957fa78f72eb09c1a114d229,a parent is the base
8,refs/heads/main,a0c896ba9e135379957fa78f72eb09c1a114d229,dae4f4c685fef0638ea992f78f622cb23665f12a,49edbfaa24d0a1abdd6bdfa23661d5c97a43acf7,
9,refs/heads/main,49edbfaa24d0a1abdd6bdfa23661d5c97a43acf7,9fd9be8762e4f0f18e2b303965fecb2fbf5ebace,086de62760121a3fbf61a01b16cbc2c6f04ee1ab,a parent is the base
10,refs/heads/main,9fd9be8762e4f0f18e2b303965fecb2fbf5ebace,1594f0a35f8ff8a5363ce5ca6ce440833533103b,308eaec7966b633fdb9d469b84e09750b6537e35,a parent is the base
11,refs/heads/main,308eaec7966b633fdb9d469b84e09750b6537e35,9560aef73f616e45c4534c97c9cd88e1afce036c,1594f0a35f8ff8a5363ce5ca6ce440833533103b,
12,refs/heads/main,1594f0a35f8ff8a5363ce5ca6ce440833533103b,c2c060faf69e09beaeaa56dfedfabd68fefc7852,07d8b3578a4d664b3848f7064d2a89f55ad06952,a parent is the base
13,refs/heads/main,07d8b3578a4d664b3848f7064d2a89f55ad06952,22988881e81f41c9d65d6e46d693636401062370,c2c060faf69e09beaeaa56dfedfabd68fefc7852,
14,refs/heads/main,c2c060faf69e09beaeaa56dfedfabd68fefc7852,a7f96e5adf26c2570a61cf982f75dc7ae617c327,0a7cc25736c31287544ec6dd4256fa3460b0560f,a parent is the base
15,refs/heads/main,a7f96e5adf26c2570a61cf982f75dc7ae617c327,32fdf3cf5aa4ae0f87ad4dcef2d9589cb31293de,7f7eb66df8ac2ae4dbe50682b5983d522a54eea4,
16,refs/heads/main,32fdf3cf5aa4ae0f87ad4dcef2d9589cb31293de,e13c62b66ca9f7f5be097c0fb0534d2813a90154,5e8e76e308bbdd699319c33b50e7e7c1f3ecedbb,a parent is the base
17,refs/heads/main,4094c6075cddb90b75d9e5a5819ce7f391d7f46e,d5556f8063048d35b37bcdf65ef20b7f4b02e567,6f32e6e68b4439b94498e779bccc2160d355a8fd,a parent is the base
18,refs/heads/main,6f32e6e68b4439b94498e779bccc2160d355a8fd,54cc3fab1fc28dda20bf454f9bfc1b947a75ef3b,d5556f8063048d35b37bcdf65ef20b7f4b02e567,
19,refs/heads/main,d5556f8063048d35b37bcdf65ef20b7f4b02e567,e63222ca502322e210844c81cb79208cb46a7a82,59ee6a53b7c1b0032c9f963631d547a35bcbd20b,a parent is the base
20,refs/heads/main,e63222ca502322e210844c81cb79208cb46a7a82,52e6b9cd7878988318ac172a2427b66b3d32960a,2aa0c2e5491bda3d9868e876048290ebf6b1c440,
21,refs/heads/main,4c04d1a72d047fa7a0970d51363c987684de5224,be4031fc724eafba4e3417f06df567d3f6b4ce75,31ce06c230bdc0c8307dbcdc3d05806dd6e0f1e4,a parent is the base
22,refs/heads/main,aa8b79ad3519fba2e99c0b204578e9d3ad2336cf,e4a7c50cc8b7759de693898a893833d53d56bf48,be093619f3d31b3e9bb53513113d8744ee481482,
23,refs/heads/main,e4a7c50cc8b7759de693898a893833d53d56bf48,835d24769e63823fbd8424f3027036696879baac,c37ab800d4c3df6238afa9877a6b02fbd66143b2,a parent is the base
24,refs/heads/main,835d24769e63823fbd8424f3027036696879baac,9ede46e902faa13c3492bb1700c3c4c8e7a351d0,9290b848e5c3d8221973051cacbd08b97748dfa0,
25,refs/heads/main,e92c63d767ccbe65c77961e4dbb7e2b4837feba3,17263e25202097dce3a157823107509ee3635d26,e919fcf718b118185c0e00781b8c1172ba5169a6,
26,refs/heads/main,a68238e769e4f97c9cc9c32614cf02d82fe286eb,8e7b3fd410d2b9e4d98d3287da57c1980a3c403d,85a5e647d2bb511de51c1def1a08c3049b88c118,a parent is the base
27,refs/heads/main,f6bb5cee8826f182f6e8e76a2ba26434e6ae6616,105e2eaed2835f756f986d466d5342972f5abf77,44a895c717fd9400dc1ac80c2657ae60d9ecb53d,
28,refs/heads/main,105e2eaed2835f756f986d466d5342972f5abf77,e349bc8832591a3b630977e9d3dfe05aeeb56bd9,836fb2b04abdd611d7ea0abf3234b4b314267e0e,a parent is the base
29,refs/heads/main,e349bc8832591a3b630977e9d3dfe05aeeb56bd9,74afa6dfbfd00fc22156808096e78eee58646662,81fff5a5cb4a781f93b24ac0e79dcb3711b98dca,a parent is the base
30,refs/heads/main,bfacfde9c37f57628f9f8a62b070713a0f6948bd,4678a80fcfdb233e78d5361e815fa51477039477,0241c3ce313ead006e7afc80288eed0b4877a4cb,a parent is the base
31,refs/heads/main,f6f2a0e67145a023f956a6dc77e5c712c28de34b,5f729612804a5d41905a2a5f8e7aa9c79444b8a5,06b64f8600d0f51bfdb63bc409f5495a3f3e9caf,
32,refs/heads/main,5538f6b8ea0b8d6f94070ecf709d9b4a1080dd1f,a241b73724dc134a6eee3958621afc1bcc662e17,a189c392fb134c2de4ac594061b804532d11da05,
33,refs/heads/main,89198be367ad28db2e85d05a3daee754d33603dc,ea5fe65edbf5f152db443f8857bb59ea56108b7f,6fcf41e507d29f44ed0c6c442e85dfa75e102d1d,a parent is the base
34,refs/heads/main,a8009bb6fac683ca3e12344549e42ee0f5335838,33175e2414ffa164c21b182221d88a3e46262463,f27597bce376c3f50e22f8683b5d09b2125b5170,a parent is the base
35,refs/heads/main,ee46762ac1d2c134edbe81781507a999ec428a8a,60990e8544b9c1157d707adc52f0ec5db78f603c,f7dac601c40f54ab99d6c8bd48a780ec917259d2,
36,refs/heads/main,705c5af19d88c74061d3a3a91fc483006d36caf7,a4051bf5487cf78e3675b360036e54289d005c6a,ba14b26d759acf6da70574c28d7713ccf11e2457,a parent is the base
37,refs/heads/main,262106b7b2e8d5e0780780a1592de8f411db42d8,118bfeb102b720d49a1b6b0ef237de1d0039f9ef,eaf4142e3b60929dd5798b64954cdf897436593a,
38,refs/heads/main,eaf4142e3b60929dd5798b64954cdf897436593a,3d51eb3d232753f9a09821fabb89de0166c7184c,27edc1d6d66aa85df3909ad83b45c51021536ef9,a parent is the base
39,refs/heads/main,c36d2681177d99cd288b06c0a253906100320519,e13eed0970bc567e8359a5ff18c3bf30850ce13f,0905f0a718ecfcf20bedf728c62d0932cf171c59,a parent is the base
40,refs/heads/main,a935a91977e0132509028b7d13eb8c2f4e4a0f0e,0009fe317d0c15efa8520595eb84f566edfee509,09bd48fe1a79a07a35bae8f6b7d37e523f13c7a4,
41,refs/heads/main,ad9a9c970c48c798ccff3a9ff322bd9d5bf7a2c2,55108b3b78e03529d542c583ea6392bcb174e6e4,bb17e5aebd6953f8d6feca939e2e53bf3a543918,a parent is the base
42,refs/heads/main,bb17e5aebd6953f8d6feca939e2e53bf3a543918,55108b3b78e03529d542c583ea6392bcb174e6e4,ce53d97eb1e9ea5e037c0639ddccc7315e2e3191,
43,refs/heads/main,0f7d45eef0336e7f05650a74d5585489903cef76,002808921f704791e2c9ddc3e14f52a4628d9b55,ccfe9e3761261a6d6aeab8d38a99aa8aad3b2efb,a parent is the base
44,refs/remotes/origin/pull/107,19562e0265c3d0533a8d6aff41d559f16a7721b4,db1338a771971e98649e28419e7c1589f6445f52,044c7faa047e5872847e607216139463be551623,
45,refs/remotes/origin/pull/108,0b34298479ec41f40557b644b066cab6a27040a4,9a5ccbc60c211c8ff84bbed6776f72abcd238b29,7d67c1a0e70ba5ac1c6ea933d94e06274eac1640,
46,refs/remotes/origin/pull/108,9a5ccbc60c211c8ff84bbed6776f72abcd238b29,6801359fc243a2bf600854806302a50c1ac3c57d,044c7faa047e5872847e607216139463be551623,
47,refs/remotes/origin/pull/110,03688b92d87bc920e0278dbd6a1801073ce015b5,f3e5ee58cac51e158a75fecbe77db52535dbd3e9,70ddd17c652e5d16620e898b9f01eaf211975158,
48,refs/remotes/origin/pull/110,f3e5ee58cac51e158a75fecbe77db52535dbd3e9,a2b84c126365d0f11cceea54e7cdac48af316b6a,044c7faa047e5872847e607216139463be551623,
49,refs/remotes/origin/pull/111,008e2fa775f02a656097f3c6617f4f69ba9d7e28,1d2ccdd0043e69de5c4d038d9b26d5e79f7e16ac,eba0ff32e240dbe050cecb58f26b5c06f1f2bceb,
50,refs/remotes/origin/pull/111,1d2ccdd0043e69de5c4d038d9b26d5e79f7e16ac,b4dd6f86e7b5a2fe1d16f104e9f2e6498fc1a0d7,70ddd17c652e5d16620e898b9f01eaf211975158,
51,refs/remotes/origin/pull/111,b4dd6f86e7b5a2fe1d16f104e9f2e6498fc1a0d7,8cbf47c2af35b02f8acdb5c4dc7cf5b90abbaf16,044c7faa047e5872847e607216139463be551623,
