idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,7e7504adc1f710a384af9961ea3940ab2ed11657,b3b6e7ba7342d50501b987c4443fb8bc20d81e1d,7c831e5fc5f8757bb3751b9799f46a92f75e3948,a parent is the base
2,refs/heads/master,7c831e5fc5f8757bb3751b9799f46a92f75e3948,b56b15368acae4367c4b2257603a6e5c12d3428b,b3b6e7ba7342d50501b987c4443fb8bc20d81e1d,
3,refs/heads/master,cbf9c6b3ad117dd85fd31583f751bdbdc99acaa0,5591e91f7e3476f656b2a703688225615e905b91,c8a23d2e77528d4c308607fb5c4c99f2f3afca87,a parent is the base
4,refs/heads/master,5591e91f7e3476f656b2a703688225615e905b91,cf944dd7039ee02fae4a6763d16998db0443e2c8,f7f0ceba8fb60943492b44d4e519d940f472fc93,a parent is the base
5,refs/heads/master,05a86f053c37dbf88529e2c12f431b71286276f7,5fa034ad1b19f0a718ed6607fcac610cec07296c,e9fb1713dcbf4d212d14a2cadd40232b7889444b,a parent is the base
6,refs/heads/master,158daa6adb8e0bf41099cd15461c8556fc6cb8e7,84db02efe71b10d94bf6628ac7188a6f332df48c,9976405f78303b407c2ca00badfb0740ec989e00,a parent is the base
7,refs/heads/master,84db02efe71b10d94bf6628ac7188a6f332df48c,5e16c03a2952a374d27c2752af4b769b07619928,c8dbb859fa898d9960d96239115203cbf56a5646,a parent is the base
8,refs/heads/master,5e16c03a2952a374d27c2752af4b769b07619928,e2a99cb4076e09ac34f23e626f425be5f315e5d8,ee7c50134ba5c8e6cc12f742fe824b3a8818e276,a parent is the base
9,refs/heads/master,602c14f1352a0314d8ecc24ff2e9f2ea8e478312,8b891c3b54f6ee8480d292cfc144138ec1addadb,61485d8db164b0ff2759bfa7796b318c384a2771,a parent is the base
10,refs/heads/master,8b891c3b54f6ee8480d292cfc144138ec1addadb,2429b83213d44e378fd411a7d4bc1b69338f045a,f62cd184251e9fd025b34a5bfcaf1c782052c683,a parent is the base
11,refs/heads/master,2429b83213d44e378fd411a7d4bc1b69338f045a,b21fa4a5d3641366ff7565f790cfb8516ee85fcd,ce532f51cdd9073361c1a138bb581a48e0d1a4b7,a parent is the base
12,refs/heads/master,ad2a65ae8e04777e7a4a3debc21a50cc30c40f43,f134b16fe07a1e71b6dcd307afaed8ad25f4e2be,db58fa6e7fb5a574e81c2520a6f0fbb09e6ab7b1,a parent is the base
13,refs/heads/master,f134b16fe07a1e71b6dcd307afaed8ad25f4e2be,143dfeb3543c1767990af8b1466acbbf1ca8342b,cc73247c265347f92fdb305ea89abac5f0abfea9,a parent is the base
14,refs/heads/master,b8d9e817f83c2c25ab7e201e63ca7df990486dca,cdf4755448462e57bc9f8916c744b29ff56ffda4,03b115111b0c9343f77b8bd04c4b8c0cdda90f87,a parent is the base
15,refs/heads/master,cdf4755448462e57bc9f8916c744b29ff56ffda4,df1cbfee8822ffd1299f394f41675f276c9e7bec,8928c986123d49ebb00d799203a2e66890173ced,
16,refs/heads/master,394b5676f929c72ebdf3f2c932c825a664d4918f,3e47ed7f6ee4e7f7109cad41a87bab9b1568713e,6940c282625d0e7c7fd020e1f003ecca9febd643,
17,refs/heads/master,6940c282625d0e7c7fd020e1f003ecca9febd643,a8967b1f1de5a4a9e35aa4a52c6f98a66cd2f409,4cb11dcf6f3a0fe0ff93307508352ce96627919a,
18,refs/heads/master,3e47ed7f6ee4e7f7109cad41a87bab9b1568713e,4cb11dcf6f3a0fe0ff93307508352ce96627919a,596c431f9ee4f009c9376863419a9e1f636128a5,a parent is the base
19,refs/heads/master,cf02ae44244097df917240b3d1c084a056e88aaf,8fe9c318d7edc411c400438be3c8e07001013d23,c4e6be27f5af845fd63e9c4eaa7953fbd14dd1c1,
20,refs/heads/master,8fe9c318d7edc411c400438be3c8e07001013d23,47862c0b8c848e7a7523cef4d487b5502f3e733c,c80ee9a398e1b3dc179f907ff27326a4e17957a9,a parent is the base
21,refs/heads/master,ea020482e6cdbed096bd488cf6f24706b4446422,adc23757127218bb023032ed97a5fbea4c8048fe,d32bf3e12991b0ba14bc41a07919ff1a3c12c74b,a parent is the base
22,refs/heads/master,adc23757127218bb023032ed97a5fbea4c8048fe,a88cfe6ee279906ef719e7e02cc77ced956c2d92,29898bd08bf5d65834705129413a2f71b839a5f4,a parent is the base
23,refs/heads/master,a88cfe6ee279906ef719e7e02cc77ced956c2d92,c29dd1ffe8e984658fc40542a0083d576e462eda,d9da10c7f3a46aef50e8a824544f2d74b4060862,a parent is the base
24,refs/heads/master,c29dd1ffe8e984658fc40542a0083d576e462eda,54e6c3d89cb38733e3f4a3f35a4a3c119343c512,f3948bd6f1872587fc709ec2854cb9873b4b9369,
25,refs/heads/master,54e6c3d89cb38733e3f4a3f35a4a3c119343c512,60ab35a2165f7ffa1ac9cd1121516d7a89146e75,9ea15d37f9ae56d60ec055a418ff84c81e23b4f2,a parent is the base
26,refs/heads/master,052beb69c1dfb16f37645d9fc10bc98dbe428f47,a4d1a1347fb957c4e0107cc92b2792e3627b685b,6b0d3d299ad0daa2d6b165b2431220acceeafca9,a parent is the base
27,refs/heads/master,83e0c19834e355dee2b519d51acc12b0174051c9,6059a3acac1f41bcdbe932dabbf9c900edb784dd,47b957b2f1d8da8ecdd7de680705d1c3ecf03479,a parent is the base
