idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/main,365f5ebabeec6eb5932c7b6afed8695ba4f3a15d,571d3853003259d1ef4d07f509d7d06bc83d45ec,56bd3dc80431a2773ee59c57b4f3943a15793f74,a parent is the base
2,refs/heads/main,571d3853003259d1ef4d07f509d7d06bc83d45ec,a408f20a1580e7a8768f27bb53ddf0f6ddda9900,b28b6f37f6e8030a9ec3fada569f7010403d2607,
3,refs/heads/main,7e2e7b75d74f7cdedbebe4bf291a3e383f8fa229,e72fbfc38c26d77c79a248163b2a7566931e04df,dd0ae03b63af571aa6879442d627df5e64cd1c48,a parent is the base
4,refs/heads/main,e0e76da32e85e02f5156652d4b3f622ac4fb2b7e,9625cd831885fac52321433e031a9b1288b1e24b,dd8287008b1a3643d4b6e9bc1d836a3c745a1f62,a parent is the base
5,refs/heads/main,9625cd831885fac52321433e031a9b1288b1e24b,b696dea7ac41aea4cd81f93dd20eaf0919519ae2,c448cbe355df96cfb40f28eed030014a07292384,a parent is the base
6,refs/heads/main,05842f86d1cfcbc486f2067fc48dc5aa2be40204,5ce9b912ba6a82e67d7925ca9d8b5b9e5ecc44fe,f4df0136402e4b888ea20c7a2bbdd58a416d6c4c,
7,refs/heads/main,5ce9b912ba6a82e67d7925ca9d8b5b9e5ecc44fe,025dcde12dc39f8983025631fbad247aa919c4bc,654a7e2bd4c73b7365f3b94059d194c2b405313b,
8,refs/heads/main,d6e8e63127242fec138a468b05a1f7baf9234e81,3405ed59a171712d066906e58090b7a6262edd43,ed17ddf626a1756dd53db2689be72835e9076b7c,a parent is the base
9,refs/heads/main,5d0307a513ff0492fda7049938796a902a72f1e3,ce90954922228fe4106ad1977a7d3ecce599db70,2f73f864d25f0293a4c77c51c6195faf37b69231,
10,refs/heads/main,ce90954922228fe4106ad1977a7d3ecce599db70,e2c87cf2e65eb5effb5384c45c8c8daa1563136a,618b3b366753dd2c607f4e34ec1d62e3c9996580,
11,refs/heads/main,1ff0fb791dde8d6aadaaff1a2cecb69e5c54d496,de3c1c413364b8d9745694e0cef0b58467df89c8,00d7fa60733d443d496db9e63e71e1b59a4f5254,
12,refs/heads/main,de3c1c413364b8d9745694e0cef0b58467df89c8,9e3ba390704e3146a70773b35b60cf5ab3e21b0c,9a1dbb790dba66448588154ee081b225a9c25b02,a parent is the base
13,refs/heads/main,9e3ba390704e3146a70773b35b60cf5ab3e21b0c,a413f56449b3fb602a870929fe08cdad3d0d63bf,77ed6569ea7e72a87029709bc288efcbe8a8c7a5,
14,refs/heads/main,83a86ae598bd9488668605ba36bf197369c6f051,01804ebad16a8c0bd6ffe78891d3c019c6f64f84,2244572cd1bca25d72f8b04268f3051b78592b3a,
15,refs/heads/main,01804ebad16a8c0bd6ffe78891d3c019c6f64f84,a33cfddc8260b80c81a878542c3819373d253097,3f4005639222399ae95fb9c6cff1853d8e6c42a3,
16,refs/heads/main,a33cfddc8260b80c81a878542c3819373d253097,4f63f557f8908a395530b8cd4b514f0d625fd964,5a03f4ab12975d34ed3a9a004a3a7a4fb4ad2372,a parent is the base
17,refs/heads/main,e3268a4e615c0cb0e98c14ab3d79d55ce82cc93b,b2968768e05ffe8377cf4e0001e1cbc544f9cf29,2c4ef66f283268bf8e3f11f314fae1f994d88bff,a parent is the base
18,refs/heads/main,2c4ef66f283268bf8e3f11f314fae1f994d88bff,d64c1d51fbb3e3bc42d8d2fd51c64f6e7fd46300,b2968768e05ffe8377cf4e0001e1cbc544f9cf29,
19,refs/heads/main,b2968768e05ffe8377cf4e0001e1cbc544f9cf29,44df8c8d779f66c7714efef8a7add68643d32e87,b2bb0c3ceb84a2b9aa1ba09f61c5eeb516cfdbd7,
20,refs/heads/main,44df8c8d779f66c7714efef8a7add68643d32e87,15a11b25efe1eba9a3863eeea9abb35707c121a8,33549a2e0837d27dcaffb3b28f0fc3cf0acfcf15,a parent is the base
21,refs/heads/main,33549a2e0837d27dcaffb3b28f0fc3cf0acfcf15,e3b736a0bf8f85ce480ed698987dcb2a986309c0,15a11b25efe1eba9a3863eeea9abb35707c121a8,
22,refs/heads/main,15a11b25efe1eba9a3863eeea9abb35707c121a8,5164c8bc1995e6b72c6a5aea287b4094051f3fa1,456fa7267abb30dead0d34c384d742a316e82731,
23,refs/heads/main,5164c8bc1995e6b72c6a5aea287b4094051f3fa1,f0634f15bdc10a67cc364a191875dc258d127334,4d7ea318caaa6cdffe46cce2a10e891db041dd3f,
24,refs/heads/main,38a7e8523b817ad1ec0b528a01a73c7866b7895c,5e7ed1fb85f39d742b45297879e3763a67db37a4,ec6d849dab4747c2acb4bfa0ce64a0b6c315e5f4,a parent is the base
25,refs/heads/main,9384c2305ad9f0ec67a5494e4cca35dfd7a0bc99,9726126642fbb98086ea82d9b96b75c0940ecf70,cf8df41ed56404532044a25edee52290a8ffa1b8,a parent is the base
26,refs/heads/main,367bfdfa1d297f88a840e429b20acba0a34e0032,ce18ed6aa6b450edda38701e2b0ce6a53a6fc224,7487db55f6b6b5adadbbc6884fad56113772d540,a parent is the base
27,refs/heads/main,67bbbffac69974b719c3177a1f0036126f227c52,860a3a92b4cc7889757cf44be541cc784ad2163b,12903d2231cc3cd9d2f2ca302b6dec005ed2a128,a parent is the base
28,refs/heads/main,48160556803e5878977d6780f7649001d75b1646,f74fdc6bbc35fce883c99f36d9d3557362693fc6,62f149d2b08db54073a8a8b53d70a3584871a304,
29,refs/heads/main,677cf06fcc3a2a0c013a93f6c9adef034b7889c6,583768ad89828ad5f7e4c671b4faafff408ad432,26a47d97e9bd2098459143249a048234f6396a15,a parent is the base
30,refs/heads/main,11ec7e7a10ae97ba7bef02dcc3a353136ccc576d,780dbbb92111e4d43aabe9c333dd9f4937893033,cc4d3713add7e53b8808077c372e60ab24d65c9f,
31,refs/heads/main,e91e0e2d60b8121ac07a40f723c499041da21e23,e97b0abf3c59a7422275b8f076cf5e9c15a5d8a3,a2038d0f78eaf6017c3f28f7ccd7c5b1f865353b,
32,refs/heads/main,e97b0abf3c59a7422275b8f076cf5e9c15a5d8a3,851e397547862a03da710d576cc214ec4c4c752b,3961a875615e7bb654418e4966045cfa3b659732,a parent is the base
33,refs/heads/main,d833545d4ef19b4aa24808383e80290320f1bec9,1df53269a56810394c206a3f674ad4aacb7f43b0,44d7e2f9b1c768c52002e06b3ebecf5399f81cdb,a parent is the base
34,refs/heads/main,1df53269a56810394c206a3f674ad4aacb7f43b0,d3673ffacefaffd59ab264c08d2862d3845c6705,b98cbd919f1e40bdf53692dfe97cf69b71456df0,
35,refs/heads/main,1bb392b60bf090b6f90f49a8828cf59602c32a98,1993ec1df881f80aada69ac4053d8895e0488f1b,6108ad655c6a19064bd8a5580a61b744147d5436,
36,refs/heads/main,1993ec1df881f80aada69ac4053d8895e0488f1b,fedb862bcdd63519ebc0385785d969aa37d251c4,20492c2c8d118d8a1fd826ba804690da8eea68c1,a parent is the base
37,refs/heads/main,ae2d6dee1a03a155c991809a4fcac11c5537bdd9,40618447f6824f2262b5407eda105a2bb49abe3d,c3f2ac5c9319a30f137e8ca7d28ff437fdc5dff1,
38,refs/heads/main,40618447f6824f2262b5407eda105a2bb49abe3d,7dbe38209f60f18dbe9b1b239153faf17044e1d7,6e9996e0572567c8e2da8b6d12e7d8ebe501cde3,
39,refs/heads/main,3ea8b4700d5807814ccad0b82df1df194edaa547,04310895d27fd0f214e8f967f6bc57892ac6742b,f3056df6a90c23ab415cb7e18894d1996a5db14e,
40,refs/heads/main,04310895d27fd0f214e8f967f6bc57892ac6742b,4793e8a4d3641ad6f99aaf3190416c72388a7d9a,c113e3ddc0405ae9e4c2b9b7d9d75af93a9f0aa1,a parent is the base
41,refs/heads/main,84caa2c24558da8fc73c41ae7f8d8bd785d327e3,1cf28a11c7fc2428aab7ae0c36cb4fd3aa378073,1118394240fef4554f8b84010c1b88c4513cefa0,
42,refs/heads/main,1cf28a11c7fc2428aab7ae0c36cb4fd3aa378073,0736523b19cdc8383b806f0f967d3041e7b6778c,af2b72bd79577550623be685158bd2969284cff0,
