idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,b4c6ccd0a5d287f6dd489c05efc807fb05a890b1,b8c1ef2a29147c2b591ba51e0b9030fe9cbeaf74,5760fc665c5f54afc8846f950a2e16538240d1f2,a parent is the base
2,refs/heads/master,b8c1ef2a29147c2b591ba51e0b9030fe9cbeaf74,39606b32710fe7aaae244d2c226d2c0793a987d9,0f7b6436b8310c74ab5f2adf83186385809cff79,a parent is the base
3,refs/heads/master,39606b32710fe7aaae244d2c226d2c0793a987d9,bab3fddef72af421c80a9da77d01bbf0bb226467,08143da2dae2bb32ec8b569f3e323353420d73d5,a parent is the base
4,refs/heads/master,bab3fddef72af421c80a9da77d01bbf0bb226467,3e743f579fbd4c4cba57b157fa7301df86df3e93,ebfe282e1a4346dd76244e30f590401541a7091f,a parent is the base
5,refs/heads/master,3e743f579fbd4c4cba57b157fa7301df86df3e93,ae9e9100c803146ab0f925bad19e447b83bd0ca0,75c595ecdb47efb21bf5d8d9436d096db477168f,a parent is the base
6,refs/heads/master,ae9e9100c803146ab0f925bad19e447b83bd0ca0,b8fb3c8c51a8bf4a17f87eb2d78579664d9b5200,fada0b7ea713ce230696c96cd54621884d706cc0,a parent is the base
7,refs/heads/master,b8fb3c8c51a8bf4a17f87eb2d78579664d9b5200,530919cb37404ec484fdc2ebb72df86d053f2c33,b61c450a25e22dc8c9cd82650dd23033fa232f92,
8,refs/heads/master,530919cb37404ec484fdc2ebb72df86d053f2c33,f0c44a7824b1abcaa113987e70622c4636c951fd,0dbc14ab7c4136a5b7d42eb85c6a14b49ec1a4ea,a parent is the base
9,refs/heads/master,f0c44a7824b1abcaa113987e70622c4636c951fd,f3cc6e359c390640ed218d29279fa56d87ad4b42,b67c5f5f0cc7c3c12567f76335f8ed5fb9127b7e,a parent is the base
10,refs/heads/master,f3cc6e359c390640ed218d29279fa56d87ad4b42,af10d9022cab4b681a2dd9bc7657e339a519e4bc,ad931f935f67a7d892c821c2983ef3a8f6de0bf1,a parent is the base
11,refs/heads/master,af10d9022cab4b681a2dd9bc7657e339a519e4bc,463cc5cc662e3879d29565d925f6223bcd3af0fd,146aed4d52338cd43ebe17338c0618e08c237f33,a parent is the base
12,refs/heads/master,463cc5cc662e3879d29565d925f6223bcd3af0fd,f8d5d073c848f8d0e0a19429f395cacd6f16c040,6df4c35a4e132d1c243fd546adea3cfaa2cc32b1,
13,refs/heads/master,f8d5d073c848f8d0e0a19429f395cacd6f16c040,d8f805bde090d9f29118d72d981460f8bcb2d4a8,b35373dc4d771d24bff51e04db629378ee91b1de,a parent is the base
14,refs/heads/master,d8f805bde090d9f29118d72d981460f8bcb2d4a8,148b6f991fb9212f070b816bbea6fc0d8a0caf19,a44de0e53d4fe0bd4bcf06d9601e43627a3724c0,a parent is the base
15,refs/heads/master,148b6f991fb9212f070b816bbea6fc0d8a0caf19,c0189ff687003a424a49759f764aeac88890bcaf,21bccb498d0a7853230e4e9e39a23938a9df78b7,
16,refs/heads/master,c0189ff687003a424a49759f764aeac88890bcaf,5bf4768f3fae7ab8f9cca5c0af5c9ca2d5de72a5,f911150b2db794e8c6472035e5efa19ad665e752,a parent is the base
17,refs/heads/master,5bf4768f3fae7ab8f9cca5c0af5c9ca2d5de72a5,951f1113ba6e44ff7505342fe99b590e00e456cf,b67c6d71a58be4a4de3c1b59d90ee67b4550da1c,a parent is the base
18,refs/heads/master,951f1113ba6e44ff7505342fe99b590e00e456cf,a1a4ce4dab4cf6f0d9facbba4e1b6c8d095c3d3a,33beadf0b1dbbe0fd2c17f973f5322bfbb74dff9,a parent is the base
19,refs/heads/master,a1a4ce4dab4cf6f0d9facbba4e1b6c8d095c3d3a,ccb6933487525187b40ac90c620c107e9f2e9594,dc38ed8d67f937355be26861d9f95cc74dcd3821,a parent is the base
