idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,142dafe9f8c0a65945afabe313c84bdbbfc1bf65,acca14d1fef75b7f16795342c34a83baf6600c9d,c9243c28b7b5e52e459b17eee5584f3f7bdc0294,a parent is the base
2,refs/heads/master,8e39d601d5c96be819fe22dd5ecd68bd481cd57e,47f42a862ed38ced4d1cda57b353f64282f31338,572f56a1da9a830176f9b6ceb65f29a2d5023ee6,a parent is the base
3,refs/heads/master,47f42a862ed38ced4d1cda57b353f64282f31338,fc3dfda77cf31dcd7b8a0f21ce2610afe259e05f,1fb518d163940c9d34913f33ee1289829873b2ae,
4,refs/heads/master,fc3dfda77cf31dcd7b8a0f21ce2610afe259e05f,620868e4808f0df6772c11331dc86bd3ea8413eb,e92c35c70c653247bf9dcded915657fc6e6bbdc0,a parent is the base
5,refs/heads/master,620868e4808f0df6772c11331dc86bd3ea8413eb,6f78bb0aa16453bf2b5a46775f466caca693e916,9c910d9e1a60c330b104a2a86333606d1314277d,a parent is the base
6,refs/heads/master,6f78bb0aa16453bf2b5a46775f466caca693e916,ac10dbecff9347b97f1b9a59180df8defb90ffdc,bf5d04e81d5ad59bce40c5eba947e2f46d29f75e,
7,refs/heads/master,854f413110efdc2904aa0b59631524074cffc27a,d325d0df477d68fa357712d475864334e030bf98,ae10beead0de5962ae06886e742e56f076c40a04,a parent is the base
8,refs/heads/master,d325d0df477d68fa357712d475864334e030bf98,cece5ae3aa990b0eb078ae5ac81b327a691251e3,581f53a2fa1ba75953c77eabfd2b5aa6217607e0,a parent is the base
9,refs/heads/master,cece5ae3aa990b0eb078ae5ac81b327a691251e3,e2b958b0b1085cfc8b3838a9d214fa5f1ec6c1e2,a94930f50d0581254190e1d7010330ffb0132eb4,
10,refs/heads/master,e2b958b0b1085cfc8b3838a9d214fa5f1ec6c1e2,894d449ca68ef297c08311a5227d331c490bbfa2,29256dbc49acd12ea944a6750e53f0c882734962,
11,refs/heads/master,894d449ca68ef297c08311a5227d331c490bbfa2,17016511981d18312e881250214c12be42af8883,d53ebf6110148ba8534285cc4387f2233ffb25af,a parent is the base
12,refs/heads/master,17016511981d18312e881250214c12be42af8883,50e7d265f3d02e834130f4ee36f0d9e7f68e1555,d632cfc892d809804d0748b610a173b96cbdb43d,a parent is the base
13,refs/heads/master,50e7d265f3d02e834130f4ee36f0d9e7f68e1555,2a11b2a434b7643b8b3782f10ea0ef7c71f98abb,b7625c2b450050cf701983b0a3b77db49d2ccddb,a parent is the base
14,refs/heads/master,b7625c2b450050cf701983b0a3b77db49d2ccddb,a09b93b430539ff31560925e045761a519ef6c20,2a11b2a434b7643b8b3782f10ea0ef7c71f98abb,
15,refs/heads/master,2a11b2a434b7643b8b3782f10ea0ef7c71f98abb,bbdd06299c044415ca5eaa61fb60df2cf7d2ab51,ba31825eec4450b98238bdd3f69c70356b49cba8,a parent is the base
16,refs/heads/master,bbdd06299c044415ca5eaa61fb60df2cf7d2ab51,f3c7aacec91be824cb7d3fbcea683c9611b584c9,f15f5f9a8d12c3826e4856ba4b5c04c804bac7d0,a parent is the base
17,refs/heads/master,e6c6be02604e75cbbcb3de5da48972fd8ea326e8,95b0fbd00e3417b5ee6ff13f653f757c9347b779,f3c7aacec91be824cb7d3fbcea683c9611b584c9,
18,refs/heads/master,f3c7aacec91be824cb7d3fbcea683c9611b584c9,10270a9c45b206b7a88c1b02816cddc03122f273,b9594afef5b74a99a65d0b9f426854e835346af8,
19,refs/heads/master,10270a9c45b206b7a88c1b02816cddc03122f273,421fbe60eea35660c79cd2df32aad0f6e28d2c1a,9ff20bb5d9ce013e7a8a1b158c633fc8743e4a14,
20,refs/heads/master,421fbe60eea35660c79cd2df32aad0f6e28d2c1a,f87d1dea22dc23d3c51517f44118bf2fe20e8dd6,aa4ba8c37c1e9ee4203cc63c5838b6bcd8c33f80,
21,refs/heads/master,f87d1dea22dc23d3c51517f44118bf2fe20e8dd6,0cb3277511117794436989be2d68c7cb41798b6f,235aca3f267535dfdec044689e0c4d8bbf1408ca,
22,refs/heads/master,0cb3277511117794436989be2d68c7cb41798b6f,89150cd7d3ad8ec20ee94f05442b32c842c2a2cc,724578109cbefef0091bebf3ef6bc501bd21f7df,
23,refs/heads/master,89150cd7d3ad8ec20ee94f05442b32c842c2a2cc,31b9da41a4582b900b1b39f3b86404c316f0cad0,8279180b5d7b7fd9033ced558af01d4399fef8ee,
24,refs/heads/master,31b9da41a4582b900b1b39f3b86404c316f0cad0,e45466758be3ca26a01c4edb7be045925e7c3643,16d722729890adc1d218c452632c0edd65920157,
25,refs/heads/master,e45466758be3ca26a01c4edb7be045925e7c3643,a3c6f5fdb3961274ee5955b9525b9bd2a9721f35,3e1023f9fca73662bd80e75c4109b51f553b90fa,
26,refs/heads/master,a3c6f5fdb3961274ee5955b9525b9bd2a9721f35,2a4b61c887e166bc2e6c3d3b11743dbecf48b920,5b0ea26a47778dae4ea31d88e4a0bdd9b8daa66e,a parent is the base
27,refs/heads/master,2a4b61c887e166bc2e6c3d3b11743dbecf48b920,5bca29e5cc860da98360a8936b810905d516c96f,5a1eca00eaeaddd9b9ae58b8392622c3efc1ae8a,
28,refs/heads/master,aac27c609c0bb8752354a97e883427535d067800,36bbb8dc0c0103ad2b13b4e4b86b81db9ff0ebce,6950e8bf062ae80d2409a2b4d0274cc95437fe05,
29,refs/heads/master,36bbb8dc0c0103ad2b13b4e4b86b81db9ff0ebce,8dcf7499df61da020b1b42ff0dfd350f56d4a041,f488a3d0118e70a7e00fdb3fb4468457c496dc59,
30,refs/heads/master,8dcf7499df61da020b1b42ff0dfd350f56d4a041,e52ffee5de1fe8fb47ce0a7819c43ccde9d1a839,c10578828dd23e9d30d042d8dc3b9f7963ff35a8,a parent is the base
31,refs/heads/master,aa9f7619dd1ee95d6a6b39ea00efb1625ace9f2c,5ed468acb831679ab0e07f16eef77972c7fc6c65,6754b80536544899300420da9cd8b78825e30e43,
32,refs/heads/master,5ed468acb831679ab0e07f16eef77972c7fc6c65,dd3f70f41b06ac2ab3e02996f924a73f15850911,5b4ff26a787e3d2a68963dfa7f5f254733488061,a parent is the base
